LAD|BRU,|BRU|FIH|LAD|
LAD|OUA,|OUA|NIM|IST|FIH|LAD|
LAD|JED,|JED|ADD|DLA|FIH|LAD|
LAD|CPH,|CPH|IST|FIH|LAD|
LAD|YYZ,|YYZ|BRU|FIH|LAD|
LAD|DEN,|DEN|ORD|BRU|FIH|LAD|
LAD|YUL,|YUL|BRU|FIH|LAD|
LAD|NBO,|NBO|LUN|HRE|ADD|DLA|FIH|LAD|
LAD|ICN,|ICN|IST|FIH|LAD|
LAD|NRT,|NRT|IST|FIH|LAD|
LAD|YHZ,|YHZ|LHR|IST|FIH|LAD|
LAD|YOW,|YOW|YUL|BRU|FIH|LAD|
LAD|BJM,|BJM|BRU|FIH|LAD|
LAD|COO,|COO|BRU|FIH|LAD|
LAD|DKR,|DKR|BRU|FIH|LAD|
LAD|DLA,|DLA|FIH|LAD|
LAD|KGL,|KGL|IST|FIH|LAD|
LAD|ABJ,|ABJ|OUA|NIM|IST|FIH|LAD|
LAD|AMS,|AMS|IST|FIH|LAD|
LAD|OSL,|OSL|IST|FIH|LAD|
LAD|VNO,|VNO|IST|FIH|LAD|
LAD|WAW,|WAW|IST|FIH|LAD|
LAD|YYC,|YYC|FRA|IST|FIH|LAD|
LAD|ATL,|ATL|IAD|BRU|FIH|LAD|
LAD|MSY,|MSY|IAD|BRU|FIH|LAD|
LAD|YEG,|YEG|LHR|IST|FIH|LAD|
LAD|YMM,|YMM|YYZ|BRU|FIH|LAD|
LAD|YQR,|YQR|YWG|YUL|BRU|FIH|LAD|
LAD|YVR,|YVR|MUC|IST|FIH|LAD|
LAD|YWG,|YWG|YUL|BRU|FIH|LAD|
LAD|YXE,|YXE|YWG|YUL|BRU|FIH|LAD|
LAD|CKY,|CKY|DKR|BRU|FIH|LAD|
LAD|FIH,|FIH|LAD|
LAD|SCL,|SCL|EZE|GRU|IST|FIH|LAD|
LAD|LCA,|LCA|FRA|IST|FIH|LAD|
LAD|NAP,|NAP|IST|FIH|LAD|
LAD|VLC,|VLC|IST|FIH|LAD|
LAD|BKK,|BKK|IST|FIH|LAD|
LAD|ADD,|ADD|DLA|FIH|LAD|
LAD|FRA,|FRA|IST|FIH|LAD|
LAD|IST,|IST|FIH|LAD|
LAD|EBB,|EBB|KGL|IST|FIH|LAD|
LAD|YLW,|YLW|YYC|FRA|IST|FIH|LAD|
LAD|YYT,|YYT|LHR|IST|FIH|LAD|
LAD|GUA,|GUA|EWR|BRU|FIH|LAD|
LAD|EWR,|EWR|BRU|FIH|LAD|
LAD|IAD,|IAD|BRU|FIH|LAD|
LAD|IAH,|IAH|YUL|BRU|FIH|LAD|
LAD|ORD,|ORD|BRU|FIH|LAD|
LAD|SOF,|SOF|IST|FIH|LAD|
LAD|YQB,|YQB|YUL|BRU|FIH|LAD|
LAD|YXU,|YXU|YYZ|BRU|FIH|LAD|
LAD|EZE,|EZE|GRU|IST|FIH|LAD|
LAD|YYJ,|YYJ|YVR|MUC|IST|FIH|LAD|
LAD|YYY,|YYY|YUL|BRU|FIH|LAD|
LAD|YQQ,|YQQ|YBL|YVR|MUC|IST|FIH|LAD|
LAD|YYR,|YYR|YYT|LHR|IST|FIH|LAD|
LAD|LHR,|LHR|IST|FIH|LAD|
LAD|SFO,|SFO|YUL|BRU|FIH|LAD|
LAD|YQU,|YQU|YEG|LHR|IST|FIH|LAD|
LAD|YZF,|YZF|YEG|LHR|IST|FIH|LAD|
LAD|YGR,|YGR|YGP|YQB|YUL|BRU|FIH|LAD|
LAD|YGP,|YGP|YQB|YUL|BRU|FIH|LAD|
LAD|BOS,|BOS|YUL|BRU|FIH|LAD|
LAD|YDF,|YDF|YYT|LHR|IST|FIH|LAD|
LAD|YFC,|YFC|YUL|BRU|FIH|LAD|
LAD|YQM,|YQM|YHZ|LHR|IST|FIH|LAD|
LAD|YQX,|YQX|YYT|LHR|IST|FIH|LAD|
LAD|YQY,|YQY|YHZ|LHR|IST|FIH|LAD|
LAD|YSJ,|YSJ|YUL|BRU|FIH|LAD|
LAD|YYG,|YYG|YHZ|LHR|IST|FIH|LAD|
LAD|LAX,|LAX|ORD|BRU|FIH|LAD|
LAD|DCA,|DCA|EWR|BRU|FIH|LAD|
LAD|LGA,|LGA|YUL|BRU|FIH|LAD|
LAD|YZV,|YZV|YUL|BRU|FIH|LAD|
LAD|YWL,|YWL|YVR|MUC|IST|FIH|LAD|
LAD|AZS,|AZS|YUL|BRU|FIH|LAD|
LAD|BDL,|BDL|YUL|BRU|FIH|LAD|
LAD|CCC,|CCC|YUL|BRU|FIH|LAD|
LAD|CDG,|CDG|IST|FIH|LAD|
LAD|CUN,|CUN|EWR|BRU|FIH|LAD|
LAD|CZM,|CZM|YUL|BRU|FIH|LAD|
LAD|FDF,|FDF|YUL|BRU|FIH|LAD|
LAD|FLL,|FLL|EWR|BRU|FIH|LAD|
LAD|GVA,|GVA|IST|FIH|LAD|
LAD|HOG,|HOG|YUL|BRU|FIH|LAD|
LAD|LAS,|LAS|ORD|BRU|FIH|LAD|
LAD|MBJ,|MBJ|EWR|BRU|FIH|LAD|
LAD|MCO,|MCO|EWR|BRU|FIH|LAD|
LAD|MUC,|MUC|IST|FIH|LAD|
LAD|PAP,|PAP|YUL|BRU|FIH|LAD|
LAD|PTP,|PTP|YUL|BRU|FIH|LAD|
LAD|PUJ,|PUJ|EWR|BRU|FIH|LAD|
LAD|SNU,|SNU|YUL|BRU|FIH|LAD|
LAD|VRA,|VRA|YUL|BRU|FIH|LAD|
LAD|YBC,|YBC|YUL|BRU|FIH|LAD|
LAD|YBG,|YBG|YUL|BRU|FIH|LAD|
LAD|YTZ,|YTZ|YUL|BRU|FIH|LAD|
LAD|YUY,|YUY|YUL|BRU|FIH|LAD|
LAD|YVO,|YVO|YUL|BRU|FIH|LAD|
LAD|ZBF,|ZBF|YUL|BRU|FIH|LAD|
LAD|ZRH,|ZRH|IST|FIH|LAD|
LAD|ZSA,|ZSA|YUL|BRU|FIH|LAD|
LAD|AKL,|AKL|BKK|IST|FIH|LAD|
LAD|HKG,|HKG|IST|FIH|LAD|
LAD|HND,|HND|YVR|MUC|IST|FIH|LAD|
LAD|HNL,|HNL|YVR|MUC|IST|FIH|LAD|
LAD|MEX,|MEX|IAD|BRU|FIH|LAD|
LAD|OGG,|OGG|YVR|MUC|IST|FIH|LAD|
LAD|PDX,|PDX|SEA|FRA|IST|FIH|LAD|
LAD|PEK,|PEK|IST|FIH|LAD|
LAD|PVG,|PVG|IST|FIH|LAD|
LAD|PVR,|PVR|IAH|YUL|BRU|FIH|LAD|
LAD|SEA,|SEA|FRA|IST|FIH|LAD|
LAD|SYD,|SYD|BKK|IST|FIH|LAD|
LAD|YBL,|YBL|YVR|MUC|IST|FIH|LAD|
LAD|YCD,|YCD|YVR|MUC|IST|FIH|LAD|
