LAN|BRU,|BRU|ORD|LAN|
LAN|OUA,|OUA|BRU|ORD|LAN|
LAN|JED,|JED|FRA|ORD|LAN|
LAN|CPH,|CPH|YYZ|ORD|LAN|
LAN|YYZ,|YYZ|ORD|LAN|
LAN|DEN,|DEN|ORD|LAN|
LAN|YUL,|YUL|ORD|LAN|
LAN|NBO,|NBO|ZRH|ORD|LAN|
LAN|ICN,|ICN|YVR|ORD|LAN|
LAN|NRT,|NRT|ORD|LAN|
LAN|YHZ,|YHZ|ORD|LAN|
LAN|YOW,|YOW|ORD|LAN|
LAN|BJM,|BJM|BRU|ORD|LAN|
LAN|COO,|COO|BRU|ORD|LAN|
LAN|DKR,|DKR|IAD|ORD|LAN|
LAN|DLA,|DLA|BRU|ORD|LAN|
LAN|KGL,|KGL|BRU|ORD|LAN|
LAN|LAD,|LAD|BRU|ORD|LAN|
LAN|ABJ,|ABJ|BRU|ORD|LAN|
LAN|AMS,|AMS|ORD|LAN|
LAN|OSL,|OSL|EWR|ORD|LAN|
LAN|VNO,|VNO|CPH|YYZ|ORD|LAN|
LAN|WAW,|WAW|YYZ|ORD|LAN|
LAN|YYC,|YYC|ORD|LAN|
LAN|ATL,|ATL|ORD|LAN|
LAN|MSY,|MSY|ORD|LAN|
LAN|YEG,|YEG|ORD|LAN|
LAN|YMM,|YMM|YEG|ORD|LAN|
LAN|YQR,|YQR|ORD|LAN|
LAN|YVR,|YVR|ORD|LAN|
LAN|YWG,|YWG|ORD|LAN|
LAN|YXE,|YXE|ORD|LAN|
LAN|CKY,|CKY|DKR|IAD|ORD|LAN|
LAN|FIH,|FIH|DLA|BRU|ORD|LAN|
LAN|SCL,|SCL|YYZ|ORD|LAN|
LAN|LCA,|LCA|FRA|ORD|LAN|
LAN|NAP,|NAP|FRA|ORD|LAN|
LAN|VLC,|VLC|FRA|ORD|LAN|
LAN|BKK,|BKK|CGO|PEK|ORD|LAN|
LAN|ADD,|ADD|IST|ORD|LAN|
LAN|FRA,|FRA|ORD|LAN|
LAN|IST,|IST|ORD|LAN|
LAN|EBB,|EBB|KGL|BRU|ORD|LAN|
LAN|YLW,|YLW|YYC|ORD|LAN|
LAN|YYT,|YYT|YOW|ORD|LAN|
LAN|GUA,|GUA|IAH|ORD|LAN|
LAN|EWR,|EWR|ORD|LAN|
LAN|IAD,|IAD|ORD|LAN|
LAN|IAH,|IAH|ORD|LAN|
