LDS|BRU,|BRU|IST|PEK|HRB|LDS|
LDS|OUA,|OUA|NIM|IST|PEK|HRB|LDS|
LDS|JED,|JED|IST|PEK|HRB|LDS|
LDS|CPH,|CPH|AMS|PEK|HRB|LDS|
LDS|YYZ,|YYZ|PEK|HRB|LDS|
LDS|DEN,|DEN|YVR|ICN|HRB|LDS|
LDS|YUL,|YUL|YYZ|PEK|HRB|LDS|
LDS|NBO,|NBO|CAN|HRB|LDS|
LDS|ICN,|ICN|HRB|LDS|
LDS|NRT,|NRT|ICN|HRB|LDS|
LDS|YHZ,|YHZ|YYZ|PEK|HRB|LDS|
LDS|YOW,|YOW|YYZ|PEK|HRB|LDS|
LDS|BJM,|BJM|BRU|IST|PEK|HRB|LDS|
LDS|COO,|COO|BRU|IST|PEK|HRB|LDS|
LDS|DKR,|DKR|BRU|IST|PEK|HRB|LDS|
LDS|DLA,|DLA|IST|PEK|HRB|LDS|
LDS|KGL,|KGL|IST|PEK|HRB|LDS|
LDS|LAD,|LAD|BRU|IST|PEK|HRB|LDS|
LDS|ABJ,|ABJ|OUA|NIM|IST|PEK|HRB|LDS|
LDS|AMS,|AMS|PEK|HRB|LDS|
LDS|OSL,|OSL|CPH|AMS|PEK|HRB|LDS|
LDS|VNO,|VNO|IST|PEK|HRB|LDS|
LDS|WAW,|WAW|IST|PEK|HRB|LDS|
LDS|YYC,|YYC|YVR|ICN|HRB|LDS|
LDS|ATL,|ATL|ORD|PEK|HRB|LDS|
LDS|MSY,|MSY|DEN|YVR|ICN|HRB|LDS|
LDS|YEG,|YEG|YVR|ICN|HRB|LDS|
LDS|YMM,|YMM|YVR|ICN|HRB|LDS|
LDS|YQR,|YQR|YVR|ICN|HRB|LDS|
LDS|YVR,|YVR|ICN|HRB|LDS|
LDS|YWG,|YWG|YVR|ICN|HRB|LDS|
LDS|YXE,|YXE|YVR|ICN|HRB|LDS|
LDS|CKY,|CKY|DKR|BRU|IST|PEK|HRB|LDS|
LDS|FIH,|FIH|IST|PEK|HRB|LDS|
LDS|SCL,|SCL|YYZ|PEK|HRB|LDS|
LDS|LCA,|LCA|FRA|TSE|URC|PEK|HRB|LDS|
LDS|NAP,|NAP|IST|PEK|HRB|LDS|
LDS|VLC,|VLC|FRA|TSE|URC|PEK|HRB|LDS|
LDS|BKK,|BKK|CGO|HRB|LDS|
LDS|ADD,|ADD|IST|PEK|HRB|LDS|
LDS|FRA,|FRA|TSE|URC|PEK|HRB|LDS|
LDS|IST,|IST|PEK|HRB|LDS|
LDS|EBB,|EBB|KGL|IST|PEK|HRB|LDS|
LDS|YLW,|YLW|YVR|ICN|HRB|LDS|
LDS|YYT,|YYT|YYZ|PEK|HRB|LDS|
LDS|GUA,|GUA|IAH|YVR|ICN|HRB|LDS|
LDS|EWR,|EWR|PEK|HRB|LDS|
LDS|IAD,|IAD|PEK|HRB|LDS|
LDS|IAH,|IAH|YVR|ICN|HRB|LDS|
LDS|ORD,|ORD|PEK|HRB|LDS|
LDS|SOF,|SOF|IST|PEK|HRB|LDS|
LDS|YQB,|YQB|YYZ|PEK|HRB|LDS|
LDS|YXU,|YXU|YYZ|PEK|HRB|LDS|
LDS|EZE,|EZE|GRU|IST|PEK|HRB|LDS|
LDS|YYJ,|YYJ|YVR|ICN|HRB|LDS|
LDS|YYY,|YYY|YUL|YYZ|PEK|HRB|LDS|
LDS|YQQ,|YQQ|YBL|YVR|ICN|HRB|LDS|
LDS|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|HRB|LDS|
LDS|LHR,|LHR|IST|PEK|HRB|LDS|
LDS|SFO,|SFO|ICN|HRB|LDS|
LDS|YQU,|YQU|YEG|YVR|ICN|HRB|LDS|
LDS|YZF,|YZF|YEG|YVR|ICN|HRB|LDS|
LDS|YGR,|YGR|YGP|YQB|YYZ|PEK|HRB|LDS|
LDS|YGP,|YGP|YQB|YYZ|PEK|HRB|LDS|
LDS|BOS,|BOS|YYZ|PEK|HRB|LDS|
LDS|YDF,|YDF|YYZ|PEK|HRB|LDS|
LDS|YFC,|YFC|YYZ|PEK|HRB|LDS|
LDS|YQM,|YQM|YYZ|PEK|HRB|LDS|
LDS|YQX,|YQX|YHZ|YYZ|PEK|HRB|LDS|
LDS|YQY,|YQY|YYZ|PEK|HRB|LDS|
LDS|YSJ,|YSJ|YYZ|PEK|HRB|LDS|
LDS|YYG,|YYG|YYZ|PEK|HRB|LDS|
LDS|LAX,|LAX|ICN|HRB|LDS|
LDS|DCA,|DCA|YYZ|PEK|HRB|LDS|
LDS|LGA,|LGA|YYZ|PEK|HRB|LDS|
LDS|YZV,|YZV|YQB|YYZ|PEK|HRB|LDS|
LDS|YWL,|YWL|YVR|ICN|HRB|LDS|
LDS|AZS,|AZS|YYZ|PEK|HRB|LDS|
LDS|BDL,|BDL|YYZ|PEK|HRB|LDS|
LDS|CCC,|CCC|YYZ|PEK|HRB|LDS|
LDS|CDG,|CDG|IST|PEK|HRB|LDS|
LDS|CUN,|CUN|YVR|ICN|HRB|LDS|
LDS|CZM,|CZM|IAH|YVR|ICN|HRB|LDS|
LDS|FDF,|FDF|YUL|YYZ|PEK|HRB|LDS|
LDS|FLL,|FLL|ORD|PEK|HRB|LDS|
LDS|GVA,|GVA|IST|PEK|HRB|LDS|
LDS|HOG,|HOG|YYZ|PEK|HRB|LDS|
LDS|LAS,|LAS|SFO|ICN|HRB|LDS|
LDS|MBJ,|MBJ|ATL|ORD|PEK|HRB|LDS|
LDS|MCO,|MCO|ORD|PEK|HRB|LDS|
LDS|MUC,|MUC|IST|PEK|HRB|LDS|
LDS|PAP,|PAP|YUL|YYZ|PEK|HRB|LDS|
LDS|PTP,|PTP|YUL|YYZ|PEK|HRB|LDS|
LDS|PUJ,|PUJ|EWR|PEK|HRB|LDS|
LDS|SNU,|SNU|YYZ|PEK|HRB|LDS|
LDS|VRA,|VRA|YYZ|PEK|HRB|LDS|
LDS|YBC,|YBC|YUL|YYZ|PEK|HRB|LDS|
LDS|YBG,|YBG|YUL|YYZ|PEK|HRB|LDS|
LDS|YTZ,|YTZ|YUL|YYZ|PEK|HRB|LDS|
LDS|YUY,|YUY|YUL|YYZ|PEK|HRB|LDS|
LDS|YVO,|YVO|YUL|YYZ|PEK|HRB|LDS|
LDS|ZBF,|ZBF|YUL|YYZ|PEK|HRB|LDS|
LDS|ZRH,|ZRH|IST|PEK|HRB|LDS|
LDS|ZSA,|ZSA|YUL|YYZ|PEK|HRB|LDS|
LDS|AKL,|AKL|CAN|HRB|LDS|
LDS|HKG,|HKG|CAN|HRB|LDS|
LDS|HND,|HND|HNL|NRT|ICN|HRB|LDS|
LDS|HNL,|HNL|NRT|ICN|HRB|LDS|
LDS|MEX,|MEX|SFO|ICN|HRB|LDS|
LDS|OGG,|OGG|HNL|NRT|ICN|HRB|LDS|
LDS|PDX,|PDX|SEA|ICN|HRB|LDS|
LDS|PEK,|PEK|HRB|LDS|
LDS|PVG,|PVG|HRB|LDS|
LDS|PVR,|PVR|LAX|ICN|HRB|LDS|
LDS|SEA,|SEA|ICN|HRB|LDS|
LDS|SYD,|SYD|ICN|HRB|LDS|
LDS|YBL,|YBL|YVR|ICN|HRB|LDS|
LDS|YCD,|YCD|YVR|ICN|HRB|LDS|
LDS|YCG,|YCG|YVR|ICN|HRB|LDS|
LDS|YKA,|YKA|YVR|ICN|HRB|LDS|
LDS|YPR,|YPR|YVR|ICN|HRB|LDS|
LDS|YQZ,|YQZ|YVR|ICN|HRB|LDS|
LDS|YXC,|YXC|YVR|ICN|HRB|LDS|
LDS|YXJ,|YXJ|YVR|ICN|HRB|LDS|
LDS|YXS,|YXS|YVR|ICN|HRB|LDS|
LDS|YXT,|YXT|YVR|ICN|HRB|LDS|
LDS|YXY,|YXY|YVR|ICN|HRB|LDS|
LDS|YYD,|YYD|YVR|ICN|HRB|LDS|
LDS|YYF,|YYF|YVR|ICN|HRB|LDS|
LDS|YZP,|YZP|YVR|ICN|HRB|LDS|
LDS|YQT,|YQT|YWG|YVR|ICN|HRB|LDS|
LDS|SJD,|SJD|LAX|ICN|HRB|LDS|
LDS|YQF,|YQF|YYC|YVR|ICN|HRB|LDS|
LDS|YQL,|YQL|YYC|YVR|ICN|HRB|LDS|
LDS|YXH,|YXH|YYC|YVR|ICN|HRB|LDS|
LDS|YWK,|YWK|YZV|YQB|YYZ|PEK|HRB|LDS|
LDS|ANU,|ANU|EWR|PEK|HRB|LDS|
LDS|AUA,|AUA|EWR|PEK|HRB|LDS|
LDS|AUH,|AUH|IST|PEK|HRB|LDS|
LDS|BCN,|BCN|IST|PEK|HRB|LDS|
LDS|BDA,|BDA|EWR|PEK|HRB|LDS|
LDS|BGI,|BGI|YYZ|PEK|HRB|LDS|
LDS|BNA,|BNA|ORD|PEK|HRB|LDS|
LDS|BOG,|BOG|IAH|YVR|ICN|HRB|LDS|
LDS|BWI,|BWI|YYZ|PEK|HRB|LDS|
LDS|CLE,|CLE|YYZ|PEK|HRB|LDS|
LDS|CLT,|CLT|YYZ|PEK|HRB|LDS|
LDS|CMH,|CMH|ORD|PEK|HRB|LDS|
LDS|CVG,|CVG|ORD|PEK|HRB|LDS|
LDS|DFW,|DFW|YVR|ICN|HRB|LDS|
LDS|DTW,|DTW|PEK|HRB|LDS|
LDS|DUB,|DUB|IST|PEK|HRB|LDS|
LDS|FCO,|FCO|IST|PEK|HRB|LDS|
LDS|GCM,|GCM|IAH|YVR|ICN|HRB|LDS|
LDS|GGT,|GGT|YYZ|PEK|HRB|LDS|
LDS|GND,|GND|YYZ|PEK|HRB|LDS|
LDS|GRU,|GRU|IST|PEK|HRB|LDS|
LDS|HAV,|HAV|YYZ|PEK|HRB|LDS|
LDS|IND,|IND|ORD|PEK|HRB|LDS|
LDS|JFK,|JFK|PEK|HRB|LDS|
LDS|KIN,|KIN|YYZ|PEK|HRB|LDS|
LDS|LIM,|LIM|IAH|YVR|ICN|HRB|LDS|
LDS|LIR,|LIR|IAH|YVR|ICN|HRB|LDS|
LDS|MCI,|MCI|DEN|YVR|ICN|HRB|LDS|
LDS|MDT,|MDT|YYZ|PEK|HRB|LDS|
LDS|MIA,|MIA|ORD|PEK|HRB|LDS|
LDS|MKE,|MKE|ORD|PEK|HRB|LDS|
LDS|MSP,|MSP|DEN|YVR|ICN|HRB|LDS|
LDS|NAS,|NAS|YYZ|PEK|HRB|LDS|
LDS|PHL,|PHL|YYZ|PEK|HRB|LDS|
LDS|PHX,|PHX|SFO|ICN|HRB|LDS|
LDS|PIT,|PIT|YYZ|PEK|HRB|LDS|
LDS|PLS,|PLS|EWR|PEK|HRB|LDS|
LDS|POP,|POP|EWR|PEK|HRB|LDS|
LDS|RDU,|RDU|YYZ|PEK|HRB|LDS|
LDS|ROC,|ROC|YYZ|PEK|HRB|LDS|
LDS|RSW,|RSW|ORD|PEK|HRB|LDS|
LDS|SAN,|SAN|LAX|ICN|HRB|LDS|
LDS|SJO,|SJO|IAH|YVR|ICN|HRB|LDS|
LDS|STL,|STL|ORD|PEK|HRB|LDS|
LDS|SYR,|SYR|YYZ|PEK|HRB|LDS|
LDS|TLV,|TLV|IST|PEK|HRB|LDS|
LDS|TPA,|TPA|ORD|PEK|HRB|LDS|
LDS|UVF,|UVF|EWR|PEK|HRB|LDS|
LDS|VIE,|VIE|IST|PEK|HRB|LDS|
LDS|YAM,|YAM|YYZ|PEK|HRB|LDS|
LDS|YGK,|YGK|YYZ|PEK|HRB|LDS|
LDS|YQG,|YQG|YYZ|PEK|HRB|LDS|
LDS|YSB,|YSB|YYZ|PEK|HRB|LDS|
LDS|YTS,|YTS|YYZ|PEK|HRB|LDS|
LDS|YYB,|YYB|YYZ|PEK|HRB|LDS|
LDS|YZR,|YZR|YYZ|PEK|HRB|LDS|
LDS|CAN,|CAN|HRB|LDS|
LDS|URC,|URC|PEK|HRB|LDS|
LDS|CTU,|CTU|PEK|HRB|LDS|
LDS|HGH,|HGH|HRB|LDS|
LDS|XMN,|XMN|YIW|HRB|LDS|
LDS|CGO,|CGO|HRB|LDS|
LDS|CSX,|CSX|HRB|LDS|
LDS|SHE,|SHE|ICN|HRB|LDS|
LDS|SJW,|SJW|HRB|LDS|
LDS|WUH,|WUH|TNA|HRB|LDS|
LDS|SZX,|SZX|HRB|LDS|
LDS|CKG,|CKG|TSN|HRB|LDS|
LDS|KMG,|KMG|CKG|TSN|HRB|LDS|
LDS|FOC,|FOC|HRB|LDS|
LDS|NNG,|NNG|KWL|TNA|HRB|LDS|
LDS|SWA,|SWA|NKG|HRB|LDS|
LDS|ACX,|ACX|CAN|HRB|LDS|
LDS|AQG,|AQG|CAN|HRB|LDS|
LDS|AVA,|AVA|CAN|HRB|LDS|
LDS|BFJ,|BFJ|CAN|HRB|LDS|
LDS|BHY,|BHY|CSX|HRB|LDS|
LDS|BNE,|BNE|CAN|HRB|LDS|
LDS|CGD,|CGD|PEK|HRB|LDS|
LDS|CGK,|CGK|XMN|YIW|HRB|LDS|
