LEX|BRU,|BRU|ORD|LEX|
LEX|OUA,|OUA|BRU|ORD|LEX|
LEX|JED,|JED|FRA|ORD|LEX|
LEX|CPH,|CPH|YYZ|ORD|LEX|
LEX|YYZ,|YYZ|ORD|LEX|
LEX|DEN,|DEN|ORD|LEX|
LEX|YUL,|YUL|ORD|LEX|
LEX|NBO,|NBO|ZRH|ORD|LEX|
LEX|ICN,|ICN|YVR|ORD|LEX|
LEX|NRT,|NRT|ORD|LEX|
LEX|YHZ,|YHZ|ORD|LEX|
LEX|YOW,|YOW|ORD|LEX|
LEX|BJM,|BJM|BRU|ORD|LEX|
LEX|COO,|COO|BRU|ORD|LEX|
LEX|DKR,|DKR|IAD|ORD|LEX|
LEX|DLA,|DLA|BRU|ORD|LEX|
LEX|KGL,|KGL|BRU|ORD|LEX|
LEX|LAD,|LAD|BRU|ORD|LEX|
LEX|ABJ,|ABJ|BRU|ORD|LEX|
LEX|AMS,|AMS|ORD|LEX|
LEX|OSL,|OSL|EWR|ORD|LEX|
LEX|VNO,|VNO|CPH|YYZ|ORD|LEX|
LEX|WAW,|WAW|YYZ|ORD|LEX|
LEX|YYC,|YYC|ORD|LEX|
LEX|ATL,|ATL|ORD|LEX|
LEX|MSY,|MSY|IAH|LEX|
LEX|YEG,|YEG|ORD|LEX|
LEX|YMM,|YMM|YEG|ORD|LEX|
LEX|YQR,|YQR|ORD|LEX|
LEX|YVR,|YVR|ORD|LEX|
LEX|YWG,|YWG|ORD|LEX|
LEX|YXE,|YXE|ORD|LEX|
LEX|CKY,|CKY|DKR|IAD|ORD|LEX|
LEX|FIH,|FIH|DLA|BRU|ORD|LEX|
LEX|SCL,|SCL|YYZ|ORD|LEX|
LEX|LCA,|LCA|FRA|ORD|LEX|
LEX|NAP,|NAP|FRA|ORD|LEX|
LEX|VLC,|VLC|FRA|ORD|LEX|
LEX|BKK,|BKK|CGO|PEK|ORD|LEX|
LEX|ADD,|ADD|IST|ORD|LEX|
LEX|FRA,|FRA|ORD|LEX|
LEX|IST,|IST|ORD|LEX|
LEX|EBB,|EBB|KGL|BRU|ORD|LEX|
LEX|YLW,|YLW|YYC|ORD|LEX|
LEX|YYT,|YYT|YOW|ORD|LEX|
LEX|GUA,|GUA|IAH|LEX|
LEX|EWR,|EWR|ORD|LEX|
LEX|IAD,|IAD|ORD|LEX|
LEX|IAH,|IAH|LEX|
LEX|ORD,|ORD|LEX|
LEX|SOF,|SOF|MUC|ORD|LEX|
LEX|YQB,|YQB|ORD|LEX|
LEX|YXU,|YXU|ORD|LEX|
LEX|EZE,|EZE|IAH|LEX|
LEX|YYJ,|YYJ|YVR|ORD|LEX|
LEX|YYY,|YYY|YUL|ORD|LEX|
LEX|YQQ,|YQQ|YYC|ORD|LEX|
LEX|YYR,|YYR|YWK|YZV|YQB|ORD|LEX|
LEX|LHR,|LHR|ORD|LEX|
LEX|SFO,|SFO|ORD|LEX|
LEX|YQU,|YQU|YEG|ORD|LEX|
LEX|YZF,|YZF|YEG|ORD|LEX|
LEX|YGR,|YGR|YGP|YQB|ORD|LEX|
LEX|YGP,|YGP|YQB|ORD|LEX|
LEX|BOS,|BOS|ORD|LEX|
LEX|YDF,|YDF|YYZ|ORD|LEX|
LEX|YFC,|YFC|YYZ|ORD|LEX|
LEX|YQM,|YQM|YUL|ORD|LEX|
LEX|YQX,|YQX|YHZ|ORD|LEX|
LEX|YQY,|YQY|YYZ|ORD|LEX|
LEX|YSJ,|YSJ|YYZ|ORD|LEX|
LEX|YYG,|YYG|YUL|ORD|LEX|
LEX|LAX,|LAX|ORD|LEX|
LEX|DCA,|DCA|ORD|LEX|
LEX|LGA,|LGA|ORD|LEX|
LEX|YZV,|YZV|YQB|ORD|LEX|
LEX|YWL,|YWL|YVR|ORD|LEX|
LEX|AZS,|AZS|YYZ|ORD|LEX|
LEX|BDL,|BDL|ORD|LEX|
LEX|CCC,|CCC|YYZ|ORD|LEX|
LEX|CDG,|CDG|ORD|LEX|
LEX|CUN,|CUN|IAH|LEX|
LEX|CZM,|CZM|IAH|LEX|
LEX|FDF,|FDF|YUL|ORD|LEX|
LEX|FLL,|FLL|ORD|LEX|
LEX|GVA,|GVA|YUL|ORD|LEX|
LEX|HOG,|HOG|YYZ|ORD|LEX|
LEX|LAS,|LAS|ORD|LEX|
LEX|MBJ,|MBJ|ATL|ORD|LEX|
LEX|MCO,|MCO|ORD|LEX|
LEX|MUC,|MUC|ORD|LEX|
LEX|PAP,|PAP|YUL|ORD|LEX|
LEX|PTP,|PTP|YUL|ORD|LEX|
LEX|PUJ,|PUJ|ORD|LEX|
LEX|SNU,|SNU|YYZ|ORD|LEX|
LEX|VRA,|VRA|YYZ|ORD|LEX|
LEX|YBC,|YBC|YUL|ORD|LEX|
LEX|YBG,|YBG|YUL|ORD|LEX|
LEX|YTZ,|YTZ|YUL|ORD|LEX|
LEX|YUY,|YUY|YUL|ORD|LEX|
LEX|YVO,|YVO|YUL|ORD|LEX|
LEX|ZBF,|ZBF|YUL|ORD|LEX|
LEX|ZRH,|ZRH|ORD|LEX|
LEX|ZSA,|ZSA|YUL|ORD|LEX|
LEX|AKL,|AKL|LAX|ORD|LEX|
LEX|HKG,|HKG|ORD|LEX|
LEX|HND,|HND|YVR|ORD|LEX|
LEX|HNL,|HNL|ORD|LEX|
LEX|MEX,|MEX|IAH|LEX|
LEX|OGG,|OGG|ORD|LEX|
LEX|PDX,|PDX|ORD|LEX|
LEX|PEK,|PEK|ORD|LEX|
LEX|PVG,|PVG|ORD|LEX|
LEX|PVR,|PVR|IAH|LEX|
LEX|SEA,|SEA|ORD|LEX|
LEX|SYD,|SYD|LAX|ORD|LEX|
LEX|YBL,|YBL|YVR|ORD|LEX|
LEX|YCD,|YCD|YVR|ORD|LEX|
LEX|YCG,|YCG|YYC|ORD|LEX|
LEX|YKA,|YKA|YYC|ORD|LEX|
LEX|YPR,|YPR|YVR|ORD|LEX|
LEX|YQZ,|YQZ|YVR|ORD|LEX|
LEX|YXC,|YXC|YYC|ORD|LEX|
LEX|YXJ,|YXJ|YYC|ORD|LEX|
LEX|YXS,|YXS|YYC|ORD|LEX|
LEX|YXT,|YXT|YVR|ORD|LEX|
LEX|YXY,|YXY|YVR|ORD|LEX|
LEX|YYD,|YYD|YVR|ORD|LEX|
LEX|YYF,|YYF|YVR|ORD|LEX|
LEX|YZP,|YZP|YVR|ORD|LEX|
LEX|YQT,|YQT|YYZ|ORD|LEX|
LEX|SJD,|SJD|IAH|LEX|
LEX|YQF,|YQF|YYC|ORD|LEX|
LEX|YQL,|YQL|YYC|ORD|LEX|
LEX|YXH,|YXH|YYC|ORD|LEX|
LEX|YWK,|YWK|YZV|YQB|ORD|LEX|
LEX|ANU,|ANU|EWR|ORD|LEX|
LEX|AUA,|AUA|ATL|ORD|LEX|
LEX|AUH,|AUH|YYZ|ORD|LEX|
LEX|BCN,|BCN|YYZ|ORD|LEX|
LEX|BDA,|BDA|EWR|ORD|LEX|
LEX|BGI,|BGI|YYZ|ORD|LEX|
LEX|BNA,|BNA|ORD|LEX|
LEX|BOG,|BOG|MIA|ORD|LEX|
LEX|BWI,|BWI|ORD|LEX|
LEX|CLE,|CLE|ORD|LEX|
LEX|CLT,|CLT|ORD|LEX|
LEX|CMH,|CMH|ORD|LEX|
LEX|CVG,|CVG|ORD|LEX|
LEX|DFW,|DFW|IAH|LEX|
LEX|DTW,|DTW|ORD|LEX|
LEX|DUB,|DUB|ORD|LEX|
LEX|FCO,|FCO|YYZ|ORD|LEX|
LEX|GCM,|GCM|IAH|LEX|
LEX|GGT,|GGT|FLL|ORD|LEX|
LEX|GND,|GND|YYZ|ORD|LEX|
LEX|GRU,|GRU|ORD|LEX|
LEX|HAV,|HAV|YYZ|ORD|LEX|
LEX|IND,|IND|ORD|LEX|
LEX|JFK,|JFK|YYZ|ORD|LEX|
LEX|KIN,|KIN|YYZ|ORD|LEX|
LEX|LIM,|LIM|IAH|LEX|
LEX|LIR,|LIR|IAH|LEX|
LEX|MCI,|MCI|ORD|LEX|
LEX|MDT,|MDT|ORD|LEX|
LEX|MIA,|MIA|ORD|LEX|
LEX|MKE,|MKE|ORD|LEX|
LEX|MSP,|MSP|ORD|LEX|
LEX|NAS,|NAS|ORD|LEX|
LEX|PHL,|PHL|ORD|LEX|
LEX|PHX,|PHX|ORD|LEX|
LEX|PIT,|PIT|ORD|LEX|
LEX|PLS,|PLS|YYZ|ORD|LEX|
LEX|POP,|POP|YYZ|ORD|LEX|
LEX|RDU,|RDU|ORD|LEX|
LEX|ROC,|ROC|ORD|LEX|
LEX|RSW,|RSW|ORD|LEX|
LEX|SAN,|SAN|ORD|LEX|
LEX|SJO,|SJO|IAH|LEX|
LEX|STL,|STL|ORD|LEX|
LEX|SYR,|SYR|ORD|LEX|
LEX|TLV,|TLV|IST|ORD|LEX|
LEX|TPA,|TPA|ORD|LEX|
LEX|UVF,|UVF|EWR|ORD|LEX|
LEX|VIE,|VIE|ORD|LEX|
LEX|YAM,|YAM|YYZ|ORD|LEX|
LEX|YGK,|YGK|YYZ|ORD|LEX|
LEX|YQG,|YQG|YYZ|ORD|LEX|
LEX|YSB,|YSB|YYZ|ORD|LEX|
LEX|YTS,|YTS|YYZ|ORD|LEX|
LEX|YYB,|YYB|YYZ|ORD|LEX|
LEX|YZR,|YZR|YYZ|ORD|LEX|
LEX|CAN,|CAN|PEK|ORD|LEX|
LEX|URC,|URC|TSE|FRA|ORD|LEX|
LEX|CTU,|CTU|PEK|ORD|LEX|
LEX|HGH,|HGH|PEK|ORD|LEX|
LEX|XMN,|XMN|PEK|ORD|LEX|
LEX|CGO,|CGO|PEK|ORD|LEX|
LEX|CSX,|CSX|PEK|ORD|LEX|
LEX|SHE,|SHE|PEK|ORD|LEX|
LEX|SJW,|SJW|DLC|PEK|ORD|LEX|
LEX|WUH,|WUH|PEK|ORD|LEX|
LEX|SZX,|SZX|PEK|ORD|LEX|
LEX|CKG,|CKG|PEK|ORD|LEX|
LEX|KMG,|KMG|PEK|ORD|LEX|
LEX|FOC,|FOC|PEK|ORD|LEX|
LEX|NNG,|NNG|PEK|ORD|LEX|
LEX|SWA,|SWA|PEK|ORD|LEX|
LEX|ACX,|ACX|CAN|PEK|ORD|LEX|
LEX|AQG,|AQG|CAN|PEK|ORD|LEX|
LEX|AVA,|AVA|CAN|PEK|ORD|LEX|
LEX|BFJ,|BFJ|CAN|PEK|ORD|LEX|
LEX|BHY,|BHY|CGO|PEK|ORD|LEX|
LEX|BNE,|BNE|CAN|PEK|ORD|LEX|
LEX|CGD,|CGD|PEK|ORD|LEX|
LEX|CGK,|CGK|CAN|PEK|ORD|LEX|
LEX|CGQ,|CGQ|PEK|ORD|LEX|
LEX|CIH,|CIH|PEK|ORD|LEX|
LEX|CNX,|CNX|CAN|PEK|ORD|LEX|
LEX|CZX,|CZX|SHE|PEK|ORD|LEX|
LEX|DAC,|DAC|IST|ORD|LEX|
LEX|DAD,|DAD|CAN|PEK|ORD|LEX|
LEX|DEL,|DEL|EWR|ORD|LEX|
LEX|DIG,|DIG|KMG|PEK|ORD|LEX|
LEX|DLC,|DLC|PEK|ORD|LEX|
LEX|DPS,|DPS|SZX|PEK|ORD|LEX|
LEX|DXB,|DXB|IST|ORD|LEX|
LEX|DYG,|DYG|PEK|ORD|LEX|
LEX|FUG,|FUG|CAN|PEK|ORD|LEX|
LEX|FUK,|FUK|ICN|YVR|ORD|LEX|
LEX|HAK,|HAK|PEK|ORD|LEX|
LEX|HAN,|HAN|PEK|ORD|LEX|
LEX|HDG,|HDG|CAN|PEK|ORD|LEX|
LEX|HET,|HET|DLC|PEK|ORD|LEX|
LEX|HFE,|HFE|XIY|PEK|ORD|LEX|
LEX|HJJ,|HJJ|CSX|PEK|ORD|LEX|
LEX|HKT,|HKT|KWE|PEK|ORD|LEX|
LEX|HRB,|HRB|PEK|ORD|LEX|
LEX|HZH,|HZH|CAN|PEK|ORD|LEX|
LEX|JIU,|JIU|CAN|PEK|ORD|LEX|
LEX|JJN,|JJN|PEK|ORD|LEX|
LEX|JNG,|JNG|CAN|PEK|ORD|LEX|
LEX|KHN,|KHN|DLC|PEK|ORD|LEX|
LEX|KIX,|KIX|SFO|ORD|LEX|
LEX|KOW,|KOW|PEK|ORD|LEX|
LEX|KTM,|KTM|IST|ORD|LEX|
LEX|KUL,|KUL|CAN|PEK|ORD|LEX|
LEX|KWE,|KWE|PEK|ORD|LEX|
LEX|KWL,|KWL|PEK|ORD|LEX|
LEX|LHW,|LHW|CGO|PEK|ORD|LEX|
LEX|LYA,|LYA|KHN|DLC|PEK|ORD|LEX|
LEX|LYG,|LYG|HSN|PEK|ORD|LEX|
LEX|LZH,|LZH|CAN|PEK|ORD|LEX|
LEX|MEL,|MEL|SYD|LAX|ORD|LEX|
LEX|MIG,|MIG|CSX|PEK|ORD|LEX|
LEX|MLE,|MLE|IST|ORD|LEX|
LEX|MNL,|MNL|XMN|PEK|ORD|LEX|
LEX|MXZ,|MXZ|CAN|PEK|ORD|LEX|
LEX|NAO,|NAO|PEK|ORD|LEX|
LEX|NGB,|NGB|PEK|ORD|LEX|
LEX|NKG,|NKG|DLC|PEK|ORD|LEX|
LEX|NNY,|NNY|CGO|PEK|ORD|LEX|
LEX|PEN,|PEN|CAN|PEK|ORD|LEX|
LEX|PER,|PER|CAN|PEK|ORD|LEX|
LEX|PNH,|PNH|CAN|PEK|ORD|LEX|
LEX|REP,|REP|CAN|PEK|ORD|LEX|
LEX|RGN,|RGN|CAN|PEK|ORD|LEX|
LEX|SGN,|SGN|CAN|PEK|ORD|LEX|
LEX|SHA,|SHA|PEK|ORD|LEX|
LEX|SIN,|SIN|HKG|ORD|LEX|
LEX|SVO,|SVO|URC|TSE|FRA|ORD|LEX|
LEX|SYX,|SYX|PEK|ORD|LEX|
LEX|TAO,|TAO|DLC|PEK|ORD|LEX|
LEX|TEN,|TEN|PEK|ORD|LEX|
LEX|TNA,|TNA|DLC|PEK|ORD|LEX|
LEX|TPE,|TPE|PVG|ORD|LEX|
LEX|TSN,|TSN|DLC|PEK|ORD|LEX|
LEX|TXN,|TXN|DLC|PEK|ORD|LEX|
LEX|TYN,|TYN|DAT|CIH|PEK|ORD|LEX|
LEX|WNZ,|WNZ|CGO|PEK|ORD|LEX|
LEX|WUX,|WUX|CAN|PEK|ORD|LEX|
LEX|XFN,|XFN|XMN|PEK|ORD|LEX|
LEX|XIY,|XIY|PEK|ORD|LEX|
LEX|XUZ,|XUZ|LYG|HSN|PEK|ORD|LEX|
LEX|YIH,|YIH|CKG|PEK|ORD|LEX|
LEX|YIW,|YIW|PEK|ORD|LEX|
LEX|YNT,|YNT|SHE|PEK|ORD|LEX|
LEX|YNZ,|YNZ|DLC|PEK|ORD|LEX|
LEX|YTY,|YTY|DLC|PEK|ORD|LEX|
LEX|ZHA,|ZHA|CAN|PEK|ORD|LEX|
LEX|ZYI,|ZYI|PEK|ORD|LEX|
LEX|BAV,|BAV|CGO|PEK|ORD|LEX|
LEX|CJU,|CJU|DLC|PEK|ORD|LEX|
LEX|DSN,|DSN|CGO|PEK|ORD|LEX|
LEX|HMI,|HMI|CGO|PEK|ORD|LEX|
LEX|INC,|INC|PEK|ORD|LEX|
LEX|KHH,|KHH|CGO|PEK|ORD|LEX|
LEX|UYN,|UYN|CGO|PEK|ORD|LEX|
LEX|XNN,|XNN|PEK|ORD|LEX|
LEX|ZUH,|ZUH|PEK|ORD|LEX|
LEX|YNJ,|YNJ|PEK|ORD|LEX|
LEX|DAT,|DAT|CIH|PEK|ORD|LEX|
LEX|JHG,|JHG|CKG|PEK|ORD|LEX|
LEX|LJG,|LJG|CKG|PEK|ORD|LEX|
LEX|LXA,|LXA|XIY|PEK|ORD|LEX|
LEX|YCU,|YCU|CSX|PEK|ORD|LEX|
LEX|LZO,|LZO|CSX|PEK|ORD|LEX|
LEX|MDG,|MDG|ICN|YVR|ORD|LEX|
LEX|NGO,|NGO|ICN|YVR|ORD|LEX|
LEX|TOY,|TOY|DLC|PEK|ORD|LEX|
LEX|MFM,|MFM|XMN|PEK|ORD|LEX|
LEX|TGO,|TGO|HET|DLC|PEK|ORD|LEX|
LEX|XIL,|XIL|HET|DLC|PEK|ORD|LEX|
LEX|HEK,|HEK|HRB|PEK|ORD|LEX|
LEX|KIJ,|KIJ|HRB|PEK|ORD|LEX|
LEX|LDS,|LDS|HRB|PEK|ORD|LEX|
LEX|OHE,|OHE|HRB|PEK|ORD|LEX|
LEX|HSN,|HSN|PEK|ORD|LEX|
LEX|DLU,|DLU|KMG|PEK|ORD|LEX|
LEX|SYM,|SYM|KMG|PEK|ORD|LEX|
LEX|ZAT,|ZAT|KMG|PEK|ORD|LEX|
LEX|LUN,|LUN|NBO|ZRH|ORD|LEX|
LEX|AOG,|AOG|PEK|ORD|LEX|
