LFW|BRU,|BRU|LFW|
LFW|OUA,|OUA|BRU|LFW|
LFW|JED,|JED|IST|BRU|LFW|
LFW|CPH,|CPH|IST|BRU|LFW|
LFW|YYZ,|YYZ|BRU|LFW|
LFW|DEN,|DEN|ORD|BRU|LFW|
LFW|YUL,|YUL|BRU|LFW|
LFW|NBO,|NBO|IST|BRU|LFW|
LFW|ICN,|ICN|IST|BRU|LFW|
LFW|NRT,|NRT|IST|BRU|LFW|
LFW|YHZ,|YHZ|YUL|BRU|LFW|
LFW|YOW,|YOW|YUL|BRU|LFW|
LFW|BJM,|BJM|BRU|LFW|
LFW|COO,|COO|BRU|LFW|
LFW|DKR,|DKR|BRU|LFW|
LFW|DLA,|DLA|BRU|LFW|
LFW|KGL,|KGL|BRU|LFW|
LFW|LAD,|LAD|BRU|LFW|
LFW|ABJ,|ABJ|BRU|LFW|
LFW|AMS,|AMS|IST|BRU|LFW|
LFW|OSL,|OSL|IST|BRU|LFW|
LFW|VNO,|VNO|IST|BRU|LFW|
LFW|WAW,|WAW|IST|BRU|LFW|
LFW|YYC,|YYC|YUL|BRU|LFW|
LFW|ATL,|ATL|IAD|BRU|LFW|
LFW|MSY,|MSY|IAD|BRU|LFW|
LFW|YEG,|YEG|YUL|BRU|LFW|
LFW|YMM,|YMM|YYZ|BRU|LFW|
LFW|YQR,|YQR|YWG|YUL|BRU|LFW|
LFW|YVR,|YVR|YUL|BRU|LFW|
LFW|YWG,|YWG|YUL|BRU|LFW|
LFW|YXE,|YXE|YWG|YUL|BRU|LFW|
LFW|CKY,|CKY|DKR|BRU|LFW|
LFW|FIH,|FIH|DLA|BRU|LFW|
LFW|SCL,|SCL|YYZ|BRU|LFW|
LFW|LCA,|LCA|FRA|IST|BRU|LFW|
LFW|NAP,|NAP|IST|BRU|LFW|
LFW|VLC,|VLC|IST|BRU|LFW|
LFW|BKK,|BKK|IST|BRU|LFW|
LFW|ADD,|ADD|IST|BRU|LFW|
LFW|FRA,|FRA|IST|BRU|LFW|
LFW|IST,|IST|BRU|LFW|
LFW|EBB,|EBB|KGL|BRU|LFW|
LFW|YLW,|YLW|YYC|YUL|BRU|LFW|
LFW|YYT,|YYT|YUL|BRU|LFW|
LFW|GUA,|GUA|EWR|BRU|LFW|
LFW|EWR,|EWR|BRU|LFW|
LFW|IAD,|IAD|BRU|LFW|
LFW|IAH,|IAH|YUL|BRU|LFW|
LFW|ORD,|ORD|BRU|LFW|
LFW|SOF,|SOF|IST|BRU|LFW|
LFW|YQB,|YQB|YUL|BRU|LFW|
LFW|YXU,|YXU|YYZ|BRU|LFW|
LFW|EZE,|EZE|GRU|IST|BRU|LFW|
LFW|YYJ,|YYJ|YYC|YUL|BRU|LFW|
LFW|YYY,|YYY|YUL|BRU|LFW|
LFW|YQQ,|YQQ|YYC|YUL|BRU|LFW|
LFW|YYR,|YYR|YWK|YZV|YUL|BRU|LFW|
LFW|LHR,|LHR|IST|BRU|LFW|
LFW|SFO,|SFO|YUL|BRU|LFW|
LFW|YQU,|YQU|YEG|YUL|BRU|LFW|
LFW|YZF,|YZF|YEG|YUL|BRU|LFW|
LFW|YGR,|YGR|YGP|YQB|YUL|BRU|LFW|
LFW|YGP,|YGP|YQB|YUL|BRU|LFW|
LFW|BOS,|BOS|YUL|BRU|LFW|
LFW|YDF,|YDF|YHZ|YUL|BRU|LFW|
LFW|YFC,|YFC|YUL|BRU|LFW|
LFW|YQM,|YQM|YUL|BRU|LFW|
LFW|YQX,|YQX|YHZ|YUL|BRU|LFW|
LFW|YQY,|YQY|YHZ|YUL|BRU|LFW|
LFW|YSJ,|YSJ|YUL|BRU|LFW|
LFW|YYG,|YYG|YUL|BRU|LFW|
LFW|LAX,|LAX|ORD|BRU|LFW|
LFW|DCA,|DCA|EWR|BRU|LFW|
LFW|LGA,|LGA|YUL|BRU|LFW|
LFW|YZV,|YZV|YUL|BRU|LFW|
LFW|YWL,|YWL|YVR|YUL|BRU|LFW|
LFW|AZS,|AZS|YUL|BRU|LFW|
LFW|BDL,|BDL|YUL|BRU|LFW|
LFW|CCC,|CCC|YUL|BRU|LFW|
LFW|CDG,|CDG|IST|BRU|LFW|
LFW|CUN,|CUN|EWR|BRU|LFW|
LFW|CZM,|CZM|YUL|BRU|LFW|
LFW|FDF,|FDF|YUL|BRU|LFW|
LFW|FLL,|FLL|EWR|BRU|LFW|
LFW|GVA,|GVA|IST|BRU|LFW|
LFW|HOG,|HOG|YUL|BRU|LFW|
LFW|LAS,|LAS|ORD|BRU|LFW|
LFW|MBJ,|MBJ|EWR|BRU|LFW|
LFW|MCO,|MCO|EWR|BRU|LFW|
LFW|MUC,|MUC|IST|BRU|LFW|
LFW|PAP,|PAP|YUL|BRU|LFW|
LFW|PTP,|PTP|YUL|BRU|LFW|
LFW|PUJ,|PUJ|EWR|BRU|LFW|
LFW|SNU,|SNU|YUL|BRU|LFW|
LFW|VRA,|VRA|YUL|BRU|LFW|
LFW|YBC,|YBC|YUL|BRU|LFW|
LFW|YBG,|YBG|YUL|BRU|LFW|
LFW|YTZ,|YTZ|YUL|BRU|LFW|
LFW|YUY,|YUY|YUL|BRU|LFW|
LFW|YVO,|YVO|YUL|BRU|LFW|
LFW|ZBF,|ZBF|YUL|BRU|LFW|
LFW|ZRH,|ZRH|IST|BRU|LFW|
LFW|ZSA,|ZSA|YUL|BRU|LFW|
LFW|AKL,|AKL|BKK|IST|BRU|LFW|
LFW|HKG,|HKG|IST|BRU|LFW|
LFW|HND,|HND|YVR|YUL|BRU|LFW|
LFW|HNL,|HNL|SFO|YUL|BRU|LFW|
LFW|MEX,|MEX|IAD|BRU|LFW|
LFW|OGG,|OGG|SFO|YUL|BRU|LFW|
LFW|PDX,|PDX|YYC|YUL|BRU|LFW|
LFW|PEK,|PEK|IST|BRU|LFW|
LFW|PVG,|PVG|IST|BRU|LFW|
LFW|PVR,|PVR|IAH|YUL|BRU|LFW|
LFW|SEA,|SEA|YYZ|BRU|LFW|
LFW|SYD,|SYD|BKK|IST|BRU|LFW|
