LGW|BRU,|BRU|IST|LGW|
LGW|OUA,|OUA|NIM|IST|LGW|
LGW|JED,|JED|IST|LGW|
LGW|CPH,|CPH|IST|LGW|
LGW|YYZ,|YYZ|IST|LGW|
LGW|DEN,|DEN|FRA|IST|LGW|
LGW|YUL,|YUL|FRA|IST|LGW|
LGW|NBO,|NBO|IST|LGW|
LGW|ICN,|ICN|IST|LGW|
LGW|NRT,|NRT|IST|LGW|
LGW|YHZ,|YHZ|LHR|IST|LGW|
LGW|YOW,|YOW|FRA|IST|LGW|
LGW|BJM,|BJM|BRU|IST|LGW|
LGW|COO,|COO|BRU|IST|LGW|
LGW|DKR,|DKR|BRU|IST|LGW|
LGW|DLA,|DLA|IST|LGW|
LGW|KGL,|KGL|IST|LGW|
LGW|LAD,|LAD|BRU|IST|LGW|
LGW|ABJ,|ABJ|OUA|NIM|IST|LGW|
LGW|AMS,|AMS|IST|LGW|
LGW|OSL,|OSL|IST|LGW|
LGW|VNO,|VNO|IST|LGW|
LGW|WAW,|WAW|IST|LGW|
LGW|YYC,|YYC|FRA|IST|LGW|
LGW|ATL,|ATL|FRA|IST|LGW|
LGW|MSY,|MSY|IAD|IST|LGW|
LGW|YEG,|YEG|LHR|IST|LGW|
LGW|YMM,|YMM|YEG|LHR|IST|LGW|
LGW|YQR,|YQR|YEG|LHR|IST|LGW|
LGW|YVR,|YVR|MUC|IST|LGW|
LGW|YWG,|YWG|YUL|FRA|IST|LGW|
LGW|YXE,|YXE|YEG|LHR|IST|LGW|
LGW|CKY,|CKY|DKR|BRU|IST|LGW|
LGW|FIH,|FIH|IST|LGW|
LGW|SCL,|SCL|EZE|GRU|IST|LGW|
LGW|LCA,|LCA|FRA|IST|LGW|
LGW|NAP,|NAP|IST|LGW|
LGW|VLC,|VLC|IST|LGW|
LGW|BKK,|BKK|IST|LGW|
LGW|ADD,|ADD|IST|LGW|
LGW|FRA,|FRA|IST|LGW|
LGW|IST,|IST|LGW|
LGW|EBB,|EBB|KGL|IST|LGW|
LGW|YLW,|YLW|YYC|FRA|IST|LGW|
LGW|YYT,|YYT|LHR|IST|LGW|
LGW|GUA,|GUA|MIA|ZRH|IST|LGW|
LGW|EWR,|EWR|BHX|IST|LGW|
LGW|IAD,|IAD|IST|LGW|
LGW|IAH,|IAH|IST|LGW|
LGW|ORD,|ORD|IST|LGW|
LGW|SOF,|SOF|IST|LGW|
LGW|YQB,|YQB|YUL|FRA|IST|LGW|
LGW|YXU,|YXU|YYZ|IST|LGW|
LGW|EZE,|EZE|GRU|IST|LGW|
LGW|YYJ,|YYJ|YVR|MUC|IST|LGW|
LGW|YYY,|YYY|YUL|FRA|IST|LGW|
LGW|YQQ,|YQQ|YBL|YVR|MUC|IST|LGW|
LGW|YYR,|YYR|YYT|LHR|IST|LGW|
LGW|LHR,|LHR|IST|LGW|
