LIH|BRU,|BRU|YUL|SFO|LIH|
LIH|OUA,|OUA|BRU|YUL|SFO|LIH|
LIH|JED,|JED|FRA|YVR|LIH|
LIH|CPH,|CPH|YYZ|SFO|LIH|
LIH|YYZ,|YYZ|SFO|LIH|
LIH|DEN,|DEN|LIH|
LIH|YUL,|YUL|SFO|LIH|
LIH|NBO,|NBO|CAN|NRT|HNL|LIH|
LIH|ICN,|ICN|NRT|HNL|LIH|
LIH|NRT,|NRT|HNL|LIH|
LIH|YHZ,|YHZ|YUL|SFO|LIH|
LIH|YOW,|YOW|YYZ|SFO|LIH|
LIH|BJM,|BJM|BRU|YUL|SFO|LIH|
LIH|COO,|COO|BRU|YUL|SFO|LIH|
LIH|DKR,|DKR|IAD|SFO|LIH|
LIH|DLA,|DLA|BRU|YUL|SFO|LIH|
LIH|KGL,|KGL|IST|MUC|YVR|LIH|
LIH|LAD,|LAD|BRU|YUL|SFO|LIH|
LIH|ABJ,|ABJ|BRU|YUL|SFO|LIH|
LIH|AMS,|AMS|ORD|SFO|LIH|
LIH|OSL,|OSL|EWR|SFO|LIH|
LIH|VNO,|VNO|FRA|YVR|LIH|
LIH|WAW,|WAW|YYZ|SFO|LIH|
LIH|YYC,|YYC|YVR|LIH|
LIH|ATL,|ATL|LAX|LIH|
LIH|MSY,|MSY|LAX|LIH|
LIH|YEG,|YEG|YVR|LIH|
LIH|YMM,|YMM|YVR|LIH|
LIH|YQR,|YQR|YVR|LIH|
LIH|YVR,|YVR|LIH|
LIH|YWG,|YWG|YVR|LIH|
LIH|YXE,|YXE|YVR|LIH|
LIH|CKY,|CKY|DKR|IAD|SFO|LIH|
LIH|FIH,|FIH|IST|MUC|YVR|LIH|
LIH|SCL,|SCL|EZE|IAH|LAX|LIH|
LIH|LCA,|LCA|FRA|YVR|LIH|
LIH|NAP,|NAP|FRA|YVR|LIH|
LIH|VLC,|VLC|FRA|YVR|LIH|
LIH|BKK,|BKK|NRT|HNL|LIH|
LIH|ADD,|ADD|IST|MUC|YVR|LIH|
LIH|FRA,|FRA|YVR|LIH|
LIH|IST,|IST|MUC|YVR|LIH|
LIH|EBB,|EBB|KGL|IST|MUC|YVR|LIH|
LIH|YLW,|YLW|YVR|LIH|
LIH|YYT,|YYT|YUL|SFO|LIH|
LIH|GUA,|GUA|IAH|LAX|LIH|
LIH|EWR,|EWR|SFO|LIH|
LIH|IAD,|IAD|SFO|LIH|
LIH|IAH,|IAH|LAX|LIH|
LIH|ORD,|ORD|SFO|LIH|
LIH|SOF,|SOF|MUC|YVR|LIH|
LIH|YQB,|YQB|YUL|SFO|LIH|
LIH|YXU,|YXU|ORD|SFO|LIH|
LIH|EZE,|EZE|IAH|LAX|LIH|
LIH|YYJ,|YYJ|YVR|LIH|
LIH|YYY,|YYY|YUL|SFO|LIH|
LIH|YQQ,|YQQ|YBL|YVR|LIH|
LIH|YYR,|YYR|YWK|YZV|YUL|SFO|LIH|
LIH|LHR,|LHR|YVR|LIH|
LIH|SFO,|SFO|LIH|
LIH|YQU,|YQU|YEG|YVR|LIH|
LIH|YZF,|YZF|YEG|YVR|LIH|
LIH|YGR,|YGR|YGP|YQB|YUL|SFO|LIH|
LIH|YGP,|YGP|YQB|YUL|SFO|LIH|
LIH|BOS,|BOS|SFO|LIH|
LIH|YDF,|YDF|YYZ|SFO|LIH|
LIH|YFC,|YFC|YUL|SFO|LIH|
LIH|YQM,|YQM|YUL|SFO|LIH|
LIH|YQX,|YQX|YHZ|YUL|SFO|LIH|
LIH|YQY,|YQY|YHZ|YUL|SFO|LIH|
LIH|YSJ,|YSJ|YUL|SFO|LIH|
LIH|YYG,|YYG|YUL|SFO|LIH|
LIH|LAX,|LAX|LIH|
LIH|DCA,|DCA|SFO|LIH|
LIH|LGA,|LGA|ORD|SFO|LIH|
LIH|YZV,|YZV|YUL|SFO|LIH|
LIH|YWL,|YWL|YVR|LIH|
LIH|AZS,|AZS|YYZ|SFO|LIH|
LIH|BDL,|BDL|ORD|SFO|LIH|
LIH|CCC,|CCC|YYZ|SFO|LIH|
LIH|CDG,|CDG|SFO|LIH|
