LIM|BRU,|BRU|EWR|LIM|
LIM|OUA,|OUA|BRU|EWR|LIM|
LIM|JED,|JED|FRA|MIA|LIM|
LIM|CPH,|CPH|AMS|EWR|LIM|
LIM|YYZ,|YYZ|LIM|
LIM|DEN,|DEN|IAH|LIM|
LIM|YUL,|YUL|EWR|LIM|
LIM|NBO,|NBO|ZRH|MIA|LIM|
LIM|ICN,|ICN|YVR|IAH|LIM|
LIM|NRT,|NRT|IAH|LIM|
LIM|YHZ,|YHZ|EWR|LIM|
LIM|YOW,|YOW|EWR|LIM|
LIM|BJM,|BJM|BRU|EWR|LIM|
LIM|COO,|COO|BRU|EWR|LIM|
LIM|DKR,|DKR|IAD|MIA|LIM|
LIM|DLA,|DLA|BRU|EWR|LIM|
LIM|KGL,|KGL|BRU|EWR|LIM|
LIM|LAD,|LAD|BRU|EWR|LIM|
LIM|ABJ,|ABJ|BRU|EWR|LIM|
LIM|AMS,|AMS|EWR|LIM|
LIM|OSL,|OSL|EWR|LIM|
LIM|VNO,|VNO|CPH|AMS|EWR|LIM|
LIM|WAW,|WAW|CPH|AMS|EWR|LIM|
LIM|YYC,|YYC|IAH|LIM|
LIM|ATL,|ATL|MSY|MIA|LIM|
LIM|MSY,|MSY|MIA|LIM|
LIM|YEG,|YEG|IAH|LIM|
LIM|YMM,|YMM|DEN|IAH|LIM|
LIM|YQR,|YQR|DEN|IAH|LIM|
LIM|YVR,|YVR|IAH|LIM|
LIM|YWG,|YWG|ORD|MIA|LIM|
LIM|YXE,|YXE|DEN|IAH|LIM|
LIM|CKY,|CKY|DKR|IAD|MIA|LIM|
LIM|FIH,|FIH|DLA|BRU|EWR|LIM|
LIM|SCL,|SCL|EZE|IAH|LIM|
LIM|LCA,|LCA|FRA|MIA|LIM|
LIM|NAP,|NAP|FRA|MIA|LIM|
LIM|VLC,|VLC|FRA|MIA|LIM|
LIM|BKK,|BKK|CGO|PEK|IAH|LIM|
LIM|ADD,|ADD|IST|ZRH|MIA|LIM|
LIM|FRA,|FRA|MIA|LIM|
LIM|IST,|IST|ZRH|MIA|LIM|
LIM|EBB,|EBB|KGL|BRU|EWR|LIM|
LIM|YLW,|YLW|YYC|IAH|LIM|
LIM|YYT,|YYT|EWR|LIM|
LIM|GUA,|GUA|MIA|LIM|
LIM|EWR,|EWR|LIM|
LIM|IAD,|IAD|MIA|LIM|
LIM|IAH,|IAH|LIM|
LIM|ORD,|ORD|MIA|LIM|
LIM|SOF,|SOF|MUC|EWR|LIM|
LIM|YQB,|YQB|EWR|LIM|
LIM|YXU,|YXU|YYZ|LIM|
LIM|EZE,|EZE|IAH|LIM|
LIM|YYJ,|YYJ|YVR|IAH|LIM|
LIM|YYY,|YYY|YUL|EWR|LIM|
LIM|YQQ,|YQQ|YBL|YVR|IAH|LIM|
LIM|YYR,|YYR|YHZ|EWR|LIM|
LIM|LHR,|LHR|EWR|LIM|
LIM|SFO,|SFO|IAH|LIM|
