LIS|BRU,|BRU|IST|LIS|
LIS|OUA,|OUA|NIM|IST|LIS|
LIS|JED,|JED|IST|LIS|
LIS|CPH,|CPH|IST|LIS|
LIS|YYZ,|YYZ|EWR|LIS|
LIS|DEN,|DEN|EWR|LIS|
LIS|YUL,|YUL|EWR|LIS|
LIS|NBO,|NBO|IST|LIS|
LIS|ICN,|ICN|IST|LIS|
LIS|NRT,|NRT|IST|LIS|
LIS|YHZ,|YHZ|EWR|LIS|
LIS|YOW,|YOW|EWR|LIS|
LIS|BJM,|BJM|BRU|IST|LIS|
LIS|COO,|COO|BRU|IST|LIS|
LIS|DKR,|DKR|BRU|IST|LIS|
LIS|DLA,|DLA|IST|LIS|
LIS|KGL,|KGL|IST|LIS|
LIS|LAD,|LAD|BRU|IST|LIS|
LIS|ABJ,|ABJ|OUA|NIM|IST|LIS|
LIS|AMS,|AMS|IST|LIS|
LIS|OSL,|OSL|IST|LIS|
LIS|VNO,|VNO|IST|LIS|
LIS|WAW,|WAW|IST|LIS|
LIS|YYC,|YYC|EWR|LIS|
LIS|ATL,|ATL|EWR|LIS|
LIS|MSY,|MSY|EWR|LIS|
LIS|YEG,|YEG|EWR|LIS|
LIS|YMM,|YMM|YYZ|EWR|LIS|
LIS|YQR,|YQR|YYZ|EWR|LIS|
LIS|YVR,|YVR|EWR|LIS|
LIS|YWG,|YWG|YYZ|EWR|LIS|
LIS|YXE,|YXE|YYZ|EWR|LIS|
LIS|CKY,|CKY|DKR|BRU|IST|LIS|
LIS|FIH,|FIH|IST|LIS|
LIS|SCL,|SCL|YYZ|EWR|LIS|
LIS|LCA,|LCA|FRA|IST|LIS|
LIS|NAP,|NAP|IST|LIS|
LIS|VLC,|VLC|IST|LIS|
LIS|BKK,|BKK|IST|LIS|
LIS|ADD,|ADD|IST|LIS|
LIS|FRA,|FRA|IST|LIS|
LIS|IST,|IST|LIS|
LIS|EBB,|EBB|KGL|IST|LIS|
LIS|YLW,|YLW|YYZ|EWR|LIS|
LIS|YYT,|YYT|EWR|LIS|
LIS|GUA,|GUA|MIA|LIS|
LIS|EWR,|EWR|LIS|
LIS|IAD,|IAD|EWR|LIS|
LIS|IAH,|IAH|EWR|LIS|
LIS|ORD,|ORD|EWR|LIS|
LIS|SOF,|SOF|IST|LIS|
LIS|YQB,|YQB|EWR|LIS|
LIS|YXU,|YXU|YYZ|EWR|LIS|
LIS|EZE,|EZE|GRU|EWR|LIS|
LIS|YYJ,|YYJ|YYZ|EWR|LIS|
LIS|YYY,|YYY|YUL|EWR|LIS|
LIS|YQQ,|YQQ|YYC|EWR|LIS|
LIS|YYR,|YYR|YHZ|EWR|LIS|
LIS|LHR,|LHR|IST|LIS|
LIS|SFO,|SFO|EWR|LIS|
LIS|YQU,|YQU|YEG|EWR|LIS|
LIS|YZF,|YZF|YEG|EWR|LIS|
LIS|YGR,|YGR|YGP|YQB|EWR|LIS|
LIS|YGP,|YGP|YQB|EWR|LIS|
LIS|BOS,|BOS|EWR|LIS|
LIS|YDF,|YDF|YHZ|EWR|LIS|
LIS|YFC,|YFC|YUL|EWR|LIS|
LIS|YQM,|YQM|EWR|LIS|
LIS|YQX,|YQX|YHZ|EWR|LIS|
LIS|YQY,|YQY|YHZ|EWR|LIS|
LIS|YSJ,|YSJ|YUL|EWR|LIS|
LIS|YYG,|YYG|YHZ|EWR|LIS|
LIS|LAX,|LAX|EWR|LIS|
LIS|DCA,|DCA|EWR|LIS|
LIS|LGA,|LGA|IAD|EWR|LIS|
LIS|YZV,|YZV|YQB|EWR|LIS|
LIS|YWL,|YWL|YVR|EWR|LIS|
LIS|AZS,|AZS|YYZ|EWR|LIS|
LIS|BDL,|BDL|BWI|EWR|LIS|
LIS|CCC,|CCC|YYZ|EWR|LIS|
LIS|CDG,|CDG|IST|LIS|
LIS|CUN,|CUN|EWR|LIS|
LIS|CZM,|CZM|YUL|EWR|LIS|
LIS|FDF,|FDF|YUL|EWR|LIS|
LIS|FLL,|FLL|EWR|LIS|
LIS|GVA,|GVA|IST|LIS|
LIS|HOG,|HOG|YYZ|EWR|LIS|
LIS|LAS,|LAS|EWR|LIS|
LIS|MBJ,|MBJ|EWR|LIS|
LIS|MCO,|MCO|EWR|LIS|
LIS|MUC,|MUC|IST|LIS|
LIS|PAP,|PAP|YUL|EWR|LIS|
LIS|PTP,|PTP|YUL|EWR|LIS|
LIS|PUJ,|PUJ|EWR|LIS|
LIS|SNU,|SNU|YYZ|EWR|LIS|
LIS|VRA,|VRA|YYZ|EWR|LIS|
LIS|YBC,|YBC|YUL|EWR|LIS|
LIS|YBG,|YBG|YUL|EWR|LIS|
