LIT|BRU,|BRU|ORD|LIT|
LIT|OUA,|OUA|BRU|ORD|LIT|
LIT|JED,|JED|FRA|ORD|LIT|
LIT|CPH,|CPH|YYZ|DTW|MDW|LIT|
LIT|YYZ,|YYZ|DTW|MDW|LIT|
LIT|DEN,|DEN|LIT|
LIT|YUL,|YUL|ORD|LIT|
LIT|NBO,|NBO|ZRH|ORD|LIT|
LIT|ICN,|ICN|YVR|DEN|LIT|
LIT|NRT,|NRT|DEN|LIT|
LIT|YHZ,|YHZ|EWR|BWI|LIT|
LIT|YOW,|YOW|ORD|LIT|
LIT|BJM,|BJM|BRU|ORD|LIT|
LIT|COO,|COO|BRU|ORD|LIT|
LIT|DKR,|DKR|IAD|MDW|LIT|
LIT|DLA,|DLA|BRU|ORD|LIT|
LIT|KGL,|KGL|BRU|ORD|LIT|
LIT|LAD,|LAD|BRU|ORD|LIT|
LIT|ABJ,|ABJ|BRU|ORD|LIT|
LIT|AMS,|AMS|ORD|LIT|
LIT|OSL,|OSL|EWR|BWI|LIT|
LIT|VNO,|VNO|CPH|YYZ|DTW|MDW|LIT|
LIT|WAW,|WAW|YYZ|DTW|MDW|LIT|
LIT|YYC,|YYC|DEN|LIT|
LIT|ATL,|ATL|IAH|LIT|
LIT|MSY,|MSY|IAH|LIT|
LIT|YEG,|YEG|DEN|LIT|
LIT|YMM,|YMM|DEN|LIT|
LIT|YQR,|YQR|DEN|LIT|
LIT|YVR,|YVR|DEN|LIT|
LIT|YWG,|YWG|ORD|LIT|
LIT|YXE,|YXE|DEN|LIT|
LIT|CKY,|CKY|DKR|IAD|MDW|LIT|
LIT|FIH,|FIH|DLA|BRU|ORD|LIT|
LIT|SCL,|SCL|EZE|IAH|LIT|
LIT|LCA,|LCA|FRA|ORD|LIT|
LIT|NAP,|NAP|FRA|ORD|LIT|
LIT|VLC,|VLC|FRA|ORD|LIT|
LIT|BKK,|BKK|CGO|PEK|ORD|LIT|
LIT|ADD,|ADD|IST|ORD|LIT|
LIT|FRA,|FRA|ORD|LIT|
LIT|IST,|IST|ORD|LIT|
LIT|EBB,|EBB|KGL|BRU|ORD|LIT|
LIT|YLW,|YLW|YYC|DEN|LIT|
LIT|YYT,|YYT|EWR|BWI|LIT|
LIT|GUA,|GUA|IAH|LIT|
LIT|EWR,|EWR|BWI|LIT|
LIT|IAD,|IAD|MDW|LIT|
LIT|IAH,|IAH|LIT|
LIT|ORD,|ORD|LIT|
LIT|SOF,|SOF|MUC|ORD|LIT|
LIT|YQB,|YQB|ORD|LIT|
LIT|YXU,|YXU|ORD|LIT|
LIT|EZE,|EZE|IAH|LIT|
LIT|YYJ,|YYJ|YVR|DEN|LIT|
LIT|YYY,|YYY|YUL|ORD|LIT|
LIT|YQQ,|YQQ|YBL|YVR|DEN|LIT|
LIT|YYR,|YYR|YWK|YZV|YQB|ORD|LIT|
LIT|LHR,|LHR|ORD|LIT|
LIT|SFO,|SFO|LAS|LIT|
LIT|YQU,|YQU|YYC|DEN|LIT|
LIT|YZF,|YZF|YEG|DEN|LIT|
LIT|YGR,|YGR|YGP|YQB|ORD|LIT|
LIT|YGP,|YGP|YQB|ORD|LIT|
LIT|BOS,|BOS|BWI|LIT|
LIT|YDF,|YDF|YYZ|DTW|MDW|LIT|
LIT|YFC,|YFC|YYZ|DTW|MDW|LIT|
LIT|YQM,|YQM|EWR|BWI|LIT|
LIT|YQX,|YQX|YHZ|EWR|BWI|LIT|
LIT|YQY,|YQY|YHZ|EWR|BWI|LIT|
LIT|YSJ,|YSJ|YYZ|DTW|MDW|LIT|
LIT|YYG,|YYG|YHZ|EWR|BWI|LIT|
LIT|LAX,|LAX|PHX|LIT|
LIT|DCA,|DCA|CLE|MDW|LIT|
LIT|LGA,|LGA|MDW|LIT|
LIT|YZV,|YZV|YQB|ORD|LIT|
LIT|YWL,|YWL|YVR|DEN|LIT|
LIT|AZS,|AZS|YYZ|DTW|MDW|LIT|
LIT|BDL,|BDL|BWI|LIT|
LIT|CCC,|CCC|YYZ|DTW|MDW|LIT|
LIT|CDG,|CDG|ORD|LIT|
LIT|CUN,|CUN|IAH|LIT|
LIT|CZM,|CZM|IAH|LIT|
LIT|FDF,|FDF|YUL|ORD|LIT|
LIT|FLL,|FLL|IAH|LIT|
LIT|GVA,|GVA|EWR|BWI|LIT|
LIT|HOG,|HOG|YYZ|DTW|MDW|LIT|
LIT|LAS,|LAS|LIT|
LIT|MBJ,|MBJ|IAH|LIT|
LIT|MCO,|MCO|IAH|LIT|
LIT|MUC,|MUC|ORD|LIT|
LIT|PAP,|PAP|YUL|ORD|LIT|
LIT|PTP,|PTP|YUL|ORD|LIT|
LIT|PUJ,|PUJ|ATL|IAH|LIT|
LIT|SNU,|SNU|YYZ|DTW|MDW|LIT|
LIT|VRA,|VRA|YYZ|DTW|MDW|LIT|
LIT|YBC,|YBC|YUL|ORD|LIT|
LIT|YBG,|YBG|YUL|ORD|LIT|
LIT|YTZ,|YTZ|YUL|ORD|LIT|
LIT|YUY,|YUY|YUL|ORD|LIT|
