LJG|BRU,|BRU|IST|URC|CTU|KMG|LJG|
LJG|OUA,|OUA|NIM|IST|URC|CTU|KMG|LJG|
LJG|JED,|JED|IST|URC|CTU|KMG|LJG|
LJG|CPH,|CPH|AMS|CTU|KMG|LJG|
LJG|YYZ,|YYZ|PEK|CKG|LJG|
LJG|DEN,|DEN|YVR|PEK|CKG|LJG|
LJG|YUL,|YUL|YYZ|PEK|CKG|LJG|
LJG|NBO,|NBO|BKK|NNG|KMG|LJG|
LJG|ICN,|ICN|CGO|CKG|LJG|
LJG|NRT,|NRT|ICN|CGO|CKG|LJG|
LJG|YHZ,|YHZ|YYZ|PEK|CKG|LJG|
LJG|YOW,|YOW|YYZ|PEK|CKG|LJG|
LJG|BJM,|BJM|BRU|IST|URC|CTU|KMG|LJG|
LJG|COO,|COO|BRU|IST|URC|CTU|KMG|LJG|
LJG|DKR,|DKR|BRU|IST|URC|CTU|KMG|LJG|
LJG|DLA,|DLA|IST|URC|CTU|KMG|LJG|
LJG|KGL,|KGL|IST|URC|CTU|KMG|LJG|
LJG|LAD,|LAD|BRU|IST|URC|CTU|KMG|LJG|
LJG|ABJ,|ABJ|OUA|NIM|IST|URC|CTU|KMG|LJG|
LJG|AMS,|AMS|CTU|KMG|LJG|
LJG|OSL,|OSL|CPH|AMS|CTU|KMG|LJG|
LJG|VNO,|VNO|IST|URC|CTU|KMG|LJG|
LJG|WAW,|WAW|IST|URC|CTU|KMG|LJG|
LJG|YYC,|YYC|YVR|PEK|CKG|LJG|
LJG|ATL,|ATL|ORD|PEK|CKG|LJG|
LJG|MSY,|MSY|ORD|PEK|CKG|LJG|
LJG|YEG,|YEG|YVR|PEK|CKG|LJG|
LJG|YMM,|YMM|YVR|PEK|CKG|LJG|
LJG|YQR,|YQR|YVR|PEK|CKG|LJG|
LJG|YVR,|YVR|PEK|CKG|LJG|
LJG|YWG,|YWG|YVR|PEK|CKG|LJG|
LJG|YXE,|YXE|YVR|PEK|CKG|LJG|
LJG|CKY,|CKY|DKR|BRU|IST|URC|CTU|KMG|LJG|
LJG|FIH,|FIH|IST|URC|CTU|KMG|LJG|
LJG|SCL,|SCL|EZE|GRU|IST|URC|CTU|KMG|LJG|
LJG|LCA,|LCA|FRA|TSE|URC|CTU|KMG|LJG|
LJG|NAP,|NAP|IST|URC|CTU|KMG|LJG|
LJG|VLC,|VLC|FRA|TSE|URC|CTU|KMG|LJG|
LJG|BKK,|BKK|NNG|KMG|LJG|
LJG|ADD,|ADD|IST|URC|CTU|KMG|LJG|
LJG|FRA,|FRA|TSE|URC|CTU|KMG|LJG|
LJG|IST,|IST|URC|CTU|KMG|LJG|
LJG|EBB,|EBB|KGL|IST|URC|CTU|KMG|LJG|
LJG|YLW,|YLW|YVR|PEK|CKG|LJG|
LJG|YYT,|YYT|LHR|IST|URC|CTU|KMG|LJG|
LJG|GUA,|GUA|IAH|PEK|CKG|LJG|
LJG|EWR,|EWR|PEK|CKG|LJG|
LJG|IAD,|IAD|PEK|CKG|LJG|
LJG|IAH,|IAH|PEK|CKG|LJG|
LJG|ORD,|ORD|PEK|CKG|LJG|
LJG|SOF,|SOF|IST|URC|CTU|KMG|LJG|
LJG|YQB,|YQB|YYZ|PEK|CKG|LJG|
LJG|YXU,|YXU|YYZ|PEK|CKG|LJG|
LJG|EZE,|EZE|GRU|IST|URC|CTU|KMG|LJG|
LJG|YYJ,|YYJ|YVR|PEK|CKG|LJG|
LJG|YYY,|YYY|YUL|YYZ|PEK|CKG|LJG|
LJG|YQQ,|YQQ|YBL|YVR|PEK|CKG|LJG|
LJG|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|CKG|LJG|
LJG|LHR,|LHR|IST|URC|CTU|KMG|LJG|
LJG|SFO,|SFO|PEK|CKG|LJG|
LJG|YQU,|YQU|YEG|YVR|PEK|CKG|LJG|
LJG|YZF,|YZF|YEG|YVR|PEK|CKG|LJG|
LJG|YGR,|YGR|YGP|YQB|YYZ|PEK|CKG|LJG|
LJG|YGP,|YGP|YQB|YYZ|PEK|CKG|LJG|
LJG|BOS,|BOS|YYZ|PEK|CKG|LJG|
LJG|YDF,|YDF|YYT|LHR|IST|URC|CTU|KMG|LJG|
LJG|YFC,|YFC|YYZ|PEK|CKG|LJG|
LJG|YQM,|YQM|YYZ|PEK|CKG|LJG|
LJG|YQX,|YQX|YYT|LHR|IST|URC|CTU|KMG|LJG|
LJG|YQY,|YQY|YYZ|PEK|CKG|LJG|
LJG|YSJ,|YSJ|YYZ|PEK|CKG|LJG|
LJG|YYG,|YYG|YYZ|PEK|CKG|LJG|
LJG|LAX,|LAX|PEK|CKG|LJG|
LJG|DCA,|DCA|YYZ|PEK|CKG|LJG|
LJG|LGA,|LGA|YYZ|PEK|CKG|LJG|
LJG|YZV,|YZV|YQB|YYZ|PEK|CKG|LJG|
LJG|YWL,|YWL|YVR|PEK|CKG|LJG|
LJG|AZS,|AZS|YYZ|PEK|CKG|LJG|
LJG|BDL,|BDL|YYZ|PEK|CKG|LJG|
LJG|CCC,|CCC|YYZ|PEK|CKG|LJG|
LJG|CDG,|CDG|IST|URC|CTU|KMG|LJG|
LJG|CUN,|CUN|IAH|PEK|CKG|LJG|
LJG|CZM,|CZM|IAH|PEK|CKG|LJG|
LJG|FDF,|FDF|YUL|YYZ|PEK|CKG|LJG|
LJG|FLL,|FLL|ORD|PEK|CKG|LJG|
LJG|GVA,|GVA|IST|URC|CTU|KMG|LJG|
LJG|HOG,|HOG|YYZ|PEK|CKG|LJG|
LJG|LAS,|LAS|SEA|PEK|CKG|LJG|
LJG|MBJ,|MBJ|ATL|ORD|PEK|CKG|LJG|
LJG|MCO,|MCO|ORD|PEK|CKG|LJG|
LJG|MUC,|MUC|IST|URC|CTU|KMG|LJG|
LJG|PAP,|PAP|YUL|YYZ|PEK|CKG|LJG|
LJG|PTP,|PTP|YUL|YYZ|PEK|CKG|LJG|
LJG|PUJ,|PUJ|EWR|PEK|CKG|LJG|
LJG|SNU,|SNU|YYZ|PEK|CKG|LJG|
LJG|VRA,|VRA|YYZ|PEK|CKG|LJG|
LJG|YBC,|YBC|YUL|YYZ|PEK|CKG|LJG|
LJG|YBG,|YBG|YUL|YYZ|PEK|CKG|LJG|
LJG|YTZ,|YTZ|YUL|YYZ|PEK|CKG|LJG|
LJG|YUY,|YUY|YUL|YYZ|PEK|CKG|LJG|
LJG|YVO,|YVO|YUL|YYZ|PEK|CKG|LJG|
LJG|ZBF,|ZBF|YUL|YYZ|PEK|CKG|LJG|
LJG|ZRH,|ZRH|IST|URC|CTU|KMG|LJG|
LJG|ZSA,|ZSA|YUL|YYZ|PEK|CKG|LJG|
LJG|AKL,|AKL|CAN|KMG|LJG|
LJG|HKG,|HKG|CAN|KMG|LJG|
LJG|HND,|HND|HNL|NRT|ICN|CGO|CKG|LJG|
LJG|HNL,|HNL|NRT|ICN|CGO|CKG|LJG|
LJG|MEX,|MEX|YVR|PEK|CKG|LJG|
LJG|OGG,|OGG|HNL|NRT|ICN|CGO|CKG|LJG|
LJG|PDX,|PDX|SEA|PEK|CKG|LJG|
LJG|PEK,|PEK|CKG|LJG|
LJG|PVG,|PVG|WUH|CKG|LJG|
LJG|PVR,|PVR|SFO|PEK|CKG|LJG|
LJG|SEA,|SEA|PEK|CKG|LJG|
