LUN|BRU,|BRU|NBO|LUN|
LUN|OUA,|OUA|NIM|IST|NBO|LUN|
LUN|JED,|JED|IST|NBO|LUN|
LUN|CPH,|CPH|IST|NBO|LUN|
LUN|YYZ,|YYZ|ZRH|NBO|LUN|
LUN|DEN,|DEN|ORD|ZRH|NBO|LUN|
LUN|YUL,|YUL|ZRH|NBO|LUN|
LUN|NBO,|NBO|LUN|
LUN|ICN,|ICN|CAN|NBO|LUN|
LUN|NRT,|NRT|CAN|NBO|LUN|
LUN|YHZ,|YHZ|LHR|IST|NBO|LUN|
LUN|YOW,|YOW|YUL|ZRH|NBO|LUN|
LUN|BJM,|BJM|BRU|NBO|LUN|
LUN|COO,|COO|BRU|NBO|LUN|
LUN|DKR,|DKR|BRU|NBO|LUN|
LUN|DLA,|DLA|IST|NBO|LUN|
LUN|KGL,|KGL|IST|NBO|LUN|
LUN|LAD,|LAD|BRU|NBO|LUN|
LUN|ABJ,|ABJ|OUA|NIM|IST|NBO|LUN|
LUN|AMS,|AMS|IST|NBO|LUN|
LUN|OSL,|OSL|IST|NBO|LUN|
LUN|VNO,|VNO|IST|NBO|LUN|
LUN|WAW,|WAW|IST|NBO|LUN|
LUN|YYC,|YYC|FRA|IST|NBO|LUN|
LUN|ATL,|ATL|BOS|ZRH|NBO|LUN|
LUN|MSY,|MSY|IAD|ZRH|NBO|LUN|
LUN|YEG,|YEG|LHR|IST|NBO|LUN|
LUN|YMM,|YMM|YEG|LHR|IST|NBO|LUN|
LUN|YQR,|YQR|YWG|YUL|ZRH|NBO|LUN|
LUN|YVR,|YVR|MUC|IST|NBO|LUN|
LUN|YWG,|YWG|YUL|ZRH|NBO|LUN|
LUN|YXE,|YXE|YEG|LHR|IST|NBO|LUN|
LUN|CKY,|CKY|DKR|BRU|NBO|LUN|
LUN|FIH,|FIH|IST|NBO|LUN|
LUN|SCL,|SCL|EZE|GRU|IST|NBO|LUN|
LUN|LCA,|LCA|FRA|IST|NBO|LUN|
LUN|NAP,|NAP|IST|NBO|LUN|
LUN|VLC,|VLC|IST|NBO|LUN|
LUN|BKK,|BKK|NBO|LUN|
LUN|ADD,|ADD|IST|NBO|LUN|
LUN|FRA,|FRA|IST|NBO|LUN|
LUN|IST,|IST|NBO|LUN|
LUN|EBB,|EBB|KGL|IST|NBO|LUN|
LUN|YLW,|YLW|YYC|FRA|IST|NBO|LUN|
LUN|YYT,|YYT|LHR|IST|NBO|LUN|
LUN|GUA,|GUA|MIA|ZRH|NBO|LUN|
LUN|EWR,|EWR|ZRH|NBO|LUN|
LUN|IAD,|IAD|ZRH|NBO|LUN|
LUN|IAH,|IAH|YUL|ZRH|NBO|LUN|
LUN|ORD,|ORD|ZRH|NBO|LUN|
LUN|SOF,|SOF|IST|NBO|LUN|
LUN|YQB,|YQB|YUL|ZRH|NBO|LUN|
LUN|YXU,|YXU|YYZ|ZRH|NBO|LUN|
LUN|EZE,|EZE|GRU|IST|NBO|LUN|
LUN|YYJ,|YYJ|YVR|MUC|IST|NBO|LUN|
LUN|YYY,|YYY|YUL|ZRH|NBO|LUN|
LUN|YQQ,|YQQ|YBL|YVR|MUC|IST|NBO|LUN|
LUN|YYR,|YYR|YYT|LHR|IST|NBO|LUN|
LUN|LHR,|LHR|IST|NBO|LUN|
LUN|SFO,|SFO|ZRH|NBO|LUN|
LUN|YQU,|YQU|YEG|LHR|IST|NBO|LUN|
LUN|YZF,|YZF|YEG|LHR|IST|NBO|LUN|
LUN|YGR,|YGR|YGP|YQB|YUL|ZRH|NBO|LUN|
LUN|YGP,|YGP|YQB|YUL|ZRH|NBO|LUN|
LUN|BOS,|BOS|ZRH|NBO|LUN|
LUN|YDF,|YDF|YYT|LHR|IST|NBO|LUN|
LUN|YFC,|YFC|YHZ|LHR|IST|NBO|LUN|
LUN|YQM,|YQM|YHZ|LHR|IST|NBO|LUN|
LUN|YQX,|YQX|YYT|LHR|IST|NBO|LUN|
LUN|YQY,|YQY|YHZ|LHR|IST|NBO|LUN|
LUN|YSJ,|YSJ|YHZ|LHR|IST|NBO|LUN|
LUN|YYG,|YYG|YHZ|LHR|IST|NBO|LUN|
LUN|LAX,|LAX|ZRH|NBO|LUN|
LUN|DCA,|DCA|EWR|ZRH|NBO|LUN|
LUN|LGA,|LGA|YUL|ZRH|NBO|LUN|
LUN|YZV,|YZV|YWK|YYR|YYT|LHR|IST|NBO|LUN|
LUN|YWL,|YWL|YVR|MUC|IST|NBO|LUN|
LUN|AZS,|AZS|YUL|ZRH|NBO|LUN|
LUN|BDL,|BDL|YUL|ZRH|NBO|LUN|
LUN|CCC,|CCC|YUL|ZRH|NBO|LUN|
LUN|CDG,|CDG|IST|NBO|LUN|
LUN|CUN,|CUN|EWR|ZRH|NBO|LUN|
LUN|CZM,|CZM|YUL|ZRH|NBO|LUN|
LUN|FDF,|FDF|YUL|ZRH|NBO|LUN|
LUN|FLL,|FLL|EWR|ZRH|NBO|LUN|
LUN|GVA,|GVA|IST|NBO|LUN|
LUN|HOG,|HOG|YUL|ZRH|NBO|LUN|
LUN|LAS,|LAS|ORD|ZRH|NBO|LUN|
LUN|MBJ,|MBJ|EWR|ZRH|NBO|LUN|
LUN|MCO,|MCO|BOS|ZRH|NBO|LUN|
LUN|MUC,|MUC|IST|NBO|LUN|
