LYG|BRU,|BRU|IST|URC|INC|XUZ|LYG|
LYG|OUA,|OUA|NIM|IST|URC|INC|XUZ|LYG|
LYG|JED,|JED|IST|URC|INC|XUZ|LYG|
LYG|CPH,|CPH|IST|URC|INC|XUZ|LYG|
LYG|YYZ,|YYZ|PEK|HSN|LYG|
LYG|DEN,|DEN|YVR|PEK|HSN|LYG|
LYG|YUL,|YUL|YYZ|PEK|HSN|LYG|
LYG|NBO,|NBO|CAN|LYG|
LYG|ICN,|ICN|PEK|HSN|LYG|
LYG|NRT,|NRT|PEK|HSN|LYG|
LYG|YHZ,|YHZ|YYZ|PEK|HSN|LYG|
LYG|YOW,|YOW|YYZ|PEK|HSN|LYG|
LYG|BJM,|BJM|BRU|IST|URC|INC|XUZ|LYG|
LYG|COO,|COO|BRU|IST|URC|INC|XUZ|LYG|
LYG|DKR,|DKR|BRU|IST|URC|INC|XUZ|LYG|
LYG|DLA,|DLA|IST|URC|INC|XUZ|LYG|
LYG|KGL,|KGL|IST|URC|INC|XUZ|LYG|
LYG|LAD,|LAD|BRU|IST|URC|INC|XUZ|LYG|
LYG|ABJ,|ABJ|OUA|NIM|IST|URC|INC|XUZ|LYG|
LYG|AMS,|AMS|PEK|HSN|LYG|
LYG|OSL,|OSL|IST|URC|INC|XUZ|LYG|
LYG|VNO,|VNO|IST|URC|INC|XUZ|LYG|
LYG|WAW,|WAW|IST|URC|INC|XUZ|LYG|
LYG|YYC,|YYC|YVR|PEK|HSN|LYG|
LYG|ATL,|ATL|ORD|PEK|HSN|LYG|
LYG|MSY,|MSY|ORD|PEK|HSN|LYG|
LYG|YEG,|YEG|YVR|PEK|HSN|LYG|
LYG|YMM,|YMM|YVR|PEK|HSN|LYG|
LYG|YQR,|YQR|YVR|PEK|HSN|LYG|
LYG|YVR,|YVR|PEK|HSN|LYG|
LYG|YWG,|YWG|YVR|PEK|HSN|LYG|
LYG|YXE,|YXE|YVR|PEK|HSN|LYG|
LYG|CKY,|CKY|DKR|BRU|IST|URC|INC|XUZ|LYG|
LYG|FIH,|FIH|IST|URC|INC|XUZ|LYG|
LYG|SCL,|SCL|YYZ|PEK|HSN|LYG|
LYG|LCA,|LCA|FRA|TSE|URC|INC|XUZ|LYG|
LYG|NAP,|NAP|IST|URC|INC|XUZ|LYG|
LYG|VLC,|VLC|FRA|TSE|URC|INC|XUZ|LYG|
LYG|BKK,|BKK|CAN|LYG|
LYG|ADD,|ADD|IST|URC|INC|XUZ|LYG|
LYG|FRA,|FRA|TSE|URC|INC|XUZ|LYG|
LYG|IST,|IST|URC|INC|XUZ|LYG|
LYG|EBB,|EBB|KGL|IST|URC|INC|XUZ|LYG|
LYG|YLW,|YLW|YVR|PEK|HSN|LYG|
LYG|YYT,|YYT|LHR|IST|URC|INC|XUZ|LYG|
LYG|GUA,|GUA|IAH|PEK|HSN|LYG|
LYG|EWR,|EWR|PEK|HSN|LYG|
LYG|IAD,|IAD|PEK|HSN|LYG|
LYG|IAH,|IAH|PEK|HSN|LYG|
LYG|ORD,|ORD|PEK|HSN|LYG|
LYG|SOF,|SOF|IST|URC|INC|XUZ|LYG|
LYG|YQB,|YQB|YYZ|PEK|HSN|LYG|
LYG|YXU,|YXU|YYZ|PEK|HSN|LYG|
LYG|EZE,|EZE|GRU|IST|URC|INC|XUZ|LYG|
LYG|YYJ,|YYJ|YVR|PEK|HSN|LYG|
LYG|YYY,|YYY|YUL|YYZ|PEK|HSN|LYG|
LYG|YQQ,|YQQ|YBL|YVR|PEK|HSN|LYG|
LYG|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|HSN|LYG|
LYG|LHR,|LHR|IST|URC|INC|XUZ|LYG|
LYG|SFO,|SFO|PEK|HSN|LYG|
LYG|YQU,|YQU|YEG|YVR|PEK|HSN|LYG|
LYG|YZF,|YZF|YEG|YVR|PEK|HSN|LYG|
LYG|YGR,|YGR|YGP|YQB|YYZ|PEK|HSN|LYG|
LYG|YGP,|YGP|YQB|YYZ|PEK|HSN|LYG|
LYG|BOS,|BOS|YYZ|PEK|HSN|LYG|
LYG|YDF,|YDF|YYZ|PEK|HSN|LYG|
LYG|YFC,|YFC|YYZ|PEK|HSN|LYG|
LYG|YQM,|YQM|YYZ|PEK|HSN|LYG|
LYG|YQX,|YQX|YYT|LHR|IST|URC|INC|XUZ|LYG|
LYG|YQY,|YQY|YYZ|PEK|HSN|LYG|
LYG|YSJ,|YSJ|YYZ|PEK|HSN|LYG|
LYG|YYG,|YYG|YYZ|PEK|HSN|LYG|
LYG|LAX,|LAX|PEK|HSN|LYG|
LYG|DCA,|DCA|YYZ|PEK|HSN|LYG|
LYG|LGA,|LGA|YYZ|PEK|HSN|LYG|
LYG|YZV,|YZV|YQB|YYZ|PEK|HSN|LYG|
LYG|YWL,|YWL|YVR|PEK|HSN|LYG|
LYG|AZS,|AZS|YYZ|PEK|HSN|LYG|
LYG|BDL,|BDL|YYZ|PEK|HSN|LYG|
LYG|CCC,|CCC|YYZ|PEK|HSN|LYG|
LYG|CDG,|CDG|IST|URC|INC|XUZ|LYG|
LYG|CUN,|CUN|IAH|PEK|HSN|LYG|
LYG|CZM,|CZM|IAH|PEK|HSN|LYG|
LYG|FDF,|FDF|YUL|YYZ|PEK|HSN|LYG|
LYG|FLL,|FLL|ORD|PEK|HSN|LYG|
LYG|GVA,|GVA|IST|URC|INC|XUZ|LYG|
LYG|HOG,|HOG|YYZ|PEK|HSN|LYG|
LYG|LAS,|LAS|SEA|PEK|HSN|LYG|
LYG|MBJ,|MBJ|ATL|ORD|PEK|HSN|LYG|
LYG|MCO,|MCO|ORD|PEK|HSN|LYG|
LYG|MUC,|MUC|IST|URC|INC|XUZ|LYG|
LYG|PAP,|PAP|YUL|YYZ|PEK|HSN|LYG|
LYG|PTP,|PTP|YUL|YYZ|PEK|HSN|LYG|
LYG|PUJ,|PUJ|EWR|PEK|HSN|LYG|
LYG|SNU,|SNU|YYZ|PEK|HSN|LYG|
