MBJ|BRU,|BRU|EWR|MBJ|
MBJ|OUA,|OUA|BRU|EWR|MBJ|
MBJ|JED,|JED|IST|LHR|YHZ|MBJ|
MBJ|CPH,|CPH|AMS|EWR|MBJ|
MBJ|YYZ,|YYZ|MBJ|
MBJ|DEN,|DEN|IAH|MBJ|
MBJ|YUL,|YUL|MBJ|
MBJ|NBO,|NBO|ZRH|EWR|MBJ|
MBJ|ICN,|ICN|YVR|IAH|MBJ|
MBJ|NRT,|NRT|IAH|MBJ|
MBJ|YHZ,|YHZ|MBJ|
MBJ|YOW,|YOW|IAD|MBJ|
MBJ|BJM,|BJM|BRU|EWR|MBJ|
MBJ|COO,|COO|BRU|EWR|MBJ|
MBJ|DKR,|DKR|IAD|MBJ|
MBJ|DLA,|DLA|BRU|EWR|MBJ|
MBJ|KGL,|KGL|BRU|EWR|MBJ|
MBJ|LAD,|LAD|BRU|EWR|MBJ|
MBJ|ABJ,|ABJ|BRU|EWR|MBJ|
MBJ|AMS,|AMS|EWR|MBJ|
MBJ|OSL,|OSL|EWR|MBJ|
MBJ|VNO,|VNO|CPH|AMS|EWR|MBJ|
MBJ|WAW,|WAW|CPH|AMS|EWR|MBJ|
MBJ|YYC,|YYC|IAH|MBJ|
MBJ|ATL,|ATL|MBJ|
MBJ|MSY,|MSY|ATL|MBJ|
MBJ|YEG,|YEG|ORD|ATL|MBJ|
MBJ|YMM,|YMM|YYZ|MBJ|
MBJ|YQR,|YQR|ORD|ATL|MBJ|
MBJ|YVR,|YVR|IAH|MBJ|
MBJ|YWG,|YWG|ORD|ATL|MBJ|
MBJ|YXE,|YXE|ORD|ATL|MBJ|
MBJ|CKY,|CKY|DKR|IAD|MBJ|
MBJ|FIH,|FIH|DLA|BRU|EWR|MBJ|
MBJ|SCL,|SCL|YYZ|MBJ|
MBJ|LCA,|LCA|FRA|EWR|MBJ|
MBJ|NAP,|NAP|FRA|EWR|MBJ|
MBJ|VLC,|VLC|FRA|EWR|MBJ|
MBJ|BKK,|BKK|CGO|PEK|ORD|ATL|MBJ|
MBJ|ADD,|ADD|IST|LHR|YHZ|MBJ|
MBJ|FRA,|FRA|EWR|MBJ|
MBJ|IST,|IST|LHR|YHZ|MBJ|
MBJ|EBB,|EBB|KGL|BRU|EWR|MBJ|
MBJ|YLW,|YLW|YYC|IAH|MBJ|
MBJ|YYT,|YYT|YHZ|MBJ|
MBJ|GUA,|GUA|IAH|MBJ|
MBJ|EWR,|EWR|MBJ|
MBJ|IAD,|IAD|MBJ|
MBJ|IAH,|IAH|MBJ|
MBJ|ORD,|ORD|ATL|MBJ|
MBJ|SOF,|SOF|MUC|EWR|MBJ|
MBJ|YQB,|YQB|EWR|MBJ|
MBJ|YXU,|YXU|YYZ|MBJ|
