MBS|BRU,|BRU|ORD|MBS|
MBS|OUA,|OUA|BRU|ORD|MBS|
MBS|JED,|JED|FRA|ORD|MBS|
MBS|CPH,|CPH|YYZ|ORD|MBS|
MBS|YYZ,|YYZ|ORD|MBS|
MBS|DEN,|DEN|ORD|MBS|
MBS|YUL,|YUL|ORD|MBS|
MBS|NBO,|NBO|ZRH|ORD|MBS|
MBS|ICN,|ICN|YVR|ORD|MBS|
MBS|NRT,|NRT|ORD|MBS|
MBS|YHZ,|YHZ|ORD|MBS|
MBS|YOW,|YOW|ORD|MBS|
MBS|BJM,|BJM|BRU|ORD|MBS|
MBS|COO,|COO|BRU|ORD|MBS|
MBS|DKR,|DKR|IAD|ORD|MBS|
MBS|DLA,|DLA|BRU|ORD|MBS|
MBS|KGL,|KGL|BRU|ORD|MBS|
MBS|LAD,|LAD|BRU|ORD|MBS|
MBS|ABJ,|ABJ|BRU|ORD|MBS|
MBS|AMS,|AMS|ORD|MBS|
MBS|OSL,|OSL|EWR|ORD|MBS|
MBS|VNO,|VNO|CPH|YYZ|ORD|MBS|
MBS|WAW,|WAW|YYZ|ORD|MBS|
MBS|YYC,|YYC|ORD|MBS|
MBS|ATL,|ATL|ORD|MBS|
MBS|MSY,|MSY|ORD|MBS|
MBS|YEG,|YEG|ORD|MBS|
MBS|YMM,|YMM|YEG|ORD|MBS|
MBS|YQR,|YQR|ORD|MBS|
MBS|YVR,|YVR|ORD|MBS|
MBS|YWG,|YWG|ORD|MBS|
MBS|YXE,|YXE|ORD|MBS|
MBS|CKY,|CKY|DKR|IAD|ORD|MBS|
MBS|FIH,|FIH|DLA|BRU|ORD|MBS|
MBS|SCL,|SCL|YYZ|ORD|MBS|
MBS|LCA,|LCA|FRA|ORD|MBS|
MBS|NAP,|NAP|FRA|ORD|MBS|
MBS|VLC,|VLC|FRA|ORD|MBS|
MBS|BKK,|BKK|CGO|PEK|ORD|MBS|
MBS|ADD,|ADD|IST|ORD|MBS|
MBS|FRA,|FRA|ORD|MBS|
MBS|IST,|IST|ORD|MBS|
MBS|EBB,|EBB|KGL|BRU|ORD|MBS|
MBS|YLW,|YLW|YYC|ORD|MBS|
MBS|YYT,|YYT|YOW|ORD|MBS|
MBS|GUA,|GUA|IAH|ORD|MBS|
MBS|EWR,|EWR|ORD|MBS|
MBS|IAD,|IAD|ORD|MBS|
MBS|IAH,|IAH|ORD|MBS|
MBS|ORD,|ORD|MBS|
MBS|SOF,|SOF|MUC|ORD|MBS|
MBS|YQB,|YQB|ORD|MBS|
MBS|YXU,|YXU|ORD|MBS|
MBS|EZE,|EZE|IAH|ORD|MBS|
MBS|YYJ,|YYJ|YVR|ORD|MBS|
MBS|YYY,|YYY|YUL|ORD|MBS|
MBS|YQQ,|YQQ|YYC|ORD|MBS|
