MCI|BRU,|BRU|ORD|MCI|
MCI|OUA,|OUA|BRU|ORD|MCI|
MCI|JED,|JED|FRA|ORD|MCI|
MCI|CPH,|CPH|YYZ|MCI|
MCI|YYZ,|YYZ|MCI|
MCI|DEN,|DEN|MCI|
MCI|YUL,|YUL|ORD|MCI|
MCI|NBO,|NBO|ZRH|ORD|MCI|
MCI|ICN,|ICN|YVR|DEN|MCI|
MCI|NRT,|NRT|DEN|MCI|
MCI|YHZ,|YHZ|YYZ|MCI|
MCI|YOW,|YOW|ORD|MCI|
MCI|BJM,|BJM|BRU|ORD|MCI|
MCI|COO,|COO|BRU|ORD|MCI|
MCI|DKR,|DKR|IAD|MCI|
MCI|DLA,|DLA|BRU|ORD|MCI|
MCI|KGL,|KGL|BRU|ORD|MCI|
MCI|LAD,|LAD|BRU|ORD|MCI|
MCI|ABJ,|ABJ|BRU|ORD|MCI|
MCI|AMS,|AMS|ORD|MCI|
MCI|OSL,|OSL|EWR|MCI|
MCI|VNO,|VNO|CPH|YYZ|MCI|
MCI|WAW,|WAW|YYZ|MCI|
MCI|YYC,|YYC|DEN|MCI|
MCI|ATL,|ATL|MCI|
MCI|MSY,|MSY|MCI|
MCI|YEG,|YEG|DEN|MCI|
MCI|YMM,|YMM|DEN|MCI|
MCI|YQR,|YQR|DEN|MCI|
MCI|YVR,|YVR|DEN|MCI|
MCI|YWG,|YWG|ORD|MCI|
MCI|YXE,|YXE|DEN|MCI|
MCI|CKY,|CKY|DKR|IAD|MCI|
MCI|FIH,|FIH|DLA|BRU|ORD|MCI|
MCI|SCL,|SCL|YYZ|MCI|
MCI|LCA,|LCA|FRA|ORD|MCI|
MCI|NAP,|NAP|FRA|ORD|MCI|
MCI|VLC,|VLC|FRA|ORD|MCI|
MCI|BKK,|BKK|CGO|PEK|YVR|DEN|MCI|
MCI|ADD,|ADD|IST|ORD|MCI|
MCI|FRA,|FRA|ORD|MCI|
MCI|IST,|IST|ORD|MCI|
MCI|EBB,|EBB|KGL|BRU|ORD|MCI|
MCI|YLW,|YLW|YYC|DEN|MCI|
MCI|YYT,|YYT|YOW|ORD|MCI|
MCI|GUA,|GUA|IAH|MCI|
MCI|EWR,|EWR|MCI|
MCI|IAD,|IAD|MCI|
MCI|IAH,|IAH|MCI|
MCI|ORD,|ORD|MCI|
MCI|SOF,|SOF|MUC|ORD|MCI|
MCI|YQB,|YQB|ORD|MCI|
MCI|YXU,|YXU|ORD|MCI|
MCI|EZE,|EZE|IAH|MCI|
MCI|YYJ,|YYJ|YVR|DEN|MCI|
MCI|YYY,|YYY|YUL|ORD|MCI|
MCI|YQQ,|YQQ|YBL|YVR|DEN|MCI|
MCI|YYR,|YYR|YWK|YZV|YQB|ORD|MCI|
MCI|LHR,|LHR|ORD|MCI|
MCI|SFO,|SFO|MCI|
MCI|YQU,|YQU|YYC|DEN|MCI|
MCI|YZF,|YZF|YEG|DEN|MCI|
