MCO|BRU,|BRU|EWR|MCO|
MCO|OUA,|OUA|BRU|EWR|MCO|
MCO|JED,|JED|FRA|MCO|
MCO|CPH,|CPH|YYZ|MCO|
MCO|YYZ,|YYZ|MCO|
MCO|DEN,|DEN|MCO|
MCO|YUL,|YUL|MCO|
MCO|NBO,|NBO|ZRH|BOS|MCO|
MCO|ICN,|ICN|YVR|DEN|MCO|
MCO|NRT,|NRT|YYC|MCO|
MCO|YHZ,|YHZ|MCO|
MCO|YOW,|YOW|IAD|MCO|
MCO|BJM,|BJM|BRU|EWR|MCO|
MCO|COO,|COO|BRU|EWR|MCO|
MCO|DKR,|DKR|IAD|MCO|
MCO|DLA,|DLA|BRU|EWR|MCO|
MCO|KGL,|KGL|BRU|EWR|MCO|
MCO|LAD,|LAD|BRU|EWR|MCO|
MCO|ABJ,|ABJ|BRU|EWR|MCO|
MCO|AMS,|AMS|EWR|MCO|
MCO|OSL,|OSL|EWR|MCO|
MCO|VNO,|VNO|CPH|YYZ|MCO|
MCO|WAW,|WAW|YYZ|MCO|
MCO|YYC,|YYC|MCO|
MCO|ATL,|ATL|MCO|
MCO|MSY,|MSY|MCO|
MCO|YEG,|YEG|ORD|MCO|
MCO|YMM,|YMM|YEG|ORD|MCO|
MCO|YQR,|YQR|ORD|MCO|
MCO|YVR,|YVR|DEN|MCO|
MCO|YWG,|YWG|ORD|MCO|
MCO|YXE,|YXE|ORD|MCO|
MCO|CKY,|CKY|DKR|IAD|MCO|
MCO|FIH,|FIH|DLA|BRU|EWR|MCO|
MCO|SCL,|SCL|YYZ|MCO|
MCO|LCA,|LCA|FRA|MCO|
MCO|NAP,|NAP|FRA|MCO|
MCO|VLC,|VLC|FRA|MCO|
MCO|BKK,|BKK|CGO|PEK|ORD|MCO|
MCO|ADD,|ADD|JED|FRA|MCO|
MCO|FRA,|FRA|MCO|
MCO|IST,|IST|FRA|MCO|
MCO|EBB,|EBB|KGL|BRU|EWR|MCO|
MCO|YLW,|YLW|YYC|MCO|
MCO|YYT,|YYT|MCO|
MCO|GUA,|GUA|IAH|MCO|
MCO|EWR,|EWR|MCO|
MCO|IAD,|IAD|MCO|
MCO|IAH,|IAH|MCO|
MCO|ORD,|ORD|MCO|
