MDE|BRU,|BRU|EWR|MIA|MDE|
MDE|OUA,|OUA|BRU|EWR|MIA|MDE|
MDE|JED,|JED|FRA|MIA|MDE|
MDE|CPH,|CPH|AMS|EWR|MIA|MDE|
MDE|YYZ,|YYZ|MIA|MDE|
MDE|DEN,|DEN|MIA|MDE|
MDE|YUL,|YUL|MIA|MDE|
MDE|NBO,|NBO|ZRH|MIA|MDE|
MDE|ICN,|ICN|YVR|DEN|MIA|MDE|
MDE|NRT,|NRT|ORD|MIA|MDE|
MDE|YHZ,|YHZ|EWR|MIA|MDE|
MDE|YOW,|YOW|IAD|MIA|MDE|
MDE|BJM,|BJM|BRU|EWR|MIA|MDE|
MDE|COO,|COO|BRU|EWR|MIA|MDE|
MDE|DKR,|DKR|IAD|MIA|MDE|
MDE|DLA,|DLA|BRU|EWR|MIA|MDE|
MDE|KGL,|KGL|BRU|EWR|MIA|MDE|
MDE|LAD,|LAD|BRU|EWR|MIA|MDE|
MDE|ABJ,|ABJ|BRU|EWR|MIA|MDE|
MDE|AMS,|AMS|EWR|MIA|MDE|
MDE|OSL,|OSL|EWR|MIA|MDE|
MDE|VNO,|VNO|FRA|MIA|MDE|
MDE|WAW,|WAW|CPH|AMS|EWR|MIA|MDE|
MDE|YYC,|YYC|ORD|MIA|MDE|
MDE|ATL,|ATL|MSY|MIA|MDE|
MDE|MSY,|MSY|MIA|MDE|
MDE|YEG,|YEG|ORD|MIA|MDE|
MDE|YMM,|YMM|YEG|ORD|MIA|MDE|
MDE|YQR,|YQR|ORD|MIA|MDE|
MDE|YVR,|YVR|DEN|MIA|MDE|
MDE|YWG,|YWG|ORD|MIA|MDE|
MDE|YXE,|YXE|ORD|MIA|MDE|
MDE|CKY,|CKY|DKR|IAD|MIA|MDE|
MDE|FIH,|FIH|DLA|BRU|EWR|MIA|MDE|
MDE|SCL,|SCL|YYZ|MIA|MDE|
MDE|LCA,|LCA|FRA|MIA|MDE|
MDE|NAP,|NAP|FRA|MIA|MDE|
MDE|VLC,|VLC|FRA|MIA|MDE|
MDE|BKK,|BKK|CGO|PEK|ORD|MIA|MDE|
MDE|ADD,|ADD|IST|ZRH|MIA|MDE|
MDE|FRA,|FRA|MIA|MDE|
MDE|IST,|IST|ZRH|MIA|MDE|
MDE|EBB,|EBB|KGL|BRU|EWR|MIA|MDE|
MDE|YLW,|YLW|YYC|ORD|MIA|MDE|
MDE|YYT,|YYT|EWR|MIA|MDE|
MDE|GUA,|GUA|MIA|MDE|
MDE|EWR,|EWR|MIA|MDE|
MDE|IAD,|IAD|MIA|MDE|
MDE|IAH,|IAH|MIA|MDE|
MDE|ORD,|ORD|MIA|MDE|
MDE|SOF,|SOF|MUC|EWR|MIA|MDE|
MDE|YQB,|YQB|EWR|MIA|MDE|
MDE|YXU,|YXU|YYZ|MIA|MDE|
MDE|EZE,|EZE|IAH|MIA|MDE|
MDE|YYJ,|YYJ|YVR|DEN|MIA|MDE|
MDE|YYY,|YYY|YUL|MIA|MDE|
MDE|YQQ,|YQQ|YBL|YVR|DEN|MIA|MDE|
MDE|YYR,|YYR|YHZ|EWR|MIA|MDE|
MDE|LHR,|LHR|EWR|MIA|MDE|
MDE|SFO,|SFO|MSY|MIA|MDE|
MDE|YQU,|YQU|YEG|ORD|MIA|MDE|
MDE|YZF,|YZF|YEG|ORD|MIA|MDE|
MDE|YGR,|YGR|YGP|YQB|EWR|MIA|MDE|
MDE|YGP,|YGP|YQB|EWR|MIA|MDE|
MDE|BOS,|BOS|EWR|MIA|MDE|
MDE|YDF,|YDF|YHZ|EWR|MIA|MDE|
MDE|YFC,|YFC|YUL|MIA|MDE|
MDE|YQM,|YQM|EWR|MIA|MDE|
MDE|YQX,|YQX|YHZ|EWR|MIA|MDE|
MDE|YQY,|YQY|YHZ|EWR|MIA|MDE|
MDE|YSJ,|YSJ|YUL|MIA|MDE|
MDE|YYG,|YYG|YHZ|EWR|MIA|MDE|
MDE|LAX,|LAX|IAH|MIA|MDE|
MDE|DCA,|DCA|EWR|MIA|MDE|
MDE|LGA,|LGA|IAD|MIA|MDE|
MDE|YZV,|YZV|YQB|EWR|MIA|MDE|
MDE|YWL,|YWL|YVR|DEN|MIA|MDE|
MDE|AZS,|AZS|YYZ|MIA|MDE|
MDE|BDL,|BDL|IAD|MIA|MDE|
MDE|CCC,|CCC|YYZ|MIA|MDE|
MDE|CDG,|CDG|EWR|MIA|MDE|
MDE|CUN,|CUN|IAH|MIA|MDE|
MDE|CZM,|CZM|IAH|MIA|MDE|
MDE|FDF,|FDF|YUL|MIA|MDE|
MDE|FLL,|FLL|MSY|MIA|MDE|
MDE|GVA,|GVA|EWR|MIA|MDE|
MDE|HOG,|HOG|YYZ|MIA|MDE|
MDE|LAS,|LAS|MSY|MIA|MDE|
MDE|MBJ,|MBJ|ATL|MSY|MIA|MDE|
MDE|MCO,|MCO|MSY|MIA|MDE|
MDE|MUC,|MUC|EWR|MIA|MDE|
MDE|PAP,|PAP|YUL|MIA|MDE|
MDE|PTP,|PTP|YUL|MIA|MDE|
MDE|PUJ,|PUJ|IAD|MIA|MDE|
MDE|SNU,|SNU|YYZ|MIA|MDE|
MDE|VRA,|VRA|YYZ|MIA|MDE|
MDE|YBC,|YBC|YUL|MIA|MDE|
MDE|YBG,|YBG|YUL|MIA|MDE|
MDE|YTZ,|YTZ|YUL|MIA|MDE|
MDE|YUY,|YUY|YUL|MIA|MDE|
MDE|YVO,|YVO|YUL|MIA|MDE|
MDE|ZBF,|ZBF|YUL|MIA|MDE|
MDE|ZRH,|ZRH|MIA|MDE|
MDE|ZSA,|ZSA|YUL|MIA|MDE|
MDE|AKL,|AKL|LAX|IAH|MIA|MDE|
MDE|HKG,|HKG|ORD|MIA|MDE|
