MDT|BRU,|BRU|IAD|MDT|
MDT|OUA,|OUA|BRU|IAD|MDT|
MDT|JED,|JED|FRA|IAD|MDT|
MDT|CPH,|CPH|YYZ|MDT|
MDT|YYZ,|YYZ|MDT|
MDT|DEN,|DEN|ORD|MDT|
MDT|YUL,|YUL|IAD|MDT|
MDT|NBO,|NBO|ZRH|IAD|MDT|
MDT|ICN,|ICN|JFK|IAD|MDT|
MDT|NRT,|NRT|YYZ|MDT|
MDT|YHZ,|YHZ|LGA|IAD|MDT|
MDT|YOW,|YOW|YYZ|MDT|
MDT|BJM,|BJM|BRU|IAD|MDT|
MDT|COO,|COO|BRU|IAD|MDT|
MDT|DKR,|DKR|IAD|MDT|
MDT|DLA,|DLA|BRU|IAD|MDT|
MDT|KGL,|KGL|BRU|IAD|MDT|
MDT|LAD,|LAD|BRU|IAD|MDT|
MDT|ABJ,|ABJ|BRU|IAD|MDT|
MDT|AMS,|AMS|IAD|MDT|
MDT|OSL,|OSL|EWR|IAD|MDT|
MDT|VNO,|VNO|CPH|YYZ|MDT|
MDT|WAW,|WAW|YYZ|MDT|
MDT|YYC,|YYC|YYZ|MDT|
MDT|ATL,|ATL|IAD|MDT|
MDT|MSY,|MSY|IAD|MDT|
MDT|YEG,|YEG|YYZ|MDT|
MDT|YMM,|YMM|YYZ|MDT|
MDT|YQR,|YQR|YYZ|MDT|
MDT|YVR,|YVR|ORD|MDT|
MDT|YWG,|YWG|YYZ|MDT|
MDT|YXE,|YXE|YYZ|MDT|
MDT|CKY,|CKY|DKR|IAD|MDT|
MDT|FIH,|FIH|DLA|BRU|IAD|MDT|
MDT|SCL,|SCL|YYZ|MDT|
MDT|LCA,|LCA|FRA|IAD|MDT|
MDT|NAP,|NAP|FRA|IAD|MDT|
MDT|VLC,|VLC|FRA|IAD|MDT|
MDT|BKK,|BKK|CGO|PEK|YYZ|MDT|
MDT|ADD,|ADD|JED|FRA|IAD|MDT|
MDT|FRA,|FRA|IAD|MDT|
MDT|IST,|IST|IAD|MDT|
MDT|EBB,|EBB|KGL|BRU|IAD|MDT|
MDT|YLW,|YLW|YYZ|MDT|
MDT|YYT,|YYT|YHZ|LGA|IAD|MDT|
MDT|GUA,|GUA|IAD|MDT|
MDT|EWR,|EWR|IAD|MDT|
MDT|IAD,|IAD|MDT|
MDT|IAH,|IAH|IAD|MDT|
MDT|ORD,|ORD|MDT|
MDT|SOF,|SOF|MUC|IAD|MDT|
MDT|YQB,|YQB|YUL|IAD|MDT|
MDT|YXU,|YXU|YYZ|MDT|
MDT|EZE,|EZE|GRU|IAD|MDT|
MDT|YYJ,|YYJ|YYZ|MDT|
MDT|YYY,|YYY|YUL|IAD|MDT|
MDT|YQQ,|YQQ|YYC|YYZ|MDT|
MDT|YYR,|YYR|YWK|YZV|YUL|IAD|MDT|
MDT|LHR,|LHR|IAD|MDT|
MDT|SFO,|SFO|ORD|MDT|
MDT|YQU,|YQU|YEG|YYZ|MDT|
MDT|YZF,|YZF|YEG|YYZ|MDT|
MDT|YGR,|YGR|YGP|YQB|YUL|IAD|MDT|
MDT|YGP,|YGP|YQB|YUL|IAD|MDT|
MDT|BOS,|BOS|IAD|MDT|
MDT|YDF,|YDF|YHZ|LGA|IAD|MDT|
MDT|YFC,|YFC|YUL|IAD|MDT|
MDT|YQM,|YQM|EWR|IAD|MDT|
MDT|YQX,|YQX|YHZ|LGA|IAD|MDT|
MDT|YQY,|YQY|YHZ|LGA|IAD|MDT|
MDT|YSJ,|YSJ|YUL|IAD|MDT|
MDT|YYG,|YYG|YHZ|LGA|IAD|MDT|
MDT|LAX,|LAX|ORD|MDT|
MDT|DCA,|DCA|EWR|IAD|MDT|
MDT|LGA,|LGA|IAD|MDT|
MDT|YZV,|YZV|YUL|IAD|MDT|
MDT|YWL,|YWL|YVR|ORD|MDT|
MDT|AZS,|AZS|YYZ|MDT|
MDT|BDL,|BDL|IAD|MDT|
MDT|CCC,|CCC|YYZ|MDT|
MDT|CDG,|CDG|IAD|MDT|
MDT|CUN,|CUN|IAD|MDT|
MDT|CZM,|CZM|IAH|IAD|MDT|
MDT|FDF,|FDF|YUL|IAD|MDT|
MDT|FLL,|FLL|IAD|MDT|
MDT|GVA,|GVA|IAD|MDT|
MDT|HOG,|HOG|YYZ|MDT|
MDT|LAS,|LAS|ORD|MDT|
MDT|MBJ,|MBJ|IAD|MDT|
MDT|MCO,|MCO|IAD|MDT|
MDT|MUC,|MUC|IAD|MDT|
MDT|PAP,|PAP|YUL|IAD|MDT|
MDT|PTP,|PTP|YUL|IAD|MDT|
MDT|PUJ,|PUJ|IAD|MDT|
MDT|SNU,|SNU|YYZ|MDT|
MDT|VRA,|VRA|YYZ|MDT|
MDT|YBC,|YBC|YUL|IAD|MDT|
MDT|YBG,|YBG|YUL|IAD|MDT|
MDT|YTZ,|YTZ|YUL|IAD|MDT|
MDT|YUY,|YUY|YUL|IAD|MDT|
MDT|YVO,|YVO|YUL|IAD|MDT|
MDT|ZBF,|ZBF|YUL|IAD|MDT|
MDT|ZRH,|ZRH|IAD|MDT|
MDT|ZSA,|ZSA|YUL|IAD|MDT|
MDT|AKL,|AKL|LAX|ORD|MDT|
MDT|HKG,|HKG|YYZ|MDT|
MDT|HND,|HND|YVR|ORD|MDT|
MDT|HNL,|HNL|ORD|MDT|
MDT|MEX,|MEX|IAD|MDT|
MDT|OGG,|OGG|ORD|MDT|
MDT|PDX,|PDX|ORD|MDT|
MDT|PEK,|PEK|YYZ|MDT|
MDT|PVG,|PVG|YYZ|MDT|
MDT|PVR,|PVR|IAH|IAD|MDT|
MDT|SEA,|SEA|ORD|MDT|
MDT|SYD,|SYD|LAX|ORD|MDT|
MDT|YBL,|YBL|YVR|ORD|MDT|
MDT|YCD,|YCD|YVR|ORD|MDT|
MDT|YCG,|YCG|YYC|YYZ|MDT|
MDT|YKA,|YKA|YYC|YYZ|MDT|
MDT|YPR,|YPR|YVR|ORD|MDT|
MDT|YQZ,|YQZ|YVR|ORD|MDT|
MDT|YXC,|YXC|YYC|YYZ|MDT|
MDT|YXJ,|YXJ|YYC|YYZ|MDT|
MDT|YXS,|YXS|YYC|YYZ|MDT|
MDT|YXT,|YXT|YVR|ORD|MDT|
MDT|YXY,|YXY|YVR|ORD|MDT|
MDT|YYD,|YYD|YVR|ORD|MDT|
MDT|YYF,|YYF|YVR|ORD|MDT|
MDT|YZP,|YZP|YVR|ORD|MDT|
MDT|YQT,|YQT|YYZ|MDT|
MDT|SJD,|SJD|IAH|IAD|MDT|
MDT|YQF,|YQF|YYC|YYZ|MDT|
MDT|YQL,|YQL|YYC|YYZ|MDT|
MDT|YXH,|YXH|YYC|YYZ|MDT|
MDT|YWK,|YWK|YZV|YUL|IAD|MDT|
MDT|ANU,|ANU|EWR|IAD|MDT|
MDT|AUA,|AUA|IAD|MDT|
MDT|AUH,|AUH|FRA|IAD|MDT|
MDT|BCN,|BCN|EWR|IAD|MDT|
MDT|BDA,|BDA|EWR|IAD|MDT|
MDT|BGI,|BGI|YYZ|MDT|
MDT|BNA,|BNA|IAD|MDT|
MDT|BOG,|BOG|IAD|MDT|
MDT|BWI,|BWI|ORF|IAD|MDT|
