MED|BRU,|BRU|IST|MED|
MED|OUA,|OUA|NIM|IST|MED|
MED|JED,|JED|IST|MED|
MED|CPH,|CPH|IST|MED|
MED|YYZ,|YYZ|IST|MED|
MED|DEN,|DEN|FRA|IST|MED|
MED|YUL,|YUL|FRA|IST|MED|
MED|NBO,|NBO|IST|MED|
MED|ICN,|ICN|IST|MED|
MED|NRT,|NRT|IST|MED|
MED|YHZ,|YHZ|LHR|IST|MED|
MED|YOW,|YOW|FRA|IST|MED|
MED|BJM,|BJM|BRU|IST|MED|
MED|COO,|COO|BRU|IST|MED|
MED|DKR,|DKR|BRU|IST|MED|
MED|DLA,|DLA|IST|MED|
MED|KGL,|KGL|IST|MED|
MED|LAD,|LAD|BRU|IST|MED|
MED|ABJ,|ABJ|OUA|NIM|IST|MED|
MED|AMS,|AMS|IST|MED|
MED|OSL,|OSL|IST|MED|
MED|VNO,|VNO|IST|MED|
MED|WAW,|WAW|IST|MED|
MED|YYC,|YYC|FRA|IST|MED|
MED|ATL,|ATL|FRA|IST|MED|
MED|MSY,|MSY|IAD|IST|MED|
MED|YEG,|YEG|LHR|IST|MED|
MED|YMM,|YMM|YEG|LHR|IST|MED|
MED|YQR,|YQR|YEG|LHR|IST|MED|
MED|YVR,|YVR|MUC|IST|MED|
MED|YWG,|YWG|YUL|FRA|IST|MED|
MED|YXE,|YXE|YEG|LHR|IST|MED|
MED|CKY,|CKY|DKR|BRU|IST|MED|
MED|FIH,|FIH|IST|MED|
MED|SCL,|SCL|EZE|GRU|IST|MED|
MED|LCA,|LCA|FRA|IST|MED|
MED|NAP,|NAP|IST|MED|
MED|VLC,|VLC|IST|MED|
MED|BKK,|BKK|IST|MED|
MED|ADD,|ADD|IST|MED|
MED|FRA,|FRA|IST|MED|
MED|IST,|IST|MED|
MED|EBB,|EBB|KGL|IST|MED|
MED|YLW,|YLW|YYC|FRA|IST|MED|
MED|YYT,|YYT|LHR|IST|MED|
MED|GUA,|GUA|MIA|ZRH|IST|MED|
MED|EWR,|EWR|BHX|IST|MED|
MED|IAD,|IAD|IST|MED|
MED|IAH,|IAH|IST|MED|
MED|ORD,|ORD|IST|MED|
MED|SOF,|SOF|IST|MED|
MED|YQB,|YQB|YUL|FRA|IST|MED|
MED|YXU,|YXU|YYZ|IST|MED|
MED|EZE,|EZE|GRU|IST|MED|
MED|YYJ,|YYJ|YVR|MUC|IST|MED|
MED|YYY,|YYY|YUL|FRA|IST|MED|
MED|YQQ,|YQQ|YBL|YVR|MUC|IST|MED|
MED|YYR,|YYR|YYT|LHR|IST|MED|
MED|LHR,|LHR|IST|MED|
MED|SFO,|SFO|MUC|IST|MED|
MED|YQU,|YQU|YEG|LHR|IST|MED|
MED|YZF,|YZF|YEG|LHR|IST|MED|
MED|YGR,|YGR|YGP|YQB|YUL|FRA|IST|MED|
MED|YGP,|YGP|YQB|YUL|FRA|IST|MED|
MED|BOS,|BOS|FRA|IST|MED|
MED|YDF,|YDF|YYT|LHR|IST|MED|
MED|YFC,|YFC|YHZ|LHR|IST|MED|
MED|YQM,|YQM|YHZ|LHR|IST|MED|
MED|YQX,|YQX|YYT|LHR|IST|MED|
MED|YQY,|YQY|YHZ|LHR|IST|MED|
MED|YSJ,|YSJ|YHZ|LHR|IST|MED|
MED|YYG,|YYG|YHZ|LHR|IST|MED|
MED|LAX,|LAX|IST|MED|
MED|DCA,|DCA|EWR|BHX|IST|MED|
MED|LGA,|LGA|YHZ|LHR|IST|MED|
MED|YZV,|YZV|YWK|YYR|YYT|LHR|IST|MED|
MED|YWL,|YWL|YVR|MUC|IST|MED|
MED|AZS,|AZS|YUL|FRA|IST|MED|
MED|BDL,|BDL|YUL|FRA|IST|MED|
MED|CCC,|CCC|YUL|FRA|IST|MED|
MED|CDG,|CDG|IST|MED|
MED|CUN,|CUN|YHZ|LHR|IST|MED|
MED|CZM,|CZM|YUL|FRA|IST|MED|
MED|FDF,|FDF|YUL|FRA|IST|MED|
MED|FLL,|FLL|MCO|FRA|IST|MED|
MED|GVA,|GVA|IST|MED|
MED|HOG,|HOG|YUL|FRA|IST|MED|
MED|LAS,|LAS|DEN|FRA|IST|MED|
MED|MBJ,|MBJ|YHZ|LHR|IST|MED|
MED|MCO,|MCO|FRA|IST|MED|
MED|MUC,|MUC|IST|MED|
MED|PAP,|PAP|YUL|FRA|IST|MED|
MED|PTP,|PTP|YUL|FRA|IST|MED|
MED|PUJ,|PUJ|YHZ|LHR|IST|MED|
MED|SNU,|SNU|YUL|FRA|IST|MED|
MED|VRA,|VRA|YUL|FRA|IST|MED|
MED|YBC,|YBC|YUL|FRA|IST|MED|
MED|YBG,|YBG|YUL|FRA|IST|MED|
MED|YTZ,|YTZ|YUL|FRA|IST|MED|
MED|YUY,|YUY|YUL|FRA|IST|MED|
MED|YVO,|YVO|YUL|FRA|IST|MED|
MED|ZBF,|ZBF|YUL|FRA|IST|MED|
MED|ZRH,|ZRH|IST|MED|
MED|ZSA,|ZSA|YUL|FRA|IST|MED|
MED|AKL,|AKL|BKK|IST|MED|
MED|HKG,|HKG|IST|MED|
MED|HND,|HND|YVR|MUC|IST|MED|
MED|HNL,|HNL|YVR|MUC|IST|MED|
MED|MEX,|MEX|IAD|IST|MED|
MED|OGG,|OGG|YVR|MUC|IST|MED|
MED|PDX,|PDX|SEA|FRA|IST|MED|
MED|PEK,|PEK|IST|MED|
MED|PVG,|PVG|IST|MED|
MED|PVR,|PVR|ORD|IST|MED|
MED|SEA,|SEA|FRA|IST|MED|
MED|SYD,|SYD|BKK|IST|MED|
MED|YBL,|YBL|YVR|MUC|IST|MED|
MED|YCD,|YCD|YVR|MUC|IST|MED|
MED|YCG,|YCG|YYC|FRA|IST|MED|
MED|YKA,|YKA|YYC|FRA|IST|MED|
MED|YPR,|YPR|YVR|MUC|IST|MED|
MED|YQZ,|YQZ|YVR|MUC|IST|MED|
MED|YXC,|YXC|YYC|FRA|IST|MED|
MED|YXJ,|YXJ|YYC|FRA|IST|MED|
MED|YXS,|YXS|YYC|FRA|IST|MED|
MED|YXT,|YXT|YVR|MUC|IST|MED|
MED|YXY,|YXY|YVR|MUC|IST|MED|
MED|YYD,|YYD|YVR|MUC|IST|MED|
MED|YYF,|YYF|YVR|MUC|IST|MED|
MED|YZP,|YZP|YVR|MUC|IST|MED|
MED|YQT,|YQT|YYZ|IST|MED|
MED|SJD,|SJD|ORD|IST|MED|
MED|YQF,|YQF|YYC|FRA|IST|MED|
MED|YQL,|YQL|YYC|FRA|IST|MED|
MED|YXH,|YXH|YYC|FRA|IST|MED|
MED|YWK,|YWK|YYR|YYT|LHR|IST|MED|
MED|ANU,|ANU|EWR|BHX|IST|MED|
MED|AUA,|AUA|EWR|BHX|IST|MED|
MED|AUH,|AUH|IST|MED|
MED|BCN,|BCN|IST|MED|
MED|BDA,|BDA|EWR|BHX|IST|MED|
MED|BGI,|BGI|YYZ|IST|MED|
MED|BNA,|BNA|YYZ|IST|MED|
MED|BOG,|BOG|MIA|ZRH|IST|MED|
MED|BWI,|BWI|EWR|BHX|IST|MED|
MED|CLE,|CLE|YYZ|IST|MED|
MED|CLT,|CLT|EWR|BHX|IST|MED|
MED|CMH,|CMH|YYZ|IST|MED|
MED|CVG,|CVG|YYZ|IST|MED|
MED|DFW,|DFW|ORD|IST|MED|
MED|DTW,|DTW|FRA|IST|MED|
MED|DUB,|DUB|IST|MED|
MED|FCO,|FCO|IST|MED|
MED|GCM,|GCM|EWR|BHX|IST|MED|
MED|GGT,|GGT|FLL|MCO|FRA|IST|MED|
MED|GND,|GND|YYZ|IST|MED|
MED|GRU,|GRU|IST|MED|
MED|HAV,|HAV|YYZ|IST|MED|
MED|IND,|IND|YYZ|IST|MED|
MED|JFK,|JFK|IST|MED|
MED|KIN,|KIN|YYZ|IST|MED|
MED|LIM,|LIM|MIA|ZRH|IST|MED|
MED|LIR,|LIR|EWR|BHX|IST|MED|
MED|MCI,|MCI|ORD|IST|MED|
MED|MDT,|MDT|IAD|IST|MED|
MED|MIA,|MIA|ZRH|IST|MED|
MED|MKE,|MKE|YYZ|IST|MED|
MED|MSP,|MSP|YUL|FRA|IST|MED|
MED|NAS,|NAS|EWR|BHX|IST|MED|
MED|PHL,|PHL|IAD|IST|MED|
MED|PHX,|PHX|DEN|FRA|IST|MED|
MED|PIT,|PIT|YYZ|IST|MED|
MED|PLS,|PLS|EWR|BHX|IST|MED|
MED|POP,|POP|EWR|BHX|IST|MED|
MED|RDU,|RDU|EWR|BHX|IST|MED|
MED|ROC,|ROC|YYZ|IST|MED|
MED|RSW,|RSW|MCO|FRA|IST|MED|
MED|SAN,|SAN|LAX|IST|MED|
MED|SJO,|SJO|EWR|BHX|IST|MED|
MED|STL,|STL|ORD|IST|MED|
MED|SYR,|SYR|EWR|BHX|IST|MED|
MED|TLV,|TLV|IST|MED|
MED|TPA,|TPA|EWR|BHX|IST|MED|
MED|UVF,|UVF|EWR|BHX|IST|MED|
MED|VIE,|VIE|IST|MED|
MED|YAM,|YAM|YYZ|IST|MED|
MED|YGK,|YGK|YYZ|IST|MED|
MED|YQG,|YQG|YYZ|IST|MED|
MED|YSB,|YSB|YYZ|IST|MED|
MED|YTS,|YTS|YYZ|IST|MED|
MED|YYB,|YYB|YYZ|IST|MED|
MED|YZR,|YZR|YYZ|IST|MED|
MED|CAN,|CAN|IST|MED|
MED|URC,|URC|IST|MED|
MED|CTU,|CTU|URC|IST|MED|
MED|HGH,|HGH|URC|IST|MED|
MED|XMN,|XMN|CSX|URC|IST|MED|
MED|CGO,|CGO|URC|IST|MED|
MED|CSX,|CSX|URC|IST|MED|
