MEL|BRU,|BRU|IST|BKK|MEL|
MEL|OUA,|OUA|NIM|IST|BKK|MEL|
MEL|JED,|JED|IST|BKK|MEL|
MEL|CPH,|CPH|IST|BKK|MEL|
MEL|YYZ,|YYZ|LAX|SYD|MEL|
MEL|DEN,|DEN|LAX|SYD|MEL|
MEL|YUL,|YUL|SFO|SYD|MEL|
MEL|NBO,|NBO|BKK|MEL|
MEL|ICN,|ICN|SYD|MEL|
MEL|NRT,|NRT|ICN|SYD|MEL|
MEL|YHZ,|YHZ|YUL|SFO|SYD|MEL|
MEL|YOW,|YOW|ORD|LAX|SYD|MEL|
MEL|BJM,|BJM|BRU|IST|BKK|MEL|
MEL|COO,|COO|BRU|IST|BKK|MEL|
MEL|DKR,|DKR|BRU|IST|BKK|MEL|
MEL|DLA,|DLA|IST|BKK|MEL|
MEL|KGL,|KGL|IST|BKK|MEL|
MEL|LAD,|LAD|BRU|IST|BKK|MEL|
MEL|ABJ,|ABJ|OUA|NIM|IST|BKK|MEL|
MEL|AMS,|AMS|CAN|MEL|
MEL|OSL,|OSL|IST|BKK|MEL|
MEL|VNO,|VNO|IST|BKK|MEL|
MEL|WAW,|WAW|IST|BKK|MEL|
MEL|YYC,|YYC|YVR|SYD|MEL|
MEL|ATL,|ATL|LAX|SYD|MEL|
MEL|MSY,|MSY|LAX|SYD|MEL|
MEL|YEG,|YEG|YVR|SYD|MEL|
MEL|YMM,|YMM|YVR|SYD|MEL|
MEL|YQR,|YQR|YVR|SYD|MEL|
MEL|YVR,|YVR|SYD|MEL|
MEL|YWG,|YWG|YVR|SYD|MEL|
MEL|YXE,|YXE|YVR|SYD|MEL|
MEL|CKY,|CKY|DKR|BRU|IST|BKK|MEL|
MEL|FIH,|FIH|IST|BKK|MEL|
MEL|SCL,|SCL|EZE|IAH|LAX|SYD|MEL|
MEL|LCA,|LCA|FRA|TSE|URC|CAN|MEL|
MEL|NAP,|NAP|IST|BKK|MEL|
MEL|VLC,|VLC|IST|BKK|MEL|
MEL|BKK,|BKK|MEL|
MEL|ADD,|ADD|IST|BKK|MEL|
MEL|FRA,|FRA|TSE|URC|CAN|MEL|
MEL|IST,|IST|BKK|MEL|
MEL|EBB,|EBB|KGL|IST|BKK|MEL|
MEL|YLW,|YLW|YVR|SYD|MEL|
MEL|YYT,|YYT|YUL|SFO|SYD|MEL|
MEL|GUA,|GUA|IAH|LAX|SYD|MEL|
MEL|EWR,|EWR|LAX|SYD|MEL|
MEL|IAD,|IAD|LAX|SYD|MEL|
MEL|IAH,|IAH|LAX|SYD|MEL|
MEL|ORD,|ORD|LAX|SYD|MEL|
MEL|SOF,|SOF|IST|BKK|MEL|
MEL|YQB,|YQB|YUL|SFO|SYD|MEL|
MEL|YXU,|YXU|ORD|LAX|SYD|MEL|
MEL|EZE,|EZE|IAH|LAX|SYD|MEL|
MEL|YYJ,|YYJ|YVR|SYD|MEL|
MEL|YYY,|YYY|YUL|SFO|SYD|MEL|
MEL|YQQ,|YQQ|YBL|YVR|SYD|MEL|
MEL|YYR,|YYR|YWK|YZV|YUL|SFO|SYD|MEL|
MEL|LHR,|LHR|CAN|MEL|
MEL|SFO,|SFO|SYD|MEL|
MEL|YQU,|YQU|YEG|YVR|SYD|MEL|
MEL|YZF,|YZF|YEG|YVR|SYD|MEL|
MEL|YGR,|YGR|YGP|YQB|YUL|SFO|SYD|MEL|
MEL|YGP,|YGP|YQB|YUL|SFO|SYD|MEL|
MEL|BOS,|BOS|LAX|SYD|MEL|
MEL|YDF,|YDF|YYZ|LAX|SYD|MEL|
MEL|YFC,|YFC|YUL|SFO|SYD|MEL|
MEL|YQM,|YQM|YUL|SFO|SYD|MEL|
MEL|YQX,|YQX|YHZ|YUL|SFO|SYD|MEL|
MEL|YQY,|YQY|YYZ|LAX|SYD|MEL|
MEL|YSJ,|YSJ|YUL|SFO|SYD|MEL|
MEL|YYG,|YYG|YUL|SFO|SYD|MEL|
MEL|LAX,|LAX|SYD|MEL|
MEL|DCA,|DCA|STL|LAX|SYD|MEL|
MEL|LGA,|LGA|CLE|LAX|SYD|MEL|
MEL|YZV,|YZV|YUL|SFO|SYD|MEL|
MEL|YWL,|YWL|YVR|SYD|MEL|
MEL|AZS,|AZS|YYZ|LAX|SYD|MEL|
MEL|BDL,|BDL|MDW|LAX|SYD|MEL|
MEL|CCC,|CCC|YYZ|LAX|SYD|MEL|
MEL|CDG,|CDG|CAN|MEL|
