MEX|BRU,|BRU|IAD|MEX|
MEX|OUA,|OUA|BRU|IAD|MEX|
MEX|JED,|JED|FRA|IAD|MEX|
MEX|CPH,|CPH|YYZ|MEX|
MEX|YYZ,|YYZ|MEX|
MEX|DEN,|DEN|MEX|
MEX|YUL,|YUL|YYZ|MEX|
MEX|NBO,|NBO|ZRH|EWR|MEX|
MEX|ICN,|ICN|SFO|MEX|
MEX|NRT,|NRT|LAX|MEX|
MEX|YHZ,|YHZ|EWR|MEX|
MEX|YOW,|YOW|YYZ|MEX|
MEX|BJM,|BJM|BRU|IAD|MEX|
MEX|COO,|COO|BRU|IAD|MEX|
MEX|DKR,|DKR|IAD|MEX|
MEX|DLA,|DLA|BRU|IAD|MEX|
MEX|KGL,|KGL|BRU|IAD|MEX|
MEX|LAD,|LAD|BRU|IAD|MEX|
MEX|ABJ,|ABJ|BRU|IAD|MEX|
MEX|AMS,|AMS|IAD|MEX|
MEX|OSL,|OSL|EWR|MEX|
MEX|VNO,|VNO|CPH|YYZ|MEX|
MEX|WAW,|WAW|YYZ|MEX|
MEX|YYC,|YYC|DEN|MEX|
MEX|ATL,|ATL|IAH|MEX|
MEX|MSY,|MSY|IAH|MEX|
MEX|YEG,|YEG|DEN|MEX|
MEX|YMM,|YMM|DEN|MEX|
MEX|YQR,|YQR|DEN|MEX|
MEX|YVR,|YVR|MEX|
MEX|YWG,|YWG|DEN|MEX|
MEX|YXE,|YXE|DEN|MEX|
MEX|CKY,|CKY|DKR|IAD|MEX|
MEX|FIH,|FIH|DLA|BRU|IAD|MEX|
MEX|SCL,|SCL|EZE|IAH|MEX|
MEX|LCA,|LCA|FRA|IAD|MEX|
MEX|NAP,|NAP|FRA|IAD|MEX|
MEX|VLC,|VLC|FRA|IAD|MEX|
MEX|BKK,|BKK|CGO|PEK|YVR|MEX|
MEX|ADD,|ADD|JED|FRA|IAD|MEX|
MEX|FRA,|FRA|IAD|MEX|
MEX|IST,|IST|IAD|MEX|
MEX|EBB,|EBB|KGL|BRU|IAD|MEX|
MEX|YLW,|YLW|YYC|DEN|MEX|
MEX|YYT,|YYT|EWR|MEX|
MEX|GUA,|GUA|IAH|MEX|
MEX|EWR,|EWR|MEX|
MEX|IAD,|IAD|MEX|
MEX|IAH,|IAH|MEX|
MEX|ORD,|ORD|MEX|
MEX|SOF,|SOF|MUC|IAD|MEX|
MEX|YQB,|YQB|YYZ|MEX|
MEX|YXU,|YXU|ORD|MEX|
MEX|EZE,|EZE|IAH|MEX|
MEX|YYJ,|YYJ|YVR|MEX|
MEX|YYY,|YYY|YUL|YYZ|MEX|
MEX|YQQ,|YQQ|YBL|YVR|MEX|
MEX|YYR,|YYR|YWK|YZV|YQB|YYZ|MEX|
MEX|LHR,|LHR|IAD|MEX|
MEX|SFO,|SFO|MEX|
MEX|YQU,|YQU|YYC|DEN|MEX|
MEX|YZF,|YZF|YEG|DEN|MEX|
MEX|YGR,|YGR|YGP|YQB|YYZ|MEX|
MEX|YGP,|YGP|YQB|YYZ|MEX|
MEX|BOS,|BOS|EWR|MEX|
MEX|YDF,|YDF|YHZ|EWR|MEX|
MEX|YFC,|YFC|YYZ|MEX|
MEX|YQM,|YQM|EWR|MEX|
MEX|YQX,|YQX|YHZ|EWR|MEX|
MEX|YQY,|YQY|YHZ|EWR|MEX|
MEX|YSJ,|YSJ|YYZ|MEX|
MEX|YYG,|YYG|YHZ|EWR|MEX|
MEX|LAX,|LAX|MEX|
MEX|DCA,|DCA|IAH|MEX|
MEX|LGA,|LGA|IAD|MEX|
MEX|YZV,|YZV|YQB|YYZ|MEX|
MEX|YWL,|YWL|YVR|MEX|
MEX|AZS,|AZS|YYZ|MEX|
MEX|BDL,|BDL|IAD|MEX|
MEX|CCC,|CCC|YYZ|MEX|
MEX|CDG,|CDG|EWR|MEX|
MEX|CUN,|CUN|IAH|MEX|
MEX|CZM,|CZM|IAH|MEX|
MEX|FDF,|FDF|YUL|YYZ|MEX|
MEX|FLL,|FLL|IAH|MEX|
