MFE|BRU,|BRU|YUL|IAH|MFE|
MFE|OUA,|OUA|BRU|YUL|IAH|MFE|
MFE|JED,|JED|FRA|IAH|MFE|
MFE|CPH,|CPH|YYZ|IAH|MFE|
MFE|YYZ,|YYZ|IAH|MFE|
MFE|DEN,|DEN|IAH|MFE|
MFE|YUL,|YUL|IAH|MFE|
MFE|NBO,|NBO|ZRH|YUL|IAH|MFE|
MFE|ICN,|ICN|YVR|IAH|MFE|
MFE|NRT,|NRT|IAH|MFE|
MFE|YHZ,|YHZ|BOS|IAH|MFE|
MFE|YOW,|YOW|YYZ|IAH|MFE|
MFE|BJM,|BJM|BRU|YUL|IAH|MFE|
MFE|COO,|COO|BRU|YUL|IAH|MFE|
MFE|DKR,|DKR|IAD|IAH|MFE|
MFE|DLA,|DLA|BRU|YUL|IAH|MFE|
MFE|KGL,|KGL|BRU|YUL|IAH|MFE|
MFE|LAD,|LAD|BRU|YUL|IAH|MFE|
MFE|ABJ,|ABJ|BRU|YUL|IAH|MFE|
MFE|AMS,|AMS|IAH|MFE|
MFE|OSL,|OSL|EWR|IAH|MFE|
MFE|VNO,|VNO|CPH|YYZ|IAH|MFE|
MFE|WAW,|WAW|YYZ|IAH|MFE|
MFE|YYC,|YYC|IAH|MFE|
MFE|ATL,|ATL|IAH|MFE|
MFE|MSY,|MSY|IAH|MFE|
MFE|YEG,|YEG|IAH|MFE|
MFE|YMM,|YMM|DEN|IAH|MFE|
MFE|YQR,|YQR|DEN|IAH|MFE|
MFE|YVR,|YVR|IAH|MFE|
MFE|YWG,|YWG|ORD|IAH|MFE|
MFE|YXE,|YXE|DEN|IAH|MFE|
MFE|CKY,|CKY|DKR|IAD|IAH|MFE|
MFE|FIH,|FIH|DLA|BRU|YUL|IAH|MFE|
MFE|SCL,|SCL|EZE|IAH|MFE|
MFE|LCA,|LCA|FRA|IAH|MFE|
MFE|NAP,|NAP|FRA|IAH|MFE|
MFE|VLC,|VLC|FRA|IAH|MFE|
MFE|BKK,|BKK|CGO|PEK|IAH|MFE|
MFE|ADD,|ADD|JED|FRA|IAH|MFE|
MFE|FRA,|FRA|IAH|MFE|
MFE|IST,|IST|IAH|MFE|
MFE|EBB,|EBB|KGL|BRU|YUL|IAH|MFE|
MFE|YLW,|YLW|YYC|IAH|MFE|
MFE|YYT,|YYT|YHZ|BOS|IAH|MFE|
MFE|GUA,|GUA|IAH|MFE|
MFE|EWR,|EWR|IAH|MFE|
MFE|IAD,|IAD|IAH|MFE|
MFE|IAH,|IAH|MFE|
MFE|ORD,|ORD|IAH|MFE|
MFE|SOF,|SOF|MUC|IAH|MFE|
MFE|YQB,|YQB|YUL|IAH|MFE|
MFE|YXU,|YXU|ORD|IAH|MFE|
MFE|EZE,|EZE|IAH|MFE|
MFE|YYJ,|YYJ|YVR|IAH|MFE|
MFE|YYY,|YYY|YUL|IAH|MFE|
MFE|YQQ,|YQQ|YBL|YVR|IAH|MFE|
MFE|YYR,|YYR|YWK|YZV|YUL|IAH|MFE|
MFE|LHR,|LHR|IAH|MFE|
MFE|SFO,|SFO|IAH|MFE|
MFE|YQU,|YQU|YYC|IAH|MFE|
MFE|YZF,|YZF|YEG|IAH|MFE|
MFE|YGR,|YGR|YGP|YQB|YUL|IAH|MFE|
MFE|YGP,|YGP|YQB|YUL|IAH|MFE|
MFE|BOS,|BOS|IAH|MFE|
MFE|YDF,|YDF|YYZ|IAH|MFE|
MFE|YFC,|YFC|YUL|IAH|MFE|
MFE|YQM,|YQM|EWR|IAH|MFE|
MFE|YQX,|YQX|YHZ|BOS|IAH|MFE|
MFE|YQY,|YQY|YHZ|BOS|IAH|MFE|
MFE|YSJ,|YSJ|YUL|IAH|MFE|
MFE|YYG,|YYG|YUL|IAH|MFE|
MFE|LAX,|LAX|IAH|MFE|
MFE|DCA,|DCA|IAH|MFE|
MFE|LGA,|LGA|IAH|MFE|
MFE|YZV,|YZV|YUL|IAH|MFE|
MFE|YWL,|YWL|YVR|IAH|MFE|
MFE|AZS,|AZS|YYZ|IAH|MFE|
MFE|BDL,|BDL|IAD|IAH|MFE|
MFE|CCC,|CCC|YYZ|IAH|MFE|
MFE|CDG,|CDG|YUL|IAH|MFE|
MFE|CUN,|CUN|IAH|MFE|
MFE|CZM,|CZM|IAH|MFE|
MFE|FDF,|FDF|YUL|IAH|MFE|
MFE|FLL,|FLL|IAH|MFE|
MFE|GVA,|GVA|YUL|IAH|MFE|
MFE|HOG,|HOG|YYZ|IAH|MFE|
MFE|LAS,|LAS|IAH|MFE|
