MFM|BRU,|BRU|IST|URC|CSX|XMN|MFM|
MFM|OUA,|OUA|NIM|IST|URC|CSX|XMN|MFM|
MFM|JED,|JED|IST|URC|CSX|XMN|MFM|
MFM|CPH,|CPH|AMS|XMN|MFM|
MFM|YYZ,|YYZ|PEK|XMN|MFM|
MFM|DEN,|DEN|YVR|PEK|XMN|MFM|
MFM|YUL,|YUL|YYZ|PEK|XMN|MFM|
MFM|NBO,|NBO|CAN|XMN|MFM|
MFM|ICN,|ICN|DLC|HGH|MFM|
MFM|NRT,|NRT|DLC|HGH|MFM|
MFM|YHZ,|YHZ|YYZ|PEK|XMN|MFM|
MFM|YOW,|YOW|YYZ|PEK|XMN|MFM|
MFM|BJM,|BJM|BRU|IST|URC|CSX|XMN|MFM|
MFM|COO,|COO|BRU|IST|URC|CSX|XMN|MFM|
MFM|DKR,|DKR|BRU|IST|URC|CSX|XMN|MFM|
MFM|DLA,|DLA|IST|URC|CSX|XMN|MFM|
MFM|KGL,|KGL|IST|URC|CSX|XMN|MFM|
MFM|LAD,|LAD|BRU|IST|URC|CSX|XMN|MFM|
MFM|ABJ,|ABJ|OUA|NIM|IST|URC|CSX|XMN|MFM|
MFM|AMS,|AMS|XMN|MFM|
MFM|OSL,|OSL|CPH|AMS|XMN|MFM|
MFM|VNO,|VNO|IST|URC|CSX|XMN|MFM|
MFM|WAW,|WAW|IST|URC|CSX|XMN|MFM|
MFM|YYC,|YYC|YVR|PEK|XMN|MFM|
MFM|ATL,|ATL|ORD|PEK|XMN|MFM|
MFM|MSY,|MSY|ORD|PEK|XMN|MFM|
MFM|YEG,|YEG|YVR|PEK|XMN|MFM|
MFM|YMM,|YMM|YVR|PEK|XMN|MFM|
MFM|YQR,|YQR|YVR|PEK|XMN|MFM|
MFM|YVR,|YVR|PEK|XMN|MFM|
MFM|YWG,|YWG|YVR|PEK|XMN|MFM|
MFM|YXE,|YXE|YVR|PEK|XMN|MFM|
MFM|CKY,|CKY|DKR|BRU|IST|URC|CSX|XMN|MFM|
MFM|FIH,|FIH|IST|URC|CSX|XMN|MFM|
MFM|SCL,|SCL|YYZ|PEK|XMN|MFM|
MFM|LCA,|LCA|FRA|TSE|URC|CSX|XMN|MFM|
