MGA|BRU,|BRU|YUL|IAH|MGA|
MGA|OUA,|OUA|BRU|YUL|IAH|MGA|
MGA|JED,|JED|FRA|IAH|MGA|
MGA|CPH,|CPH|YYZ|IAH|MGA|
MGA|YYZ,|YYZ|IAH|MGA|
MGA|DEN,|DEN|IAH|MGA|
MGA|YUL,|YUL|IAH|MGA|
MGA|NBO,|NBO|ZRH|YUL|IAH|MGA|
MGA|ICN,|ICN|YVR|IAH|MGA|
MGA|NRT,|NRT|IAH|MGA|
MGA|YHZ,|YHZ|BOS|IAH|MGA|
MGA|YOW,|YOW|YYZ|IAH|MGA|
MGA|BJM,|BJM|BRU|YUL|IAH|MGA|
MGA|COO,|COO|BRU|YUL|IAH|MGA|
MGA|DKR,|DKR|IAD|IAH|MGA|
MGA|DLA,|DLA|BRU|YUL|IAH|MGA|
MGA|KGL,|KGL|BRU|YUL|IAH|MGA|
MGA|LAD,|LAD|BRU|YUL|IAH|MGA|
MGA|ABJ,|ABJ|BRU|YUL|IAH|MGA|
MGA|AMS,|AMS|IAH|MGA|
MGA|OSL,|OSL|EWR|IAH|MGA|
MGA|VNO,|VNO|CPH|YYZ|IAH|MGA|
MGA|WAW,|WAW|YYZ|IAH|MGA|
MGA|YYC,|YYC|IAH|MGA|
MGA|ATL,|ATL|IAH|MGA|
MGA|MSY,|MSY|IAH|MGA|
MGA|YEG,|YEG|IAH|MGA|
MGA|YMM,|YMM|DEN|IAH|MGA|
MGA|YQR,|YQR|DEN|IAH|MGA|
MGA|YVR,|YVR|IAH|MGA|
MGA|YWG,|YWG|ORD|IAH|MGA|
MGA|YXE,|YXE|DEN|IAH|MGA|
MGA|CKY,|CKY|DKR|IAD|IAH|MGA|
MGA|FIH,|FIH|DLA|BRU|YUL|IAH|MGA|
MGA|SCL,|SCL|EZE|IAH|MGA|
MGA|LCA,|LCA|FRA|IAH|MGA|
MGA|NAP,|NAP|FRA|IAH|MGA|
MGA|VLC,|VLC|FRA|IAH|MGA|
MGA|BKK,|BKK|CGO|PEK|IAH|MGA|
MGA|ADD,|ADD|JED|FRA|IAH|MGA|
MGA|FRA,|FRA|IAH|MGA|
MGA|IST,|IST|IAH|MGA|
MGA|EBB,|EBB|KGL|BRU|YUL|IAH|MGA|
MGA|YLW,|YLW|YYC|IAH|MGA|
MGA|YYT,|YYT|YHZ|BOS|IAH|MGA|
MGA|GUA,|GUA|IAH|MGA|
MGA|EWR,|EWR|IAH|MGA|
MGA|IAD,|IAD|IAH|MGA|
MGA|IAH,|IAH|MGA|
MGA|ORD,|ORD|IAH|MGA|
MGA|SOF,|SOF|MUC|IAH|MGA|
MGA|YQB,|YQB|YUL|IAH|MGA|
MGA|YXU,|YXU|ORD|IAH|MGA|
MGA|EZE,|EZE|IAH|MGA|
MGA|YYJ,|YYJ|YVR|IAH|MGA|
MGA|YYY,|YYY|YUL|IAH|MGA|
MGA|YQQ,|YQQ|YBL|YVR|IAH|MGA|
MGA|YYR,|YYR|YWK|YZV|YUL|IAH|MGA|
MGA|LHR,|LHR|IAH|MGA|
MGA|SFO,|SFO|IAH|MGA|
MGA|YQU,|YQU|YYC|IAH|MGA|
MGA|YZF,|YZF|YEG|IAH|MGA|
MGA|YGR,|YGR|YGP|YQB|YUL|IAH|MGA|
MGA|YGP,|YGP|YQB|YUL|IAH|MGA|
MGA|BOS,|BOS|IAH|MGA|
MGA|YDF,|YDF|YYZ|IAH|MGA|
MGA|YFC,|YFC|YUL|IAH|MGA|
MGA|YQM,|YQM|EWR|IAH|MGA|
MGA|YQX,|YQX|YHZ|BOS|IAH|MGA|
MGA|YQY,|YQY|YHZ|BOS|IAH|MGA|
MGA|YSJ,|YSJ|YUL|IAH|MGA|
MGA|YYG,|YYG|YUL|IAH|MGA|
MGA|LAX,|LAX|IAH|MGA|
MGA|DCA,|DCA|IAH|MGA|
MGA|LGA,|LGA|IAH|MGA|
MGA|YZV,|YZV|YUL|IAH|MGA|
MGA|YWL,|YWL|YVR|IAH|MGA|
MGA|AZS,|AZS|YYZ|IAH|MGA|
MGA|BDL,|BDL|IAD|IAH|MGA|
MGA|CCC,|CCC|YYZ|IAH|MGA|
MGA|CDG,|CDG|YUL|IAH|MGA|
MGA|CUN,|CUN|IAH|MGA|
MGA|CZM,|CZM|IAH|MGA|
MGA|FDF,|FDF|YUL|IAH|MGA|
MGA|FLL,|FLL|IAH|MGA|
MGA|GVA,|GVA|YUL|IAH|MGA|
MGA|HOG,|HOG|YYZ|IAH|MGA|
MGA|LAS,|LAS|IAH|MGA|
MGA|MBJ,|MBJ|IAH|MGA|
MGA|MCO,|MCO|IAH|MGA|
MGA|MUC,|MUC|IAH|MGA|
MGA|PAP,|PAP|YUL|IAH|MGA|
MGA|PTP,|PTP|YUL|IAH|MGA|
MGA|PUJ,|PUJ|ATL|IAH|MGA|
MGA|SNU,|SNU|YYZ|IAH|MGA|
MGA|VRA,|VRA|YYZ|IAH|MGA|
MGA|YBC,|YBC|YUL|IAH|MGA|
MGA|YBG,|YBG|YUL|IAH|MGA|
MGA|YTZ,|YTZ|YUL|IAH|MGA|
MGA|YUY,|YUY|YUL|IAH|MGA|
