MIA|BRU,|BRU|EWR|MIA|
MIA|OUA,|OUA|BRU|EWR|MIA|
MIA|JED,|JED|FRA|MIA|
MIA|CPH,|CPH|AMS|EWR|MIA|
MIA|YYZ,|YYZ|MIA|
MIA|DEN,|DEN|MIA|
MIA|YUL,|YUL|MIA|
MIA|NBO,|NBO|ZRH|MIA|
MIA|ICN,|ICN|YVR|DEN|MIA|
MIA|NRT,|NRT|ORD|MIA|
MIA|YHZ,|YHZ|EWR|MIA|
MIA|YOW,|YOW|IAD|MIA|
MIA|BJM,|BJM|BRU|EWR|MIA|
MIA|COO,|COO|BRU|EWR|MIA|
MIA|DKR,|DKR|IAD|MIA|
MIA|DLA,|DLA|BRU|EWR|MIA|
MIA|KGL,|KGL|BRU|EWR|MIA|
MIA|LAD,|LAD|BRU|EWR|MIA|
MIA|ABJ,|ABJ|BRU|EWR|MIA|
MIA|AMS,|AMS|EWR|MIA|
MIA|OSL,|OSL|EWR|MIA|
MIA|VNO,|VNO|FRA|MIA|
MIA|WAW,|WAW|CPH|AMS|EWR|MIA|
MIA|YYC,|YYC|ORD|MIA|
MIA|ATL,|ATL|MSY|MIA|
MIA|MSY,|MSY|MIA|
MIA|YEG,|YEG|ORD|MIA|
MIA|YMM,|YMM|YEG|ORD|MIA|
MIA|YQR,|YQR|ORD|MIA|
MIA|YVR,|YVR|DEN|MIA|
MIA|YWG,|YWG|ORD|MIA|
MIA|YXE,|YXE|ORD|MIA|
MIA|CKY,|CKY|DKR|IAD|MIA|
MIA|FIH,|FIH|DLA|BRU|EWR|MIA|
MIA|SCL,|SCL|YYZ|MIA|
MIA|LCA,|LCA|FRA|MIA|
MIA|NAP,|NAP|FRA|MIA|
MIA|VLC,|VLC|FRA|MIA|
MIA|BKK,|BKK|CGO|PEK|ORD|MIA|
MIA|ADD,|ADD|IST|ZRH|MIA|
MIA|FRA,|FRA|MIA|
MIA|IST,|IST|ZRH|MIA|
MIA|EBB,|EBB|KGL|BRU|EWR|MIA|
MIA|YLW,|YLW|YYC|ORD|MIA|
MIA|YYT,|YYT|EWR|MIA|
MIA|GUA,|GUA|MIA|
MIA|EWR,|EWR|MIA|
