MIG|BRU,|BRU|IST|URC|CSX|MIG|
MIG|OUA,|OUA|NIM|IST|URC|CSX|MIG|
MIG|JED,|JED|IST|URC|CSX|MIG|
MIG|CPH,|CPH|AMS|CTU|CSX|MIG|
MIG|YYZ,|YYZ|PEK|CSX|MIG|
MIG|DEN,|DEN|YVR|ICN|CSX|MIG|
MIG|YUL,|YUL|YYZ|PEK|CSX|MIG|
MIG|NBO,|NBO|CAN|MIG|
MIG|ICN,|ICN|CSX|MIG|
MIG|NRT,|NRT|ICN|CSX|MIG|
MIG|YHZ,|YHZ|YYZ|PEK|CSX|MIG|
MIG|YOW,|YOW|YYZ|PEK|CSX|MIG|
MIG|BJM,|BJM|BRU|IST|URC|CSX|MIG|
MIG|COO,|COO|BRU|IST|URC|CSX|MIG|
MIG|DKR,|DKR|BRU|IST|URC|CSX|MIG|
MIG|DLA,|DLA|IST|URC|CSX|MIG|
MIG|KGL,|KGL|IST|URC|CSX|MIG|
MIG|LAD,|LAD|BRU|IST|URC|CSX|MIG|
MIG|ABJ,|ABJ|OUA|NIM|IST|URC|CSX|MIG|
MIG|AMS,|AMS|CTU|CSX|MIG|
MIG|OSL,|OSL|CPH|AMS|CTU|CSX|MIG|
MIG|VNO,|VNO|IST|URC|CSX|MIG|
MIG|WAW,|WAW|IST|URC|CSX|MIG|
MIG|YYC,|YYC|YVR|ICN|CSX|MIG|
MIG|ATL,|ATL|ORD|PEK|CSX|MIG|
MIG|MSY,|MSY|ORD|PEK|CSX|MIG|
MIG|YEG,|YEG|YVR|ICN|CSX|MIG|
MIG|YMM,|YMM|YVR|ICN|CSX|MIG|
MIG|YQR,|YQR|YVR|ICN|CSX|MIG|
MIG|YVR,|YVR|ICN|CSX|MIG|
MIG|YWG,|YWG|YVR|ICN|CSX|MIG|
MIG|YXE,|YXE|YVR|ICN|CSX|MIG|
MIG|CKY,|CKY|DKR|BRU|IST|URC|CSX|MIG|
MIG|FIH,|FIH|IST|URC|CSX|MIG|
MIG|SCL,|SCL|YYZ|PEK|CSX|MIG|
MIG|LCA,|LCA|FRA|TSE|URC|CSX|MIG|
MIG|NAP,|NAP|IST|URC|CSX|MIG|
MIG|VLC,|VLC|FRA|TSE|URC|CSX|MIG|
MIG|BKK,|BKK|CAN|MIG|
MIG|ADD,|ADD|IST|URC|CSX|MIG|
MIG|FRA,|FRA|TSE|URC|CSX|MIG|
MIG|IST,|IST|URC|CSX|MIG|
MIG|EBB,|EBB|KGL|IST|URC|CSX|MIG|
MIG|YLW,|YLW|YVR|ICN|CSX|MIG|
MIG|YYT,|YYT|LHR|CAN|MIG|
MIG|GUA,|GUA|IAH|PEK|CSX|MIG|
MIG|EWR,|EWR|PEK|CSX|MIG|
MIG|IAD,|IAD|PEK|CSX|MIG|
MIG|IAH,|IAH|PEK|CSX|MIG|
MIG|ORD,|ORD|PEK|CSX|MIG|
MIG|SOF,|SOF|IST|URC|CSX|MIG|
MIG|YQB,|YQB|YYZ|PEK|CSX|MIG|
MIG|YXU,|YXU|YYZ|PEK|CSX|MIG|
MIG|EZE,|EZE|GRU|IST|URC|CSX|MIG|
MIG|YYJ,|YYJ|YVR|ICN|CSX|MIG|
MIG|YYY,|YYY|YUL|YYZ|PEK|CSX|MIG|
MIG|YQQ,|YQQ|YBL|YVR|ICN|CSX|MIG|
MIG|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|CSX|MIG|
MIG|LHR,|LHR|CAN|MIG|
MIG|SFO,|SFO|ICN|CSX|MIG|
MIG|YQU,|YQU|YEG|YVR|ICN|CSX|MIG|
MIG|YZF,|YZF|YEG|YVR|ICN|CSX|MIG|
MIG|YGR,|YGR|YGP|YQB|YYZ|PEK|CSX|MIG|
MIG|YGP,|YGP|YQB|YYZ|PEK|CSX|MIG|
MIG|BOS,|BOS|YYZ|PEK|CSX|MIG|
MIG|YDF,|YDF|YYZ|PEK|CSX|MIG|
MIG|YFC,|YFC|YYZ|PEK|CSX|MIG|
MIG|YQM,|YQM|YYZ|PEK|CSX|MIG|
MIG|YQX,|YQX|YYT|LHR|CAN|MIG|
MIG|YQY,|YQY|YYZ|PEK|CSX|MIG|
MIG|YSJ,|YSJ|YYZ|PEK|CSX|MIG|
MIG|YYG,|YYG|YYZ|PEK|CSX|MIG|
MIG|LAX,|LAX|ICN|CSX|MIG|
MIG|DCA,|DCA|YYZ|PEK|CSX|MIG|
MIG|LGA,|LGA|YYZ|PEK|CSX|MIG|
MIG|YZV,|YZV|YQB|YYZ|PEK|CSX|MIG|
MIG|YWL,|YWL|YVR|ICN|CSX|MIG|
MIG|AZS,|AZS|YYZ|PEK|CSX|MIG|
MIG|BDL,|BDL|YYZ|PEK|CSX|MIG|
MIG|CCC,|CCC|YYZ|PEK|CSX|MIG|
MIG|CDG,|CDG|CAN|MIG|
MIG|CUN,|CUN|IAH|PEK|CSX|MIG|
MIG|CZM,|CZM|IAH|PEK|CSX|MIG|
MIG|FDF,|FDF|YUL|YYZ|PEK|CSX|MIG|
MIG|FLL,|FLL|ORD|PEK|CSX|MIG|
MIG|GVA,|GVA|IST|URC|CSX|MIG|
MIG|HOG,|HOG|YYZ|PEK|CSX|MIG|
MIG|LAS,|LAS|SFO|ICN|CSX|MIG|
MIG|MBJ,|MBJ|ATL|ORD|PEK|CSX|MIG|
MIG|MCO,|MCO|ORD|PEK|CSX|MIG|
MIG|MUC,|MUC|IST|URC|CSX|MIG|
MIG|PAP,|PAP|YUL|YYZ|PEK|CSX|MIG|
MIG|PTP,|PTP|YUL|YYZ|PEK|CSX|MIG|
MIG|PUJ,|PUJ|EWR|PEK|CSX|MIG|
MIG|SNU,|SNU|YYZ|PEK|CSX|MIG|
MIG|VRA,|VRA|YYZ|PEK|CSX|MIG|
MIG|YBC,|YBC|YUL|YYZ|PEK|CSX|MIG|
MIG|YBG,|YBG|YUL|YYZ|PEK|CSX|MIG|
MIG|YTZ,|YTZ|YUL|YYZ|PEK|CSX|MIG|
MIG|YUY,|YUY|YUL|YYZ|PEK|CSX|MIG|
MIG|YVO,|YVO|YUL|YYZ|PEK|CSX|MIG|
MIG|ZBF,|ZBF|YUL|YYZ|PEK|CSX|MIG|
MIG|ZRH,|ZRH|IST|URC|CSX|MIG|
MIG|ZSA,|ZSA|YUL|YYZ|PEK|CSX|MIG|
MIG|AKL,|AKL|CAN|MIG|
MIG|HKG,|HKG|CAN|MIG|
MIG|HND,|HND|HNL|NRT|ICN|CSX|MIG|
MIG|HNL,|HNL|NRT|ICN|CSX|MIG|
MIG|MEX,|MEX|SFO|ICN|CSX|MIG|
MIG|OGG,|OGG|HNL|NRT|ICN|CSX|MIG|
MIG|PDX,|PDX|SEA|ICN|CSX|MIG|
MIG|PEK,|PEK|CSX|MIG|
MIG|PVG,|PVG|CSX|MIG|
MIG|PVR,|PVR|LAX|ICN|CSX|MIG|
MIG|SEA,|SEA|ICN|CSX|MIG|
MIG|SYD,|SYD|CAN|MIG|
MIG|YBL,|YBL|YVR|ICN|CSX|MIG|
MIG|YCD,|YCD|YVR|ICN|CSX|MIG|
MIG|YCG,|YCG|YVR|ICN|CSX|MIG|
MIG|YKA,|YKA|YVR|ICN|CSX|MIG|
MIG|YPR,|YPR|YVR|ICN|CSX|MIG|
MIG|YQZ,|YQZ|YVR|ICN|CSX|MIG|
MIG|YXC,|YXC|YVR|ICN|CSX|MIG|
MIG|YXJ,|YXJ|YVR|ICN|CSX|MIG|
MIG|YXS,|YXS|YVR|ICN|CSX|MIG|
MIG|YXT,|YXT|YVR|ICN|CSX|MIG|
MIG|YXY,|YXY|YVR|ICN|CSX|MIG|
MIG|YYD,|YYD|YVR|ICN|CSX|MIG|
MIG|YYF,|YYF|YVR|ICN|CSX|MIG|
MIG|YZP,|YZP|YVR|ICN|CSX|MIG|
MIG|YQT,|YQT|YWG|YVR|ICN|CSX|MIG|
MIG|SJD,|SJD|LAX|ICN|CSX|MIG|
MIG|YQF,|YQF|YYC|YVR|ICN|CSX|MIG|
MIG|YQL,|YQL|YYC|YVR|ICN|CSX|MIG|
MIG|YXH,|YXH|YYC|YVR|ICN|CSX|MIG|
MIG|YWK,|YWK|YZV|YQB|YYZ|PEK|CSX|MIG|
MIG|ANU,|ANU|EWR|PEK|CSX|MIG|
MIG|AUA,|AUA|EWR|PEK|CSX|MIG|
MIG|AUH,|AUH|IST|URC|CSX|MIG|
MIG|BCN,|BCN|IST|URC|CSX|MIG|
MIG|BDA,|BDA|EWR|PEK|CSX|MIG|
MIG|BGI,|BGI|YYZ|PEK|CSX|MIG|
MIG|BNA,|BNA|ORD|PEK|CSX|MIG|
MIG|BOG,|BOG|MIA|ORD|PEK|CSX|MIG|
MIG|BWI,|BWI|YYZ|PEK|CSX|MIG|
MIG|CLE,|CLE|YYZ|PEK|CSX|MIG|
MIG|CLT,|CLT|YYZ|PEK|CSX|MIG|
MIG|CMH,|CMH|ORD|PEK|CSX|MIG|
MIG|CVG,|CVG|ORD|PEK|CSX|MIG|
MIG|DFW,|DFW|YVR|ICN|CSX|MIG|
MIG|DTW,|DTW|PEK|CSX|MIG|
MIG|DUB,|DUB|IST|URC|CSX|MIG|
MIG|FCO,|FCO|IST|URC|CSX|MIG|
MIG|GCM,|GCM|YYZ|PEK|CSX|MIG|
MIG|GGT,|GGT|YYZ|PEK|CSX|MIG|
MIG|GND,|GND|YYZ|PEK|CSX|MIG|
MIG|GRU,|GRU|IST|URC|CSX|MIG|
MIG|HAV,|HAV|YYZ|PEK|CSX|MIG|
MIG|IND,|IND|ORD|PEK|CSX|MIG|
MIG|JFK,|JFK|PEK|CSX|MIG|
MIG|KIN,|KIN|YYZ|PEK|CSX|MIG|
MIG|LIM,|LIM|IAH|PEK|CSX|MIG|
MIG|LIR,|LIR|IAH|PEK|CSX|MIG|
MIG|MCI,|MCI|DEN|YVR|ICN|CSX|MIG|
MIG|MDT,|MDT|YYZ|PEK|CSX|MIG|
MIG|MIA,|MIA|ORD|PEK|CSX|MIG|
MIG|MKE,|MKE|ORD|PEK|CSX|MIG|
MIG|MSP,|MSP|ORD|PEK|CSX|MIG|
MIG|NAS,|NAS|YYZ|PEK|CSX|MIG|
MIG|PHL,|PHL|YYZ|PEK|CSX|MIG|
MIG|PHX,|PHX|SFO|ICN|CSX|MIG|
MIG|PIT,|PIT|YYZ|PEK|CSX|MIG|
MIG|PLS,|PLS|EWR|PEK|CSX|MIG|
MIG|POP,|POP|EWR|PEK|CSX|MIG|
MIG|RDU,|RDU|YYZ|PEK|CSX|MIG|
MIG|ROC,|ROC|YYZ|PEK|CSX|MIG|
MIG|RSW,|RSW|ORD|PEK|CSX|MIG|
MIG|SAN,|SAN|LAX|ICN|CSX|MIG|
MIG|SJO,|SJO|IAH|PEK|CSX|MIG|
MIG|STL,|STL|ORD|PEK|CSX|MIG|
MIG|SYR,|SYR|YYZ|PEK|CSX|MIG|
MIG|TLV,|TLV|SAW|TBS|URC|CSX|MIG|
MIG|TPA,|TPA|ORD|PEK|CSX|MIG|
MIG|UVF,|UVF|EWR|PEK|CSX|MIG|
MIG|VIE,|VIE|IST|URC|CSX|MIG|
MIG|YAM,|YAM|YYZ|PEK|CSX|MIG|
MIG|YGK,|YGK|YYZ|PEK|CSX|MIG|
MIG|YQG,|YQG|YYZ|PEK|CSX|MIG|
MIG|YSB,|YSB|YYZ|PEK|CSX|MIG|
MIG|YTS,|YTS|YYZ|PEK|CSX|MIG|
MIG|YYB,|YYB|YYZ|PEK|CSX|MIG|
MIG|YZR,|YZR|YYZ|PEK|CSX|MIG|
MIG|CAN,|CAN|MIG|
MIG|URC,|URC|CSX|MIG|
MIG|CTU,|CTU|CSX|MIG|
MIG|HGH,|HGH|CSX|MIG|
MIG|XMN,|XMN|CSX|MIG|
MIG|CGO,|CGO|YTY|CSX|MIG|
MIG|CSX,|CSX|MIG|
MIG|SHE,|SHE|TAO|CSX|MIG|
MIG|SJW,|SJW|CSX|MIG|
MIG|WUH,|WUH|CAN|MIG|
MIG|SZX,|SZX|CSX|MIG|
MIG|CKG,|CKG|CSX|MIG|
MIG|KMG,|KMG|CSX|MIG|
MIG|FOC,|FOC|CSX|MIG|
MIG|NNG,|NNG|CSX|MIG|
MIG|SWA,|SWA|CSX|MIG|
MIG|ACX,|ACX|CAN|MIG|
MIG|AQG,|AQG|CAN|MIG|
MIG|AVA,|AVA|CAN|MIG|
MIG|BFJ,|BFJ|CAN|MIG|
MIG|BHY,|BHY|CAN|MIG|
MIG|BNE,|BNE|CAN|MIG|
MIG|CGD,|CGD|CAN|MIG|
MIG|CGK,|CGK|CAN|MIG|
MIG|CGQ,|CGQ|TAO|CSX|MIG|
MIG|CIH,|CIH|DAT|TYN|CSX|MIG|
MIG|CNX,|CNX|CAN|MIG|
MIG|CZX,|CZX|CSX|MIG|
MIG|DAC,|DAC|CAN|MIG|
MIG|DAD,|DAD|CAN|MIG|
MIG|DEL,|DEL|CAN|MIG|
MIG|DIG,|DIG|KMG|CSX|MIG|
MIG|DLC,|DLC|CSX|MIG|
MIG|DPS,|DPS|CAN|MIG|
MIG|DXB,|DXB|CAN|MIG|
MIG|DYG,|DYG|CSX|MIG|
MIG|FUG,|FUG|CAN|MIG|
MIG|FUK,|FUK|ICN|CSX|MIG|
MIG|HAK,|HAK|CAN|MIG|
MIG|HAN,|HAN|CAN|MIG|
MIG|HDG,|HDG|CAN|MIG|
MIG|HET,|HET|CSX|MIG|
MIG|HFE,|HFE|CSX|MIG|
MIG|HJJ,|HJJ|CSX|MIG|
MIG|HKT,|HKT|CAN|MIG|
MIG|HRB,|HRB|CSX|MIG|
MIG|HZH,|HZH|CAN|MIG|
MIG|JIU,|JIU|CAN|MIG|
MIG|JJN,|JJN|CSX|MIG|
MIG|JNG,|JNG|CAN|MIG|
MIG|KHN,|KHN|CAN|MIG|
MIG|KIX,|KIX|DLC|CSX|MIG|
MIG|KOW,|KOW|CAN|MIG|
MIG|KTM,|KTM|CAN|MIG|
MIG|KUL,|KUL|CAN|MIG|
MIG|KWE,|KWE|CSX|MIG|
MIG|KWL,|KWL|CAN|MIG|
MIG|LHW,|LHW|CSX|MIG|
MIG|LYA,|LYA|CAN|MIG|
MIG|LYG,|LYG|CAN|MIG|
MIG|LZH,|LZH|CAN|MIG|
MIG|MEL,|MEL|CAN|MIG|
MIG|MLE,|MLE|CAN|MIG|
MIG|MNL,|MNL|CAN|MIG|
MIG|MXZ,|MXZ|CAN|MIG|
MIG|NAO,|NAO|CAN|MIG|
MIG|NGB,|NGB|CSX|MIG|
MIG|NKG,|NKG|CSX|MIG|
MIG|NNY,|NNY|CAN|MIG|
MIG|PEN,|PEN|CAN|MIG|
MIG|PER,|PER|CAN|MIG|
MIG|PNH,|PNH|CAN|MIG|
MIG|REP,|REP|CAN|MIG|
MIG|RGN,|RGN|CAN|MIG|
MIG|SGN,|SGN|CAN|MIG|
MIG|SHA,|SHA|CSX|MIG|
MIG|SIN,|SIN|CAN|MIG|
MIG|SVO,|SVO|URC|CSX|MIG|
