MKE|BRU,|BRU|YUL|YYZ|MKE|
MKE|OUA,|OUA|BRU|YUL|YYZ|MKE|
MKE|JED,|JED|FRA|YYZ|MKE|
MKE|CPH,|CPH|YYZ|MKE|
MKE|YYZ,|YYZ|MKE|
MKE|DEN,|DEN|MKE|
MKE|YUL,|YUL|YYZ|MKE|
MKE|NBO,|NBO|ZRH|YYZ|MKE|
MKE|ICN,|ICN|SEA|MKE|
MKE|NRT,|NRT|ORD|MKE|
MKE|YHZ,|YHZ|YYZ|MKE|
MKE|YOW,|YOW|YYZ|MKE|
MKE|BJM,|BJM|BRU|YUL|YYZ|MKE|
MKE|COO,|COO|BRU|YUL|YYZ|MKE|
MKE|DKR,|DKR|IAD|CLE|MKE|
MKE|DLA,|DLA|BRU|YUL|YYZ|MKE|
MKE|KGL,|KGL|BRU|YUL|YYZ|MKE|
MKE|LAD,|LAD|BRU|YUL|YYZ|MKE|
MKE|ABJ,|ABJ|BRU|YUL|YYZ|MKE|
MKE|AMS,|AMS|ORD|MKE|
MKE|OSL,|OSL|EWR|MKE|
MKE|VNO,|VNO|CPH|YYZ|MKE|
MKE|WAW,|WAW|YYZ|MKE|
MKE|YYC,|YYC|ORD|MKE|
MKE|ATL,|ATL|MKE|
MKE|MSY,|MSY|MKE|
MKE|YEG,|YEG|ORD|MKE|
MKE|YMM,|YMM|YEG|ORD|MKE|
MKE|YQR,|YQR|ORD|MKE|
MKE|YVR,|YVR|SEA|MKE|
MKE|YWG,|YWG|ORD|MKE|
MKE|YXE,|YXE|ORD|MKE|
MKE|CKY,|CKY|DKR|IAD|CLE|MKE|
MKE|FIH,|FIH|DLA|BRU|YUL|YYZ|MKE|
MKE|SCL,|SCL|YYZ|MKE|
MKE|LCA,|LCA|FRA|YYZ|MKE|
MKE|NAP,|NAP|FRA|YYZ|MKE|
MKE|VLC,|VLC|FRA|YYZ|MKE|
MKE|BKK,|BKK|CGO|PEK|ORD|MKE|
MKE|ADD,|ADD|JED|FRA|YYZ|MKE|
MKE|FRA,|FRA|YYZ|MKE|
MKE|IST,|IST|YYZ|MKE|
MKE|EBB,|EBB|KGL|BRU|YUL|YYZ|MKE|
MKE|YLW,|YLW|YYC|ORD|MKE|
MKE|YYT,|YYT|YYZ|MKE|
MKE|GUA,|GUA|IAH|MKE|
MKE|EWR,|EWR|MKE|
MKE|IAD,|IAD|CLE|MKE|
MKE|IAH,|IAH|MKE|
MKE|ORD,|ORD|MKE|
MKE|SOF,|SOF|MUC|YYZ|MKE|
MKE|YQB,|YQB|YYZ|MKE|
MKE|YXU,|YXU|ORD|MKE|
MKE|EZE,|EZE|IAH|MKE|
MKE|YYJ,|YYJ|YVR|SEA|MKE|
MKE|YYY,|YYY|YUL|YYZ|MKE|
MKE|YQQ,|YQQ|YYC|ORD|MKE|
MKE|YYR,|YYR|YWK|YZV|YQB|YYZ|MKE|
MKE|LHR,|LHR|YYZ|MKE|
MKE|SFO,|SFO|MKE|
MKE|YQU,|YQU|YEG|ORD|MKE|
MKE|YZF,|YZF|YEG|ORD|MKE|
MKE|YGR,|YGR|YGP|YQB|YYZ|MKE|
MKE|YGP,|YGP|YQB|YYZ|MKE|
MKE|BOS,|BOS|MKE|
MKE|YDF,|YDF|YYZ|MKE|
MKE|YFC,|YFC|YYZ|MKE|
MKE|YQM,|YQM|YYZ|MKE|
MKE|YQX,|YQX|YHZ|YYZ|MKE|
MKE|YQY,|YQY|YYZ|MKE|
MKE|YSJ,|YSJ|YYZ|MKE|
MKE|YYG,|YYG|YYZ|MKE|
MKE|LAX,|LAX|MKE|
MKE|DCA,|DCA|MKE|
MKE|LGA,|LGA|MKE|
MKE|YZV,|YZV|YQB|YYZ|MKE|
MKE|YWL,|YWL|YVR|SEA|MKE|
MKE|AZS,|AZS|YYZ|MKE|
MKE|BDL,|BDL|YYZ|MKE|
MKE|CCC,|CCC|YYZ|MKE|
MKE|CDG,|CDG|YYZ|MKE|
MKE|CUN,|CUN|ORD|MKE|
MKE|CZM,|CZM|IAH|MKE|
MKE|FDF,|FDF|YUL|YYZ|MKE|
MKE|FLL,|FLL|MKE|
MKE|GVA,|GVA|YUL|YYZ|MKE|
MKE|HOG,|HOG|YYZ|MKE|
MKE|LAS,|LAS|MKE|
MKE|MBJ,|MBJ|ATL|MKE|
MKE|MCO,|MCO|MKE|
MKE|MUC,|MUC|YYZ|MKE|
MKE|PAP,|PAP|YUL|YYZ|MKE|
MKE|PTP,|PTP|YUL|YYZ|MKE|
MKE|PUJ,|PUJ|ORD|MKE|
MKE|SNU,|SNU|YYZ|MKE|
MKE|VRA,|VRA|YYZ|MKE|
MKE|YBC,|YBC|YUL|YYZ|MKE|
MKE|YBG,|YBG|YUL|YYZ|MKE|
MKE|YTZ,|YTZ|YUL|YYZ|MKE|
MKE|YUY,|YUY|YUL|YYZ|MKE|
MKE|YVO,|YVO|YUL|YYZ|MKE|
MKE|ZBF,|ZBF|YUL|YYZ|MKE|
MKE|ZRH,|ZRH|YYZ|MKE|
MKE|ZSA,|ZSA|YUL|YYZ|MKE|
MKE|AKL,|AKL|LAX|MKE|
MKE|HKG,|HKG|ORD|MKE|
MKE|HND,|HND|YVR|SEA|MKE|
MKE|HNL,|HNL|SFO|MKE|
MKE|MEX,|MEX|IAH|MKE|
MKE|OGG,|OGG|SFO|MKE|
MKE|PDX,|PDX|ORD|MKE|
MKE|PEK,|PEK|ORD|MKE|
MKE|PVG,|PVG|ORD|MKE|
MKE|PVR,|PVR|ORD|MKE|
MKE|SEA,|SEA|MKE|
MKE|SYD,|SYD|LAX|MKE|
MKE|YBL,|YBL|YVR|SEA|MKE|
MKE|YCD,|YCD|YVR|SEA|MKE|
MKE|YCG,|YCG|YYC|ORD|MKE|
MKE|YKA,|YKA|YYC|ORD|MKE|
MKE|YPR,|YPR|YVR|SEA|MKE|
MKE|YQZ,|YQZ|YVR|SEA|MKE|
MKE|YXC,|YXC|YYC|ORD|MKE|
MKE|YXJ,|YXJ|YYC|ORD|MKE|
MKE|YXS,|YXS|YYC|ORD|MKE|
MKE|YXT,|YXT|YVR|SEA|MKE|
MKE|YXY,|YXY|YVR|SEA|MKE|
MKE|YYD,|YYD|YVR|SEA|MKE|
MKE|YYF,|YYF|YVR|SEA|MKE|
MKE|YZP,|YZP|YVR|SEA|MKE|
MKE|YQT,|YQT|YYZ|MKE|
MKE|SJD,|SJD|ORD|MKE|
MKE|YQF,|YQF|YYC|ORD|MKE|
MKE|YQL,|YQL|YYC|ORD|MKE|
MKE|YXH,|YXH|YYC|ORD|MKE|
MKE|YWK,|YWK|YZV|YQB|YYZ|MKE|
MKE|ANU,|ANU|EWR|MKE|
MKE|AUA,|AUA|ATL|MKE|
MKE|AUH,|AUH|YYZ|MKE|
MKE|BCN,|BCN|YYZ|MKE|
MKE|BDA,|BDA|EWR|MKE|
MKE|BGI,|BGI|YYZ|MKE|
MKE|BNA,|BNA|ORD|MKE|
MKE|BOG,|BOG|MIA|ORD|MKE|
MKE|BWI,|BWI|MKE|
MKE|CLE,|CLE|MKE|
MKE|CLT,|CLT|ORD|MKE|
MKE|CMH,|CMH|ORD|MKE|
MKE|CVG,|CVG|ORD|MKE|
MKE|DFW,|DFW|ORD|MKE|
MKE|DTW,|DTW|ORD|MKE|
MKE|DUB,|DUB|YYZ|MKE|
MKE|FCO,|FCO|YYZ|MKE|
MKE|GCM,|GCM|IAD|CLE|MKE|
MKE|GGT,|GGT|FLL|MKE|
MKE|GND,|GND|YYZ|MKE|
MKE|GRU,|GRU|ORD|MKE|
MKE|HAV,|HAV|YYZ|MKE|
MKE|IND,|IND|ORD|MKE|
MKE|JFK,|JFK|YYZ|MKE|
MKE|KIN,|KIN|YYZ|MKE|
MKE|LIM,|LIM|MIA|ORD|MKE|
MKE|LIR,|LIR|IAH|MKE|
MKE|MCI,|MCI|MKE|
MKE|MDT,|MDT|ORD|MKE|
MKE|MIA,|MIA|ORD|MKE|
MKE|MSP,|MSP|MKE|
MKE|NAS,|NAS|ORD|MKE|
MKE|PHL,|PHL|ORD|MKE|
MKE|PHX,|PHX|MKE|
MKE|PIT,|PIT|ORD|MKE|
MKE|PLS,|PLS|YYZ|MKE|
MKE|POP,|POP|YYZ|MKE|
MKE|RDU,|RDU|ORD|MKE|
MKE|ROC,|ROC|YYZ|MKE|
MKE|RSW,|RSW|MKE|
MKE|SAN,|SAN|DEN|MKE|
MKE|SJO,|SJO|ORD|MKE|
MKE|STL,|STL|MKE|
MKE|SYR,|SYR|YYZ|MKE|
MKE|TLV,|TLV|YYZ|MKE|
MKE|TPA,|TPA|MKE|
MKE|UVF,|UVF|EWR|MKE|
MKE|VIE,|VIE|YYZ|MKE|
MKE|YAM,|YAM|YYZ|MKE|
MKE|YGK,|YGK|YYZ|MKE|
MKE|YQG,|YQG|YYZ|MKE|
MKE|YSB,|YSB|YYZ|MKE|
MKE|YTS,|YTS|YYZ|MKE|
MKE|YYB,|YYB|YYZ|MKE|
MKE|YZR,|YZR|YYZ|MKE|
MKE|CAN,|CAN|PEK|ORD|MKE|
MKE|URC,|URC|TSE|FRA|YYZ|MKE|
MKE|CTU,|CTU|PEK|ORD|MKE|
MKE|HGH,|HGH|PEK|ORD|MKE|
MKE|XMN,|XMN|PEK|ORD|MKE|
MKE|CGO,|CGO|PEK|ORD|MKE|
MKE|CSX,|CSX|PEK|ORD|MKE|
MKE|SHE,|SHE|PEK|ORD|MKE|
MKE|SJW,|SJW|DLC|PEK|ORD|MKE|
MKE|WUH,|WUH|PEK|ORD|MKE|
MKE|SZX,|SZX|PEK|ORD|MKE|
MKE|CKG,|CKG|PEK|ORD|MKE|
MKE|KMG,|KMG|PEK|ORD|MKE|
MKE|FOC,|FOC|PEK|ORD|MKE|
MKE|NNG,|NNG|PEK|ORD|MKE|
MKE|SWA,|SWA|PEK|ORD|MKE|
MKE|ACX,|ACX|CAN|PEK|ORD|MKE|
MKE|AQG,|AQG|CAN|PEK|ORD|MKE|
MKE|AVA,|AVA|CAN|PEK|ORD|MKE|
MKE|BFJ,|BFJ|CAN|PEK|ORD|MKE|
MKE|BHY,|BHY|CGO|PEK|ORD|MKE|
MKE|BNE,|BNE|CAN|PEK|ORD|MKE|
MKE|CGD,|CGD|PEK|ORD|MKE|
MKE|CGK,|CGK|CAN|PEK|ORD|MKE|
MKE|CGQ,|CGQ|PEK|ORD|MKE|
MKE|CIH,|CIH|PEK|ORD|MKE|
MKE|CNX,|CNX|CAN|PEK|ORD|MKE|
MKE|CZX,|CZX|SHE|PEK|ORD|MKE|
MKE|DAC,|DAC|IST|YYZ|MKE|
MKE|DAD,|DAD|CAN|PEK|ORD|MKE|
MKE|DEL,|DEL|EWR|MKE|
MKE|DIG,|DIG|KMG|PEK|ORD|MKE|
MKE|DLC,|DLC|PEK|ORD|MKE|
MKE|DPS,|DPS|SZX|PEK|ORD|MKE|
MKE|DXB,|DXB|IST|YYZ|MKE|
MKE|DYG,|DYG|PEK|ORD|MKE|
MKE|FUG,|FUG|CAN|PEK|ORD|MKE|
MKE|FUK,|FUK|ICN|SEA|MKE|
MKE|HAK,|HAK|PEK|ORD|MKE|
MKE|HAN,|HAN|PEK|ORD|MKE|
MKE|HDG,|HDG|CAN|PEK|ORD|MKE|
MKE|HET,|HET|DLC|PEK|ORD|MKE|
MKE|HFE,|HFE|XIY|PEK|ORD|MKE|
MKE|HJJ,|HJJ|CSX|PEK|ORD|MKE|
MKE|HKT,|HKT|KWE|PEK|ORD|MKE|
MKE|HRB,|HRB|PEK|ORD|MKE|
