MLA|BRU,|BRU|IST|MLA|
MLA|OUA,|OUA|NIM|IST|MLA|
MLA|JED,|JED|IST|MLA|
MLA|CPH,|CPH|IST|MLA|
MLA|YYZ,|YYZ|IST|MLA|
MLA|DEN,|DEN|FRA|IST|MLA|
MLA|YUL,|YUL|FRA|IST|MLA|
MLA|NBO,|NBO|IST|MLA|
MLA|ICN,|ICN|IST|MLA|
MLA|NRT,|NRT|IST|MLA|
MLA|YHZ,|YHZ|LHR|IST|MLA|
MLA|YOW,|YOW|FRA|IST|MLA|
MLA|BJM,|BJM|BRU|IST|MLA|
MLA|COO,|COO|BRU|IST|MLA|
MLA|DKR,|DKR|BRU|IST|MLA|
MLA|DLA,|DLA|IST|MLA|
MLA|KGL,|KGL|IST|MLA|
MLA|LAD,|LAD|BRU|IST|MLA|
MLA|ABJ,|ABJ|OUA|NIM|IST|MLA|
MLA|AMS,|AMS|IST|MLA|
MLA|OSL,|OSL|IST|MLA|
MLA|VNO,|VNO|IST|MLA|
MLA|WAW,|WAW|IST|MLA|
MLA|YYC,|YYC|FRA|IST|MLA|
MLA|ATL,|ATL|FRA|IST|MLA|
MLA|MSY,|MSY|IAD|IST|MLA|
MLA|YEG,|YEG|LHR|IST|MLA|
MLA|YMM,|YMM|YEG|LHR|IST|MLA|
MLA|YQR,|YQR|YEG|LHR|IST|MLA|
MLA|YVR,|YVR|MUC|IST|MLA|
MLA|YWG,|YWG|YUL|FRA|IST|MLA|
MLA|YXE,|YXE|YEG|LHR|IST|MLA|
MLA|CKY,|CKY|DKR|BRU|IST|MLA|
MLA|FIH,|FIH|IST|MLA|
MLA|SCL,|SCL|EZE|GRU|IST|MLA|
MLA|LCA,|LCA|FRA|IST|MLA|
MLA|NAP,|NAP|IST|MLA|
MLA|VLC,|VLC|IST|MLA|
MLA|BKK,|BKK|IST|MLA|
MLA|ADD,|ADD|IST|MLA|
MLA|FRA,|FRA|IST|MLA|
MLA|IST,|IST|MLA|
MLA|EBB,|EBB|KGL|IST|MLA|
MLA|YLW,|YLW|YYC|FRA|IST|MLA|
MLA|YYT,|YYT|LHR|IST|MLA|
MLA|GUA,|GUA|MIA|ZRH|IST|MLA|
MLA|EWR,|EWR|BHX|IST|MLA|
MLA|IAD,|IAD|IST|MLA|
MLA|IAH,|IAH|IST|MLA|
MLA|ORD,|ORD|IST|MLA|
MLA|SOF,|SOF|IST|MLA|
MLA|YQB,|YQB|YUL|FRA|IST|MLA|
MLA|YXU,|YXU|YYZ|IST|MLA|
MLA|EZE,|EZE|GRU|IST|MLA|
MLA|YYJ,|YYJ|YVR|MUC|IST|MLA|
MLA|YYY,|YYY|YUL|FRA|IST|MLA|
MLA|YQQ,|YQQ|YBL|YVR|MUC|IST|MLA|
MLA|YYR,|YYR|YYT|LHR|IST|MLA|
MLA|LHR,|LHR|IST|MLA|
MLA|SFO,|SFO|MUC|IST|MLA|
MLA|YQU,|YQU|YEG|LHR|IST|MLA|
MLA|YZF,|YZF|YEG|LHR|IST|MLA|
MLA|YGR,|YGR|YGP|YQB|YUL|FRA|IST|MLA|
MLA|YGP,|YGP|YQB|YUL|FRA|IST|MLA|
MLA|BOS,|BOS|FRA|IST|MLA|
MLA|YDF,|YDF|YYT|LHR|IST|MLA|
MLA|YFC,|YFC|YHZ|LHR|IST|MLA|
MLA|YQM,|YQM|YHZ|LHR|IST|MLA|
MLA|YQX,|YQX|YYT|LHR|IST|MLA|
MLA|YQY,|YQY|YHZ|LHR|IST|MLA|
MLA|YSJ,|YSJ|YHZ|LHR|IST|MLA|
MLA|YYG,|YYG|YHZ|LHR|IST|MLA|
MLA|LAX,|LAX|IST|MLA|
MLA|DCA,|DCA|EWR|BHX|IST|MLA|
MLA|LGA,|LGA|YHZ|LHR|IST|MLA|
MLA|YZV,|YZV|YWK|YYR|YYT|LHR|IST|MLA|
MLA|YWL,|YWL|YVR|MUC|IST|MLA|
MLA|AZS,|AZS|YUL|FRA|IST|MLA|
MLA|BDL,|BDL|YUL|FRA|IST|MLA|
MLA|CCC,|CCC|YUL|FRA|IST|MLA|
MLA|CDG,|CDG|IST|MLA|
MLA|CUN,|CUN|YHZ|LHR|IST|MLA|
MLA|CZM,|CZM|YUL|FRA|IST|MLA|
MLA|FDF,|FDF|YUL|FRA|IST|MLA|
MLA|FLL,|FLL|MCO|FRA|IST|MLA|
MLA|GVA,|GVA|IST|MLA|
MLA|HOG,|HOG|YUL|FRA|IST|MLA|
MLA|LAS,|LAS|DEN|FRA|IST|MLA|
MLA|MBJ,|MBJ|YHZ|LHR|IST|MLA|
MLA|MCO,|MCO|FRA|IST|MLA|
MLA|MUC,|MUC|IST|MLA|
MLA|PAP,|PAP|YUL|FRA|IST|MLA|
MLA|PTP,|PTP|YUL|FRA|IST|MLA|
MLA|PUJ,|PUJ|YHZ|LHR|IST|MLA|
MLA|SNU,|SNU|YUL|FRA|IST|MLA|
MLA|VRA,|VRA|YUL|FRA|IST|MLA|
MLA|YBC,|YBC|YUL|FRA|IST|MLA|
MLA|YBG,|YBG|YUL|FRA|IST|MLA|
MLA|YTZ,|YTZ|YUL|FRA|IST|MLA|
MLA|YUY,|YUY|YUL|FRA|IST|MLA|
MLA|YVO,|YVO|YUL|FRA|IST|MLA|
MLA|ZBF,|ZBF|YUL|FRA|IST|MLA|
MLA|ZRH,|ZRH|IST|MLA|
MLA|ZSA,|ZSA|YUL|FRA|IST|MLA|
MLA|AKL,|AKL|BKK|IST|MLA|
MLA|HKG,|HKG|IST|MLA|
MLA|HND,|HND|YVR|MUC|IST|MLA|
MLA|HNL,|HNL|YVR|MUC|IST|MLA|
MLA|MEX,|MEX|IAD|IST|MLA|
MLA|OGG,|OGG|YVR|MUC|IST|MLA|
MLA|PDX,|PDX|SEA|FRA|IST|MLA|
MLA|PEK,|PEK|IST|MLA|
MLA|PVG,|PVG|IST|MLA|
MLA|PVR,|PVR|ORD|IST|MLA|
MLA|SEA,|SEA|FRA|IST|MLA|
MLA|SYD,|SYD|BKK|IST|MLA|
MLA|YBL,|YBL|YVR|MUC|IST|MLA|
MLA|YCD,|YCD|YVR|MUC|IST|MLA|
MLA|YCG,|YCG|YYC|FRA|IST|MLA|
MLA|YKA,|YKA|YYC|FRA|IST|MLA|
MLA|YPR,|YPR|YVR|MUC|IST|MLA|
MLA|YQZ,|YQZ|YVR|MUC|IST|MLA|
MLA|YXC,|YXC|YYC|FRA|IST|MLA|
MLA|YXJ,|YXJ|YYC|FRA|IST|MLA|
MLA|YXS,|YXS|YYC|FRA|IST|MLA|
MLA|YXT,|YXT|YVR|MUC|IST|MLA|
MLA|YXY,|YXY|YVR|MUC|IST|MLA|
MLA|YYD,|YYD|YVR|MUC|IST|MLA|
MLA|YYF,|YYF|YVR|MUC|IST|MLA|
MLA|YZP,|YZP|YVR|MUC|IST|MLA|
MLA|YQT,|YQT|YYZ|IST|MLA|
MLA|SJD,|SJD|ORD|IST|MLA|
MLA|YQF,|YQF|YYC|FRA|IST|MLA|
MLA|YQL,|YQL|YYC|FRA|IST|MLA|
MLA|YXH,|YXH|YYC|FRA|IST|MLA|
MLA|YWK,|YWK|YYR|YYT|LHR|IST|MLA|
MLA|ANU,|ANU|EWR|BHX|IST|MLA|
MLA|AUA,|AUA|EWR|BHX|IST|MLA|
MLA|AUH,|AUH|IST|MLA|
MLA|BCN,|BCN|IST|MLA|
MLA|BDA,|BDA|EWR|BHX|IST|MLA|
MLA|BGI,|BGI|YYZ|IST|MLA|
MLA|BNA,|BNA|YYZ|IST|MLA|
MLA|BOG,|BOG|MIA|ZRH|IST|MLA|
MLA|BWI,|BWI|EWR|BHX|IST|MLA|
MLA|CLE,|CLE|YYZ|IST|MLA|
MLA|CLT,|CLT|EWR|BHX|IST|MLA|
MLA|CMH,|CMH|YYZ|IST|MLA|
MLA|CVG,|CVG|YYZ|IST|MLA|
MLA|DFW,|DFW|ORD|IST|MLA|
MLA|DTW,|DTW|FRA|IST|MLA|
MLA|DUB,|DUB|IST|MLA|
MLA|FCO,|FCO|IST|MLA|
MLA|GCM,|GCM|EWR|BHX|IST|MLA|
MLA|GGT,|GGT|FLL|MCO|FRA|IST|MLA|
MLA|GND,|GND|YYZ|IST|MLA|
MLA|GRU,|GRU|IST|MLA|
MLA|HAV,|HAV|YYZ|IST|MLA|
MLA|IND,|IND|YYZ|IST|MLA|
MLA|JFK,|JFK|IST|MLA|
MLA|KIN,|KIN|YYZ|IST|MLA|
MLA|LIM,|LIM|MIA|ZRH|IST|MLA|
MLA|LIR,|LIR|EWR|BHX|IST|MLA|
MLA|MCI,|MCI|ORD|IST|MLA|
MLA|MDT,|MDT|IAD|IST|MLA|
MLA|MIA,|MIA|ZRH|IST|MLA|
MLA|MKE,|MKE|YYZ|IST|MLA|
MLA|MSP,|MSP|YUL|FRA|IST|MLA|
MLA|NAS,|NAS|EWR|BHX|IST|MLA|
MLA|PHL,|PHL|IAD|IST|MLA|
MLA|PHX,|PHX|DEN|FRA|IST|MLA|
MLA|PIT,|PIT|YYZ|IST|MLA|
MLA|PLS,|PLS|EWR|BHX|IST|MLA|
MLA|POP,|POP|EWR|BHX|IST|MLA|
MLA|RDU,|RDU|EWR|BHX|IST|MLA|
MLA|ROC,|ROC|YYZ|IST|MLA|
MLA|RSW,|RSW|MCO|FRA|IST|MLA|
MLA|SAN,|SAN|LAX|IST|MLA|
MLA|SJO,|SJO|EWR|BHX|IST|MLA|
MLA|STL,|STL|ORD|IST|MLA|
MLA|SYR,|SYR|EWR|BHX|IST|MLA|
MLA|TLV,|TLV|IST|MLA|
MLA|TPA,|TPA|EWR|BHX|IST|MLA|
MLA|UVF,|UVF|EWR|BHX|IST|MLA|
MLA|VIE,|VIE|IST|MLA|
MLA|YAM,|YAM|YYZ|IST|MLA|
MLA|YGK,|YGK|YYZ|IST|MLA|
MLA|YQG,|YQG|YYZ|IST|MLA|
MLA|YSB,|YSB|YYZ|IST|MLA|
MLA|YTS,|YTS|YYZ|IST|MLA|
MLA|YYB,|YYB|YYZ|IST|MLA|
MLA|YZR,|YZR|YYZ|IST|MLA|
MLA|CAN,|CAN|IST|MLA|
MLA|URC,|URC|IST|MLA|
MLA|CTU,|CTU|URC|IST|MLA|
MLA|HGH,|HGH|URC|IST|MLA|
MLA|XMN,|XMN|CSX|URC|IST|MLA|
MLA|CGO,|CGO|URC|IST|MLA|
MLA|CSX,|CSX|URC|IST|MLA|
MLA|SHE,|SHE|PEK|IST|MLA|
MLA|SJW,|SJW|URC|IST|MLA|
