MLE|BRU,|BRU|IST|MLE|
MLE|OUA,|OUA|NIM|IST|MLE|
MLE|JED,|JED|IST|MLE|
MLE|CPH,|CPH|IST|MLE|
MLE|YYZ,|YYZ|IST|MLE|
MLE|DEN,|DEN|FRA|IST|MLE|
MLE|YUL,|YUL|FRA|IST|MLE|
MLE|NBO,|NBO|IST|MLE|
MLE|ICN,|ICN|CAN|MLE|
MLE|NRT,|NRT|CAN|MLE|
MLE|YHZ,|YHZ|LHR|IST|MLE|
MLE|YOW,|YOW|FRA|IST|MLE|
MLE|BJM,|BJM|BRU|IST|MLE|
MLE|COO,|COO|BRU|IST|MLE|
MLE|DKR,|DKR|BRU|IST|MLE|
MLE|DLA,|DLA|IST|MLE|
MLE|KGL,|KGL|IST|MLE|
MLE|LAD,|LAD|BRU|IST|MLE|
MLE|ABJ,|ABJ|OUA|NIM|IST|MLE|
MLE|AMS,|AMS|IST|MLE|
MLE|OSL,|OSL|IST|MLE|
MLE|VNO,|VNO|IST|MLE|
MLE|WAW,|WAW|IST|MLE|
MLE|YYC,|YYC|FRA|IST|MLE|
MLE|ATL,|ATL|FRA|IST|MLE|
MLE|MSY,|MSY|IAD|IST|MLE|
MLE|YEG,|YEG|LHR|IST|MLE|
MLE|YMM,|YMM|YEG|LHR|IST|MLE|
MLE|YQR,|YQR|YEG|LHR|IST|MLE|
MLE|YVR,|YVR|CAN|MLE|
MLE|YWG,|YWG|YUL|FRA|IST|MLE|
MLE|YXE,|YXE|YEG|LHR|IST|MLE|
MLE|CKY,|CKY|DKR|BRU|IST|MLE|
MLE|FIH,|FIH|IST|MLE|
MLE|SCL,|SCL|EZE|GRU|IST|MLE|
MLE|LCA,|LCA|FRA|IST|MLE|
MLE|NAP,|NAP|IST|MLE|
MLE|VLC,|VLC|IST|MLE|
MLE|BKK,|BKK|CAN|MLE|
MLE|ADD,|ADD|IST|MLE|
MLE|FRA,|FRA|IST|MLE|
MLE|IST,|IST|MLE|
MLE|EBB,|EBB|KGL|IST|MLE|
MLE|YLW,|YLW|YVR|CAN|MLE|
MLE|YYT,|YYT|LHR|IST|MLE|
MLE|GUA,|GUA|MIA|ZRH|IST|MLE|
MLE|EWR,|EWR|BHX|IST|MLE|
MLE|IAD,|IAD|IST|MLE|
MLE|IAH,|IAH|IST|MLE|
MLE|ORD,|ORD|IST|MLE|
MLE|SOF,|SOF|IST|MLE|
MLE|YQB,|YQB|YUL|FRA|IST|MLE|
MLE|YXU,|YXU|YYZ|IST|MLE|
MLE|EZE,|EZE|GRU|IST|MLE|
MLE|YYJ,|YYJ|YVR|CAN|MLE|
MLE|YYY,|YYY|YUL|FRA|IST|MLE|
MLE|YQQ,|YQQ|YBL|YVR|CAN|MLE|
MLE|YYR,|YYR|YYT|LHR|IST|MLE|
MLE|LHR,|LHR|IST|MLE|
MLE|SFO,|SFO|PVG|CAN|MLE|
MLE|YQU,|YQU|YEG|LHR|IST|MLE|
MLE|YZF,|YZF|YEG|LHR|IST|MLE|
MLE|YGR,|YGR|YGP|YQB|YUL|FRA|IST|MLE|
MLE|YGP,|YGP|YQB|YUL|FRA|IST|MLE|
MLE|BOS,|BOS|FRA|IST|MLE|
MLE|YDF,|YDF|YYT|LHR|IST|MLE|
MLE|YFC,|YFC|YHZ|LHR|IST|MLE|
MLE|YQM,|YQM|YHZ|LHR|IST|MLE|
MLE|YQX,|YQX|YYT|LHR|IST|MLE|
MLE|YQY,|YQY|YHZ|LHR|IST|MLE|
MLE|YSJ,|YSJ|YHZ|LHR|IST|MLE|
MLE|YYG,|YYG|YHZ|LHR|IST|MLE|
MLE|LAX,|LAX|CAN|MLE|
