MOT|BRU,|BRU|ORD|DEN|MOT|
MOT|OUA,|OUA|BRU|ORD|DEN|MOT|
MOT|JED,|JED|FRA|DEN|MOT|
MOT|CPH,|CPH|YYZ|DEN|MOT|
MOT|YYZ,|YYZ|DEN|MOT|
MOT|DEN,|DEN|MOT|
MOT|YUL,|YUL|DEN|MOT|
MOT|NBO,|NBO|ZRH|ORD|DEN|MOT|
MOT|ICN,|ICN|YVR|DEN|MOT|
MOT|NRT,|NRT|DEN|MOT|
MOT|YHZ,|YHZ|YUL|DEN|MOT|
MOT|YOW,|YOW|YYZ|DEN|MOT|
MOT|BJM,|BJM|BRU|ORD|DEN|MOT|
MOT|COO,|COO|BRU|ORD|DEN|MOT|
MOT|DKR,|DKR|IAD|DEN|MOT|
MOT|DLA,|DLA|BRU|ORD|DEN|MOT|
MOT|KGL,|KGL|BRU|ORD|DEN|MOT|
MOT|LAD,|LAD|BRU|ORD|DEN|MOT|
MOT|ABJ,|ABJ|BRU|ORD|DEN|MOT|
MOT|AMS,|AMS|ORD|DEN|MOT|
MOT|OSL,|OSL|EWR|DEN|MOT|
MOT|VNO,|VNO|CPH|YYZ|DEN|MOT|
MOT|WAW,|WAW|YYZ|DEN|MOT|
MOT|YYC,|YYC|DEN|MOT|
MOT|ATL,|ATL|DEN|MOT|
MOT|MSY,|MSY|DEN|MOT|
MOT|YEG,|YEG|DEN|MOT|
MOT|YMM,|YMM|DEN|MOT|
MOT|YQR,|YQR|DEN|MOT|
MOT|YVR,|YVR|DEN|MOT|
MOT|YWG,|YWG|DEN|MOT|
MOT|YXE,|YXE|DEN|MOT|
MOT|CKY,|CKY|DKR|IAD|DEN|MOT|
MOT|FIH,|FIH|DLA|BRU|ORD|DEN|MOT|
MOT|SCL,|SCL|EZE|IAH|DEN|MOT|
MOT|LCA,|LCA|FRA|DEN|MOT|
MOT|NAP,|NAP|FRA|DEN|MOT|
MOT|VLC,|VLC|FRA|DEN|MOT|
MOT|BKK,|BKK|CGO|PEK|YVR|DEN|MOT|
MOT|ADD,|ADD|JED|FRA|DEN|MOT|
MOT|FRA,|FRA|DEN|MOT|
MOT|IST,|IST|FRA|DEN|MOT|
MOT|EBB,|EBB|KGL|BRU|ORD|DEN|MOT|
MOT|YLW,|YLW|YYC|DEN|MOT|
MOT|YYT,|YYT|YUL|DEN|MOT|
MOT|GUA,|GUA|IAH|DEN|MOT|
MOT|EWR,|EWR|DEN|MOT|
MOT|IAD,|IAD|DEN|MOT|
MOT|IAH,|IAH|DEN|MOT|
MOT|ORD,|ORD|DEN|MOT|
MOT|SOF,|SOF|MUC|ORD|DEN|MOT|
MOT|YQB,|YQB|YUL|DEN|MOT|
MOT|YXU,|YXU|ORD|DEN|MOT|
MOT|EZE,|EZE|IAH|DEN|MOT|
MOT|YYJ,|YYJ|YVR|DEN|MOT|
MOT|YYY,|YYY|YUL|DEN|MOT|
MOT|YQQ,|YQQ|YBL|YVR|DEN|MOT|
MOT|YYR,|YYR|YWK|YZV|YUL|DEN|MOT|
MOT|LHR,|LHR|ORD|DEN|MOT|
MOT|SFO,|SFO|DEN|MOT|
MOT|YQU,|YQU|YYC|DEN|MOT|
MOT|YZF,|YZF|YEG|DEN|MOT|
MOT|YGR,|YGR|YGP|YQB|YUL|DEN|MOT|
MOT|YGP,|YGP|YQB|YUL|DEN|MOT|
MOT|BOS,|BOS|DEN|MOT|
MOT|YDF,|YDF|YYZ|DEN|MOT|
MOT|YFC,|YFC|YUL|DEN|MOT|
MOT|YQM,|YQM|YUL|DEN|MOT|
MOT|YQX,|YQX|YHZ|YUL|DEN|MOT|
MOT|YQY,|YQY|YYZ|DEN|MOT|
MOT|YSJ,|YSJ|YUL|DEN|MOT|
MOT|YYG,|YYG|YUL|DEN|MOT|
