MQM|BRU,|BRU|SAW|MQM|
MQM|OUA,|OUA|NIM|IST|MQM|
MQM|JED,|JED|IST|MQM|
MQM|CPH,|CPH|IST|MQM|
MQM|YYZ,|YYZ|VIE|ESB|MQM|
MQM|DEN,|DEN|FRA|ESB|MQM|
MQM|YUL,|YUL|FRA|ESB|MQM|
MQM|NBO,|NBO|IST|MQM|
MQM|ICN,|ICN|IST|MQM|
MQM|NRT,|NRT|IST|MQM|
MQM|YHZ,|YHZ|LHR|IST|MQM|
MQM|YOW,|YOW|FRA|ESB|MQM|
MQM|BJM,|BJM|BRU|SAW|MQM|
MQM|COO,|COO|BRU|SAW|MQM|
MQM|DKR,|DKR|BRU|SAW|MQM|
MQM|DLA,|DLA|IST|MQM|
MQM|KGL,|KGL|IST|MQM|
MQM|LAD,|LAD|BRU|SAW|MQM|
MQM|ABJ,|ABJ|OUA|NIM|IST|MQM|
MQM|AMS,|AMS|SAW|MQM|
MQM|OSL,|OSL|IST|MQM|
MQM|VNO,|VNO|IST|MQM|
MQM|WAW,|WAW|IST|MQM|
MQM|YYC,|YYC|FRA|ESB|MQM|
MQM|ATL,|ATL|IAD|VIE|ESB|MQM|
MQM|MSY,|MSY|IAD|VIE|ESB|MQM|
MQM|YEG,|YEG|LHR|IST|MQM|
MQM|YMM,|YMM|YEG|LHR|IST|MQM|
MQM|YQR,|YQR|YEG|LHR|IST|MQM|
MQM|YVR,|YVR|FRA|ESB|MQM|
MQM|YWG,|YWG|YUL|FRA|ESB|MQM|
MQM|YXE,|YXE|YEG|LHR|IST|MQM|
MQM|CKY,|CKY|DKR|BRU|SAW|MQM|
MQM|FIH,|FIH|IST|MQM|
MQM|SCL,|SCL|EZE|GRU|IST|MQM|
MQM|LCA,|LCA|FRA|ESB|MQM|
MQM|NAP,|NAP|IST|MQM|
MQM|VLC,|VLC|IST|MQM|
MQM|BKK,|BKK|IST|MQM|
MQM|ADD,|ADD|IST|MQM|
MQM|FRA,|FRA|ESB|MQM|
MQM|IST,|IST|MQM|
MQM|EBB,|EBB|KGL|IST|MQM|
MQM|YLW,|YLW|YYC|FRA|ESB|MQM|
MQM|YYT,|YYT|LHR|IST|MQM|
MQM|GUA,|GUA|MIA|FRA|ESB|MQM|
MQM|EWR,|EWR|FRA|ESB|MQM|
MQM|IAD,|IAD|VIE|ESB|MQM|
MQM|IAH,|IAH|YYZ|VIE|ESB|MQM|
MQM|ORD,|ORD|VIE|ESB|MQM|
MQM|SOF,|SOF|IST|MQM|
MQM|YQB,|YQB|YUL|FRA|ESB|MQM|
MQM|YXU,|YXU|YYZ|VIE|ESB|MQM|
MQM|EZE,|EZE|GRU|IST|MQM|
MQM|YYJ,|YYJ|YVR|FRA|ESB|MQM|
MQM|YYY,|YYY|YUL|FRA|ESB|MQM|
MQM|YQQ,|YQQ|YBL|YVR|FRA|ESB|MQM|
MQM|YYR,|YYR|YYT|LHR|IST|MQM|
MQM|LHR,|LHR|IST|MQM|
MQM|SFO,|SFO|FRA|ESB|MQM|
MQM|YQU,|YQU|YEG|LHR|IST|MQM|
MQM|YZF,|YZF|YEG|LHR|IST|MQM|
MQM|YGR,|YGR|YGP|YQB|YUL|FRA|ESB|MQM|
MQM|YGP,|YGP|YQB|YUL|FRA|ESB|MQM|
MQM|BOS,|BOS|FRA|ESB|MQM|
MQM|YDF,|YDF|YYT|LHR|IST|MQM|
MQM|YFC,|YFC|YHZ|LHR|IST|MQM|
MQM|YQM,|YQM|YHZ|LHR|IST|MQM|
MQM|YQX,|YQX|YYT|LHR|IST|MQM|
MQM|YQY,|YQY|YHZ|LHR|IST|MQM|
MQM|YSJ,|YSJ|YHZ|LHR|IST|MQM|
MQM|YYG,|YYG|YHZ|LHR|IST|MQM|
MQM|LAX,|LAX|IST|MQM|
MQM|DCA,|DCA|EWR|FRA|ESB|MQM|
MQM|LGA,|LGA|YHZ|LHR|IST|MQM|
MQM|YZV,|YZV|YWK|YYR|YYT|LHR|IST|MQM|
MQM|YWL,|YWL|YVR|FRA|ESB|MQM|
MQM|AZS,|AZS|YUL|FRA|ESB|MQM|
MQM|BDL,|BDL|YUL|FRA|ESB|MQM|
MQM|CCC,|CCC|YUL|FRA|ESB|MQM|
MQM|CDG,|CDG|SAW|MQM|
MQM|CUN,|CUN|YHZ|LHR|IST|MQM|
MQM|CZM,|CZM|YUL|FRA|ESB|MQM|
MQM|FDF,|FDF|YUL|FRA|ESB|MQM|
MQM|FLL,|FLL|MCO|FRA|ESB|MQM|
MQM|GVA,|GVA|IST|MQM|
MQM|HOG,|HOG|YUL|FRA|ESB|MQM|
MQM|LAS,|LAS|DEN|FRA|ESB|MQM|
MQM|MBJ,|MBJ|YHZ|LHR|IST|MQM|
MQM|MCO,|MCO|FRA|ESB|MQM|
MQM|MUC,|MUC|SAW|MQM|
MQM|PAP,|PAP|YUL|FRA|ESB|MQM|
MQM|PTP,|PTP|YUL|FRA|ESB|MQM|
MQM|PUJ,|PUJ|YHZ|LHR|IST|MQM|
MQM|SNU,|SNU|YUL|FRA|ESB|MQM|
MQM|VRA,|VRA|YUL|FRA|ESB|MQM|
MQM|YBC,|YBC|YUL|FRA|ESB|MQM|
MQM|YBG,|YBG|YUL|FRA|ESB|MQM|
MQM|YTZ,|YTZ|YUL|FRA|ESB|MQM|
MQM|YUY,|YUY|YUL|FRA|ESB|MQM|
MQM|YVO,|YVO|YUL|FRA|ESB|MQM|
MQM|ZBF,|ZBF|YUL|FRA|ESB|MQM|
MQM|ZRH,|ZRH|IST|MQM|
MQM|ZSA,|ZSA|YUL|FRA|ESB|MQM|
MQM|AKL,|AKL|BKK|IST|MQM|
MQM|HKG,|HKG|IST|MQM|
MQM|HND,|HND|YVR|FRA|ESB|MQM|
MQM|HNL,|HNL|YVR|FRA|ESB|MQM|
MQM|MEX,|MEX|IAD|VIE|ESB|MQM|
MQM|OGG,|OGG|YVR|FRA|ESB|MQM|
MQM|PDX,|PDX|SEA|FRA|ESB|MQM|
MQM|PEK,|PEK|IST|MQM|
MQM|PVG,|PVG|URC|TBS|SAW|MQM|
MQM|PVR,|PVR|ORD|VIE|ESB|MQM|
MQM|SEA,|SEA|FRA|ESB|MQM|
MQM|SYD,|SYD|BKK|IST|MQM|
MQM|YBL,|YBL|YVR|FRA|ESB|MQM|
MQM|YCD,|YCD|YVR|FRA|ESB|MQM|
MQM|YCG,|YCG|YYC|FRA|ESB|MQM|
MQM|YKA,|YKA|YYC|FRA|ESB|MQM|
MQM|YPR,|YPR|YVR|FRA|ESB|MQM|
MQM|YQZ,|YQZ|YVR|FRA|ESB|MQM|
MQM|YXC,|YXC|YYC|FRA|ESB|MQM|
MQM|YXJ,|YXJ|YYC|FRA|ESB|MQM|
MQM|YXS,|YXS|YYC|FRA|ESB|MQM|
MQM|YXT,|YXT|YVR|FRA|ESB|MQM|
MQM|YXY,|YXY|YVR|FRA|ESB|MQM|
MQM|YYD,|YYD|YVR|FRA|ESB|MQM|
MQM|YYF,|YYF|YVR|FRA|ESB|MQM|
MQM|YZP,|YZP|YVR|FRA|ESB|MQM|
MQM|YQT,|YQT|YYZ|VIE|ESB|MQM|
MQM|SJD,|SJD|ORD|VIE|ESB|MQM|
MQM|YQF,|YQF|YYC|FRA|ESB|MQM|
MQM|YQL,|YQL|YYC|FRA|ESB|MQM|
MQM|YXH,|YXH|YYC|FRA|ESB|MQM|
MQM|YWK,|YWK|YYR|YYT|LHR|IST|MQM|
MQM|ANU,|ANU|EWR|FRA|ESB|MQM|
MQM|AUA,|AUA|EWR|FRA|ESB|MQM|
MQM|AUH,|AUH|IST|MQM|
MQM|BCN,|BCN|IST|MQM|
MQM|BDA,|BDA|EWR|FRA|ESB|MQM|
MQM|BGI,|BGI|YYZ|VIE|ESB|MQM|
MQM|BNA,|BNA|YYZ|VIE|ESB|MQM|
MQM|BOG,|BOG|JFK|VIE|ESB|MQM|
MQM|BWI,|BWI|EWR|FRA|ESB|MQM|
MQM|CLE,|CLE|YYZ|VIE|ESB|MQM|
MQM|CLT,|CLT|EWR|FRA|ESB|MQM|
MQM|CMH,|CMH|YYZ|VIE|ESB|MQM|
MQM|CVG,|CVG|YYZ|VIE|ESB|MQM|
MQM|DFW,|DFW|ORD|VIE|ESB|MQM|
MQM|DTW,|DTW|YYZ|VIE|ESB|MQM|
MQM|DUB,|DUB|IST|MQM|
MQM|FCO,|FCO|IST|MQM|
MQM|GCM,|GCM|EWR|FRA|ESB|MQM|
MQM|GGT,|GGT|FLL|MCO|FRA|ESB|MQM|
MQM|GND,|GND|YYZ|VIE|ESB|MQM|
MQM|GRU,|GRU|IST|MQM|
MQM|HAV,|HAV|YYZ|VIE|ESB|MQM|
MQM|IND,|IND|YYZ|VIE|ESB|MQM|
MQM|JFK,|JFK|VIE|ESB|MQM|
MQM|KIN,|KIN|YYZ|VIE|ESB|MQM|
MQM|LIM,|LIM|MIA|FRA|ESB|MQM|
MQM|LIR,|LIR|EWR|FRA|ESB|MQM|
MQM|MCI,|MCI|ORD|VIE|ESB|MQM|
MQM|MDT,|MDT|IAD|VIE|ESB|MQM|
MQM|MIA,|MIA|FRA|ESB|MQM|
MQM|MKE,|MKE|YYZ|VIE|ESB|MQM|
MQM|MSP,|MSP|YUL|FRA|ESB|MQM|
MQM|NAS,|NAS|EWR|FRA|ESB|MQM|
MQM|PHL,|PHL|IAD|VIE|ESB|MQM|
MQM|PHX,|PHX|DEN|FRA|ESB|MQM|
MQM|PIT,|PIT|YYZ|VIE|ESB|MQM|
MQM|PLS,|PLS|EWR|FRA|ESB|MQM|
MQM|POP,|POP|EWR|FRA|ESB|MQM|
MQM|RDU,|RDU|EWR|FRA|ESB|MQM|
MQM|ROC,|ROC|YYZ|VIE|ESB|MQM|
MQM|RSW,|RSW|MCO|FRA|ESB|MQM|
MQM|SAN,|SAN|LAX|IST|MQM|
MQM|SJO,|SJO|EWR|FRA|ESB|MQM|
MQM|STL,|STL|ORD|VIE|ESB|MQM|
MQM|SYR,|SYR|EWR|FRA|ESB|MQM|
MQM|TLV,|TLV|SAW|MQM|
MQM|TPA,|TPA|EWR|FRA|ESB|MQM|
MQM|UVF,|UVF|EWR|FRA|ESB|MQM|
MQM|VIE,|VIE|ESB|MQM|
MQM|YAM,|YAM|YYZ|VIE|ESB|MQM|
MQM|YGK,|YGK|YYZ|VIE|ESB|MQM|
