MSR|BRU,|BRU|SAW|ESB|MSR|
MSR|OUA,|OUA|NIM|IST|MSR|
MSR|JED,|JED|IST|MSR|
MSR|CPH,|CPH|IST|MSR|
MSR|YYZ,|YYZ|VIE|ESB|MSR|
MSR|DEN,|DEN|FRA|ESB|MSR|
MSR|YUL,|YUL|FRA|ESB|MSR|
MSR|NBO,|NBO|IST|MSR|
MSR|ICN,|ICN|IST|MSR|
MSR|NRT,|NRT|IST|MSR|
MSR|YHZ,|YHZ|LHR|IST|MSR|
MSR|YOW,|YOW|FRA|ESB|MSR|
MSR|BJM,|BJM|BRU|SAW|ESB|MSR|
MSR|COO,|COO|BRU|SAW|ESB|MSR|
MSR|DKR,|DKR|BRU|SAW|ESB|MSR|
MSR|DLA,|DLA|IST|MSR|
MSR|KGL,|KGL|IST|MSR|
MSR|LAD,|LAD|BRU|SAW|ESB|MSR|
MSR|ABJ,|ABJ|OUA|NIM|IST|MSR|
MSR|AMS,|AMS|SAW|ESB|MSR|
MSR|OSL,|OSL|IST|MSR|
MSR|VNO,|VNO|IST|MSR|
MSR|WAW,|WAW|IST|MSR|
MSR|YYC,|YYC|FRA|ESB|MSR|
MSR|ATL,|ATL|IAD|VIE|ESB|MSR|
MSR|MSY,|MSY|IAD|VIE|ESB|MSR|
MSR|YEG,|YEG|LHR|IST|MSR|
MSR|YMM,|YMM|YEG|LHR|IST|MSR|
MSR|YQR,|YQR|YEG|LHR|IST|MSR|
MSR|YVR,|YVR|FRA|ESB|MSR|
MSR|YWG,|YWG|YUL|FRA|ESB|MSR|
MSR|YXE,|YXE|YEG|LHR|IST|MSR|
MSR|CKY,|CKY|DKR|BRU|SAW|ESB|MSR|
MSR|FIH,|FIH|IST|MSR|
MSR|SCL,|SCL|EZE|GRU|IST|MSR|
MSR|LCA,|LCA|FRA|ESB|MSR|
MSR|NAP,|NAP|IST|MSR|
MSR|VLC,|VLC|IST|MSR|
MSR|BKK,|BKK|IST|MSR|
MSR|ADD,|ADD|IST|MSR|
MSR|FRA,|FRA|ESB|MSR|
MSR|IST,|IST|MSR|
MSR|EBB,|EBB|KGL|IST|MSR|
MSR|YLW,|YLW|YYC|FRA|ESB|MSR|
MSR|YYT,|YYT|LHR|IST|MSR|
MSR|GUA,|GUA|MIA|FRA|ESB|MSR|
MSR|EWR,|EWR|FRA|ESB|MSR|
MSR|IAD,|IAD|VIE|ESB|MSR|
MSR|IAH,|IAH|YYZ|VIE|ESB|MSR|
MSR|ORD,|ORD|VIE|ESB|MSR|
MSR|SOF,|SOF|IST|MSR|
MSR|YQB,|YQB|YUL|FRA|ESB|MSR|
MSR|YXU,|YXU|YYZ|VIE|ESB|MSR|
MSR|EZE,|EZE|GRU|IST|MSR|
