MUC|BRU,|BRU|IST|MUC|
MUC|OUA,|OUA|NIM|IST|MUC|
MUC|JED,|JED|IST|MUC|
MUC|CPH,|CPH|IST|MUC|
MUC|YYZ,|YYZ|MUC|
MUC|DEN,|DEN|ORD|MUC|
MUC|YUL,|YUL|MUC|
MUC|NBO,|NBO|IST|MUC|
MUC|ICN,|ICN|IST|MUC|
MUC|NRT,|NRT|IST|MUC|
MUC|YHZ,|YHZ|BOS|MUC|
MUC|YOW,|YOW|YUL|MUC|
MUC|BJM,|BJM|BRU|IST|MUC|
MUC|COO,|COO|BRU|IST|MUC|
MUC|DKR,|DKR|BRU|IST|MUC|
MUC|DLA,|DLA|IST|MUC|
MUC|KGL,|KGL|IST|MUC|
MUC|LAD,|LAD|BRU|IST|MUC|
MUC|ABJ,|ABJ|OUA|NIM|IST|MUC|
MUC|AMS,|AMS|IST|MUC|
MUC|OSL,|OSL|IST|MUC|
MUC|VNO,|VNO|IST|MUC|
MUC|WAW,|WAW|IST|MUC|
MUC|YYC,|YYC|YVR|MUC|
MUC|ATL,|ATL|IAD|MUC|
MUC|MSY,|MSY|IAD|MUC|
MUC|YEG,|YEG|YUL|MUC|
MUC|YMM,|YMM|YYZ|MUC|
MUC|YQR,|YQR|YWG|YUL|MUC|
MUC|YVR,|YVR|MUC|
MUC|YWG,|YWG|YUL|MUC|
MUC|YXE,|YXE|YWG|YUL|MUC|
MUC|CKY,|CKY|DKR|BRU|IST|MUC|
MUC|FIH,|FIH|IST|MUC|
MUC|SCL,|SCL|EZE|GRU|IST|MUC|
MUC|LCA,|LCA|FRA|IST|MUC|
MUC|NAP,|NAP|IST|MUC|
MUC|VLC,|VLC|IST|MUC|
MUC|BKK,|BKK|IST|MUC|
MUC|ADD,|ADD|IST|MUC|
MUC|FRA,|FRA|IST|MUC|
MUC|IST,|IST|MUC|
MUC|EBB,|EBB|KGL|IST|MUC|
MUC|YLW,|YLW|YVR|MUC|
MUC|YYT,|YYT|YHZ|BOS|MUC|
MUC|GUA,|GUA|EWR|MUC|
MUC|EWR,|EWR|MUC|
MUC|IAD,|IAD|MUC|
MUC|IAH,|IAH|MUC|
MUC|ORD,|ORD|MUC|
MUC|SOF,|SOF|MUC|
MUC|YQB,|YQB|YUL|MUC|
MUC|YXU,|YXU|YYZ|MUC|
MUC|EZE,|EZE|GRU|IST|MUC|
MUC|YYJ,|YYJ|YVR|MUC|
MUC|YYY,|YYY|YUL|MUC|
MUC|YQQ,|YQQ|YBL|YVR|MUC|
MUC|YYR,|YYR|YWK|YZV|YUL|MUC|
MUC|LHR,|LHR|IST|MUC|
MUC|SFO,|SFO|MUC|
MUC|YQU,|YQU|YEG|YUL|MUC|
MUC|YZF,|YZF|YEG|YUL|MUC|
MUC|YGR,|YGR|YGP|YQB|YUL|MUC|
MUC|YGP,|YGP|YQB|YUL|MUC|
MUC|BOS,|BOS|MUC|
MUC|YDF,|YDF|YHZ|BOS|MUC|
MUC|YFC,|YFC|YUL|MUC|
MUC|YQM,|YQM|YUL|MUC|
MUC|YQX,|YQX|YHZ|BOS|MUC|
MUC|YQY,|YQY|YHZ|BOS|MUC|
MUC|YSJ,|YSJ|YUL|MUC|
MUC|YYG,|YYG|YUL|MUC|
MUC|LAX,|LAX|MUC|
MUC|DCA,|DCA|EWR|MUC|
MUC|LGA,|LGA|YUL|MUC|
MUC|YZV,|YZV|YUL|MUC|
MUC|YWL,|YWL|YVR|MUC|
MUC|AZS,|AZS|YUL|MUC|
MUC|BDL,|BDL|YUL|MUC|
MUC|CCC,|CCC|YUL|MUC|
MUC|CDG,|CDG|IST|MUC|
MUC|CUN,|CUN|EWR|MUC|
MUC|CZM,|CZM|YUL|MUC|
MUC|FDF,|FDF|YUL|MUC|
MUC|FLL,|FLL|EWR|MUC|
MUC|GVA,|GVA|IST|MUC|
MUC|HOG,|HOG|YUL|MUC|
MUC|LAS,|LAS|ORD|MUC|
MUC|MBJ,|MBJ|EWR|MUC|
MUC|MCO,|MCO|BOS|MUC|
MUC|PAP,|PAP|YUL|MUC|
MUC|PTP,|PTP|YUL|MUC|
MUC|PUJ,|PUJ|EWR|MUC|
MUC|SNU,|SNU|YUL|MUC|
MUC|VRA,|VRA|YUL|MUC|
MUC|YBC,|YBC|YUL|MUC|
MUC|YBG,|YBG|YUL|MUC|
MUC|YTZ,|YTZ|YUL|MUC|
MUC|YUY,|YUY|YUL|MUC|
MUC|YVO,|YVO|YUL|MUC|
MUC|ZBF,|ZBF|YUL|MUC|
MUC|ZRH,|ZRH|IST|MUC|
MUC|ZSA,|ZSA|YUL|MUC|
MUC|AKL,|AKL|BKK|IST|MUC|
MUC|HKG,|HKG|IST|MUC|
MUC|HND,|HND|YVR|MUC|
MUC|HNL,|HNL|YVR|MUC|
MUC|MEX,|MEX|IAD|MUC|
MUC|OGG,|OGG|YVR|MUC|
MUC|PDX,|PDX|YVR|MUC|
MUC|PEK,|PEK|IST|MUC|
MUC|PVG,|PVG|IST|MUC|
MUC|PVR,|PVR|IAH|MUC|
MUC|SEA,|SEA|YVR|MUC|
MUC|SYD,|SYD|BKK|IST|MUC|
MUC|YBL,|YBL|YVR|MUC|
MUC|YCD,|YCD|YVR|MUC|
MUC|YCG,|YCG|YVR|MUC|
MUC|YKA,|YKA|YVR|MUC|
MUC|YPR,|YPR|YVR|MUC|
MUC|YQZ,|YQZ|YVR|MUC|
MUC|YXC,|YXC|YVR|MUC|
MUC|YXJ,|YXJ|YVR|MUC|
MUC|YXS,|YXS|YVR|MUC|
MUC|YXT,|YXT|YVR|MUC|
MUC|YXY,|YXY|YVR|MUC|
MUC|YYD,|YYD|YVR|MUC|
MUC|YYF,|YYF|YVR|MUC|
MUC|YZP,|YZP|YVR|MUC|
MUC|YQT,|YQT|YYZ|MUC|
MUC|SJD,|SJD|ORD|MUC|
MUC|YQF,|YQF|YYC|YVR|MUC|
