MZH|BRU,|BRU|IST|MZH|
MZH|OUA,|OUA|NIM|IST|MZH|
MZH|JED,|JED|IST|MZH|
MZH|CPH,|CPH|IST|MZH|
MZH|YYZ,|YYZ|IST|MZH|
MZH|DEN,|DEN|FRA|IST|MZH|
MZH|YUL,|YUL|FRA|IST|MZH|
MZH|NBO,|NBO|IST|MZH|
MZH|ICN,|ICN|IST|MZH|
MZH|NRT,|NRT|IST|MZH|
MZH|YHZ,|YHZ|LHR|IST|MZH|
MZH|YOW,|YOW|FRA|IST|MZH|
MZH|BJM,|BJM|BRU|IST|MZH|
MZH|COO,|COO|BRU|IST|MZH|
MZH|DKR,|DKR|BRU|IST|MZH|
MZH|DLA,|DLA|IST|MZH|
MZH|KGL,|KGL|IST|MZH|
MZH|LAD,|LAD|BRU|IST|MZH|
MZH|ABJ,|ABJ|OUA|NIM|IST|MZH|
MZH|AMS,|AMS|IST|MZH|
MZH|OSL,|OSL|IST|MZH|
MZH|VNO,|VNO|IST|MZH|
MZH|WAW,|WAW|IST|MZH|
MZH|YYC,|YYC|FRA|IST|MZH|
MZH|ATL,|ATL|FRA|IST|MZH|
MZH|MSY,|MSY|IAD|IST|MZH|
MZH|YEG,|YEG|LHR|IST|MZH|
MZH|YMM,|YMM|YEG|LHR|IST|MZH|
MZH|YQR,|YQR|YEG|LHR|IST|MZH|
MZH|YVR,|YVR|MUC|IST|MZH|
MZH|YWG,|YWG|YUL|FRA|IST|MZH|
MZH|YXE,|YXE|YEG|LHR|IST|MZH|
MZH|CKY,|CKY|DKR|BRU|IST|MZH|
MZH|FIH,|FIH|IST|MZH|
MZH|SCL,|SCL|EZE|GRU|IST|MZH|
MZH|LCA,|LCA|FRA|IST|MZH|
MZH|NAP,|NAP|IST|MZH|
MZH|VLC,|VLC|IST|MZH|
MZH|BKK,|BKK|IST|MZH|
MZH|ADD,|ADD|IST|MZH|
MZH|FRA,|FRA|IST|MZH|
MZH|IST,|IST|MZH|
MZH|EBB,|EBB|KGL|IST|MZH|
MZH|YLW,|YLW|YYC|FRA|IST|MZH|
MZH|YYT,|YYT|LHR|IST|MZH|
MZH|GUA,|GUA|MIA|ZRH|IST|MZH|
MZH|EWR,|EWR|BHX|IST|MZH|
MZH|IAD,|IAD|IST|MZH|
MZH|IAH,|IAH|IST|MZH|
MZH|ORD,|ORD|IST|MZH|
MZH|SOF,|SOF|IST|MZH|
MZH|YQB,|YQB|YUL|FRA|IST|MZH|
MZH|YXU,|YXU|YYZ|IST|MZH|
MZH|EZE,|EZE|GRU|IST|MZH|
MZH|YYJ,|YYJ|YVR|MUC|IST|MZH|
MZH|YYY,|YYY|YUL|FRA|IST|MZH|
MZH|YQQ,|YQQ|YBL|YVR|MUC|IST|MZH|
MZH|YYR,|YYR|YYT|LHR|IST|MZH|
MZH|LHR,|LHR|IST|MZH|
MZH|SFO,|SFO|MUC|IST|MZH|
MZH|YQU,|YQU|YEG|LHR|IST|MZH|
MZH|YZF,|YZF|YEG|LHR|IST|MZH|
MZH|YGR,|YGR|YGP|YQB|YUL|FRA|IST|MZH|
MZH|YGP,|YGP|YQB|YUL|FRA|IST|MZH|
MZH|BOS,|BOS|FRA|IST|MZH|
MZH|YDF,|YDF|YYT|LHR|IST|MZH|
MZH|YFC,|YFC|YHZ|LHR|IST|MZH|
MZH|YQM,|YQM|YHZ|LHR|IST|MZH|
MZH|YQX,|YQX|YYT|LHR|IST|MZH|
MZH|YQY,|YQY|YHZ|LHR|IST|MZH|
MZH|YSJ,|YSJ|YHZ|LHR|IST|MZH|
MZH|YYG,|YYG|YHZ|LHR|IST|MZH|
MZH|LAX,|LAX|IST|MZH|
MZH|DCA,|DCA|EWR|BHX|IST|MZH|
MZH|LGA,|LGA|YHZ|LHR|IST|MZH|
MZH|YZV,|YZV|YWK|YYR|YYT|LHR|IST|MZH|
MZH|YWL,|YWL|YVR|MUC|IST|MZH|
MZH|AZS,|AZS|YUL|FRA|IST|MZH|
MZH|BDL,|BDL|YUL|FRA|IST|MZH|
MZH|CCC,|CCC|YUL|FRA|IST|MZH|
MZH|CDG,|CDG|IST|MZH|
MZH|CUN,|CUN|YHZ|LHR|IST|MZH|
MZH|CZM,|CZM|YUL|FRA|IST|MZH|
MZH|FDF,|FDF|YUL|FRA|IST|MZH|
MZH|FLL,|FLL|MCO|FRA|IST|MZH|
MZH|GVA,|GVA|IST|MZH|
MZH|HOG,|HOG|YUL|FRA|IST|MZH|
MZH|LAS,|LAS|DEN|FRA|IST|MZH|
MZH|MBJ,|MBJ|YHZ|LHR|IST|MZH|
MZH|MCO,|MCO|FRA|IST|MZH|
MZH|MUC,|MUC|IST|MZH|
MZH|PAP,|PAP|YUL|FRA|IST|MZH|
MZH|PTP,|PTP|YUL|FRA|IST|MZH|
MZH|PUJ,|PUJ|YHZ|LHR|IST|MZH|
MZH|SNU,|SNU|YUL|FRA|IST|MZH|
MZH|VRA,|VRA|YUL|FRA|IST|MZH|
MZH|YBC,|YBC|YUL|FRA|IST|MZH|
MZH|YBG,|YBG|YUL|FRA|IST|MZH|
MZH|YTZ,|YTZ|YUL|FRA|IST|MZH|
MZH|YUY,|YUY|YUL|FRA|IST|MZH|
