NAJ|BRU,|BRU|IST|KVD|NAJ|
NAJ|OUA,|OUA|NIM|IST|KVD|NAJ|
NAJ|JED,|JED|IST|KVD|NAJ|
NAJ|CPH,|CPH|IST|KVD|NAJ|
NAJ|YYZ,|YYZ|IST|KVD|NAJ|
NAJ|DEN,|DEN|FRA|IST|KVD|NAJ|
NAJ|YUL,|YUL|FRA|IST|KVD|NAJ|
NAJ|NBO,|NBO|IST|KVD|NAJ|
NAJ|ICN,|ICN|IST|KVD|NAJ|
NAJ|NRT,|NRT|IST|KVD|NAJ|
NAJ|YHZ,|YHZ|LHR|IST|KVD|NAJ|
NAJ|YOW,|YOW|FRA|IST|KVD|NAJ|
NAJ|BJM,|BJM|BRU|IST|KVD|NAJ|
NAJ|COO,|COO|BRU|IST|KVD|NAJ|
NAJ|DKR,|DKR|BRU|IST|KVD|NAJ|
NAJ|DLA,|DLA|IST|KVD|NAJ|
NAJ|KGL,|KGL|IST|KVD|NAJ|
NAJ|LAD,|LAD|BRU|IST|KVD|NAJ|
NAJ|ABJ,|ABJ|OUA|NIM|IST|KVD|NAJ|
NAJ|AMS,|AMS|IST|KVD|NAJ|
NAJ|OSL,|OSL|IST|KVD|NAJ|
NAJ|VNO,|VNO|IST|KVD|NAJ|
NAJ|WAW,|WAW|IST|KVD|NAJ|
NAJ|YYC,|YYC|FRA|IST|KVD|NAJ|
NAJ|ATL,|ATL|FRA|IST|KVD|NAJ|
NAJ|MSY,|MSY|IAD|IST|KVD|NAJ|
NAJ|YEG,|YEG|LHR|IST|KVD|NAJ|
NAJ|YMM,|YMM|YEG|LHR|IST|KVD|NAJ|
NAJ|YQR,|YQR|YEG|LHR|IST|KVD|NAJ|
NAJ|YVR,|YVR|MUC|IST|KVD|NAJ|
NAJ|YWG,|YWG|YUL|FRA|IST|KVD|NAJ|
NAJ|YXE,|YXE|YEG|LHR|IST|KVD|NAJ|
NAJ|CKY,|CKY|DKR|BRU|IST|KVD|NAJ|
NAJ|FIH,|FIH|IST|KVD|NAJ|
NAJ|SCL,|SCL|EZE|GRU|IST|KVD|NAJ|
NAJ|LCA,|LCA|FRA|IST|KVD|NAJ|
NAJ|NAP,|NAP|IST|KVD|NAJ|
NAJ|VLC,|VLC|IST|KVD|NAJ|
NAJ|BKK,|BKK|IST|KVD|NAJ|
NAJ|ADD,|ADD|IST|KVD|NAJ|
NAJ|FRA,|FRA|IST|KVD|NAJ|
NAJ|IST,|IST|KVD|NAJ|
NAJ|EBB,|EBB|KGL|IST|KVD|NAJ|
NAJ|YLW,|YLW|YYC|FRA|IST|KVD|NAJ|
NAJ|YYT,|YYT|LHR|IST|KVD|NAJ|
NAJ|GUA,|GUA|MIA|ZRH|IST|KVD|NAJ|
NAJ|EWR,|EWR|BHX|IST|KVD|NAJ|
NAJ|IAD,|IAD|IST|KVD|NAJ|
NAJ|IAH,|IAH|IST|KVD|NAJ|
NAJ|ORD,|ORD|IST|KVD|NAJ|
NAJ|SOF,|SOF|IST|KVD|NAJ|
NAJ|YQB,|YQB|YUL|FRA|IST|KVD|NAJ|
NAJ|YXU,|YXU|YYZ|IST|KVD|NAJ|
NAJ|EZE,|EZE|GRU|IST|KVD|NAJ|
NAJ|YYJ,|YYJ|YVR|MUC|IST|KVD|NAJ|
NAJ|YYY,|YYY|YUL|FRA|IST|KVD|NAJ|
NAJ|YQQ,|YQQ|YBL|YVR|MUC|IST|KVD|NAJ|
NAJ|YYR,|YYR|YYT|LHR|IST|KVD|NAJ|
NAJ|LHR,|LHR|IST|KVD|NAJ|
NAJ|SFO,|SFO|MUC|IST|KVD|NAJ|
NAJ|YQU,|YQU|YEG|LHR|IST|KVD|NAJ|
NAJ|YZF,|YZF|YEG|LHR|IST|KVD|NAJ|
NAJ|YGR,|YGR|YGP|YQB|YUL|FRA|IST|KVD|NAJ|
NAJ|YGP,|YGP|YQB|YUL|FRA|IST|KVD|NAJ|
NAJ|BOS,|BOS|FRA|IST|KVD|NAJ|
NAJ|YDF,|YDF|YYT|LHR|IST|KVD|NAJ|
NAJ|YFC,|YFC|YHZ|LHR|IST|KVD|NAJ|
NAJ|YQM,|YQM|YHZ|LHR|IST|KVD|NAJ|
NAJ|YQX,|YQX|YYT|LHR|IST|KVD|NAJ|
NAJ|YQY,|YQY|YHZ|LHR|IST|KVD|NAJ|
NAJ|YSJ,|YSJ|YHZ|LHR|IST|KVD|NAJ|
NAJ|YYG,|YYG|YHZ|LHR|IST|KVD|NAJ|
NAJ|LAX,|LAX|IST|KVD|NAJ|
NAJ|DCA,|DCA|EWR|BHX|IST|KVD|NAJ|
NAJ|LGA,|LGA|YHZ|LHR|IST|KVD|NAJ|
NAJ|YZV,|YZV|YWK|YYR|YYT|LHR|IST|KVD|NAJ|
NAJ|YWL,|YWL|YVR|MUC|IST|KVD|NAJ|
NAJ|AZS,|AZS|YUL|FRA|IST|KVD|NAJ|
NAJ|BDL,|BDL|YUL|FRA|IST|KVD|NAJ|
NAJ|CCC,|CCC|YUL|FRA|IST|KVD|NAJ|
NAJ|CDG,|CDG|IST|KVD|NAJ|
NAJ|CUN,|CUN|YHZ|LHR|IST|KVD|NAJ|
NAJ|CZM,|CZM|YUL|FRA|IST|KVD|NAJ|
NAJ|FDF,|FDF|YUL|FRA|IST|KVD|NAJ|
NAJ|FLL,|FLL|MCO|FRA|IST|KVD|NAJ|
NAJ|GVA,|GVA|IST|KVD|NAJ|
NAJ|HOG,|HOG|YUL|FRA|IST|KVD|NAJ|
NAJ|LAS,|LAS|DEN|FRA|IST|KVD|NAJ|
NAJ|MBJ,|MBJ|YHZ|LHR|IST|KVD|NAJ|
NAJ|MCO,|MCO|FRA|IST|KVD|NAJ|
NAJ|MUC,|MUC|IST|KVD|NAJ|
NAJ|PAP,|PAP|YUL|FRA|IST|KVD|NAJ|
NAJ|PTP,|PTP|YUL|FRA|IST|KVD|NAJ|
NAJ|PUJ,|PUJ|YHZ|LHR|IST|KVD|NAJ|
NAJ|SNU,|SNU|YUL|FRA|IST|KVD|NAJ|
NAJ|VRA,|VRA|YUL|FRA|IST|KVD|NAJ|
NAJ|YBC,|YBC|YUL|FRA|IST|KVD|NAJ|
NAJ|YBG,|YBG|YUL|FRA|IST|KVD|NAJ|
NAJ|YTZ,|YTZ|YUL|FRA|IST|KVD|NAJ|
NAJ|YUY,|YUY|YUL|FRA|IST|KVD|NAJ|
NAJ|YVO,|YVO|YUL|FRA|IST|KVD|NAJ|
NAJ|ZBF,|ZBF|YUL|FRA|IST|KVD|NAJ|
NAJ|ZRH,|ZRH|IST|KVD|NAJ|
NAJ|ZSA,|ZSA|YUL|FRA|IST|KVD|NAJ|
NAJ|AKL,|AKL|BKK|IST|KVD|NAJ|
NAJ|HKG,|HKG|IST|KVD|NAJ|
NAJ|HND,|HND|YVR|MUC|IST|KVD|NAJ|
NAJ|HNL,|HNL|YVR|MUC|IST|KVD|NAJ|
NAJ|MEX,|MEX|IAD|IST|KVD|NAJ|
NAJ|OGG,|OGG|YVR|MUC|IST|KVD|NAJ|
NAJ|PDX,|PDX|SEA|FRA|IST|KVD|NAJ|
NAJ|PEK,|PEK|IST|KVD|NAJ|
NAJ|PVG,|PVG|IST|KVD|NAJ|
NAJ|PVR,|PVR|ORD|IST|KVD|NAJ|
NAJ|SEA,|SEA|FRA|IST|KVD|NAJ|
NAJ|SYD,|SYD|BKK|IST|KVD|NAJ|
NAJ|YBL,|YBL|YVR|MUC|IST|KVD|NAJ|
NAJ|YCD,|YCD|YVR|MUC|IST|KVD|NAJ|
NAJ|YCG,|YCG|YYC|FRA|IST|KVD|NAJ|
NAJ|YKA,|YKA|YYC|FRA|IST|KVD|NAJ|
NAJ|YPR,|YPR|YVR|MUC|IST|KVD|NAJ|
NAJ|YQZ,|YQZ|YVR|MUC|IST|KVD|NAJ|
NAJ|YXC,|YXC|YYC|FRA|IST|KVD|NAJ|
NAJ|YXJ,|YXJ|YYC|FRA|IST|KVD|NAJ|
NAJ|YXS,|YXS|YYC|FRA|IST|KVD|NAJ|
NAJ|YXT,|YXT|YVR|MUC|IST|KVD|NAJ|
NAJ|YXY,|YXY|YVR|MUC|IST|KVD|NAJ|
NAJ|YYD,|YYD|YVR|MUC|IST|KVD|NAJ|
NAJ|YYF,|YYF|YVR|MUC|IST|KVD|NAJ|
NAJ|YZP,|YZP|YVR|MUC|IST|KVD|NAJ|
NAJ|YQT,|YQT|YYZ|IST|KVD|NAJ|
NAJ|SJD,|SJD|ORD|IST|KVD|NAJ|
NAJ|YQF,|YQF|YYC|FRA|IST|KVD|NAJ|
NAJ|YQL,|YQL|YYC|FRA|IST|KVD|NAJ|
NAJ|YXH,|YXH|YYC|FRA|IST|KVD|NAJ|
NAJ|YWK,|YWK|YYR|YYT|LHR|IST|KVD|NAJ|
NAJ|ANU,|ANU|EWR|BHX|IST|KVD|NAJ|
NAJ|AUA,|AUA|EWR|BHX|IST|KVD|NAJ|
NAJ|AUH,|AUH|IST|KVD|NAJ|
NAJ|BCN,|BCN|IST|KVD|NAJ|
NAJ|BDA,|BDA|EWR|BHX|IST|KVD|NAJ|
NAJ|BGI,|BGI|YYZ|IST|KVD|NAJ|
NAJ|BNA,|BNA|YYZ|IST|KVD|NAJ|
NAJ|BOG,|BOG|MIA|ZRH|IST|KVD|NAJ|
NAJ|BWI,|BWI|EWR|BHX|IST|KVD|NAJ|
NAJ|CLE,|CLE|YYZ|IST|KVD|NAJ|
NAJ|CLT,|CLT|EWR|BHX|IST|KVD|NAJ|
NAJ|CMH,|CMH|YYZ|IST|KVD|NAJ|
NAJ|CVG,|CVG|YYZ|IST|KVD|NAJ|
NAJ|DFW,|DFW|ORD|IST|KVD|NAJ|
NAJ|DTW,|DTW|FRA|IST|KVD|NAJ|
NAJ|DUB,|DUB|IST|KVD|NAJ|
NAJ|FCO,|FCO|IST|KVD|NAJ|
NAJ|GCM,|GCM|EWR|BHX|IST|KVD|NAJ|
NAJ|GGT,|GGT|FLL|MCO|FRA|IST|KVD|NAJ|
NAJ|GND,|GND|YYZ|IST|KVD|NAJ|
NAJ|GRU,|GRU|IST|KVD|NAJ|
NAJ|HAV,|HAV|YYZ|IST|KVD|NAJ|
NAJ|IND,|IND|YYZ|IST|KVD|NAJ|
NAJ|JFK,|JFK|IST|KVD|NAJ|
NAJ|KIN,|KIN|YYZ|IST|KVD|NAJ|
NAJ|LIM,|LIM|MIA|ZRH|IST|KVD|NAJ|
NAJ|LIR,|LIR|EWR|BHX|IST|KVD|NAJ|
NAJ|MCI,|MCI|ORD|IST|KVD|NAJ|
NAJ|MDT,|MDT|IAD|IST|KVD|NAJ|
NAJ|MIA,|MIA|ZRH|IST|KVD|NAJ|
NAJ|MKE,|MKE|YYZ|IST|KVD|NAJ|
NAJ|MSP,|MSP|YUL|FRA|IST|KVD|NAJ|
NAJ|NAS,|NAS|EWR|BHX|IST|KVD|NAJ|
NAJ|PHL,|PHL|IAD|IST|KVD|NAJ|
NAJ|PHX,|PHX|DEN|FRA|IST|KVD|NAJ|
NAJ|PIT,|PIT|YYZ|IST|KVD|NAJ|
NAJ|PLS,|PLS|EWR|BHX|IST|KVD|NAJ|
NAJ|POP,|POP|EWR|BHX|IST|KVD|NAJ|
NAJ|RDU,|RDU|EWR|BHX|IST|KVD|NAJ|
NAJ|ROC,|ROC|YYZ|IST|KVD|NAJ|
NAJ|RSW,|RSW|MCO|FRA|IST|KVD|NAJ|
NAJ|SAN,|SAN|LAX|IST|KVD|NAJ|
NAJ|SJO,|SJO|EWR|BHX|IST|KVD|NAJ|
NAJ|STL,|STL|ORD|IST|KVD|NAJ|
NAJ|SYR,|SYR|EWR|BHX|IST|KVD|NAJ|
NAJ|TLV,|TLV|IST|KVD|NAJ|
NAJ|TPA,|TPA|EWR|BHX|IST|KVD|NAJ|
NAJ|UVF,|UVF|EWR|BHX|IST|KVD|NAJ|
NAJ|VIE,|VIE|IST|KVD|NAJ|
NAJ|YAM,|YAM|YYZ|IST|KVD|NAJ|
NAJ|YGK,|YGK|YYZ|IST|KVD|NAJ|
NAJ|YQG,|YQG|YYZ|IST|KVD|NAJ|
NAJ|YSB,|YSB|YYZ|IST|KVD|NAJ|
NAJ|YTS,|YTS|YYZ|IST|KVD|NAJ|
NAJ|YYB,|YYB|YYZ|IST|KVD|NAJ|
NAJ|YZR,|YZR|YYZ|IST|KVD|NAJ|
NAJ|CAN,|CAN|IST|KVD|NAJ|
NAJ|URC,|URC|IST|KVD|NAJ|
NAJ|CTU,|CTU|URC|IST|KVD|NAJ|
NAJ|HGH,|HGH|URC|IST|KVD|NAJ|
NAJ|XMN,|XMN|CSX|URC|IST|KVD|NAJ|
NAJ|CGO,|CGO|URC|IST|KVD|NAJ|
NAJ|CSX,|CSX|URC|IST|KVD|NAJ|
NAJ|SHE,|SHE|PEK|IST|KVD|NAJ|
NAJ|SJW,|SJW|URC|IST|KVD|NAJ|
NAJ|WUH,|WUH|URC|IST|KVD|NAJ|
NAJ|SZX,|SZX|CKG|URC|IST|KVD|NAJ|
NAJ|CKG,|CKG|URC|IST|KVD|NAJ|
NAJ|KMG,|KMG|CTU|URC|IST|KVD|NAJ|
NAJ|FOC,|FOC|XIY|URC|IST|KVD|NAJ|
NAJ|NNG,|NNG|KWE|URC|IST|KVD|NAJ|
NAJ|SWA,|SWA|CAN|IST|KVD|NAJ|
NAJ|ACX,|ACX|CAN|IST|KVD|NAJ|
NAJ|AQG,|AQG|CAN|IST|KVD|NAJ|
NAJ|AVA,|AVA|CAN|IST|KVD|NAJ|
NAJ|BFJ,|BFJ|CAN|IST|KVD|NAJ|
NAJ|BHY,|BHY|CKG|URC|IST|KVD|NAJ|
NAJ|BNE,|BNE|BKK|IST|KVD|NAJ|
NAJ|CGD,|CGD|PEK|IST|KVD|NAJ|
NAJ|CGK,|CGK|SIN|IST|KVD|NAJ|
NAJ|CGQ,|CGQ|HET|URC|IST|KVD|NAJ|
NAJ|CIH,|CIH|PEK|IST|KVD|NAJ|
NAJ|CNX,|CNX|CAN|IST|KVD|NAJ|
NAJ|CZX,|CZX|TYN|URC|IST|KVD|NAJ|
NAJ|DAC,|DAC|IST|KVD|NAJ|
NAJ|DAD,|DAD|CAN|IST|KVD|NAJ|
NAJ|DEL,|DEL|IST|KVD|NAJ|
NAJ|DIG,|DIG|KMG|CTU|URC|IST|KVD|NAJ|
NAJ|DLC,|DLC|PEK|IST|KVD|NAJ|
NAJ|DPS,|DPS|CAN|IST|KVD|NAJ|
NAJ|DXB,|DXB|IST|KVD|NAJ|
NAJ|DYG,|DYG|CSX|URC|IST|KVD|NAJ|
NAJ|FUG,|FUG|CAN|IST|KVD|NAJ|
NAJ|FUK,|FUK|ICN|IST|KVD|NAJ|
NAJ|HAK,|HAK|CTU|URC|IST|KVD|NAJ|
NAJ|HAN,|HAN|CAN|IST|KVD|NAJ|
NAJ|HDG,|HDG|CAN|IST|KVD|NAJ|
NAJ|HET,|HET|URC|IST|KVD|NAJ|
NAJ|HFE,|HFE|XIY|URC|IST|KVD|NAJ|
NAJ|HJJ,|HJJ|CSX|URC|IST|KVD|NAJ|
NAJ|HKT,|HKT|KWE|URC|IST|KVD|NAJ|
NAJ|HRB,|HRB|PEK|IST|KVD|NAJ|
NAJ|HZH,|HZH|CAN|IST|KVD|NAJ|
NAJ|JIU,|JIU|CAN|IST|KVD|NAJ|
NAJ|JJN,|JJN|CSX|URC|IST|KVD|NAJ|
NAJ|JNG,|JNG|CAN|IST|KVD|NAJ|
NAJ|KHN,|KHN|XIY|URC|IST|KVD|NAJ|
NAJ|KIX,|KIX|IST|KVD|NAJ|
NAJ|KOW,|KOW|CAN|IST|KVD|NAJ|
NAJ|KTM,|KTM|IST|KVD|NAJ|
NAJ|KUL,|KUL|IST|KVD|NAJ|
NAJ|KWE,|KWE|URC|IST|KVD|NAJ|
NAJ|KWL,|KWL|CKG|URC|IST|KVD|NAJ|
NAJ|LHW,|LHW|URC|IST|KVD|NAJ|
NAJ|LYA,|LYA|KHN|XIY|URC|IST|KVD|NAJ|
NAJ|LYG,|LYG|XUZ|INC|URC|IST|KVD|NAJ|
NAJ|LZH,|LZH|CAN|IST|KVD|NAJ|
NAJ|MEL,|MEL|BKK|IST|KVD|NAJ|
NAJ|MIG,|MIG|CSX|URC|IST|KVD|NAJ|
NAJ|MLE,|MLE|IST|KVD|NAJ|
NAJ|MNL,|MNL|CAN|IST|KVD|NAJ|
NAJ|MXZ,|MXZ|CAN|IST|KVD|NAJ|
NAJ|NAO,|NAO|PEK|IST|KVD|NAJ|
NAJ|NGB,|NGB|WUH|URC|IST|KVD|NAJ|
NAJ|NKG,|NKG|URC|IST|KVD|NAJ|
NAJ|NNY,|NNY|CGO|URC|IST|KVD|NAJ|
NAJ|PEN,|PEN|CAN|IST|KVD|NAJ|
NAJ|PER,|PER|BKK|IST|KVD|NAJ|
NAJ|PNH,|PNH|CAN|IST|KVD|NAJ|
NAJ|REP,|REP|CAN|IST|KVD|NAJ|
NAJ|RGN,|RGN|CAN|IST|KVD|NAJ|
NAJ|SGN,|SGN|BKK|IST|KVD|NAJ|
NAJ|SHA,|SHA|URC|IST|KVD|NAJ|
NAJ|SIN,|SIN|IST|KVD|NAJ|
NAJ|SVO,|SVO|URC|IST|KVD|NAJ|
NAJ|SYX,|SYX|CKG|URC|IST|KVD|NAJ|
NAJ|TAO,|TAO|TYN|URC|IST|KVD|NAJ|
NAJ|TEN,|TEN|CAN|IST|KVD|NAJ|
NAJ|TNA,|TNA|URC|IST|KVD|NAJ|
NAJ|TPE,|TPE|URC|IST|KVD|NAJ|
NAJ|TSN,|TSN|HET|URC|IST|KVD|NAJ|
NAJ|TXN,|TXN|TYN|URC|IST|KVD|NAJ|
NAJ|TYN,|TYN|URC|IST|KVD|NAJ|
NAJ|WNZ,|WNZ|XIY|URC|IST|KVD|NAJ|
NAJ|WUX,|WUX|CAN|IST|KVD|NAJ|
NAJ|XFN,|XFN|CAN|IST|KVD|NAJ|
NAJ|XIY,|XIY|URC|IST|KVD|NAJ|
NAJ|XUZ,|XUZ|INC|URC|IST|KVD|NAJ|
NAJ|YIH,|YIH|CKG|URC|IST|KVD|NAJ|
NAJ|YIW,|YIW|URC|IST|KVD|NAJ|
NAJ|YNT,|YNT|SHE|PEK|IST|KVD|NAJ|
NAJ|YNZ,|YNZ|WUH|URC|IST|KVD|NAJ|
NAJ|YTY,|YTY|CGO|URC|IST|KVD|NAJ|
NAJ|ZHA,|ZHA|CAN|IST|KVD|NAJ|
NAJ|ZYI,|ZYI|CAN|IST|KVD|NAJ|
NAJ|BAV,|BAV|URC|IST|KVD|NAJ|
NAJ|CJU,|CJU|DLC|PEK|IST|KVD|NAJ|
NAJ|DSN,|DSN|CGO|URC|IST|KVD|NAJ|
NAJ|HMI,|HMI|URC|IST|KVD|NAJ|
NAJ|INC,|INC|URC|IST|KVD|NAJ|
NAJ|KHH,|KHH|WUH|URC|IST|KVD|NAJ|
NAJ|UYN,|UYN|XIY|URC|IST|KVD|NAJ|
NAJ|XNN,|XNN|URC|IST|KVD|NAJ|
NAJ|ZUH,|ZUH|KWE|URC|IST|KVD|NAJ|
NAJ|YNJ,|YNJ|PEK|IST|KVD|NAJ|
NAJ|DAT,|DAT|TYN|URC|IST|KVD|NAJ|
NAJ|JHG,|JHG|KMG|CTU|URC|IST|KVD|NAJ|
NAJ|LJG,|LJG|KMG|CTU|URC|IST|KVD|NAJ|
NAJ|LXA,|LXA|CKG|URC|IST|KVD|NAJ|
NAJ|YCU,|YCU|CKG|URC|IST|KVD|NAJ|
NAJ|LZO,|LZO|CSX|URC|IST|KVD|NAJ|
NAJ|MDG,|MDG|DLC|PEK|IST|KVD|NAJ|
NAJ|NGO,|NGO|ICN|IST|KVD|NAJ|
