NAP|BRU,|BRU|IST|NAP|
NAP|OUA,|OUA|NIM|IST|NAP|
NAP|JED,|JED|IST|NAP|
NAP|CPH,|CPH|VNO|FRA|NAP|
NAP|YYZ,|YYZ|FRA|NAP|
NAP|DEN,|DEN|FRA|NAP|
NAP|YUL,|YUL|FRA|NAP|
NAP|NBO,|NBO|IST|NAP|
NAP|ICN,|ICN|IST|NAP|
NAP|NRT,|NRT|IST|NAP|
NAP|YHZ,|YHZ|BOS|FRA|NAP|
NAP|YOW,|YOW|FRA|NAP|
NAP|BJM,|BJM|BRU|IST|NAP|
NAP|COO,|COO|BRU|IST|NAP|
NAP|DKR,|DKR|BRU|IST|NAP|
NAP|DLA,|DLA|IST|NAP|
NAP|KGL,|KGL|IST|NAP|
NAP|LAD,|LAD|BRU|IST|NAP|
NAP|ABJ,|ABJ|OUA|NIM|IST|NAP|
NAP|AMS,|AMS|IST|NAP|
NAP|OSL,|OSL|IST|NAP|
NAP|VNO,|VNO|FRA|NAP|
NAP|WAW,|WAW|IST|NAP|
NAP|YYC,|YYC|FRA|NAP|
NAP|ATL,|ATL|FRA|NAP|
NAP|MSY,|MSY|IAD|FRA|NAP|
NAP|YEG,|YEG|YYC|FRA|NAP|
NAP|YMM,|YMM|YYC|FRA|NAP|
NAP|YQR,|YQR|YYC|FRA|NAP|
NAP|YVR,|YVR|FRA|NAP|
NAP|YWG,|YWG|YUL|FRA|NAP|
NAP|YXE,|YXE|YYC|FRA|NAP|
NAP|CKY,|CKY|DKR|BRU|IST|NAP|
NAP|FIH,|FIH|IST|NAP|
NAP|SCL,|SCL|EZE|GRU|IST|NAP|
NAP|LCA,|LCA|FRA|NAP|
NAP|VLC,|VLC|FRA|NAP|
NAP|BKK,|BKK|IST|NAP|
NAP|ADD,|ADD|IST|NAP|
NAP|FRA,|FRA|NAP|
NAP|IST,|IST|NAP|
NAP|EBB,|EBB|KGL|IST|NAP|
NAP|YLW,|YLW|YYC|FRA|NAP|
NAP|YYT,|YYT|LHR|IST|NAP|
NAP|GUA,|GUA|MIA|FRA|NAP|
NAP|EWR,|EWR|FRA|NAP|
NAP|IAD,|IAD|FRA|NAP|
NAP|IAH,|IAH|FRA|NAP|
NAP|ORD,|ORD|FRA|NAP|
NAP|SOF,|SOF|IST|NAP|
NAP|YQB,|YQB|YUL|FRA|NAP|
NAP|YXU,|YXU|YYZ|FRA|NAP|
NAP|EZE,|EZE|GRU|IST|NAP|
NAP|YYJ,|YYJ|YVR|FRA|NAP|
NAP|YYY,|YYY|YUL|FRA|NAP|
NAP|YQQ,|YQQ|YBL|YVR|FRA|NAP|
NAP|YYR,|YYR|YYT|LHR|IST|NAP|
NAP|LHR,|LHR|IST|NAP|
NAP|SFO,|SFO|FRA|NAP|
