NAS|BRU,|BRU|EWR|NAS|
NAS|OUA,|OUA|BRU|EWR|NAS|
NAS|JED,|JED|FRA|EWR|NAS|
NAS|CPH,|CPH|AMS|EWR|NAS|
NAS|YYZ,|YYZ|NAS|
NAS|DEN,|DEN|ATL|NAS|
NAS|YUL,|YUL|EWR|NAS|
NAS|NBO,|NBO|ZRH|EWR|NAS|
NAS|ICN,|ICN|YVR|DEN|ATL|NAS|
NAS|NRT,|NRT|ORD|NAS|
NAS|YHZ,|YHZ|EWR|NAS|
NAS|YOW,|YOW|EWR|NAS|
NAS|BJM,|BJM|BRU|EWR|NAS|
NAS|COO,|COO|BRU|EWR|NAS|
NAS|DKR,|DKR|IAD|ATL|NAS|
NAS|DLA,|DLA|BRU|EWR|NAS|
NAS|KGL,|KGL|BRU|EWR|NAS|
NAS|LAD,|LAD|BRU|EWR|NAS|
NAS|ABJ,|ABJ|BRU|EWR|NAS|
NAS|AMS,|AMS|EWR|NAS|
NAS|OSL,|OSL|EWR|NAS|
NAS|VNO,|VNO|CPH|AMS|EWR|NAS|
NAS|WAW,|WAW|CPH|AMS|EWR|NAS|
NAS|YYC,|YYC|ORD|NAS|
NAS|ATL,|ATL|NAS|
NAS|MSY,|MSY|ATL|NAS|
NAS|YEG,|YEG|ORD|NAS|
NAS|YMM,|YMM|YYZ|NAS|
NAS|YQR,|YQR|ORD|NAS|
NAS|YVR,|YVR|DEN|ATL|NAS|
NAS|YWG,|YWG|ORD|NAS|
NAS|YXE,|YXE|ORD|NAS|
NAS|CKY,|CKY|DKR|IAD|ATL|NAS|
NAS|FIH,|FIH|DLA|BRU|EWR|NAS|
NAS|SCL,|SCL|YYZ|NAS|
NAS|LCA,|LCA|FRA|EWR|NAS|
NAS|NAP,|NAP|FRA|EWR|NAS|
NAS|VLC,|VLC|FRA|EWR|NAS|
NAS|BKK,|BKK|CGO|PEK|YYZ|NAS|
NAS|ADD,|ADD|JED|FRA|EWR|NAS|
NAS|FRA,|FRA|EWR|NAS|
NAS|IST,|IST|BHX|EWR|NAS|
NAS|EBB,|EBB|KGL|BRU|EWR|NAS|
NAS|YLW,|YLW|YYC|ORD|NAS|
NAS|YYT,|YYT|EWR|NAS|
NAS|GUA,|GUA|IAH|NAS|
NAS|EWR,|EWR|NAS|
NAS|IAD,|IAD|ATL|NAS|
NAS|IAH,|IAH|NAS|
NAS|ORD,|ORD|NAS|
NAS|SOF,|SOF|MUC|EWR|NAS|
NAS|YQB,|YQB|EWR|NAS|
NAS|YXU,|YXU|YYZ|NAS|
NAS|EZE,|EZE|IAH|NAS|
NAS|YYJ,|YYJ|YVR|DEN|ATL|NAS|
NAS|YYY,|YYY|YUL|EWR|NAS|
NAS|YQQ,|YQQ|YBL|YVR|DEN|ATL|NAS|
