NCE|BRU,|BRU|IST|NCE|
NCE|OUA,|OUA|NIM|IST|NCE|
NCE|JED,|JED|IST|NCE|
NCE|CPH,|CPH|IST|NCE|
NCE|YYZ,|YYZ|IST|NCE|
NCE|DEN,|DEN|FRA|IST|NCE|
NCE|YUL,|YUL|FRA|IST|NCE|
NCE|NBO,|NBO|IST|NCE|
NCE|ICN,|ICN|IST|NCE|
NCE|NRT,|NRT|IST|NCE|
NCE|YHZ,|YHZ|LHR|IST|NCE|
NCE|YOW,|YOW|FRA|IST|NCE|
NCE|BJM,|BJM|BRU|IST|NCE|
NCE|COO,|COO|BRU|IST|NCE|
NCE|DKR,|DKR|BRU|IST|NCE|
NCE|DLA,|DLA|IST|NCE|
NCE|KGL,|KGL|IST|NCE|
NCE|LAD,|LAD|BRU|IST|NCE|
NCE|ABJ,|ABJ|OUA|NIM|IST|NCE|
NCE|AMS,|AMS|IST|NCE|
NCE|OSL,|OSL|IST|NCE|
NCE|VNO,|VNO|IST|NCE|
NCE|WAW,|WAW|IST|NCE|
NCE|YYC,|YYC|FRA|IST|NCE|
NCE|ATL,|ATL|FRA|IST|NCE|
NCE|MSY,|MSY|IAD|IST|NCE|
NCE|YEG,|YEG|LHR|IST|NCE|
NCE|YMM,|YMM|YEG|LHR|IST|NCE|
NCE|YQR,|YQR|YEG|LHR|IST|NCE|
NCE|YVR,|YVR|MUC|IST|NCE|
NCE|YWG,|YWG|YUL|FRA|IST|NCE|
NCE|YXE,|YXE|YEG|LHR|IST|NCE|
NCE|CKY,|CKY|DKR|BRU|IST|NCE|
NCE|FIH,|FIH|IST|NCE|
NCE|SCL,|SCL|EZE|GRU|IST|NCE|
NCE|LCA,|LCA|FRA|IST|NCE|
NCE|NAP,|NAP|IST|NCE|
NCE|VLC,|VLC|IST|NCE|
NCE|BKK,|BKK|IST|NCE|
NCE|ADD,|ADD|IST|NCE|
NCE|FRA,|FRA|IST|NCE|
NCE|IST,|IST|NCE|
NCE|EBB,|EBB|KGL|IST|NCE|
NCE|YLW,|YLW|YYC|FRA|IST|NCE|
NCE|YYT,|YYT|LHR|IST|NCE|
NCE|GUA,|GUA|MIA|ZRH|IST|NCE|
NCE|EWR,|EWR|BHX|IST|NCE|
NCE|IAD,|IAD|IST|NCE|
NCE|IAH,|IAH|IST|NCE|
NCE|ORD,|ORD|IST|NCE|
NCE|SOF,|SOF|IST|NCE|
NCE|YQB,|YQB|YUL|FRA|IST|NCE|
NCE|YXU,|YXU|YYZ|IST|NCE|
NCE|EZE,|EZE|GRU|IST|NCE|
NCE|YYJ,|YYJ|YVR|MUC|IST|NCE|
NCE|YYY,|YYY|YUL|FRA|IST|NCE|
NCE|YQQ,|YQQ|YBL|YVR|MUC|IST|NCE|
NCE|YYR,|YYR|YYT|LHR|IST|NCE|
NCE|LHR,|LHR|IST|NCE|
NCE|SFO,|SFO|MUC|IST|NCE|
NCE|YQU,|YQU|YEG|LHR|IST|NCE|
NCE|YZF,|YZF|YEG|LHR|IST|NCE|
NCE|YGR,|YGR|YGP|YQB|YUL|FRA|IST|NCE|
NCE|YGP,|YGP|YQB|YUL|FRA|IST|NCE|
NCE|BOS,|BOS|FRA|IST|NCE|
NCE|YDF,|YDF|YYT|LHR|IST|NCE|
NCE|YFC,|YFC|YHZ|LHR|IST|NCE|
NCE|YQM,|YQM|YHZ|LHR|IST|NCE|
NCE|YQX,|YQX|YYT|LHR|IST|NCE|
NCE|YQY,|YQY|YHZ|LHR|IST|NCE|
NCE|YSJ,|YSJ|YHZ|LHR|IST|NCE|
NCE|YYG,|YYG|YHZ|LHR|IST|NCE|
NCE|LAX,|LAX|IST|NCE|
NCE|DCA,|DCA|EWR|BHX|IST|NCE|
NCE|LGA,|LGA|YHZ|LHR|IST|NCE|
NCE|YZV,|YZV|YWK|YYR|YYT|LHR|IST|NCE|
NCE|YWL,|YWL|YVR|MUC|IST|NCE|
NCE|AZS,|AZS|YUL|FRA|IST|NCE|
NCE|BDL,|BDL|YUL|FRA|IST|NCE|
