NDG|BRU,|BRU|IST|PVG|NDG|
NDG|OUA,|OUA|NIM|IST|PVG|NDG|
NDG|JED,|JED|IST|PVG|NDG|
NDG|CPH,|CPH|AMS|PVG|NDG|
NDG|YYZ,|YYZ|PVG|NDG|
NDG|DEN,|DEN|YVR|PVG|NDG|
NDG|YUL,|YUL|YYZ|PVG|NDG|
NDG|NBO,|NBO|CAN|PVG|NDG|
NDG|ICN,|ICN|PVG|NDG|
NDG|NRT,|NRT|ICN|PVG|NDG|
NDG|YHZ,|YHZ|YYZ|PVG|NDG|
NDG|YOW,|YOW|YYZ|PVG|NDG|
NDG|BJM,|BJM|BRU|IST|PVG|NDG|
NDG|COO,|COO|BRU|IST|PVG|NDG|
NDG|DKR,|DKR|BRU|IST|PVG|NDG|
NDG|DLA,|DLA|IST|PVG|NDG|
NDG|KGL,|KGL|IST|PVG|NDG|
NDG|LAD,|LAD|BRU|IST|PVG|NDG|
NDG|ABJ,|ABJ|OUA|NIM|IST|PVG|NDG|
NDG|AMS,|AMS|PVG|NDG|
NDG|OSL,|OSL|CPH|AMS|PVG|NDG|
NDG|VNO,|VNO|IST|PVG|NDG|
NDG|WAW,|WAW|IST|PVG|NDG|
NDG|YYC,|YYC|YVR|PVG|NDG|
NDG|ATL,|ATL|ORD|PVG|NDG|
NDG|MSY,|MSY|DEN|YVR|PVG|NDG|
NDG|YEG,|YEG|YVR|PVG|NDG|
NDG|YMM,|YMM|YVR|PVG|NDG|
NDG|YQR,|YQR|YVR|PVG|NDG|
NDG|YVR,|YVR|PVG|NDG|
NDG|YWG,|YWG|YVR|PVG|NDG|
NDG|YXE,|YXE|YVR|PVG|NDG|
NDG|CKY,|CKY|DKR|BRU|IST|PVG|NDG|
NDG|FIH,|FIH|IST|PVG|NDG|
NDG|SCL,|SCL|YYZ|PVG|NDG|
NDG|LCA,|LCA|FRA|TSE|URC|PVG|NDG|
NDG|NAP,|NAP|IST|PVG|NDG|
NDG|VLC,|VLC|FRA|TSE|URC|PVG|NDG|
NDG|BKK,|BKK|CAN|PVG|NDG|
NDG|ADD,|ADD|IST|PVG|NDG|
NDG|FRA,|FRA|TSE|URC|PVG|NDG|
NDG|IST,|IST|PVG|NDG|
NDG|EBB,|EBB|KGL|IST|PVG|NDG|
NDG|YLW,|YLW|YVR|PVG|NDG|
NDG|YYT,|YYT|YYZ|PVG|NDG|
NDG|GUA,|GUA|IAH|YVR|PVG|NDG|
NDG|EWR,|EWR|PVG|NDG|
NDG|IAD,|IAD|YYZ|PVG|NDG|
NDG|IAH,|IAH|YVR|PVG|NDG|
NDG|ORD,|ORD|PVG|NDG|
NDG|SOF,|SOF|IST|PVG|NDG|
NDG|YQB,|YQB|YYZ|PVG|NDG|
NDG|YXU,|YXU|YYZ|PVG|NDG|
NDG|EZE,|EZE|GRU|IST|PVG|NDG|
NDG|YYJ,|YYJ|YVR|PVG|NDG|
NDG|YYY,|YYY|YUL|YYZ|PVG|NDG|
NDG|YQQ,|YQQ|YBL|YVR|PVG|NDG|
NDG|YYR,|YYR|YWK|YZV|YQB|YYZ|PVG|NDG|
NDG|LHR,|LHR|IST|PVG|NDG|
NDG|SFO,|SFO|PVG|NDG|
NDG|YQU,|YQU|YEG|YVR|PVG|NDG|
NDG|YZF,|YZF|YEG|YVR|PVG|NDG|
NDG|YGR,|YGR|YGP|YQB|YYZ|PVG|NDG|
NDG|YGP,|YGP|YQB|YYZ|PVG|NDG|
NDG|BOS,|BOS|YYZ|PVG|NDG|
NDG|YDF,|YDF|YYZ|PVG|NDG|
NDG|YFC,|YFC|YYZ|PVG|NDG|
NDG|YQM,|YQM|YYZ|PVG|NDG|
NDG|YQX,|YQX|YHZ|YYZ|PVG|NDG|
NDG|YQY,|YQY|YYZ|PVG|NDG|
NDG|YSJ,|YSJ|YYZ|PVG|NDG|
NDG|YYG,|YYG|YYZ|PVG|NDG|
NDG|LAX,|LAX|PVG|NDG|
NDG|DCA,|DCA|YYZ|PVG|NDG|
NDG|LGA,|LGA|YYZ|PVG|NDG|
NDG|YZV,|YZV|YQB|YYZ|PVG|NDG|
NDG|YWL,|YWL|YVR|PVG|NDG|
NDG|AZS,|AZS|YYZ|PVG|NDG|
NDG|BDL,|BDL|YYZ|PVG|NDG|
NDG|CCC,|CCC|YYZ|PVG|NDG|
NDG|CDG,|CDG|IST|PVG|NDG|
NDG|CUN,|CUN|YVR|PVG|NDG|
NDG|CZM,|CZM|IAH|YVR|PVG|NDG|
NDG|FDF,|FDF|YUL|YYZ|PVG|NDG|
NDG|FLL,|FLL|ORD|PVG|NDG|
NDG|GVA,|GVA|IST|PVG|NDG|
NDG|HOG,|HOG|YYZ|PVG|NDG|
NDG|LAS,|LAS|SFO|PVG|NDG|
NDG|MBJ,|MBJ|ATL|ORD|PVG|NDG|
NDG|MCO,|MCO|ORD|PVG|NDG|
NDG|MUC,|MUC|IST|PVG|NDG|
NDG|PAP,|PAP|YUL|YYZ|PVG|NDG|
NDG|PTP,|PTP|YUL|YYZ|PVG|NDG|
NDG|PUJ,|PUJ|EWR|PVG|NDG|
NDG|SNU,|SNU|YYZ|PVG|NDG|
NDG|VRA,|VRA|YYZ|PVG|NDG|
NDG|YBC,|YBC|YUL|YYZ|PVG|NDG|
NDG|YBG,|YBG|YUL|YYZ|PVG|NDG|
NDG|YTZ,|YTZ|YUL|YYZ|PVG|NDG|
NDG|YUY,|YUY|YUL|YYZ|PVG|NDG|
NDG|YVO,|YVO|YUL|YYZ|PVG|NDG|
NDG|ZBF,|ZBF|YUL|YYZ|PVG|NDG|
NDG|ZRH,|ZRH|IST|PVG|NDG|
NDG|ZSA,|ZSA|YUL|YYZ|PVG|NDG|
NDG|AKL,|AKL|CAN|PVG|NDG|
NDG|HKG,|HKG|CAN|PVG|NDG|
