NLT|BRU,|BRU|IST|URC|NLT|
NLT|OUA,|OUA|NIM|IST|URC|NLT|
NLT|JED,|JED|IST|URC|NLT|
NLT|CPH,|CPH|IST|URC|NLT|
NLT|YYZ,|YYZ|FRA|TSE|URC|NLT|
NLT|DEN,|DEN|YVR|PEK|URC|NLT|
NLT|YUL,|YUL|FRA|TSE|URC|NLT|
NLT|NBO,|NBO|IST|URC|NLT|
NLT|ICN,|ICN|PEK|URC|NLT|
NLT|NRT,|NRT|PEK|URC|NLT|
NLT|YHZ,|YHZ|LHR|IST|URC|NLT|
NLT|YOW,|YOW|FRA|TSE|URC|NLT|
NLT|BJM,|BJM|BRU|IST|URC|NLT|
NLT|COO,|COO|BRU|IST|URC|NLT|
NLT|DKR,|DKR|BRU|IST|URC|NLT|
NLT|DLA,|DLA|IST|URC|NLT|
NLT|KGL,|KGL|IST|URC|NLT|
NLT|LAD,|LAD|BRU|IST|URC|NLT|
NLT|ABJ,|ABJ|OUA|NIM|IST|URC|NLT|
NLT|AMS,|AMS|IST|URC|NLT|
NLT|OSL,|OSL|IST|URC|NLT|
NLT|VNO,|VNO|IST|URC|NLT|
NLT|WAW,|WAW|IST|URC|NLT|
NLT|YYC,|YYC|YVR|PEK|URC|NLT|
NLT|ATL,|ATL|FRA|TSE|URC|NLT|
NLT|MSY,|MSY|IAD|FRA|TSE|URC|NLT|
NLT|YEG,|YEG|YVR|PEK|URC|NLT|
NLT|YMM,|YMM|YVR|PEK|URC|NLT|
NLT|YQR,|YQR|YVR|PEK|URC|NLT|
NLT|YVR,|YVR|PEK|URC|NLT|
NLT|YWG,|YWG|YVR|PEK|URC|NLT|
NLT|YXE,|YXE|YVR|PEK|URC|NLT|
NLT|CKY,|CKY|DKR|BRU|IST|URC|NLT|
NLT|FIH,|FIH|IST|URC|NLT|
NLT|SCL,|SCL|EZE|GRU|IST|URC|NLT|
NLT|LCA,|LCA|FRA|TSE|URC|NLT|
NLT|NAP,|NAP|IST|URC|NLT|
NLT|VLC,|VLC|FRA|TSE|URC|NLT|
NLT|BKK,|BKK|NNG|KWE|URC|NLT|
NLT|ADD,|ADD|IST|URC|NLT|
NLT|FRA,|FRA|TSE|URC|NLT|
NLT|IST,|IST|URC|NLT|
NLT|EBB,|EBB|KGL|IST|URC|NLT|
NLT|YLW,|YLW|YVR|PEK|URC|NLT|
NLT|YYT,|YYT|LHR|IST|URC|NLT|
NLT|GUA,|GUA|MIA|FRA|TSE|URC|NLT|
NLT|EWR,|EWR|FRA|TSE|URC|NLT|
NLT|IAD,|IAD|FRA|TSE|URC|NLT|
NLT|IAH,|IAH|PEK|URC|NLT|
NLT|ORD,|ORD|FRA|TSE|URC|NLT|
NLT|SOF,|SOF|IST|URC|NLT|
NLT|YQB,|YQB|YUL|FRA|TSE|URC|NLT|
NLT|YXU,|YXU|YYZ|FRA|TSE|URC|NLT|
NLT|EZE,|EZE|GRU|IST|URC|NLT|
NLT|YYJ,|YYJ|YVR|PEK|URC|NLT|
