NNY|BRU,|BRU|IST|URC|CGO|NNY|
NNY|OUA,|OUA|NIM|IST|URC|CGO|NNY|
NNY|JED,|JED|IST|URC|CGO|NNY|
NNY|CPH,|CPH|AMS|PEK|CGO|NNY|
NNY|YYZ,|YYZ|PEK|CGO|NNY|
NNY|DEN,|DEN|YVR|PEK|CGO|NNY|
NNY|YUL,|YUL|YYZ|PEK|CGO|NNY|
NNY|NBO,|NBO|CAN|NNY|
NNY|ICN,|ICN|CGO|NNY|
NNY|NRT,|NRT|ICN|CGO|NNY|
NNY|YHZ,|YHZ|YYZ|PEK|CGO|NNY|
NNY|YOW,|YOW|YYZ|PEK|CGO|NNY|
NNY|BJM,|BJM|BRU|IST|URC|CGO|NNY|
NNY|COO,|COO|BRU|IST|URC|CGO|NNY|
NNY|DKR,|DKR|BRU|IST|URC|CGO|NNY|
NNY|DLA,|DLA|IST|URC|CGO|NNY|
NNY|KGL,|KGL|IST|URC|CGO|NNY|
NNY|LAD,|LAD|BRU|IST|URC|CGO|NNY|
NNY|ABJ,|ABJ|OUA|NIM|IST|URC|CGO|NNY|
NNY|AMS,|AMS|PEK|CGO|NNY|
NNY|OSL,|OSL|CPH|AMS|PEK|CGO|NNY|
NNY|VNO,|VNO|IST|URC|CGO|NNY|
NNY|WAW,|WAW|IST|URC|CGO|NNY|
NNY|YYC,|YYC|YVR|PEK|CGO|NNY|
NNY|ATL,|ATL|ORD|PEK|CGO|NNY|
NNY|MSY,|MSY|ORD|PEK|CGO|NNY|
NNY|YEG,|YEG|YVR|PEK|CGO|NNY|
NNY|YMM,|YMM|YVR|PEK|CGO|NNY|
NNY|YQR,|YQR|YVR|PEK|CGO|NNY|
NNY|YVR,|YVR|PEK|CGO|NNY|
NNY|YWG,|YWG|YVR|PEK|CGO|NNY|
NNY|YXE,|YXE|YVR|PEK|CGO|NNY|
NNY|CKY,|CKY|DKR|BRU|IST|URC|CGO|NNY|
NNY|FIH,|FIH|IST|URC|CGO|NNY|
NNY|SCL,|SCL|YYZ|PEK|CGO|NNY|
NNY|LCA,|LCA|FRA|TSE|URC|CGO|NNY|
NNY|NAP,|NAP|IST|URC|CGO|NNY|
NNY|VLC,|VLC|FRA|TSE|URC|CGO|NNY|
NNY|BKK,|BKK|CAN|NNY|
NNY|ADD,|ADD|IST|URC|CGO|NNY|
NNY|FRA,|FRA|TSE|URC|CGO|NNY|
NNY|IST,|IST|URC|CGO|NNY|
NNY|EBB,|EBB|KGL|IST|URC|CGO|NNY|
NNY|YLW,|YLW|YVR|PEK|CGO|NNY|
NNY|YYT,|YYT|YYZ|PEK|CGO|NNY|
NNY|GUA,|GUA|IAH|PEK|CGO|NNY|
NNY|EWR,|EWR|PEK|CGO|NNY|
NNY|IAD,|IAD|PEK|CGO|NNY|
NNY|IAH,|IAH|PEK|CGO|NNY|
NNY|ORD,|ORD|PEK|CGO|NNY|
NNY|SOF,|SOF|IST|URC|CGO|NNY|
NNY|YQB,|YQB|YYZ|PEK|CGO|NNY|
NNY|YXU,|YXU|YYZ|PEK|CGO|NNY|
NNY|EZE,|EZE|GRU|IST|URC|CGO|NNY|
