NSI|BRU,|BRU|NSI|
NSI|OUA,|OUA|NIM|IST|DLA|NSI|
NSI|JED,|JED|ADD|DLA|NSI|
NSI|CPH,|CPH|IST|DLA|NSI|
NSI|YYZ,|YYZ|BRU|NSI|
NSI|DEN,|DEN|ORD|BRU|NSI|
NSI|YUL,|YUL|BRU|NSI|
NSI|NBO,|NBO|LUN|HRE|ADD|DLA|NSI|
NSI|ICN,|ICN|IST|DLA|NSI|
NSI|NRT,|NRT|IST|DLA|NSI|
NSI|YHZ,|YHZ|YUL|BRU|NSI|
NSI|YOW,|YOW|YUL|BRU|NSI|
NSI|BJM,|BJM|BRU|NSI|
NSI|COO,|COO|BRU|NSI|
NSI|DKR,|DKR|BRU|NSI|
NSI|DLA,|DLA|NSI|
NSI|KGL,|KGL|IST|DLA|NSI|
NSI|LAD,|LAD|BRU|NSI|
NSI|ABJ,|ABJ|OUA|NIM|IST|DLA|NSI|
NSI|AMS,|AMS|IST|DLA|NSI|
NSI|OSL,|OSL|IST|DLA|NSI|
NSI|VNO,|VNO|IST|DLA|NSI|
NSI|WAW,|WAW|IST|DLA|NSI|
NSI|YYC,|YYC|YUL|BRU|NSI|
NSI|ATL,|ATL|IAD|BRU|NSI|
NSI|MSY,|MSY|IAD|BRU|NSI|
NSI|YEG,|YEG|YUL|BRU|NSI|
NSI|YMM,|YMM|YYZ|BRU|NSI|
NSI|YQR,|YQR|YWG|YUL|BRU|NSI|
NSI|YVR,|YVR|YUL|BRU|NSI|
NSI|YWG,|YWG|YUL|BRU|NSI|
NSI|YXE,|YXE|YWG|YUL|BRU|NSI|
NSI|CKY,|CKY|DKR|BRU|NSI|
NSI|FIH,|FIH|DLA|NSI|
NSI|SCL,|SCL|EZE|GRU|IST|DLA|NSI|
NSI|LCA,|LCA|FRA|IST|DLA|NSI|
NSI|NAP,|NAP|IST|DLA|NSI|
NSI|VLC,|VLC|IST|DLA|NSI|
NSI|BKK,|BKK|IST|DLA|NSI|
NSI|ADD,|ADD|DLA|NSI|
NSI|FRA,|FRA|IST|DLA|NSI|
NSI|IST,|IST|DLA|NSI|
NSI|EBB,|EBB|KGL|IST|DLA|NSI|
NSI|YLW,|YLW|YYC|YUL|BRU|NSI|
NSI|YYT,|YYT|LHR|IST|DLA|NSI|
NSI|GUA,|GUA|EWR|BRU|NSI|
NSI|EWR,|EWR|BRU|NSI|
NSI|IAD,|IAD|BRU|NSI|
NSI|IAH,|IAH|YUL|BRU|NSI|
NSI|ORD,|ORD|BRU|NSI|
NSI|SOF,|SOF|IST|DLA|NSI|
NSI|YQB,|YQB|YUL|BRU|NSI|
NSI|YXU,|YXU|YYZ|BRU|NSI|
NSI|EZE,|EZE|GRU|IST|DLA|NSI|
NSI|YYJ,|YYJ|YYC|YUL|BRU|NSI|
NSI|YYY,|YYY|YUL|BRU|NSI|
NSI|YQQ,|YQQ|YYC|YUL|BRU|NSI|
