NUE|BRU,|BRU|IST|NUE|
NUE|OUA,|OUA|NIM|IST|NUE|
NUE|JED,|JED|IST|NUE|
NUE|CPH,|CPH|IST|NUE|
NUE|YYZ,|YYZ|IST|NUE|
NUE|DEN,|DEN|FRA|IST|NUE|
NUE|YUL,|YUL|FRA|IST|NUE|
NUE|NBO,|NBO|IST|NUE|
NUE|ICN,|ICN|IST|NUE|
NUE|NRT,|NRT|IST|NUE|
NUE|YHZ,|YHZ|LHR|IST|NUE|
NUE|YOW,|YOW|FRA|IST|NUE|
NUE|BJM,|BJM|BRU|IST|NUE|
NUE|COO,|COO|BRU|IST|NUE|
NUE|DKR,|DKR|BRU|IST|NUE|
NUE|DLA,|DLA|IST|NUE|
NUE|KGL,|KGL|IST|NUE|
NUE|LAD,|LAD|BRU|IST|NUE|
NUE|ABJ,|ABJ|OUA|NIM|IST|NUE|
NUE|AMS,|AMS|IST|NUE|
NUE|OSL,|OSL|IST|NUE|
NUE|VNO,|VNO|IST|NUE|
NUE|WAW,|WAW|IST|NUE|
NUE|YYC,|YYC|FRA|IST|NUE|
NUE|ATL,|ATL|FRA|IST|NUE|
NUE|MSY,|MSY|IAD|IST|NUE|
NUE|YEG,|YEG|LHR|IST|NUE|
NUE|YMM,|YMM|YEG|LHR|IST|NUE|
NUE|YQR,|YQR|YEG|LHR|IST|NUE|
NUE|YVR,|YVR|MUC|IST|NUE|
NUE|YWG,|YWG|YUL|FRA|IST|NUE|
NUE|YXE,|YXE|YEG|LHR|IST|NUE|
NUE|CKY,|CKY|DKR|BRU|IST|NUE|
NUE|FIH,|FIH|IST|NUE|
NUE|SCL,|SCL|EZE|GRU|IST|NUE|
NUE|LCA,|LCA|FRA|IST|NUE|
NUE|NAP,|NAP|IST|NUE|
NUE|VLC,|VLC|IST|NUE|
NUE|BKK,|BKK|IST|NUE|
NUE|ADD,|ADD|IST|NUE|
NUE|FRA,|FRA|IST|NUE|
NUE|IST,|IST|NUE|
NUE|EBB,|EBB|KGL|IST|NUE|
NUE|YLW,|YLW|YYC|FRA|IST|NUE|
