OHE|BRU,|BRU|IST|PEK|HRB|OHE|
OHE|OUA,|OUA|NIM|IST|PEK|HRB|OHE|
OHE|JED,|JED|IST|PEK|HRB|OHE|
OHE|CPH,|CPH|AMS|PEK|HRB|OHE|
OHE|YYZ,|YYZ|PEK|HRB|OHE|
OHE|DEN,|DEN|YVR|ICN|HRB|OHE|
OHE|YUL,|YUL|YYZ|PEK|HRB|OHE|
OHE|NBO,|NBO|CAN|HRB|OHE|
OHE|ICN,|ICN|HRB|OHE|
OHE|NRT,|NRT|ICN|HRB|OHE|
OHE|YHZ,|YHZ|YYZ|PEK|HRB|OHE|
OHE|YOW,|YOW|YYZ|PEK|HRB|OHE|
OHE|BJM,|BJM|BRU|IST|PEK|HRB|OHE|
OHE|COO,|COO|BRU|IST|PEK|HRB|OHE|
OHE|DKR,|DKR|BRU|IST|PEK|HRB|OHE|
OHE|DLA,|DLA|IST|PEK|HRB|OHE|
OHE|KGL,|KGL|IST|PEK|HRB|OHE|
OHE|LAD,|LAD|BRU|IST|PEK|HRB|OHE|
OHE|ABJ,|ABJ|OUA|NIM|IST|PEK|HRB|OHE|
OHE|AMS,|AMS|PEK|HRB|OHE|
OHE|OSL,|OSL|CPH|AMS|PEK|HRB|OHE|
OHE|VNO,|VNO|IST|PEK|HRB|OHE|
OHE|WAW,|WAW|IST|PEK|HRB|OHE|
OHE|YYC,|YYC|YVR|ICN|HRB|OHE|
OHE|ATL,|ATL|ORD|PEK|HRB|OHE|
OHE|MSY,|MSY|DEN|YVR|ICN|HRB|OHE|
OHE|YEG,|YEG|YVR|ICN|HRB|OHE|
OHE|YMM,|YMM|YVR|ICN|HRB|OHE|
OHE|YQR,|YQR|YVR|ICN|HRB|OHE|
OHE|YVR,|YVR|ICN|HRB|OHE|
OHE|YWG,|YWG|YVR|ICN|HRB|OHE|
OHE|YXE,|YXE|YVR|ICN|HRB|OHE|
OHE|CKY,|CKY|DKR|BRU|IST|PEK|HRB|OHE|
OHE|FIH,|FIH|IST|PEK|HRB|OHE|
OHE|SCL,|SCL|YYZ|PEK|HRB|OHE|
