OKC|BRU,|BRU|ORD|OKC|
OKC|OUA,|OUA|BRU|ORD|OKC|
OKC|JED,|JED|FRA|ORD|OKC|
OKC|CPH,|CPH|YYZ|STL|OKC|
OKC|YYZ,|YYZ|STL|OKC|
OKC|DEN,|DEN|OKC|
OKC|YUL,|YUL|YYZ|STL|OKC|
OKC|NBO,|NBO|ZRH|ORD|OKC|
OKC|ICN,|ICN|YVR|DEN|OKC|
OKC|NRT,|NRT|DEN|OKC|
OKC|YHZ,|YHZ|YYZ|STL|OKC|
OKC|YOW,|YOW|YYZ|STL|OKC|
OKC|BJM,|BJM|BRU|ORD|OKC|
OKC|COO,|COO|BRU|ORD|OKC|
OKC|DKR,|DKR|IAD|OKC|
OKC|DLA,|DLA|BRU|ORD|OKC|
OKC|KGL,|KGL|BRU|ORD|OKC|
OKC|LAD,|LAD|BRU|ORD|OKC|
OKC|ABJ,|ABJ|BRU|ORD|OKC|
OKC|AMS,|AMS|ORD|OKC|
OKC|OSL,|OSL|EWR|OKC|
OKC|VNO,|VNO|CPH|YYZ|STL|OKC|
OKC|WAW,|WAW|YYZ|STL|OKC|
OKC|YYC,|YYC|DEN|OKC|
OKC|ATL,|ATL|OKC|
OKC|MSY,|MSY|DAL|OKC|
OKC|YEG,|YEG|DEN|OKC|
OKC|YMM,|YMM|DEN|OKC|
OKC|YQR,|YQR|DEN|OKC|
OKC|YVR,|YVR|DEN|OKC|
OKC|YWG,|YWG|DEN|OKC|
OKC|YXE,|YXE|DEN|OKC|
OKC|CKY,|CKY|DKR|IAD|OKC|
OKC|FIH,|FIH|DLA|BRU|ORD|OKC|
OKC|SCL,|SCL|EZE|IAH|OKC|
OKC|LCA,|LCA|FRA|ORD|OKC|
OKC|NAP,|NAP|FRA|ORD|OKC|
OKC|VLC,|VLC|FRA|ORD|OKC|
OKC|BKK,|BKK|CGO|PEK|YVR|DEN|OKC|
OKC|ADD,|ADD|IST|ORD|OKC|
OKC|FRA,|FRA|ORD|OKC|
OKC|IST,|IST|ORD|OKC|
OKC|EBB,|EBB|KGL|BRU|ORD|OKC|
OKC|YLW,|YLW|YYC|DEN|OKC|
OKC|YYT,|YYT|YYZ|STL|OKC|
OKC|GUA,|GUA|IAH|OKC|
OKC|EWR,|EWR|OKC|
OKC|IAD,|IAD|OKC|
OKC|IAH,|IAH|OKC|
OKC|ORD,|ORD|OKC|
OKC|SOF,|SOF|MUC|ORD|OKC|
OKC|YQB,|YQB|YYZ|STL|OKC|
OKC|YXU,|YXU|ORD|OKC|
OKC|EZE,|EZE|IAH|OKC|
OKC|YYJ,|YYJ|YVR|DEN|OKC|
OKC|YYY,|YYY|YUL|YYZ|STL|OKC|
OKC|YQQ,|YQQ|YBL|YVR|DEN|OKC|
OKC|YYR,|YYR|YWK|YZV|YQB|YYZ|STL|OKC|
OKC|LHR,|LHR|ORD|OKC|
OKC|SFO,|SFO|OKC|
OKC|YQU,|YQU|YYC|DEN|OKC|
OKC|YZF,|YZF|YEG|DEN|OKC|
OKC|YGR,|YGR|YGP|YQB|YYZ|STL|OKC|
OKC|YGP,|YGP|YQB|YYZ|STL|OKC|
OKC|BOS,|BOS|STL|OKC|
OKC|YDF,|YDF|YYZ|STL|OKC|
OKC|YFC,|YFC|YYZ|STL|OKC|
OKC|YQM,|YQM|YYZ|STL|OKC|
OKC|YQX,|YQX|YHZ|YYZ|STL|OKC|
OKC|YQY,|YQY|YYZ|STL|OKC|
OKC|YSJ,|YSJ|YYZ|STL|OKC|
OKC|YYG,|YYG|YYZ|STL|OKC|
OKC|LAX,|LAX|OKC|
OKC|DCA,|DCA|STL|OKC|
OKC|LGA,|LGA|STL|OKC|
OKC|YZV,|YZV|YQB|YYZ|STL|OKC|
OKC|YWL,|YWL|YVR|DEN|OKC|
OKC|AZS,|AZS|YYZ|STL|OKC|
OKC|BDL,|BDL|IAD|OKC|
OKC|CCC,|CCC|YYZ|STL|OKC|
OKC|CDG,|CDG|ORD|OKC|
OKC|CUN,|CUN|IAH|OKC|
OKC|CZM,|CZM|IAH|OKC|
OKC|FDF,|FDF|YUL|YYZ|STL|OKC|
OKC|FLL,|FLL|MSY|DAL|OKC|
OKC|GVA,|GVA|YUL|YYZ|STL|OKC|
OKC|HOG,|HOG|YYZ|STL|OKC|
OKC|LAS,|LAS|OKC|
OKC|MBJ,|MBJ|IAH|OKC|
OKC|MCO,|MCO|ATL|OKC|
OKC|MUC,|MUC|ORD|OKC|
OKC|PAP,|PAP|YUL|YYZ|STL|OKC|
OKC|PTP,|PTP|YUL|YYZ|STL|OKC|
OKC|PUJ,|PUJ|ATL|OKC|
OKC|SNU,|SNU|YYZ|STL|OKC|
OKC|VRA,|VRA|YYZ|STL|OKC|
OKC|YBC,|YBC|YUL|YYZ|STL|OKC|
OKC|YBG,|YBG|YUL|YYZ|STL|OKC|
OKC|YTZ,|YTZ|YUL|YYZ|STL|OKC|
OKC|YUY,|YUY|YUL|YYZ|STL|OKC|
OKC|YVO,|YVO|YUL|YYZ|STL|OKC|
OKC|ZBF,|ZBF|YUL|YYZ|STL|OKC|
OKC|ZRH,|ZRH|ORD|OKC|
OKC|ZSA,|ZSA|YUL|YYZ|STL|OKC|
OKC|AKL,|AKL|LAX|OKC|
OKC|HKG,|HKG|YVR|DEN|OKC|
OKC|HND,|HND|YVR|DEN|OKC|
OKC|HNL,|HNL|LAX|OKC|
OKC|MEX,|MEX|IAH|OKC|
OKC|OGG,|OGG|LAX|OKC|
OKC|PDX,|PDX|DEN|OKC|
OKC|PEK,|PEK|YVR|DEN|OKC|
OKC|PVG,|PVG|YVR|DEN|OKC|
OKC|PVR,|PVR|IAH|OKC|
OKC|SEA,|SEA|DEN|OKC|
OKC|SYD,|SYD|LAX|OKC|
OKC|YBL,|YBL|YVR|DEN|OKC|
OKC|YCD,|YCD|YVR|DEN|OKC|
OKC|YCG,|YCG|YYC|DEN|OKC|
OKC|YKA,|YKA|YYC|DEN|OKC|
OKC|YPR,|YPR|YVR|DEN|OKC|
OKC|YQZ,|YQZ|YVR|DEN|OKC|
OKC|YXC,|YXC|YYC|DEN|OKC|
OKC|YXJ,|YXJ|YYC|DEN|OKC|
OKC|YXS,|YXS|YYC|DEN|OKC|
OKC|YXT,|YXT|YVR|DEN|OKC|
OKC|YXY,|YXY|YVR|DEN|OKC|
OKC|YYD,|YYD|YVR|DEN|OKC|
OKC|YYF,|YYF|YVR|DEN|OKC|
OKC|YZP,|YZP|YVR|DEN|OKC|
OKC|YQT,|YQT|YWG|DEN|OKC|
OKC|SJD,|SJD|IAH|OKC|
OKC|YQF,|YQF|YYC|DEN|OKC|
OKC|YQL,|YQL|YYC|DEN|OKC|
OKC|YXH,|YXH|YYC|DEN|OKC|
OKC|YWK,|YWK|YZV|YQB|YYZ|STL|OKC|
OKC|ANU,|ANU|EWR|OKC|
OKC|AUA,|AUA|ATL|OKC|
OKC|AUH,|AUH|YYZ|STL|OKC|
OKC|BCN,|BCN|YYZ|STL|OKC|
OKC|BDA,|BDA|EWR|OKC|
OKC|BGI,|BGI|YYZ|STL|OKC|
OKC|BNA,|BNA|STL|OKC|
OKC|BOG,|BOG|IAH|OKC|
OKC|BWI,|BWI|OKC|
OKC|CLE,|CLE|STL|OKC|
OKC|CLT,|CLT|MDW|OKC|
OKC|CMH,|CMH|STL|OKC|
OKC|CVG,|CVG|ORD|OKC|
OKC|DFW,|DFW|IAH|OKC|
OKC|DTW,|DTW|STL|OKC|
OKC|DUB,|DUB|ORD|OKC|
OKC|FCO,|FCO|YYZ|STL|OKC|
OKC|GCM,|GCM|IAH|OKC|
OKC|GGT,|GGT|FLL|MSY|DAL|OKC|
OKC|GND,|GND|YYZ|STL|OKC|
OKC|GRU,|GRU|IAH|OKC|
OKC|HAV,|HAV|YYZ|STL|OKC|
OKC|IND,|IND|ORD|OKC|
OKC|JFK,|JFK|IAD|OKC|
OKC|KIN,|KIN|YYZ|STL|OKC|
OKC|LIM,|LIM|IAH|OKC|
OKC|LIR,|LIR|IAH|OKC|
OKC|MCI,|MCI|DAL|OKC|
OKC|MDT,|MDT|IAD|OKC|
OKC|MIA,|MIA|MSY|DAL|OKC|
OKC|MKE,|MKE|ORD|OKC|
OKC|MSP,|MSP|STL|OKC|
OKC|NAS,|NAS|ATL|OKC|
OKC|PHL,|PHL|IAD|OKC|
OKC|PHX,|PHX|OKC|
OKC|PIT,|PIT|MDW|OKC|
OKC|PLS,|PLS|EWR|OKC|
OKC|POP,|POP|EWR|OKC|
OKC|RDU,|RDU|ATL|OKC|
OKC|ROC,|ROC|CLE|STL|OKC|
OKC|RSW,|RSW|IAH|OKC|
OKC|SAN,|SAN|PHX|OKC|
OKC|SJO,|SJO|IAH|OKC|
OKC|STL,|STL|OKC|
OKC|SYR,|SYR|CLE|STL|OKC|
OKC|TLV,|TLV|IST|ORD|OKC|
OKC|TPA,|TPA|MSY|DAL|OKC|
OKC|UVF,|UVF|EWR|OKC|
OKC|VIE,|VIE|ORD|OKC|
OKC|YAM,|YAM|YYZ|STL|OKC|
OKC|YGK,|YGK|YYZ|STL|OKC|
OKC|YQG,|YQG|YYZ|STL|OKC|
OKC|YSB,|YSB|YYZ|STL|OKC|
OKC|YTS,|YTS|YYZ|STL|OKC|
OKC|YYB,|YYB|YYZ|STL|OKC|
OKC|YZR,|YZR|YYZ|STL|OKC|
OKC|CAN,|CAN|YVR|DEN|OKC|
OKC|URC,|URC|PEK|YVR|DEN|OKC|
OKC|CTU,|CTU|PEK|YVR|DEN|OKC|
OKC|HGH,|HGH|DLC|ICN|YVR|DEN|OKC|
OKC|XMN,|XMN|PEK|YVR|DEN|OKC|
OKC|CGO,|CGO|PEK|YVR|DEN|OKC|
OKC|CSX,|CSX|ICN|YVR|DEN|OKC|
OKC|SHE,|SHE|ICN|YVR|DEN|OKC|
OKC|SJW,|SJW|DLC|ICN|YVR|DEN|OKC|
OKC|WUH,|WUH|ICN|YVR|DEN|OKC|
OKC|SZX,|SZX|PVG|YVR|DEN|OKC|
OKC|CKG,|CKG|PEK|YVR|DEN|OKC|
OKC|KMG,|KMG|PEK|YVR|DEN|OKC|
OKC|FOC,|FOC|PEK|YVR|DEN|OKC|
OKC|NNG,|NNG|PEK|YVR|DEN|OKC|
OKC|SWA,|SWA|PEK|YVR|DEN|OKC|
OKC|ACX,|ACX|CAN|YVR|DEN|OKC|
OKC|AQG,|AQG|CAN|YVR|DEN|OKC|
OKC|AVA,|AVA|CAN|YVR|DEN|OKC|
OKC|BFJ,|BFJ|CAN|YVR|DEN|OKC|
OKC|BHY,|BHY|CSX|ICN|YVR|DEN|OKC|
OKC|BNE,|BNE|CAN|YVR|DEN|OKC|
OKC|CGD,|CGD|PEK|YVR|DEN|OKC|
OKC|CGK,|CGK|CAN|YVR|DEN|OKC|
OKC|CGQ,|CGQ|ICN|YVR|DEN|OKC|
OKC|CIH,|CIH|PEK|YVR|DEN|OKC|
OKC|CNX,|CNX|CAN|YVR|DEN|OKC|
OKC|CZX,|CZX|SHE|ICN|YVR|DEN|OKC|
OKC|DAC,|DAC|CAN|YVR|DEN|OKC|
OKC|DAD,|DAD|CAN|YVR|DEN|OKC|
OKC|DEL,|DEL|EWR|OKC|
OKC|DIG,|DIG|KMG|PEK|YVR|DEN|OKC|
OKC|DLC,|DLC|ICN|YVR|DEN|OKC|
OKC|DPS,|DPS|SZX|PVG|YVR|DEN|OKC|
OKC|DXB,|DXB|IST|ORD|OKC|
OKC|DYG,|DYG|PEK|YVR|DEN|OKC|
OKC|FUG,|FUG|CAN|YVR|DEN|OKC|
OKC|FUK,|FUK|ICN|YVR|DEN|OKC|
OKC|HAK,|HAK|CAN|YVR|DEN|OKC|
OKC|HAN,|HAN|PEK|YVR|DEN|OKC|
OKC|HDG,|HDG|CAN|YVR|DEN|OKC|
OKC|HET,|HET|DLC|ICN|YVR|DEN|OKC|
OKC|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|OKC|
OKC|HJJ,|HJJ|CSX|ICN|YVR|DEN|OKC|
OKC|HKT,|HKT|KWE|PEK|YVR|DEN|OKC|
OKC|HRB,|HRB|ICN|YVR|DEN|OKC|
OKC|HZH,|HZH|CAN|YVR|DEN|OKC|
OKC|JIU,|JIU|CAN|YVR|DEN|OKC|
OKC|JJN,|JJN|PEK|YVR|DEN|OKC|
OKC|JNG,|JNG|CAN|YVR|DEN|OKC|
OKC|KHN,|KHN|DLC|ICN|YVR|DEN|OKC|
OKC|KIX,|KIX|SFO|OKC|
OKC|KOW,|KOW|PEK|YVR|DEN|OKC|
OKC|KTM,|KTM|IST|ORD|OKC|
OKC|KUL,|KUL|PVG|YVR|DEN|OKC|
OKC|KWE,|KWE|PEK|YVR|DEN|OKC|
OKC|KWL,|KWL|PEK|YVR|DEN|OKC|
OKC|LHW,|LHW|CGO|PEK|YVR|DEN|OKC|
OKC|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|OKC|
OKC|LYG,|LYG|HSN|PEK|YVR|DEN|OKC|
OKC|LZH,|LZH|CAN|YVR|DEN|OKC|
OKC|MEL,|MEL|SYD|LAX|OKC|
OKC|MIG,|MIG|CSX|ICN|YVR|DEN|OKC|
OKC|MLE,|MLE|IST|ORD|OKC|
OKC|MNL,|MNL|XMN|PEK|YVR|DEN|OKC|
OKC|MXZ,|MXZ|CAN|YVR|DEN|OKC|
OKC|NAO,|NAO|PEK|YVR|DEN|OKC|
OKC|NGB,|NGB|DLC|ICN|YVR|DEN|OKC|
OKC|NKG,|NKG|DLC|ICN|YVR|DEN|OKC|
OKC|NNY,|NNY|CGO|PEK|YVR|DEN|OKC|
OKC|PEN,|PEN|CAN|YVR|DEN|OKC|
OKC|PER,|PER|CAN|YVR|DEN|OKC|
OKC|PNH,|PNH|CAN|YVR|DEN|OKC|
OKC|REP,|REP|ICN|YVR|DEN|OKC|
OKC|RGN,|RGN|CAN|YVR|DEN|OKC|
OKC|SGN,|SGN|HKG|YVR|DEN|OKC|
OKC|SHA,|SHA|PEK|YVR|DEN|OKC|
OKC|SIN,|SIN|HKG|YVR|DEN|OKC|
OKC|SVO,|SVO|URC|PEK|YVR|DEN|OKC|
OKC|SYX,|SYX|CAN|YVR|DEN|OKC|
OKC|TAO,|TAO|DLC|ICN|YVR|DEN|OKC|
OKC|TEN,|TEN|PEK|YVR|DEN|OKC|
OKC|TNA,|TNA|DLC|ICN|YVR|DEN|OKC|
OKC|TPE,|TPE|PVG|YVR|DEN|OKC|
OKC|TSN,|TSN|DLC|ICN|YVR|DEN|OKC|
OKC|TXN,|TXN|DLC|ICN|YVR|DEN|OKC|
OKC|TYN,|TYN|DLC|ICN|YVR|DEN|OKC|
OKC|WNZ,|WNZ|CGO|PEK|YVR|DEN|OKC|
OKC|WUX,|WUX|CAN|YVR|DEN|OKC|
OKC|XFN,|XFN|CAN|YVR|DEN|OKC|
OKC|XIY,|XIY|PEK|YVR|DEN|OKC|
OKC|XUZ,|XUZ|LYG|HSN|PEK|YVR|DEN|OKC|
OKC|YIH,|YIH|CKG|PEK|YVR|DEN|OKC|
OKC|YIW,|YIW|PEK|YVR|DEN|OKC|
OKC|YNT,|YNT|SHE|ICN|YVR|DEN|OKC|
OKC|YNZ,|YNZ|DLC|ICN|YVR|DEN|OKC|
OKC|YTY,|YTY|DLC|ICN|YVR|DEN|OKC|
OKC|ZHA,|ZHA|CAN|YVR|DEN|OKC|
OKC|ZYI,|ZYI|PEK|YVR|DEN|OKC|
OKC|BAV,|BAV|SJW|DLC|ICN|YVR|DEN|OKC|
OKC|CJU,|CJU|DLC|ICN|YVR|DEN|OKC|
OKC|DSN,|DSN|CGO|PEK|YVR|DEN|OKC|
OKC|HMI,|HMI|CGO|PEK|YVR|DEN|OKC|
OKC|INC,|INC|PEK|YVR|DEN|OKC|
OKC|KHH,|KHH|CGO|PEK|YVR|DEN|OKC|
OKC|UYN,|UYN|CGO|PEK|YVR|DEN|OKC|
OKC|XNN,|XNN|PEK|YVR|DEN|OKC|
OKC|ZUH,|ZUH|PVG|YVR|DEN|OKC|
OKC|YNJ,|YNJ|ICN|YVR|DEN|OKC|
OKC|DAT,|DAT|CIH|PEK|YVR|DEN|OKC|
OKC|JHG,|JHG|CKG|PEK|YVR|DEN|OKC|
OKC|LJG,|LJG|CKG|PEK|YVR|DEN|OKC|
OKC|LXA,|LXA|XIY|PEK|YVR|DEN|OKC|
OKC|YCU,|YCU|CSX|ICN|YVR|DEN|OKC|
OKC|LZO,|LZO|CSX|ICN|YVR|DEN|OKC|
OKC|MDG,|MDG|ICN|YVR|DEN|OKC|
OKC|NGO,|NGO|ICN|YVR|DEN|OKC|
OKC|TOY,|TOY|DLC|ICN|YVR|DEN|OKC|
OKC|MFM,|MFM|XMN|PEK|YVR|DEN|OKC|
OKC|TGO,|TGO|HET|DLC|ICN|YVR|DEN|OKC|
OKC|XIL,|XIL|HET|DLC|ICN|YVR|DEN|OKC|
OKC|HEK,|HEK|HRB|ICN|YVR|DEN|OKC|
OKC|KIJ,|KIJ|HRB|ICN|YVR|DEN|OKC|
OKC|LDS,|LDS|HRB|ICN|YVR|DEN|OKC|
OKC|OHE,|OHE|HRB|ICN|YVR|DEN|OKC|
OKC|HSN,|HSN|PEK|YVR|DEN|OKC|
OKC|DLU,|DLU|KMG|PEK|YVR|DEN|OKC|
OKC|SYM,|SYM|KMG|PEK|YVR|DEN|OKC|
OKC|ZAT,|ZAT|KMG|PEK|YVR|DEN|OKC|
OKC|LUN,|LUN|NBO|ZRH|ORD|OKC|
OKC|AOG,|AOG|PEK|YVR|DEN|OKC|
OKC|GMP,|GMP|PEK|YVR|DEN|OKC|
OKC|ISB,|ISB|IST|ORD|OKC|
OKC|TAS,|TAS|IST|ORD|OKC|
