ONT|BRU,|BRU|ORD|DEN|ONT|
ONT|OUA,|OUA|BRU|ORD|DEN|ONT|
ONT|JED,|JED|FRA|DEN|ONT|
ONT|CPH,|CPH|YYZ|DEN|ONT|
ONT|YYZ,|YYZ|DEN|ONT|
ONT|DEN,|DEN|ONT|
ONT|YUL,|YUL|DEN|ONT|
ONT|NBO,|NBO|ZRH|ORD|DEN|ONT|
ONT|ICN,|ICN|SFO|ONT|
ONT|NRT,|NRT|SFO|ONT|
ONT|YHZ,|YHZ|YUL|DEN|ONT|
ONT|YOW,|YOW|YYZ|DEN|ONT|
ONT|BJM,|BJM|BRU|ORD|DEN|ONT|
ONT|COO,|COO|BRU|ORD|DEN|ONT|
ONT|DKR,|DKR|IAD|LAS|ONT|
ONT|DLA,|DLA|BRU|ORD|DEN|ONT|
ONT|KGL,|KGL|BRU|ORD|DEN|ONT|
ONT|LAD,|LAD|BRU|ORD|DEN|ONT|
ONT|ABJ,|ABJ|BRU|ORD|DEN|ONT|
ONT|AMS,|AMS|ORD|DEN|ONT|
ONT|OSL,|OSL|EWR|MDW|ONT|
ONT|VNO,|VNO|CPH|YYZ|DEN|ONT|
ONT|WAW,|WAW|YYZ|DEN|ONT|
ONT|YYC,|YYC|LAS|ONT|
ONT|ATL,|ATL|PHX|ONT|
ONT|MSY,|MSY|PHX|ONT|
ONT|YEG,|YEG|LAS|ONT|
ONT|YMM,|YMM|YYC|LAS|ONT|
ONT|YQR,|YQR|LAS|ONT|
ONT|YVR,|YVR|PDX|SMF|ONT|
ONT|YWG,|YWG|LAS|ONT|
ONT|YXE,|YXE|LAS|ONT|
ONT|CKY,|CKY|DKR|IAD|LAS|ONT|
ONT|FIH,|FIH|DLA|BRU|ORD|DEN|ONT|
ONT|SCL,|SCL|EZE|IAH|PHX|ONT|
ONT|LCA,|LCA|FRA|DEN|ONT|
ONT|NAP,|NAP|FRA|DEN|ONT|
ONT|VLC,|VLC|FRA|DEN|ONT|
ONT|BKK,|BKK|ICN|SFO|ONT|
ONT|ADD,|ADD|JED|FRA|DEN|ONT|
ONT|FRA,|FRA|DEN|ONT|
ONT|IST,|IST|FRA|DEN|ONT|
ONT|EBB,|EBB|KGL|BRU|ORD|DEN|ONT|
ONT|YLW,|YLW|YVR|PDX|SMF|ONT|
ONT|YYT,|YYT|YUL|DEN|ONT|
ONT|GUA,|GUA|IAH|PHX|ONT|
ONT|EWR,|EWR|MDW|ONT|
ONT|IAD,|IAD|LAS|ONT|
ONT|IAH,|IAH|PHX|ONT|
ONT|ORD,|ORD|DEN|ONT|
ONT|SOF,|SOF|MUC|ORD|DEN|ONT|
ONT|YQB,|YQB|YUL|DEN|ONT|
ONT|YXU,|YXU|ORD|DEN|ONT|
ONT|EZE,|EZE|IAH|PHX|ONT|
ONT|YYJ,|YYJ|SFO|ONT|
ONT|YYY,|YYY|YUL|DEN|ONT|
ONT|YQQ,|YQQ|YBL|YVR|PDX|SMF|ONT|
ONT|YYR,|YYR|YWK|YZV|YUL|DEN|ONT|
ONT|LHR,|LHR|YYC|LAS|ONT|
ONT|SFO,|SFO|ONT|
ONT|YQU,|YQU|YYC|LAS|ONT|
ONT|YZF,|YZF|YYC|LAS|ONT|
ONT|YGR,|YGR|YGP|YQB|YUL|DEN|ONT|
ONT|YGP,|YGP|YQB|YUL|DEN|ONT|
ONT|BOS,|BOS|MDW|ONT|
ONT|YDF,|YDF|YYZ|DEN|ONT|
ONT|YFC,|YFC|YUL|DEN|ONT|
ONT|YQM,|YQM|YUL|DEN|ONT|
ONT|YQX,|YQX|YHZ|YUL|DEN|ONT|
ONT|YQY,|YQY|YYZ|DEN|ONT|
ONT|YSJ,|YSJ|YUL|DEN|ONT|
ONT|YYG,|YYG|YUL|DEN|ONT|
ONT|LAX,|LAX|LAS|ONT|
ONT|DCA,|DCA|MCI|LAS|ONT|
ONT|LGA,|LGA|MDW|ONT|
ONT|YZV,|YZV|YUL|DEN|ONT|
ONT|YWL,|YWL|YVR|PDX|SMF|ONT|
ONT|AZS,|AZS|YYZ|DEN|ONT|
ONT|BDL,|BDL|MDW|ONT|
ONT|CCC,|CCC|YYZ|DEN|ONT|
ONT|CDG,|CDG|ORD|DEN|ONT|
ONT|CUN,|CUN|AUS|PHX|ONT|
ONT|CZM,|CZM|IAH|PHX|ONT|
ONT|FDF,|FDF|YUL|DEN|ONT|
ONT|FLL,|FLL|PHX|ONT|
ONT|GVA,|GVA|YUL|DEN|ONT|
ONT|HOG,|HOG|YYZ|DEN|ONT|
ONT|LAS,|LAS|ONT|
ONT|MBJ,|MBJ|IAH|PHX|ONT|
ONT|MCO,|MCO|PHX|ONT|
ONT|MUC,|MUC|ORD|DEN|ONT|
ONT|PAP,|PAP|YUL|DEN|ONT|
ONT|PTP,|PTP|YUL|DEN|ONT|
ONT|PUJ,|PUJ|ATL|PHX|ONT|
ONT|SNU,|SNU|YYZ|DEN|ONT|
ONT|VRA,|VRA|YYZ|DEN|ONT|
ONT|YBC,|YBC|YUL|DEN|ONT|
ONT|YBG,|YBG|YUL|DEN|ONT|
ONT|YTZ,|YTZ|YUL|DEN|ONT|
ONT|YUY,|YUY|YUL|DEN|ONT|
ONT|YVO,|YVO|YUL|DEN|ONT|
ONT|ZBF,|ZBF|YUL|DEN|ONT|
ONT|ZRH,|ZRH|ORD|DEN|ONT|
ONT|ZSA,|ZSA|YUL|DEN|ONT|
ONT|AKL,|AKL|SFO|ONT|
ONT|HKG,|HKG|SFO|ONT|
ONT|HND,|HND|YVR|PDX|SMF|ONT|
ONT|HNL,|HNL|SFO|ONT|
ONT|MEX,|MEX|LAX|LAS|ONT|
ONT|OGG,|OGG|SFO|ONT|
ONT|PDX,|PDX|SMF|ONT|
ONT|PEK,|PEK|SFO|ONT|
ONT|PVG,|PVG|SFO|ONT|
ONT|PVR,|PVR|LAX|LAS|ONT|
ONT|SEA,|SEA|SMF|ONT|
ONT|SYD,|SYD|SFO|ONT|
ONT|YBL,|YBL|YVR|PDX|SMF|ONT|
ONT|YCD,|YCD|YVR|PDX|SMF|ONT|
ONT|YCG,|YCG|YVR|PDX|SMF|ONT|
ONT|YKA,|YKA|YVR|PDX|SMF|ONT|
ONT|YPR,|YPR|YVR|PDX|SMF|ONT|
ONT|YQZ,|YQZ|YVR|PDX|SMF|ONT|
ONT|YXC,|YXC|YYC|LAS|ONT|
ONT|YXJ,|YXJ|YVR|PDX|SMF|ONT|
ONT|YXS,|YXS|YVR|PDX|SMF|ONT|
ONT|YXT,|YXT|YVR|PDX|SMF|ONT|
ONT|YXY,|YXY|YVR|PDX|SMF|ONT|
ONT|YYD,|YYD|YVR|PDX|SMF|ONT|
ONT|YYF,|YYF|YVR|PDX|SMF|ONT|
ONT|YZP,|YZP|YVR|PDX|SMF|ONT|
ONT|YQT,|YQT|YWG|LAS|ONT|
ONT|SJD,|SJD|LAX|LAS|ONT|
ONT|YQF,|YQF|YYC|LAS|ONT|
ONT|YQL,|YQL|YYC|LAS|ONT|
ONT|YXH,|YXH|YYC|LAS|ONT|
ONT|YWK,|YWK|YZV|YUL|DEN|ONT|
ONT|ANU,|ANU|EWR|MDW|ONT|
ONT|AUA,|AUA|ATL|PHX|ONT|
ONT|AUH,|AUH|FRA|DEN|ONT|
ONT|BCN,|BCN|YYZ|DEN|ONT|
ONT|BDA,|BDA|EWR|MDW|ONT|
ONT|BGI,|BGI|YYZ|DEN|ONT|
ONT|BNA,|BNA|PHX|ONT|
ONT|BOG,|BOG|IAH|PHX|ONT|
ONT|BWI,|BWI|LAS|ONT|
ONT|CLE,|CLE|MDW|ONT|
ONT|CLT,|CLT|IAH|PHX|ONT|
ONT|CMH,|CMH|LAS|ONT|
ONT|CVG,|CVG|DEN|ONT|
ONT|DFW,|DFW|DEN|ONT|
ONT|DTW,|DTW|MDW|ONT|
ONT|DUB,|DUB|ORD|DEN|ONT|
ONT|FCO,|FCO|YYZ|DEN|ONT|
ONT|GCM,|GCM|IAH|PHX|ONT|
ONT|GGT,|GGT|FLL|PHX|ONT|
ONT|GND,|GND|YYZ|DEN|ONT|
ONT|GRU,|GRU|IAH|PHX|ONT|
ONT|HAV,|HAV|YYZ|DEN|ONT|
ONT|IND,|IND|LAS|ONT|
ONT|JFK,|JFK|IAD|LAS|ONT|
ONT|KIN,|KIN|YYZ|DEN|ONT|
ONT|LIM,|LIM|IAH|PHX|ONT|
ONT|LIR,|LIR|IAH|PHX|ONT|
ONT|MCI,|MCI|LAS|ONT|
ONT|MDT,|MDT|ORD|DEN|ONT|
ONT|MIA,|MIA|IAH|PHX|ONT|
ONT|MKE,|MKE|DEN|ONT|
ONT|MSP,|MSP|DEN|ONT|
ONT|NAS,|NAS|IAH|PHX|ONT|
ONT|PHL,|PHL|LAS|ONT|
ONT|PHX,|PHX|ONT|
ONT|PIT,|PIT|LAS|ONT|
ONT|PLS,|PLS|YYZ|DEN|ONT|
