ORF|BRU,|BRU|EWR|ORF|
ORF|OUA,|OUA|BRU|EWR|ORF|
ORF|JED,|JED|FRA|EWR|ORF|
ORF|CPH,|CPH|AMS|EWR|ORF|
ORF|YYZ,|YYZ|IAD|ORF|
ORF|DEN,|DEN|MDW|ORF|
ORF|YUL,|YUL|EWR|ORF|
ORF|NBO,|NBO|ZRH|EWR|ORF|
ORF|ICN,|ICN|JFK|IAD|ORF|
ORF|NRT,|NRT|IAD|ORF|
ORF|YHZ,|YHZ|EWR|ORF|
ORF|YOW,|YOW|IAD|ORF|
ORF|BJM,|BJM|BRU|EWR|ORF|
ORF|COO,|COO|BRU|EWR|ORF|
ORF|DKR,|DKR|IAD|ORF|
ORF|DLA,|DLA|BRU|EWR|ORF|
ORF|KGL,|KGL|BRU|EWR|ORF|
ORF|LAD,|LAD|BRU|EWR|ORF|
ORF|ABJ,|ABJ|BRU|EWR|ORF|
ORF|AMS,|AMS|EWR|ORF|
ORF|OSL,|OSL|EWR|ORF|
ORF|VNO,|VNO|CPH|AMS|EWR|ORF|
ORF|WAW,|WAW|CPH|AMS|EWR|ORF|
ORF|YYC,|YYC|ORD|ORF|
ORF|ATL,|ATL|ORF|
ORF|MSY,|MSY|ATL|ORF|
ORF|YEG,|YEG|ORD|ORF|
ORF|YMM,|YMM|YYZ|IAD|ORF|
ORF|YQR,|YQR|ORD|ORF|
ORF|YVR,|YVR|ORD|ORF|
ORF|YWG,|YWG|ORD|ORF|
ORF|YXE,|YXE|ORD|ORF|
ORF|CKY,|CKY|DKR|IAD|ORF|
ORF|FIH,|FIH|DLA|BRU|EWR|ORF|
ORF|SCL,|SCL|YYZ|IAD|ORF|
ORF|LCA,|LCA|FRA|EWR|ORF|
ORF|NAP,|NAP|FRA|EWR|ORF|
ORF|VLC,|VLC|FRA|EWR|ORF|
ORF|BKK,|BKK|CGO|PEK|IAD|ORF|
ORF|ADD,|ADD|JED|FRA|EWR|ORF|
ORF|FRA,|FRA|EWR|ORF|
ORF|IST,|IST|BHX|EWR|ORF|
ORF|EBB,|EBB|KGL|BRU|EWR|ORF|
ORF|YLW,|YLW|YYC|ORD|ORF|
ORF|YYT,|YYT|EWR|ORF|
ORF|GUA,|GUA|IAD|ORF|
ORF|EWR,|EWR|ORF|
ORF|IAD,|IAD|ORF|
ORF|IAH,|IAH|ORF|
ORF|ORD,|ORD|ORF|
ORF|SOF,|SOF|MUC|EWR|ORF|
ORF|YQB,|YQB|EWR|ORF|
ORF|YXU,|YXU|YYZ|IAD|ORF|
ORF|EZE,|EZE|GRU|IAD|ORF|
ORF|YYJ,|YYJ|YVR|ORD|ORF|
ORF|YYY,|YYY|YUL|EWR|ORF|
ORF|YQQ,|YQQ|YYC|ORD|ORF|
ORF|YYR,|YYR|YHZ|EWR|ORF|
ORF|LHR,|LHR|EWR|ORF|
ORF|SFO,|SFO|MDW|ORF|
ORF|YQU,|YQU|YEG|ORD|ORF|
ORF|YZF,|YZF|YEG|ORD|ORF|
ORF|YGR,|YGR|YGP|YQB|EWR|ORF|
ORF|YGP,|YGP|YQB|EWR|ORF|
ORF|BOS,|BOS|EWR|ORF|
ORF|YDF,|YDF|YHZ|EWR|ORF|
ORF|YFC,|YFC|YUL|EWR|ORF|
ORF|YQM,|YQM|EWR|ORF|
ORF|YQX,|YQX|YHZ|EWR|ORF|
ORF|YQY,|YQY|YHZ|EWR|ORF|
ORF|YSJ,|YSJ|YUL|EWR|ORF|
ORF|YYG,|YYG|YHZ|EWR|ORF|
ORF|LAX,|LAX|IAD|ORF|
ORF|DCA,|DCA|EWR|ORF|
ORF|LGA,|LGA|IAD|ORF|
ORF|YZV,|YZV|YQB|EWR|ORF|
ORF|YWL,|YWL|YVR|ORD|ORF|
ORF|AZS,|AZS|YYZ|IAD|ORF|
ORF|BDL,|BDL|BWI|ORF|
ORF|CCC,|CCC|YYZ|IAD|ORF|
ORF|CDG,|CDG|EWR|ORF|
ORF|CUN,|CUN|ATL|ORF|
ORF|CZM,|CZM|IAH|ORF|
ORF|FDF,|FDF|YUL|EWR|ORF|
ORF|FLL,|FLL|MCO|ORF|
ORF|GVA,|GVA|EWR|ORF|
ORF|HOG,|HOG|YYZ|IAD|ORF|
