OSL|BRU,|BRU|IST|OSL|
OSL|OUA,|OUA|NIM|IST|OSL|
OSL|JED,|JED|IST|OSL|
OSL|CPH,|CPH|IST|OSL|
OSL|YYZ,|YYZ|EWR|OSL|
OSL|DEN,|DEN|EWR|OSL|
OSL|YUL,|YUL|EWR|OSL|
OSL|NBO,|NBO|IST|OSL|
OSL|ICN,|ICN|IST|OSL|
OSL|NRT,|NRT|IST|OSL|
OSL|YHZ,|YHZ|EWR|OSL|
OSL|YOW,|YOW|EWR|OSL|
OSL|BJM,|BJM|BRU|IST|OSL|
OSL|COO,|COO|BRU|IST|OSL|
OSL|DKR,|DKR|BRU|IST|OSL|
OSL|DLA,|DLA|IST|OSL|
OSL|KGL,|KGL|IST|OSL|
OSL|LAD,|LAD|BRU|IST|OSL|
OSL|ABJ,|ABJ|OUA|NIM|IST|OSL|
OSL|AMS,|AMS|IST|OSL|
OSL|VNO,|VNO|IST|OSL|
OSL|WAW,|WAW|IST|OSL|
OSL|YYC,|YYC|EWR|OSL|
OSL|ATL,|ATL|EWR|OSL|
OSL|MSY,|MSY|EWR|OSL|
OSL|YEG,|YEG|EWR|OSL|
OSL|YMM,|YMM|YYZ|EWR|OSL|
OSL|YQR,|YQR|YYZ|EWR|OSL|
OSL|YVR,|YVR|EWR|OSL|
OSL|YWG,|YWG|YYZ|EWR|OSL|
OSL|YXE,|YXE|YYZ|EWR|OSL|
OSL|CKY,|CKY|DKR|BRU|IST|OSL|
OSL|FIH,|FIH|IST|OSL|
OSL|SCL,|SCL|YYZ|EWR|OSL|
OSL|LCA,|LCA|FRA|IST|OSL|
OSL|NAP,|NAP|IST|OSL|
OSL|VLC,|VLC|IST|OSL|
OSL|BKK,|BKK|IST|OSL|
OSL|ADD,|ADD|IST|OSL|
OSL|FRA,|FRA|IST|OSL|
OSL|IST,|IST|OSL|
OSL|EBB,|EBB|KGL|IST|OSL|
OSL|YLW,|YLW|YYZ|EWR|OSL|
OSL|YYT,|YYT|EWR|OSL|
OSL|GUA,|GUA|EWR|OSL|
OSL|EWR,|EWR|OSL|
OSL|IAD,|IAD|EWR|OSL|
OSL|IAH,|IAH|EWR|OSL|
OSL|ORD,|ORD|EWR|OSL|
OSL|SOF,|SOF|IST|OSL|
OSL|YQB,|YQB|EWR|OSL|
OSL|YXU,|YXU|YYZ|EWR|OSL|
OSL|EZE,|EZE|GRU|IST|OSL|
OSL|YYJ,|YYJ|YYZ|EWR|OSL|
OSL|YYY,|YYY|YUL|EWR|OSL|
OSL|YQQ,|YQQ|YYC|EWR|OSL|
OSL|YYR,|YYR|YHZ|EWR|OSL|
OSL|LHR,|LHR|IST|OSL|
OSL|SFO,|SFO|EWR|OSL|
OSL|YQU,|YQU|YEG|EWR|OSL|
OSL|YZF,|YZF|YEG|EWR|OSL|
OSL|YGR,|YGR|YGP|YQB|EWR|OSL|
OSL|YGP,|YGP|YQB|EWR|OSL|
OSL|BOS,|BOS|EWR|OSL|
OSL|YDF,|YDF|YHZ|EWR|OSL|
OSL|YFC,|YFC|YUL|EWR|OSL|
OSL|YQM,|YQM|EWR|OSL|
OSL|YQX,|YQX|YHZ|EWR|OSL|
OSL|YQY,|YQY|YHZ|EWR|OSL|
OSL|YSJ,|YSJ|YUL|EWR|OSL|
OSL|YYG,|YYG|YHZ|EWR|OSL|
OSL|LAX,|LAX|EWR|OSL|
OSL|DCA,|DCA|EWR|OSL|
OSL|LGA,|LGA|IAD|EWR|OSL|
OSL|YZV,|YZV|YQB|EWR|OSL|
OSL|YWL,|YWL|YVR|EWR|OSL|
OSL|AZS,|AZS|YYZ|EWR|OSL|
OSL|BDL,|BDL|BWI|EWR|OSL|
OSL|CCC,|CCC|YYZ|EWR|OSL|
OSL|CDG,|CDG|IST|OSL|
OSL|CUN,|CUN|EWR|OSL|
OSL|CZM,|CZM|YUL|EWR|OSL|
OSL|FDF,|FDF|YUL|EWR|OSL|
OSL|FLL,|FLL|EWR|OSL|
OSL|GVA,|GVA|IST|OSL|
OSL|HOG,|HOG|YYZ|EWR|OSL|
OSL|LAS,|LAS|EWR|OSL|
OSL|MBJ,|MBJ|EWR|OSL|
OSL|MCO,|MCO|EWR|OSL|
OSL|MUC,|MUC|IST|OSL|
OSL|PAP,|PAP|YUL|EWR|OSL|
OSL|PTP,|PTP|YUL|EWR|OSL|
OSL|PUJ,|PUJ|EWR|OSL|
OSL|SNU,|SNU|YYZ|EWR|OSL|
OSL|VRA,|VRA|YYZ|EWR|OSL|
OSL|YBC,|YBC|YUL|EWR|OSL|
OSL|YBG,|YBG|YUL|EWR|OSL|
OSL|YTZ,|YTZ|YUL|EWR|OSL|
OSL|YUY,|YUY|YUL|EWR|OSL|
OSL|YVO,|YVO|YUL|EWR|OSL|
OSL|ZBF,|ZBF|YUL|EWR|OSL|
OSL|ZRH,|ZRH|IST|OSL|
OSL|ZSA,|ZSA|YUL|EWR|OSL|
OSL|AKL,|AKL|BKK|IST|OSL|
OSL|HKG,|HKG|IST|OSL|
OSL|HND,|HND|YVR|EWR|OSL|
OSL|HNL,|HNL|EWR|OSL|
OSL|MEX,|MEX|EWR|OSL|
OSL|OGG,|OGG|ORD|EWR|OSL|
OSL|PDX,|PDX|EWR|OSL|
OSL|PEK,|PEK|IST|OSL|
OSL|PVG,|PVG|IST|OSL|
OSL|PVR,|PVR|EWR|OSL|
OSL|SEA,|SEA|EWR|OSL|
OSL|SYD,|SYD|BKK|IST|OSL|
OSL|YBL,|YBL|YVR|EWR|OSL|
OSL|YCD,|YCD|YVR|EWR|OSL|
OSL|YCG,|YCG|YYC|EWR|OSL|
OSL|YKA,|YKA|YYC|EWR|OSL|
OSL|YPR,|YPR|YVR|EWR|OSL|
