PAP|BRU,|BRU|YUL|PAP|
PAP|OUA,|OUA|BRU|YUL|PAP|
PAP|JED,|JED|FRA|YUL|PAP|
PAP|CPH,|CPH|YYZ|YUL|PAP|
PAP|YYZ,|YYZ|YUL|PAP|
PAP|DEN,|DEN|YUL|PAP|
PAP|YUL,|YUL|PAP|
PAP|NBO,|NBO|ZRH|YUL|PAP|
PAP|ICN,|ICN|JFK|YUL|PAP|
PAP|NRT,|NRT|YYZ|YUL|PAP|
PAP|YHZ,|YHZ|YUL|PAP|
PAP|YOW,|YOW|YUL|PAP|
PAP|BJM,|BJM|BRU|YUL|PAP|
PAP|COO,|COO|BRU|YUL|PAP|
PAP|DKR,|DKR|IAD|YUL|PAP|
PAP|DLA,|DLA|BRU|YUL|PAP|
PAP|KGL,|KGL|BRU|YUL|PAP|
PAP|LAD,|LAD|BRU|YUL|PAP|
PAP|ABJ,|ABJ|BRU|YUL|PAP|
PAP|AMS,|AMS|EWR|YUL|PAP|
PAP|OSL,|OSL|EWR|YUL|PAP|
PAP|VNO,|VNO|FRA|YUL|PAP|
PAP|WAW,|WAW|YYZ|YUL|PAP|
PAP|YYC,|YYC|YUL|PAP|
PAP|ATL,|ATL|IAD|YUL|PAP|
PAP|MSY,|MSY|YYZ|YUL|PAP|
PAP|YEG,|YEG|YUL|PAP|
PAP|YMM,|YMM|YYZ|YUL|PAP|
PAP|YQR,|YQR|YWG|YUL|PAP|
PAP|YVR,|YVR|YUL|PAP|
PAP|YWG,|YWG|YUL|PAP|
PAP|YXE,|YXE|YWG|YUL|PAP|
PAP|CKY,|CKY|DKR|IAD|YUL|PAP|
PAP|FIH,|FIH|DLA|BRU|YUL|PAP|
PAP|SCL,|SCL|YYZ|YUL|PAP|
PAP|LCA,|LCA|FRA|YUL|PAP|
PAP|NAP,|NAP|FRA|YUL|PAP|
PAP|VLC,|VLC|FRA|YUL|PAP|
PAP|BKK,|BKK|CGO|PEK|YYZ|YUL|PAP|
PAP|ADD,|ADD|JED|FRA|YUL|PAP|
PAP|FRA,|FRA|YUL|PAP|
PAP|IST,|IST|FRA|YUL|PAP|
PAP|EBB,|EBB|KGL|BRU|YUL|PAP|
PAP|YLW,|YLW|YYC|YUL|PAP|
PAP|YYT,|YYT|YUL|PAP|
PAP|GUA,|GUA|IAD|YUL|PAP|
PAP|EWR,|EWR|YUL|PAP|
PAP|IAD,|IAD|YUL|PAP|
PAP|IAH,|IAH|YUL|PAP|
PAP|ORD,|ORD|YUL|PAP|
PAP|SOF,|SOF|MUC|YUL|PAP|
PAP|YQB,|YQB|YUL|PAP|
PAP|YXU,|YXU|YYZ|YUL|PAP|
PAP|EZE,|EZE|GRU|EWR|YUL|PAP|
PAP|YYJ,|YYJ|YYC|YUL|PAP|
PAP|YYY,|YYY|YUL|PAP|
PAP|YQQ,|YQQ|YYC|YUL|PAP|
PAP|YYR,|YYR|YWK|YZV|YUL|PAP|
PAP|LHR,|LHR|YUL|PAP|
PAP|SFO,|SFO|YUL|PAP|
PAP|YQU,|YQU|YEG|YUL|PAP|
PAP|YZF,|YZF|YEG|YUL|PAP|
PAP|YGR,|YGR|YGP|YQB|YUL|PAP|
PAP|YGP,|YGP|YQB|YUL|PAP|
PAP|BOS,|BOS|YUL|PAP|
PAP|YDF,|YDF|YHZ|YUL|PAP|
PAP|YFC,|YFC|YUL|PAP|
PAP|YQM,|YQM|YUL|PAP|
PAP|YQX,|YQX|YHZ|YUL|PAP|
PAP|YQY,|YQY|YHZ|YUL|PAP|
PAP|YSJ,|YSJ|YUL|PAP|
PAP|YYG,|YYG|YUL|PAP|
PAP|LAX,|LAX|YUL|PAP|
PAP|DCA,|DCA|YUL|PAP|
PAP|LGA,|LGA|YUL|PAP|
PAP|YZV,|YZV|YUL|PAP|
PAP|YWL,|YWL|YVR|YUL|PAP|
PAP|AZS,|AZS|YUL|PAP|
