PBI|BRU,|BRU|EWR|PBI|
PBI|OUA,|OUA|BRU|EWR|PBI|
PBI|JED,|JED|FRA|EWR|PBI|
PBI|CPH,|CPH|AMS|EWR|PBI|
PBI|YYZ,|YYZ|CLE|PBI|
PBI|DEN,|DEN|TPA|PBI|
PBI|YUL,|YUL|EWR|PBI|
PBI|NBO,|NBO|ZRH|EWR|PBI|
PBI|ICN,|ICN|YVR|DEN|TPA|PBI|
PBI|NRT,|NRT|ORD|ATL|PBI|
PBI|YHZ,|YHZ|EWR|PBI|
PBI|YOW,|YOW|EWR|PBI|
PBI|BJM,|BJM|BRU|EWR|PBI|
PBI|COO,|COO|BRU|EWR|PBI|
PBI|DKR,|DKR|IAD|TPA|PBI|
PBI|DLA,|DLA|BRU|EWR|PBI|
PBI|KGL,|KGL|BRU|EWR|PBI|
PBI|LAD,|LAD|BRU|EWR|PBI|
PBI|ABJ,|ABJ|BRU|EWR|PBI|
PBI|AMS,|AMS|EWR|PBI|
PBI|OSL,|OSL|EWR|PBI|
PBI|VNO,|VNO|CPH|AMS|EWR|PBI|
PBI|WAW,|WAW|CPH|AMS|EWR|PBI|
PBI|YYC,|YYC|ORD|ATL|PBI|
PBI|ATL,|ATL|PBI|
PBI|MSY,|MSY|TPA|PBI|
PBI|YEG,|YEG|ORD|ATL|PBI|
PBI|YMM,|YMM|YEG|ORD|ATL|PBI|
PBI|YQR,|YQR|ORD|ATL|PBI|
PBI|YVR,|YVR|DEN|TPA|PBI|
PBI|YWG,|YWG|ORD|ATL|PBI|
PBI|YXE,|YXE|ORD|ATL|PBI|
PBI|CKY,|CKY|DKR|IAD|TPA|PBI|
PBI|FIH,|FIH|DLA|BRU|EWR|PBI|
PBI|SCL,|SCL|YYZ|CLE|PBI|
PBI|LCA,|LCA|FRA|EWR|PBI|
PBI|NAP,|NAP|FRA|EWR|PBI|
PBI|VLC,|VLC|FRA|EWR|PBI|
PBI|BKK,|BKK|CGO|PEK|ORD|ATL|PBI|
PBI|ADD,|ADD|JED|FRA|EWR|PBI|
PBI|FRA,|FRA|EWR|PBI|
PBI|IST,|IST|BHX|EWR|PBI|
PBI|EBB,|EBB|KGL|BRU|EWR|PBI|
PBI|YLW,|YLW|YYC|ORD|ATL|PBI|
PBI|YYT,|YYT|EWR|PBI|
PBI|GUA,|GUA|IAH|PBI|
PBI|EWR,|EWR|PBI|
PBI|IAD,|IAD|TPA|PBI|
PBI|IAH,|IAH|PBI|
PBI|ORD,|ORD|ATL|PBI|
PBI|SOF,|SOF|MUC|EWR|PBI|
PBI|YQB,|YQB|EWR|PBI|
PBI|YXU,|YXU|YYZ|CLE|PBI|
PBI|EZE,|EZE|IAH|PBI|
PBI|YYJ,|YYJ|YVR|DEN|TPA|PBI|
PBI|YYY,|YYY|YUL|EWR|PBI|
PBI|YQQ,|YQQ|YBL|YVR|DEN|TPA|PBI|
PBI|YYR,|YYR|YHZ|EWR|PBI|
PBI|LHR,|LHR|EWR|PBI|
PBI|SFO,|SFO|LAS|TPA|PBI|
PBI|YQU,|YQU|YEG|ORD|ATL|PBI|
PBI|YZF,|YZF|YEG|ORD|ATL|PBI|
PBI|YGR,|YGR|YGP|YQB|EWR|PBI|
PBI|YGP,|YGP|YQB|EWR|PBI|
PBI|BOS,|BOS|EWR|PBI|
PBI|YDF,|YDF|YHZ|EWR|PBI|
PBI|YFC,|YFC|YUL|EWR|PBI|
PBI|YQM,|YQM|EWR|PBI|
PBI|YQX,|YQX|YHZ|EWR|PBI|
PBI|YQY,|YQY|YHZ|EWR|PBI|
PBI|YSJ,|YSJ|YUL|EWR|PBI|
PBI|YYG,|YYG|YHZ|EWR|PBI|
PBI|LAX,|LAX|MSY|TPA|PBI|
PBI|DCA,|DCA|ATL|PBI|
PBI|LGA,|LGA|IAD|TPA|PBI|
PBI|YZV,|YZV|YQB|EWR|PBI|
PBI|YWL,|YWL|YVR|DEN|TPA|PBI|
PBI|AZS,|AZS|YYZ|CLE|PBI|
PBI|BDL,|BDL|BWI|PBI|
PBI|CCC,|CCC|YYZ|CLE|PBI|
PBI|CDG,|CDG|EWR|PBI|
PBI|CUN,|CUN|ATL|PBI|
PBI|CZM,|CZM|IAH|PBI|
PBI|FDF,|FDF|YUL|EWR|PBI|
PBI|FLL,|FLL|TPA|PBI|
PBI|GVA,|GVA|EWR|PBI|
PBI|HOG,|HOG|YYZ|CLE|PBI|
PBI|LAS,|LAS|TPA|PBI|
PBI|MBJ,|MBJ|ATL|PBI|
PBI|MCO,|MCO|GNV|TPA|PBI|
PBI|MUC,|MUC|EWR|PBI|
PBI|PAP,|PAP|YUL|EWR|PBI|
PBI|PTP,|PTP|YUL|EWR|PBI|
PBI|PUJ,|PUJ|ATL|PBI|
PBI|SNU,|SNU|YYZ|CLE|PBI|
PBI|VRA,|VRA|YYZ|CLE|PBI|
PBI|YBC,|YBC|YUL|EWR|PBI|
PBI|YBG,|YBG|YUL|EWR|PBI|
PBI|YTZ,|YTZ|YUL|EWR|PBI|
PBI|YUY,|YUY|YUL|EWR|PBI|
PBI|YVO,|YVO|YUL|EWR|PBI|
PBI|ZBF,|ZBF|YUL|EWR|PBI|
PBI|ZRH,|ZRH|EWR|PBI|
PBI|ZSA,|ZSA|YUL|EWR|PBI|
PBI|AKL,|AKL|LAX|MSY|TPA|PBI|
PBI|HKG,|HKG|ORD|ATL|PBI|
PBI|HND,|HND|YVR|DEN|TPA|PBI|
PBI|HNL,|HNL|IAH|PBI|
PBI|MEX,|MEX|IAH|PBI|
PBI|OGG,|OGG|LAX|MSY|TPA|PBI|
PBI|PDX,|PDX|DEN|TPA|PBI|
PBI|PEK,|PEK|ORD|ATL|PBI|
PBI|PVG,|PVG|ORD|ATL|PBI|
PBI|PVR,|PVR|IAH|PBI|
PBI|SEA,|SEA|DEN|TPA|PBI|
PBI|SYD,|SYD|LAX|MSY|TPA|PBI|
PBI|YBL,|YBL|YVR|DEN|TPA|PBI|
PBI|YCD,|YCD|YVR|DEN|TPA|PBI|
PBI|YCG,|YCG|YYC|ORD|ATL|PBI|
