PDX|BRU,|BRU|YUL|YYC|PDX|
PDX|OUA,|OUA|BRU|YUL|YYC|PDX|
PDX|JED,|JED|FRA|SEA|PDX|
PDX|CPH,|CPH|YYZ|ORD|PDX|
PDX|YYZ,|YYZ|ORD|PDX|
PDX|DEN,|DEN|PDX|
PDX|YUL,|YUL|YYC|PDX|
PDX|NBO,|NBO|IST|FRA|SEA|PDX|
PDX|ICN,|ICN|SEA|PDX|
PDX|NRT,|NRT|SEA|PDX|
PDX|YHZ,|YHZ|YYC|PDX|
PDX|YOW,|YOW|YYC|PDX|
PDX|BJM,|BJM|BRU|YUL|YYC|PDX|
PDX|COO,|COO|BRU|YUL|YYC|PDX|
PDX|DKR,|DKR|IAD|PDX|
PDX|DLA,|DLA|BRU|YUL|YYC|PDX|
PDX|KGL,|KGL|IST|FRA|SEA|PDX|
PDX|LAD,|LAD|BRU|YUL|YYC|PDX|
PDX|ABJ,|ABJ|BRU|YUL|YYC|PDX|
PDX|AMS,|AMS|ORD|PDX|
PDX|OSL,|OSL|EWR|PDX|
PDX|VNO,|VNO|FRA|SEA|PDX|
PDX|WAW,|WAW|YYZ|ORD|PDX|
PDX|YYC,|YYC|PDX|
PDX|ATL,|ATL|MCI|PDX|
PDX|MSY,|MSY|DEN|PDX|
PDX|YEG,|YEG|YYC|PDX|
PDX|YMM,|YMM|YYC|PDX|
PDX|YQR,|YQR|YYC|PDX|
PDX|YVR,|YVR|PDX|
PDX|YWG,|YWG|YYC|PDX|
PDX|YXE,|YXE|YYC|PDX|
PDX|CKY,|CKY|DKR|IAD|PDX|
PDX|FIH,|FIH|IST|FRA|SEA|PDX|
PDX|SCL,|SCL|YYZ|ORD|PDX|
PDX|LCA,|LCA|FRA|SEA|PDX|
PDX|NAP,|NAP|FRA|SEA|PDX|
PDX|VLC,|VLC|FRA|SEA|PDX|
PDX|BKK,|BKK|CGO|PEK|SEA|PDX|
PDX|ADD,|ADD|JED|FRA|SEA|PDX|
PDX|FRA,|FRA|SEA|PDX|
PDX|IST,|IST|FRA|SEA|PDX|
PDX|EBB,|EBB|KGL|IST|FRA|SEA|PDX|
PDX|YLW,|YLW|YVR|PDX|
PDX|YYT,|YYT|YUL|YYC|PDX|
PDX|GUA,|GUA|IAH|PDX|
PDX|EWR,|EWR|PDX|
PDX|IAD,|IAD|PDX|
PDX|IAH,|IAH|PDX|
PDX|ORD,|ORD|PDX|
PDX|SOF,|SOF|MUC|YVR|PDX|
PDX|YQB,|YQB|YUL|YYC|PDX|
PDX|YXU,|YXU|ORD|PDX|
PDX|EZE,|EZE|IAH|PDX|
PDX|YYJ,|YYJ|YVR|PDX|
PDX|YYY,|YYY|YUL|YYC|PDX|
PDX|YQQ,|YQQ|YBL|YVR|PDX|
PDX|YYR,|YYR|YWK|YZV|YUL|YYC|PDX|
