PHC|BRU,|BRU|IST|LOS|PHC|
PHC|OUA,|OUA|NIM|IST|LOS|PHC|
PHC|JED,|JED|IST|LOS|PHC|
PHC|CPH,|CPH|IST|LOS|PHC|
PHC|YYZ,|YYZ|FRA|LOS|PHC|
PHC|DEN,|DEN|IAH|LOS|PHC|
PHC|YUL,|YUL|FRA|LOS|PHC|
PHC|NBO,|NBO|IST|LOS|PHC|
PHC|ICN,|ICN|IST|LOS|PHC|
PHC|NRT,|NRT|IST|LOS|PHC|
PHC|YHZ,|YHZ|BOS|FRA|LOS|PHC|
PHC|YOW,|YOW|FRA|LOS|PHC|
PHC|BJM,|BJM|BRU|IST|LOS|PHC|
PHC|COO,|COO|BRU|IST|LOS|PHC|
PHC|DKR,|DKR|BRU|IST|LOS|PHC|
PHC|DLA,|DLA|IST|LOS|PHC|
PHC|KGL,|KGL|IST|LOS|PHC|
PHC|LAD,|LAD|BRU|IST|LOS|PHC|
PHC|ABJ,|ABJ|OUA|NIM|IST|LOS|PHC|
PHC|AMS,|AMS|IST|LOS|PHC|
PHC|OSL,|OSL|IST|LOS|PHC|
PHC|VNO,|VNO|FRA|LOS|PHC|
PHC|WAW,|WAW|IST|LOS|PHC|
PHC|YYC,|YYC|FRA|LOS|PHC|
PHC|ATL,|ATL|IAH|LOS|PHC|
PHC|MSY,|MSY|IAH|LOS|PHC|
PHC|YEG,|YEG|YYC|FRA|LOS|PHC|
PHC|YMM,|YMM|YYC|FRA|LOS|PHC|
PHC|YQR,|YQR|DEN|IAH|LOS|PHC|
PHC|YVR,|YVR|FRA|LOS|PHC|
PHC|YWG,|YWG|YUL|FRA|LOS|PHC|
PHC|YXE,|YXE|YYC|FRA|LOS|PHC|
PHC|CKY,|CKY|DKR|BRU|IST|LOS|PHC|
PHC|FIH,|FIH|IST|LOS|PHC|
PHC|SCL,|SCL|EZE|GRU|IST|LOS|PHC|
PHC|LCA,|LCA|FRA|LOS|PHC|
PHC|NAP,|NAP|IST|LOS|PHC|
PHC|VLC,|VLC|FRA|LOS|PHC|
PHC|BKK,|BKK|IST|LOS|PHC|
PHC|ADD,|ADD|IST|LOS|PHC|
PHC|FRA,|FRA|LOS|PHC|
PHC|IST,|IST|LOS|PHC|
PHC|EBB,|EBB|KGL|IST|LOS|PHC|
PHC|YLW,|YLW|YYC|FRA|LOS|PHC|
PHC|YYT,|YYT|LHR|IST|LOS|PHC|
PHC|GUA,|GUA|IAH|LOS|PHC|
PHC|EWR,|EWR|FRA|LOS|PHC|
PHC|IAD,|IAD|FRA|LOS|PHC|
PHC|IAH,|IAH|LOS|PHC|
PHC|ORD,|ORD|FRA|LOS|PHC|
PHC|SOF,|SOF|IST|LOS|PHC|
PHC|YQB,|YQB|YUL|FRA|LOS|PHC|
PHC|YXU,|YXU|YYZ|FRA|LOS|PHC|
PHC|EZE,|EZE|GRU|IST|LOS|PHC|
PHC|YYJ,|YYJ|YVR|FRA|LOS|PHC|
PHC|YYY,|YYY|YUL|FRA|LOS|PHC|
PHC|YQQ,|YQQ|YBL|YVR|FRA|LOS|PHC|
PHC|YYR,|YYR|YYT|LHR|IST|LOS|PHC|
PHC|LHR,|LHR|IST|LOS|PHC|
PHC|SFO,|SFO|IAH|LOS|PHC|
PHC|YQU,|YQU|YYC|FRA|LOS|PHC|
PHC|YZF,|YZF|YYC|FRA|LOS|PHC|
PHC|YGR,|YGR|YGP|YQB|YUL|FRA|LOS|PHC|
PHC|YGP,|YGP|YQB|YUL|FRA|LOS|PHC|
PHC|BOS,|BOS|FRA|LOS|PHC|
PHC|YDF,|YDF|YYT|LHR|IST|LOS|PHC|
PHC|YFC,|YFC|YUL|FRA|LOS|PHC|
PHC|YQM,|YQM|YUL|FRA|LOS|PHC|
PHC|YQX,|YQX|YYT|LHR|IST|LOS|PHC|
PHC|YQY,|YQY|YHZ|BOS|FRA|LOS|PHC|
PHC|YSJ,|YSJ|YUL|FRA|LOS|PHC|
PHC|YYG,|YYG|YUL|FRA|LOS|PHC|
PHC|LAX,|LAX|IAH|LOS|PHC|
PHC|DCA,|DCA|EWR|FRA|LOS|PHC|
PHC|LGA,|LGA|YUL|FRA|LOS|PHC|
PHC|YZV,|YZV|YUL|FRA|LOS|PHC|
PHC|YWL,|YWL|YVR|FRA|LOS|PHC|
PHC|AZS,|AZS|YUL|FRA|LOS|PHC|
PHC|BDL,|BDL|YUL|FRA|LOS|PHC|
PHC|CCC,|CCC|YUL|FRA|LOS|PHC|
PHC|CDG,|CDG|IST|LOS|PHC|
PHC|CUN,|CUN|IAH|LOS|PHC|
PHC|CZM,|CZM|IAH|LOS|PHC|
PHC|FDF,|FDF|YUL|FRA|LOS|PHC|
PHC|FLL,|FLL|IAH|LOS|PHC|
PHC|GVA,|GVA|IST|LOS|PHC|
PHC|HOG,|HOG|YUL|FRA|LOS|PHC|
PHC|LAS,|LAS|IAH|LOS|PHC|
PHC|MBJ,|MBJ|IAH|LOS|PHC|
PHC|MCO,|MCO|IAH|LOS|PHC|
PHC|MUC,|MUC|IST|LOS|PHC|
PHC|PAP,|PAP|YUL|FRA|LOS|PHC|
PHC|PTP,|PTP|YUL|FRA|LOS|PHC|
PHC|PUJ,|PUJ|EWR|FRA|LOS|PHC|
PHC|SNU,|SNU|YUL|FRA|LOS|PHC|
PHC|VRA,|VRA|YUL|FRA|LOS|PHC|
PHC|YBC,|YBC|YUL|FRA|LOS|PHC|
PHC|YBG,|YBG|YUL|FRA|LOS|PHC|
PHC|YTZ,|YTZ|YUL|FRA|LOS|PHC|
PHC|YUY,|YUY|YUL|FRA|LOS|PHC|
PHC|YVO,|YVO|YUL|FRA|LOS|PHC|
PHC|ZBF,|ZBF|YUL|FRA|LOS|PHC|
PHC|ZRH,|ZRH|IST|LOS|PHC|
PHC|ZSA,|ZSA|YUL|FRA|LOS|PHC|
PHC|AKL,|AKL|BKK|IST|LOS|PHC|
PHC|HKG,|HKG|IST|LOS|PHC|
PHC|HND,|HND|YVR|FRA|LOS|PHC|
PHC|HNL,|HNL|IAH|LOS|PHC|
PHC|MEX,|MEX|IAH|LOS|PHC|
PHC|OGG,|OGG|LAX|IAH|LOS|PHC|
PHC|PDX,|PDX|SEA|FRA|LOS|PHC|
PHC|PEK,|PEK|IST|LOS|PHC|
PHC|PVG,|PVG|IST|LOS|PHC|
PHC|PVR,|PVR|IAH|LOS|PHC|
PHC|SEA,|SEA|FRA|LOS|PHC|
