PHL|BRU,|BRU|IAD|PHL|
PHL|OUA,|OUA|BRU|IAD|PHL|
PHL|JED,|JED|FRA|IAD|PHL|
PHL|CPH,|CPH|YYZ|PHL|
PHL|YYZ,|YYZ|PHL|
PHL|DEN,|DEN|PHL|
PHL|YUL,|YUL|IAD|PHL|
PHL|NBO,|NBO|ZRH|IAD|PHL|
PHL|ICN,|ICN|JFK|IAD|PHL|
PHL|NRT,|NRT|YYZ|PHL|
PHL|YHZ,|YHZ|LGA|IAD|PHL|
PHL|YOW,|YOW|YYZ|PHL|
PHL|BJM,|BJM|BRU|IAD|PHL|
PHL|COO,|COO|BRU|IAD|PHL|
PHL|DKR,|DKR|IAD|PHL|
PHL|DLA,|DLA|BRU|IAD|PHL|
PHL|KGL,|KGL|BRU|IAD|PHL|
PHL|LAD,|LAD|BRU|IAD|PHL|
PHL|ABJ,|ABJ|BRU|IAD|PHL|
PHL|AMS,|AMS|IAD|PHL|
PHL|OSL,|OSL|EWR|IAD|PHL|
PHL|VNO,|VNO|CPH|YYZ|PHL|
PHL|WAW,|WAW|YYZ|PHL|
PHL|YYC,|YYC|YYZ|PHL|
PHL|ATL,|ATL|PHL|
PHL|MSY,|MSY|IAD|PHL|
PHL|YEG,|YEG|YYZ|PHL|
PHL|YMM,|YMM|YYZ|PHL|
PHL|YQR,|YQR|YYZ|PHL|
PHL|YVR,|YVR|YYZ|PHL|
PHL|YWG,|YWG|YYZ|PHL|
PHL|YXE,|YXE|YYZ|PHL|
PHL|CKY,|CKY|DKR|IAD|PHL|
PHL|FIH,|FIH|DLA|BRU|IAD|PHL|
PHL|SCL,|SCL|YYZ|PHL|
PHL|LCA,|LCA|FRA|IAD|PHL|
PHL|NAP,|NAP|FRA|IAD|PHL|
PHL|VLC,|VLC|FRA|IAD|PHL|
PHL|BKK,|BKK|CGO|PEK|YYZ|PHL|
PHL|ADD,|ADD|JED|FRA|IAD|PHL|
PHL|FRA,|FRA|IAD|PHL|
PHL|IST,|IST|IAD|PHL|
PHL|EBB,|EBB|KGL|BRU|IAD|PHL|
PHL|YLW,|YLW|YYZ|PHL|
PHL|YYT,|YYT|YHZ|LGA|IAD|PHL|
PHL|GUA,|GUA|IAD|PHL|
PHL|EWR,|EWR|IAD|PHL|
PHL|IAD,|IAD|PHL|
PHL|IAH,|IAH|PHL|
