PHX|BRU,|BRU|ORD|PHX|
PHX|OUA,|OUA|BRU|ORD|PHX|
PHX|JED,|JED|FRA|DEN|PHX|
PHX|CPH,|CPH|YYZ|PHX|
PHX|YYZ,|YYZ|PHX|
PHX|DEN,|DEN|PHX|
PHX|YUL,|YUL|ORD|PHX|
PHX|NBO,|NBO|ZRH|ORD|PHX|
PHX|ICN,|ICN|SFO|PHX|
PHX|NRT,|NRT|SFO|PHX|
PHX|YHZ,|YHZ|YYZ|PHX|
PHX|YOW,|YOW|ORD|PHX|
PHX|BJM,|BJM|BRU|ORD|PHX|
PHX|COO,|COO|BRU|ORD|PHX|
PHX|DKR,|DKR|IAD|PHX|
PHX|DLA,|DLA|BRU|ORD|PHX|
PHX|KGL,|KGL|BRU|ORD|PHX|
PHX|LAD,|LAD|BRU|ORD|PHX|
PHX|ABJ,|ABJ|BRU|ORD|PHX|
PHX|AMS,|AMS|ORD|PHX|
PHX|OSL,|OSL|EWR|PHX|
PHX|VNO,|VNO|CPH|YYZ|PHX|
PHX|WAW,|WAW|YYZ|PHX|
PHX|YYC,|YYC|PHX|
PHX|ATL,|ATL|PHX|
PHX|MSY,|MSY|PHX|
PHX|YEG,|YEG|PHX|
PHX|YMM,|YMM|YEG|PHX|
PHX|YQR,|YQR|DEN|PHX|
PHX|YVR,|YVR|SEA|PHX|
PHX|YWG,|YWG|DEN|PHX|
PHX|YXE,|YXE|LAS|PHX|
PHX|CKY,|CKY|DKR|IAD|PHX|
PHX|FIH,|FIH|DLA|BRU|ORD|PHX|
PHX|SCL,|SCL|EZE|IAH|PHX|
PHX|LCA,|LCA|FRA|DEN|PHX|
PHX|NAP,|NAP|FRA|DEN|PHX|
PHX|VLC,|VLC|FRA|DEN|PHX|
PHX|BKK,|BKK|CGO|PEK|SEA|PHX|
PHX|ADD,|ADD|JED|FRA|DEN|PHX|
PHX|FRA,|FRA|DEN|PHX|
PHX|IST,|IST|FRA|DEN|PHX|
PHX|EBB,|EBB|KGL|BRU|ORD|PHX|
PHX|YLW,|YLW|YVR|SEA|PHX|
PHX|YYT,|YYT|YOW|ORD|PHX|
PHX|GUA,|GUA|IAH|PHX|
PHX|EWR,|EWR|PHX|
PHX|IAD,|IAD|PHX|
PHX|IAH,|IAH|PHX|
PHX|ORD,|ORD|PHX|
PHX|SOF,|SOF|MUC|ORD|PHX|
PHX|YQB,|YQB|ORD|PHX|
PHX|YXU,|YXU|ORD|PHX|
PHX|EZE,|EZE|IAH|PHX|
PHX|YYJ,|YYJ|LAS|PHX|
PHX|YYY,|YYY|YUL|ORD|PHX|
PHX|YQQ,|YQQ|YBL|YVR|SEA|PHX|
PHX|YYR,|YYR|YWK|YZV|YQB|ORD|PHX|
PHX|LHR,|LHR|ORD|PHX|
PHX|SFO,|SFO|PHX|
PHX|YQU,|YQU|YYC|PHX|
PHX|YZF,|YZF|YEG|PHX|
PHX|YGR,|YGR|YGP|YQB|ORD|PHX|
PHX|YGP,|YGP|YQB|ORD|PHX|
PHX|BOS,|BOS|MCI|PHX|
PHX|YDF,|YDF|YYZ|PHX|
PHX|YFC,|YFC|YYZ|PHX|
PHX|YQM,|YQM|YUL|ORD|PHX|
PHX|YQX,|YQX|YHZ|YYZ|PHX|
PHX|YQY,|YQY|YYZ|PHX|
PHX|YSJ,|YSJ|YYZ|PHX|
PHX|YYG,|YYG|YUL|ORD|PHX|
PHX|LAX,|LAX|PHX|
PHX|DCA,|DCA|STL|PHX|
PHX|LGA,|LGA|STL|PHX|
PHX|YZV,|YZV|YQB|ORD|PHX|
PHX|YWL,|YWL|YVR|SEA|PHX|
PHX|AZS,|AZS|YYZ|PHX|
PHX|BDL,|BDL|MDW|PHX|
PHX|CCC,|CCC|YYZ|PHX|
PHX|CDG,|CDG|ORD|PHX|
PHX|CUN,|CUN|AUS|PHX|
PHX|CZM,|CZM|IAH|PHX|
PHX|FDF,|FDF|YUL|ORD|PHX|
PHX|FLL,|FLL|PHX|
PHX|GVA,|GVA|YUL|ORD|PHX|
PHX|HOG,|HOG|YYZ|PHX|
PHX|LAS,|LAS|PHX|
PHX|MBJ,|MBJ|IAH|PHX|
