PIA|BRU,|BRU|ORD|PIA|
PIA|OUA,|OUA|BRU|ORD|PIA|
PIA|JED,|JED|FRA|ORD|PIA|
PIA|CPH,|CPH|YYZ|ORD|PIA|
PIA|YYZ,|YYZ|ORD|PIA|
PIA|DEN,|DEN|PIA|
PIA|YUL,|YUL|ORD|PIA|
PIA|NBO,|NBO|ZRH|ORD|PIA|
PIA|ICN,|ICN|YVR|ORD|PIA|
PIA|NRT,|NRT|ORD|PIA|
PIA|YHZ,|YHZ|ORD|PIA|
PIA|YOW,|YOW|ORD|PIA|
PIA|BJM,|BJM|BRU|ORD|PIA|
PIA|COO,|COO|BRU|ORD|PIA|
PIA|DKR,|DKR|IAD|ORD|PIA|
PIA|DLA,|DLA|BRU|ORD|PIA|
PIA|KGL,|KGL|BRU|ORD|PIA|
PIA|LAD,|LAD|BRU|ORD|PIA|
PIA|ABJ,|ABJ|BRU|ORD|PIA|
PIA|AMS,|AMS|ORD|PIA|
PIA|OSL,|OSL|EWR|ORD|PIA|
PIA|VNO,|VNO|CPH|YYZ|ORD|PIA|
PIA|WAW,|WAW|YYZ|ORD|PIA|
PIA|YYC,|YYC|ORD|PIA|
PIA|ATL,|ATL|ORD|PIA|
PIA|MSY,|MSY|ORD|PIA|
PIA|YEG,|YEG|ORD|PIA|
PIA|YMM,|YMM|YEG|ORD|PIA|
PIA|YQR,|YQR|ORD|PIA|
PIA|YVR,|YVR|ORD|PIA|
PIA|YWG,|YWG|ORD|PIA|
PIA|YXE,|YXE|ORD|PIA|
PIA|CKY,|CKY|DKR|IAD|ORD|PIA|
PIA|FIH,|FIH|DLA|BRU|ORD|PIA|
PIA|SCL,|SCL|YYZ|ORD|PIA|
PIA|LCA,|LCA|FRA|ORD|PIA|
PIA|NAP,|NAP|FRA|ORD|PIA|
PIA|VLC,|VLC|FRA|ORD|PIA|
PIA|BKK,|BKK|CGO|PEK|ORD|PIA|
PIA|ADD,|ADD|IST|ORD|PIA|
PIA|FRA,|FRA|ORD|PIA|
PIA|IST,|IST|ORD|PIA|
