PLS|BRU,|BRU|EWR|PLS|
PLS|OUA,|OUA|BRU|EWR|PLS|
PLS|JED,|JED|FRA|EWR|PLS|
PLS|CPH,|CPH|AMS|EWR|PLS|
PLS|YYZ,|YYZ|PLS|
PLS|DEN,|DEN|YYZ|PLS|
PLS|YUL,|YUL|PLS|
PLS|NBO,|NBO|ZRH|EWR|PLS|
PLS|ICN,|ICN|JFK|IAD|EWR|PLS|
PLS|NRT,|NRT|YYZ|PLS|
PLS|YHZ,|YHZ|EWR|PLS|
PLS|YOW,|YOW|EWR|PLS|
PLS|BJM,|BJM|BRU|EWR|PLS|
PLS|COO,|COO|BRU|EWR|PLS|
PLS|DKR,|DKR|IAD|EWR|PLS|
PLS|DLA,|DLA|BRU|EWR|PLS|
PLS|KGL,|KGL|BRU|EWR|PLS|
PLS|LAD,|LAD|BRU|EWR|PLS|
PLS|ABJ,|ABJ|BRU|EWR|PLS|
PLS|AMS,|AMS|EWR|PLS|
PLS|OSL,|OSL|EWR|PLS|
PLS|VNO,|VNO|CPH|AMS|EWR|PLS|
PLS|WAW,|WAW|CPH|AMS|EWR|PLS|
PLS|YYC,|YYC|YYZ|PLS|
PLS|ATL,|ATL|EWR|PLS|
PLS|MSY,|MSY|EWR|PLS|
PLS|YEG,|YEG|YYZ|PLS|
PLS|YMM,|YMM|YYZ|PLS|
PLS|YQR,|YQR|YYZ|PLS|
PLS|YVR,|YVR|YYZ|PLS|
PLS|YWG,|YWG|YYZ|PLS|
PLS|YXE,|YXE|YYZ|PLS|
PLS|CKY,|CKY|DKR|IAD|EWR|PLS|
PLS|FIH,|FIH|DLA|BRU|EWR|PLS|
PLS|SCL,|SCL|YYZ|PLS|
PLS|LCA,|LCA|FRA|EWR|PLS|
PLS|NAP,|NAP|FRA|EWR|PLS|
PLS|VLC,|VLC|FRA|EWR|PLS|
PLS|BKK,|BKK|CGO|PEK|EWR|PLS|
PLS|ADD,|ADD|JED|FRA|EWR|PLS|
PLS|FRA,|FRA|EWR|PLS|
PLS|IST,|IST|BHX|EWR|PLS|
PLS|EBB,|EBB|KGL|BRU|EWR|PLS|
PLS|YLW,|YLW|YYZ|PLS|
PLS|YYT,|YYT|EWR|PLS|
PLS|GUA,|GUA|EWR|PLS|
PLS|EWR,|EWR|PLS|
PLS|IAD,|IAD|EWR|PLS|
PLS|IAH,|IAH|EWR|PLS|
PLS|ORD,|ORD|YYZ|PLS|
PLS|SOF,|SOF|MUC|EWR|PLS|
PLS|YQB,|YQB|EWR|PLS|
PLS|YXU,|YXU|YYZ|PLS|
PLS|EZE,|EZE|GRU|EWR|PLS|
PLS|YYJ,|YYJ|YYZ|PLS|
PLS|YYY,|YYY|YUL|PLS|
PLS|YQQ,|YQQ|YYC|YYZ|PLS|
PLS|YYR,|YYR|YHZ|EWR|PLS|
PLS|LHR,|LHR|EWR|PLS|
PLS|SFO,|SFO|YYZ|PLS|
PLS|YQU,|YQU|YEG|YYZ|PLS|
PLS|YZF,|YZF|YEG|YYZ|PLS|
PLS|YGR,|YGR|YGP|YQB|EWR|PLS|
PLS|YGP,|YGP|YQB|EWR|PLS|
PLS|BOS,|BOS|EWR|PLS|
PLS|YDF,|YDF|YHZ|EWR|PLS|
PLS|YFC,|YFC|YUL|PLS|
PLS|YQM,|YQM|EWR|PLS|
PLS|YQX,|YQX|YHZ|EWR|PLS|
PLS|YQY,|YQY|YHZ|EWR|PLS|
PLS|YSJ,|YSJ|YUL|PLS|
PLS|YYG,|YYG|YHZ|EWR|PLS|
PLS|LAX,|LAX|YYZ|PLS|
PLS|DCA,|DCA|EWR|PLS|
PLS|LGA,|LGA|IAD|EWR|PLS|
PLS|YZV,|YZV|YQB|EWR|PLS|
PLS|YWL,|YWL|YVR|YYZ|PLS|
PLS|AZS,|AZS|YYZ|PLS|
PLS|BDL,|BDL|BWI|EWR|PLS|
PLS|CCC,|CCC|YYZ|PLS|
PLS|CDG,|CDG|EWR|PLS|
PLS|CUN,|CUN|EWR|PLS|
PLS|CZM,|CZM|YUL|PLS|
PLS|FDF,|FDF|YUL|PLS|
PLS|FLL,|FLL|EWR|PLS|
PLS|GVA,|GVA|EWR|PLS|
PLS|HOG,|HOG|YYZ|PLS|
PLS|LAS,|LAS|YYZ|PLS|
PLS|MBJ,|MBJ|EWR|PLS|
PLS|MCO,|MCO|EWR|PLS|
PLS|MUC,|MUC|EWR|PLS|
PLS|PAP,|PAP|YUL|PLS|
PLS|PTP,|PTP|YUL|PLS|
PLS|PUJ,|PUJ|EWR|PLS|
PLS|SNU,|SNU|YYZ|PLS|
PLS|VRA,|VRA|YYZ|PLS|
PLS|YBC,|YBC|YUL|PLS|
PLS|YBG,|YBG|YUL|PLS|
PLS|YTZ,|YTZ|YUL|PLS|
PLS|YUY,|YUY|YUL|PLS|
PLS|YVO,|YVO|YUL|PLS|
PLS|ZBF,|ZBF|YUL|PLS|
PLS|ZRH,|ZRH|EWR|PLS|
PLS|ZSA,|ZSA|YUL|PLS|
PLS|AKL,|AKL|LAX|YYZ|PLS|
PLS|HKG,|HKG|EWR|PLS|
PLS|HND,|HND|YVR|YYZ|PLS|
PLS|HNL,|HNL|SFO|YYZ|PLS|
PLS|MEX,|MEX|EWR|PLS|
PLS|OGG,|OGG|SFO|YYZ|PLS|
PLS|PDX,|PDX|EWR|PLS|
PLS|PEK,|PEK|EWR|PLS|
PLS|PVG,|PVG|YYZ|PLS|
PLS|PVR,|PVR|EWR|PLS|
PLS|SEA,|SEA|YYZ|PLS|
PLS|SYD,|SYD|LAX|YYZ|PLS|
PLS|YBL,|YBL|YVR|YYZ|PLS|
PLS|YCD,|YCD|YVR|YYZ|PLS|
PLS|YCG,|YCG|YYC|YYZ|PLS|
PLS|YKA,|YKA|YYC|YYZ|PLS|
PLS|YPR,|YPR|YVR|YYZ|PLS|
PLS|YQZ,|YQZ|YVR|YYZ|PLS|
PLS|YXC,|YXC|YYC|YYZ|PLS|
PLS|YXJ,|YXJ|YYC|YYZ|PLS|
PLS|YXS,|YXS|YYC|YYZ|PLS|
PLS|YXT,|YXT|YVR|YYZ|PLS|
PLS|YXY,|YXY|YVR|YYZ|PLS|
PLS|YYD,|YYD|YVR|YYZ|PLS|
PLS|YYF,|YYF|YVR|YYZ|PLS|
PLS|YZP,|YZP|YVR|YYZ|PLS|
PLS|YQT,|YQT|YYZ|PLS|
PLS|SJD,|SJD|EWR|PLS|
PLS|YQF,|YQF|YYC|YYZ|PLS|
PLS|YQL,|YQL|YYC|YYZ|PLS|
PLS|YXH,|YXH|YYC|YYZ|PLS|
PLS|YWK,|YWK|YZV|YQB|EWR|PLS|
PLS|ANU,|ANU|EWR|PLS|
PLS|AUA,|AUA|EWR|PLS|
PLS|AUH,|AUH|FRA|EWR|PLS|
PLS|BCN,|BCN|EWR|PLS|
PLS|BDA,|BDA|EWR|PLS|
PLS|BGI,|BGI|YYZ|PLS|
PLS|BNA,|BNA|EWR|PLS|
PLS|BOG,|BOG|EWR|PLS|
PLS|BWI,|BWI|EWR|PLS|
PLS|CLE,|CLE|EWR|PLS|
PLS|CLT,|CLT|EWR|PLS|
PLS|CMH,|CMH|EWR|PLS|
PLS|CVG,|CVG|EWR|PLS|
PLS|DFW,|DFW|EWR|PLS|
PLS|DTW,|DTW|YYZ|PLS|
PLS|DUB,|DUB|EWR|PLS|
PLS|FCO,|FCO|EWR|PLS|
PLS|GCM,|GCM|EWR|PLS|
PLS|GGT,|GGT|FLL|EWR|PLS|
PLS|GND,|GND|YYZ|PLS|
PLS|GRU,|GRU|EWR|PLS|
PLS|HAV,|HAV|YYZ|PLS|
PLS|IND,|IND|EWR|PLS|
PLS|JFK,|JFK|IAD|EWR|PLS|
PLS|KIN,|KIN|YYZ|PLS|
PLS|LIM,|LIM|EWR|PLS|
PLS|LIR,|LIR|EWR|PLS|
PLS|MCI,|MCI|EWR|PLS|
PLS|MDT,|MDT|IAD|EWR|PLS|
PLS|MIA,|MIA|EWR|PLS|
PLS|MKE,|MKE|YYZ|PLS|
PLS|MSP,|MSP|YYZ|PLS|
PLS|NAS,|NAS|EWR|PLS|
PLS|PHL,|PHL|IAD|EWR|PLS|
PLS|PHX,|PHX|EWR|PLS|
PLS|PIT,|PIT|EWR|PLS|
PLS|POP,|POP|EWR|PLS|
PLS|RDU,|RDU|EWR|PLS|
PLS|ROC,|ROC|EWR|PLS|
PLS|RSW,|RSW|EWR|PLS|
PLS|SAN,|SAN|YYZ|PLS|
PLS|SJO,|SJO|EWR|PLS|
PLS|STL,|STL|EWR|PLS|
PLS|SYR,|SYR|EWR|PLS|
PLS|TLV,|TLV|EWR|PLS|
PLS|TPA,|TPA|EWR|PLS|
PLS|UVF,|UVF|EWR|PLS|
PLS|VIE,|VIE|YYZ|PLS|
PLS|YAM,|YAM|YYZ|PLS|
PLS|YGK,|YGK|YYZ|PLS|
PLS|YQG,|YQG|YYZ|PLS|
PLS|YSB,|YSB|YYZ|PLS|
PLS|YTS,|YTS|YYZ|PLS|
PLS|YYB,|YYB|YYZ|PLS|
PLS|YZR,|YZR|YYZ|PLS|
PLS|CAN,|CAN|PEK|EWR|PLS|
PLS|URC,|URC|TSE|FRA|EWR|PLS|
PLS|CTU,|CTU|PEK|EWR|PLS|
PLS|HGH,|HGH|PEK|EWR|PLS|
PLS|XMN,|XMN|PEK|EWR|PLS|
PLS|CGO,|CGO|PEK|EWR|PLS|
PLS|CSX,|CSX|PEK|EWR|PLS|
PLS|SHE,|SHE|PEK|EWR|PLS|
PLS|SJW,|SJW|DLC|PEK|EWR|PLS|
PLS|WUH,|WUH|PEK|EWR|PLS|
PLS|SZX,|SZX|PEK|EWR|PLS|
PLS|CKG,|CKG|PEK|EWR|PLS|
PLS|KMG,|KMG|PEK|EWR|PLS|
PLS|FOC,|FOC|PEK|EWR|PLS|
PLS|NNG,|NNG|PEK|EWR|PLS|
PLS|SWA,|SWA|PEK|EWR|PLS|
PLS|ACX,|ACX|CAN|PEK|EWR|PLS|
PLS|AQG,|AQG|CAN|PEK|EWR|PLS|
PLS|AVA,|AVA|CAN|PEK|EWR|PLS|
PLS|BFJ,|BFJ|CAN|PEK|EWR|PLS|
PLS|BHY,|BHY|CGO|PEK|EWR|PLS|
PLS|BNE,|BNE|CAN|PEK|EWR|PLS|
PLS|CGD,|CGD|PEK|EWR|PLS|
PLS|CGK,|CGK|CAN|PEK|EWR|PLS|
PLS|CGQ,|CGQ|PEK|EWR|PLS|
PLS|CIH,|CIH|PEK|EWR|PLS|
PLS|CNX,|CNX|CAN|PEK|EWR|PLS|
PLS|CZX,|CZX|SHE|PEK|EWR|PLS|
PLS|DAC,|DAC|IST|BHX|EWR|PLS|
PLS|DAD,|DAD|CAN|PEK|EWR|PLS|
PLS|DEL,|DEL|EWR|PLS|
PLS|DIG,|DIG|KMG|PEK|EWR|PLS|
PLS|DLC,|DLC|PEK|EWR|PLS|
