PNH|BRU,|BRU|DEL|CAN|PNH|
PNH|OUA,|OUA|NIM|IST|CAN|PNH|
PNH|JED,|JED|IST|CAN|PNH|
PNH|CPH,|CPH|AMS|CAN|PNH|
PNH|YYZ,|YYZ|PEK|CAN|PNH|
PNH|DEN,|DEN|YVR|CAN|PNH|
PNH|YUL,|YUL|YYZ|PEK|CAN|PNH|
PNH|NBO,|NBO|CAN|PNH|
PNH|ICN,|ICN|CAN|PNH|
PNH|NRT,|NRT|CAN|PNH|
PNH|YHZ,|YHZ|YYZ|PEK|CAN|PNH|
PNH|YOW,|YOW|YYZ|PEK|CAN|PNH|
PNH|BJM,|BJM|BRU|DEL|CAN|PNH|
PNH|COO,|COO|BRU|DEL|CAN|PNH|
PNH|DKR,|DKR|BRU|DEL|CAN|PNH|
PNH|DLA,|DLA|IST|CAN|PNH|
PNH|KGL,|KGL|IST|CAN|PNH|
PNH|LAD,|LAD|BRU|DEL|CAN|PNH|
PNH|ABJ,|ABJ|OUA|NIM|IST|CAN|PNH|
PNH|AMS,|AMS|CAN|PNH|
PNH|OSL,|OSL|CPH|AMS|CAN|PNH|
PNH|VNO,|VNO|IST|CAN|PNH|
PNH|WAW,|WAW|IST|CAN|PNH|
PNH|YYC,|YYC|YVR|CAN|PNH|
PNH|ATL,|ATL|ORD|PEK|CAN|PNH|
PNH|MSY,|MSY|DEN|YVR|CAN|PNH|
PNH|YEG,|YEG|YVR|CAN|PNH|
PNH|YMM,|YMM|YVR|CAN|PNH|
PNH|YQR,|YQR|YVR|CAN|PNH|
PNH|YVR,|YVR|CAN|PNH|
PNH|YWG,|YWG|YVR|CAN|PNH|
PNH|YXE,|YXE|YVR|CAN|PNH|
PNH|CKY,|CKY|DKR|BRU|DEL|CAN|PNH|
PNH|FIH,|FIH|IST|CAN|PNH|
PNH|SCL,|SCL|YYZ|PEK|CAN|PNH|
PNH|LCA,|LCA|FRA|TSE|URC|CAN|PNH|
PNH|NAP,|NAP|IST|CAN|PNH|
PNH|VLC,|VLC|IST|CAN|PNH|
PNH|BKK,|BKK|CAN|PNH|
PNH|ADD,|ADD|IST|CAN|PNH|
PNH|FRA,|FRA|TSE|URC|CAN|PNH|
PNH|IST,|IST|CAN|PNH|
PNH|EBB,|EBB|KGL|IST|CAN|PNH|
PNH|YLW,|YLW|YVR|CAN|PNH|
PNH|YYT,|YYT|LHR|CAN|PNH|
PNH|GUA,|GUA|IAH|YVR|CAN|PNH|
PNH|EWR,|EWR|PEK|CAN|PNH|
PNH|IAD,|IAD|PEK|CAN|PNH|
PNH|IAH,|IAH|YVR|CAN|PNH|
PNH|ORD,|ORD|PEK|CAN|PNH|
PNH|SOF,|SOF|IST|CAN|PNH|
PNH|YQB,|YQB|YYZ|PEK|CAN|PNH|
PNH|YXU,|YXU|YYZ|PEK|CAN|PNH|
PNH|EZE,|EZE|GRU|IST|CAN|PNH|
PNH|YYJ,|YYJ|YVR|CAN|PNH|
PNH|YYY,|YYY|YUL|YYZ|PEK|CAN|PNH|
PNH|YQQ,|YQQ|YBL|YVR|CAN|PNH|
PNH|YYR,|YYR|YYT|LHR|CAN|PNH|
PNH|LHR,|LHR|CAN|PNH|
PNH|SFO,|SFO|PVG|CAN|PNH|
PNH|YQU,|YQU|YEG|YVR|CAN|PNH|
PNH|YZF,|YZF|YEG|YVR|CAN|PNH|
PNH|YGR,|YGR|YGP|YQB|YYZ|PEK|CAN|PNH|
PNH|YGP,|YGP|YQB|YYZ|PEK|CAN|PNH|
PNH|BOS,|BOS|YYZ|PEK|CAN|PNH|
PNH|YDF,|YDF|YYT|LHR|CAN|PNH|
PNH|YFC,|YFC|YYZ|PEK|CAN|PNH|
PNH|YQM,|YQM|YYZ|PEK|CAN|PNH|
PNH|YQX,|YQX|YYT|LHR|CAN|PNH|
PNH|YQY,|YQY|YYZ|PEK|CAN|PNH|
PNH|YSJ,|YSJ|YYZ|PEK|CAN|PNH|
PNH|YYG,|YYG|YYZ|PEK|CAN|PNH|
PNH|LAX,|LAX|CAN|PNH|
PNH|DCA,|DCA|YYZ|PEK|CAN|PNH|
PNH|LGA,|LGA|YYZ|PEK|CAN|PNH|
PNH|YZV,|YZV|YQB|YYZ|PEK|CAN|PNH|
PNH|YWL,|YWL|YVR|CAN|PNH|
PNH|AZS,|AZS|YYZ|PEK|CAN|PNH|
PNH|BDL,|BDL|YYZ|PEK|CAN|PNH|
PNH|CCC,|CCC|YYZ|PEK|CAN|PNH|
PNH|CDG,|CDG|CAN|PNH|
PNH|CUN,|CUN|YVR|CAN|PNH|
PNH|CZM,|CZM|IAH|YVR|CAN|PNH|
PNH|FDF,|FDF|YUL|YYZ|PEK|CAN|PNH|
PNH|FLL,|FLL|ORD|PEK|CAN|PNH|
PNH|GVA,|GVA|IST|CAN|PNH|
PNH|HOG,|HOG|YYZ|PEK|CAN|PNH|
PNH|LAS,|LAS|SFO|PVG|CAN|PNH|
PNH|MBJ,|MBJ|ATL|ORD|PEK|CAN|PNH|
PNH|MCO,|MCO|ORD|PEK|CAN|PNH|
PNH|MUC,|MUC|IST|CAN|PNH|
PNH|PAP,|PAP|YUL|YYZ|PEK|CAN|PNH|
PNH|PTP,|PTP|YUL|YYZ|PEK|CAN|PNH|
PNH|PUJ,|PUJ|EWR|PEK|CAN|PNH|
PNH|SNU,|SNU|YYZ|PEK|CAN|PNH|
PNH|VRA,|VRA|YYZ|PEK|CAN|PNH|
PNH|YBC,|YBC|YUL|YYZ|PEK|CAN|PNH|
PNH|YBG,|YBG|YUL|YYZ|PEK|CAN|PNH|
PNH|YTZ,|YTZ|YUL|YYZ|PEK|CAN|PNH|
PNH|YUY,|YUY|YUL|YYZ|PEK|CAN|PNH|
PNH|YVO,|YVO|YUL|YYZ|PEK|CAN|PNH|
PNH|ZBF,|ZBF|YUL|YYZ|PEK|CAN|PNH|
PNH|ZRH,|ZRH|IST|CAN|PNH|
PNH|ZSA,|ZSA|YUL|YYZ|PEK|CAN|PNH|
PNH|AKL,|AKL|CAN|PNH|
PNH|HKG,|HKG|CAN|PNH|
PNH|HND,|HND|HNL|NRT|CAN|PNH|
PNH|HNL,|HNL|NRT|CAN|PNH|
PNH|MEX,|MEX|SFO|PVG|CAN|PNH|
PNH|OGG,|OGG|HNL|NRT|CAN|PNH|
PNH|PDX,|PDX|SEA|ICN|CAN|PNH|
PNH|PEK,|PEK|CAN|PNH|
PNH|PVG,|PVG|CAN|PNH|
PNH|PVR,|PVR|LAX|CAN|PNH|
PNH|SEA,|SEA|ICN|CAN|PNH|
PNH|SYD,|SYD|CAN|PNH|
PNH|YBL,|YBL|YVR|CAN|PNH|
PNH|YCD,|YCD|YVR|CAN|PNH|
PNH|YCG,|YCG|YVR|CAN|PNH|
PNH|YKA,|YKA|YVR|CAN|PNH|
PNH|YPR,|YPR|YVR|CAN|PNH|
PNH|YQZ,|YQZ|YVR|CAN|PNH|
PNH|YXC,|YXC|YVR|CAN|PNH|
PNH|YXJ,|YXJ|YVR|CAN|PNH|
PNH|YXS,|YXS|YVR|CAN|PNH|
PNH|YXT,|YXT|YVR|CAN|PNH|
PNH|YXY,|YXY|YVR|CAN|PNH|
PNH|YYD,|YYD|YVR|CAN|PNH|
PNH|YYF,|YYF|YVR|CAN|PNH|
PNH|YZP,|YZP|YVR|CAN|PNH|
PNH|YQT,|YQT|YWG|YVR|CAN|PNH|
PNH|SJD,|SJD|LAX|CAN|PNH|
PNH|YQF,|YQF|YYC|YVR|CAN|PNH|
PNH|YQL,|YQL|YYC|YVR|CAN|PNH|
PNH|YXH,|YXH|YYC|YVR|CAN|PNH|
PNH|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|PNH|
PNH|ANU,|ANU|EWR|PEK|CAN|PNH|
PNH|AUA,|AUA|EWR|PEK|CAN|PNH|
PNH|AUH,|AUH|IST|CAN|PNH|
PNH|BCN,|BCN|IST|CAN|PNH|
PNH|BDA,|BDA|EWR|PEK|CAN|PNH|
PNH|BGI,|BGI|YYZ|PEK|CAN|PNH|
PNH|BNA,|BNA|ORD|PEK|CAN|PNH|
PNH|BOG,|BOG|MIA|ORD|PEK|CAN|PNH|
PNH|BWI,|BWI|YYZ|PEK|CAN|PNH|
PNH|CLE,|CLE|YYZ|PEK|CAN|PNH|
PNH|CLT,|CLT|YYZ|PEK|CAN|PNH|
PNH|CMH,|CMH|ORD|PEK|CAN|PNH|
PNH|CVG,|CVG|ORD|PEK|CAN|PNH|
PNH|DFW,|DFW|YVR|CAN|PNH|
PNH|DTW,|DTW|PEK|CAN|PNH|
PNH|DUB,|DUB|IST|CAN|PNH|
PNH|FCO,|FCO|IST|CAN|PNH|
PNH|GCM,|GCM|YYZ|PEK|CAN|PNH|
PNH|GGT,|GGT|YYZ|PEK|CAN|PNH|
PNH|GND,|GND|YYZ|PEK|CAN|PNH|
PNH|GRU,|GRU|IST|CAN|PNH|
PNH|HAV,|HAV|YYZ|PEK|CAN|PNH|
PNH|IND,|IND|ORD|PEK|CAN|PNH|
PNH|JFK,|JFK|PEK|CAN|PNH|
PNH|KIN,|KIN|YYZ|PEK|CAN|PNH|
PNH|LIM,|LIM|IAH|YVR|CAN|PNH|
PNH|LIR,|LIR|IAH|YVR|CAN|PNH|
PNH|MCI,|MCI|DEN|YVR|CAN|PNH|
PNH|MDT,|MDT|YYZ|PEK|CAN|PNH|
PNH|MIA,|MIA|ORD|PEK|CAN|PNH|
PNH|MKE,|MKE|ORD|PEK|CAN|PNH|
PNH|MSP,|MSP|ORD|PEK|CAN|PNH|
PNH|NAS,|NAS|YYZ|PEK|CAN|PNH|
PNH|PHL,|PHL|YYZ|PEK|CAN|PNH|
PNH|PHX,|PHX|SFO|PVG|CAN|PNH|
PNH|PIT,|PIT|YYZ|PEK|CAN|PNH|
PNH|PLS,|PLS|EWR|PEK|CAN|PNH|
PNH|POP,|POP|EWR|PEK|CAN|PNH|
PNH|RDU,|RDU|YYZ|PEK|CAN|PNH|
PNH|ROC,|ROC|YYZ|PEK|CAN|PNH|
PNH|RSW,|RSW|ORD|PEK|CAN|PNH|
PNH|SAN,|SAN|LAX|CAN|PNH|
PNH|SJO,|SJO|IAH|YVR|CAN|PNH|
PNH|STL,|STL|ORD|PEK|CAN|PNH|
PNH|SYR,|SYR|YYZ|PEK|CAN|PNH|
PNH|TLV,|TLV|IST|CAN|PNH|
PNH|TPA,|TPA|ORD|PEK|CAN|PNH|
PNH|UVF,|UVF|EWR|PEK|CAN|PNH|
PNH|VIE,|VIE|IST|CAN|PNH|
PNH|YAM,|YAM|YYZ|PEK|CAN|PNH|
PNH|YGK,|YGK|YYZ|PEK|CAN|PNH|
PNH|YQG,|YQG|YYZ|PEK|CAN|PNH|
PNH|YSB,|YSB|YYZ|PEK|CAN|PNH|
PNH|YTS,|YTS|YYZ|PEK|CAN|PNH|
PNH|YYB,|YYB|YYZ|PEK|CAN|PNH|
PNH|YZR,|YZR|YYZ|PEK|CAN|PNH|
PNH|CAN,|CAN|PNH|
PNH|URC,|URC|CAN|PNH|
PNH|CTU,|CTU|CAN|PNH|
PNH|HGH,|HGH|CAN|PNH|
PNH|XMN,|XMN|CAN|PNH|
PNH|CGO,|CGO|CAN|PNH|
PNH|CSX,|CSX|CAN|PNH|
PNH|SHE,|SHE|CAN|PNH|
PNH|SJW,|SJW|CAN|PNH|
PNH|WUH,|WUH|CAN|PNH|
PNH|SZX,|SZX|MXZ|CAN|PNH|
PNH|CKG,|CKG|CAN|PNH|
PNH|KMG,|KMG|CAN|PNH|
PNH|FOC,|FOC|CAN|PNH|
PNH|NNG,|NNG|CAN|PNH|
PNH|SWA,|SWA|CAN|PNH|
PNH|ACX,|ACX|CAN|PNH|
PNH|AQG,|AQG|CAN|PNH|
PNH|AVA,|AVA|CAN|PNH|
PNH|BFJ,|BFJ|CAN|PNH|
PNH|BHY,|BHY|CAN|PNH|
PNH|BNE,|BNE|CAN|PNH|
PNH|CGD,|CGD|CAN|PNH|
PNH|CGK,|CGK|CAN|PNH|
PNH|CGQ,|CGQ|CAN|PNH|
PNH|CIH,|CIH|CAN|PNH|
PNH|CNX,|CNX|CAN|PNH|
PNH|CZX,|CZX|CAN|PNH|
PNH|DAC,|DAC|CAN|PNH|
PNH|DAD,|DAD|CAN|PNH|
PNH|DEL,|DEL|CAN|PNH|
PNH|DIG,|DIG|CAN|PNH|
PNH|DLC,|DLC|CAN|PNH|
PNH|DPS,|DPS|CAN|PNH|
PNH|DXB,|DXB|CAN|PNH|
PNH|DYG,|DYG|CAN|PNH|
PNH|FUG,|FUG|CAN|PNH|
PNH|FUK,|FUK|CAN|PNH|
PNH|HAK,|HAK|CAN|PNH|
PNH|HAN,|HAN|CAN|PNH|
PNH|HDG,|HDG|CAN|PNH|
PNH|HET,|HET|CAN|PNH|
PNH|HFE,|HFE|CAN|PNH|
PNH|HJJ,|HJJ|CAN|PNH|
