PNS|BRU,|BRU|YUL|YYZ|BNA|PNS|
PNS|OUA,|OUA|BRU|YUL|YYZ|BNA|PNS|
PNS|JED,|JED|FRA|YYZ|BNA|PNS|
PNS|CPH,|CPH|YYZ|BNA|PNS|
PNS|YYZ,|YYZ|BNA|PNS|
PNS|DEN,|DEN|IAH|PNS|
PNS|YUL,|YUL|YYZ|BNA|PNS|
PNS|NBO,|NBO|ZRH|YYZ|BNA|PNS|
PNS|ICN,|ICN|YVR|IAH|PNS|
PNS|NRT,|NRT|ORD|PNS|
PNS|YHZ,|YHZ|BOS|BNA|PNS|
PNS|YOW,|YOW|YYZ|BNA|PNS|
PNS|BJM,|BJM|BRU|YUL|YYZ|BNA|PNS|
PNS|COO,|COO|BRU|YUL|YYZ|BNA|PNS|
PNS|DKR,|DKR|IAD|BNA|PNS|
PNS|DLA,|DLA|BRU|YUL|YYZ|BNA|PNS|
PNS|KGL,|KGL|BRU|YUL|YYZ|BNA|PNS|
PNS|LAD,|LAD|BRU|YUL|YYZ|BNA|PNS|
PNS|ABJ,|ABJ|BRU|YUL|YYZ|BNA|PNS|
PNS|AMS,|AMS|EWR|BNA|PNS|
PNS|OSL,|OSL|EWR|BNA|PNS|
PNS|VNO,|VNO|CPH|YYZ|BNA|PNS|
PNS|WAW,|WAW|YYZ|BNA|PNS|
PNS|YYC,|YYC|ORD|PNS|
PNS|ATL,|ATL|TPA|PNS|
PNS|MSY,|MSY|HOU|PNS|
PNS|YEG,|YEG|ORD|PNS|
PNS|YMM,|YMM|YEG|ORD|PNS|
PNS|YQR,|YQR|ORD|PNS|
PNS|YVR,|YVR|IAH|PNS|
PNS|YWG,|YWG|ORD|PNS|
PNS|YXE,|YXE|ORD|PNS|
PNS|CKY,|CKY|DKR|IAD|BNA|PNS|
PNS|FIH,|FIH|DLA|BRU|YUL|YYZ|BNA|PNS|
PNS|SCL,|SCL|EZE|IAH|PNS|
PNS|LCA,|LCA|FRA|YYZ|BNA|PNS|
PNS|NAP,|NAP|FRA|YYZ|BNA|PNS|
PNS|VLC,|VLC|FRA|YYZ|BNA|PNS|
PNS|BKK,|BKK|CGO|PEK|ORD|PNS|
PNS|ADD,|ADD|JED|FRA|YYZ|BNA|PNS|
PNS|FRA,|FRA|YYZ|BNA|PNS|
PNS|IST,|IST|YYZ|BNA|PNS|
PNS|EBB,|EBB|KGL|BRU|YUL|YYZ|BNA|PNS|
PNS|YLW,|YLW|YYC|ORD|PNS|
PNS|YYT,|YYT|YHZ|BOS|BNA|PNS|
PNS|GUA,|GUA|IAH|PNS|
PNS|EWR,|EWR|BNA|PNS|
PNS|IAD,|IAD|BNA|PNS|
PNS|IAH,|IAH|PNS|
PNS|ORD,|ORD|PNS|
PNS|SOF,|SOF|MUC|YYZ|BNA|PNS|
PNS|YQB,|YQB|YYZ|BNA|PNS|
PNS|YXU,|YXU|YYZ|BNA|PNS|
PNS|EZE,|EZE|IAH|PNS|
PNS|YYJ,|YYJ|YVR|IAH|PNS|
PNS|YYY,|YYY|YUL|YYZ|BNA|PNS|
PNS|YQQ,|YQQ|YBL|YVR|IAH|PNS|
PNS|YYR,|YYR|YWK|YZV|YQB|YYZ|BNA|PNS|
PNS|LHR,|LHR|YYZ|BNA|PNS|
PNS|SFO,|SFO|IAH|PNS|
PNS|YQU,|YQU|YEG|ORD|PNS|
PNS|YZF,|YZF|YEG|ORD|PNS|
PNS|YGR,|YGR|YGP|YQB|YYZ|BNA|PNS|
PNS|YGP,|YGP|YQB|YYZ|BNA|PNS|
PNS|BOS,|BOS|BNA|PNS|
PNS|YDF,|YDF|YYZ|BNA|PNS|
PNS|YFC,|YFC|YYZ|BNA|PNS|
PNS|YQM,|YQM|EWR|BNA|PNS|
PNS|YQX,|YQX|YHZ|BOS|BNA|PNS|
PNS|YQY,|YQY|YHZ|BOS|BNA|PNS|
PNS|YSJ,|YSJ|YYZ|BNA|PNS|
PNS|YYG,|YYG|YHZ|BOS|BNA|PNS|
PNS|LAX,|LAX|IAH|PNS|
PNS|DCA,|DCA|CLE|BNA|PNS|
PNS|LGA,|LGA|BNA|PNS|
PNS|YZV,|YZV|YQB|YYZ|BNA|PNS|
PNS|YWL,|YWL|YVR|IAH|PNS|
PNS|AZS,|AZS|YYZ|BNA|PNS|
PNS|BDL,|BDL|IAD|BNA|PNS|
PNS|CCC,|CCC|YYZ|BNA|PNS|
PNS|CDG,|CDG|YYZ|BNA|PNS|
PNS|CUN,|CUN|IAH|PNS|
PNS|CZM,|CZM|IAH|PNS|
PNS|FDF,|FDF|YUL|YYZ|BNA|PNS|
PNS|FLL,|FLL|TPA|PNS|
PNS|GVA,|GVA|EWR|BNA|PNS|
PNS|HOG,|HOG|YYZ|BNA|PNS|
PNS|LAS,|LAS|IAH|PNS|
PNS|MBJ,|MBJ|IAH|PNS|
PNS|MCO,|MCO|PNS|
PNS|MUC,|MUC|YYZ|BNA|PNS|
PNS|PAP,|PAP|YUL|YYZ|BNA|PNS|
PNS|PTP,|PTP|YUL|YYZ|BNA|PNS|
PNS|PUJ,|PUJ|ATL|TPA|PNS|
PNS|SNU,|SNU|YYZ|BNA|PNS|
PNS|VRA,|VRA|YYZ|BNA|PNS|
PNS|YBC,|YBC|YUL|YYZ|BNA|PNS|
PNS|YBG,|YBG|YUL|YYZ|BNA|PNS|
PNS|YTZ,|YTZ|YUL|YYZ|BNA|PNS|
PNS|YUY,|YUY|YUL|YYZ|BNA|PNS|
PNS|YVO,|YVO|YUL|YYZ|BNA|PNS|
PNS|ZBF,|ZBF|YUL|YYZ|BNA|PNS|
PNS|ZRH,|ZRH|YYZ|BNA|PNS|
PNS|ZSA,|ZSA|YUL|YYZ|BNA|PNS|
PNS|AKL,|AKL|LAX|IAH|PNS|
PNS|HKG,|HKG|ORD|PNS|
PNS|HND,|HND|YVR|IAH|PNS|
PNS|HNL,|HNL|IAH|PNS|
PNS|MEX,|MEX|IAH|PNS|
PNS|OGG,|OGG|LAX|IAH|PNS|
PNS|PDX,|PDX|IAH|PNS|
PNS|PEK,|PEK|ORD|PNS|
PNS|PVG,|PVG|ORD|PNS|
PNS|PVR,|PVR|IAH|PNS|
PNS|SEA,|SEA|IAH|PNS|
PNS|SYD,|SYD|LAX|IAH|PNS|
PNS|YBL,|YBL|YVR|IAH|PNS|
PNS|YCD,|YCD|YVR|IAH|PNS|
PNS|YCG,|YCG|YYC|ORD|PNS|
PNS|YKA,|YKA|YYC|ORD|PNS|
PNS|YPR,|YPR|YVR|IAH|PNS|
PNS|YQZ,|YQZ|YVR|IAH|PNS|
PNS|YXC,|YXC|YYC|ORD|PNS|
PNS|YXJ,|YXJ|YYC|ORD|PNS|
PNS|YXS,|YXS|YYC|ORD|PNS|
PNS|YXT,|YXT|YVR|IAH|PNS|
PNS|YXY,|YXY|YVR|IAH|PNS|
PNS|YYD,|YYD|YVR|IAH|PNS|
PNS|YYF,|YYF|YVR|IAH|PNS|
PNS|YZP,|YZP|YVR|IAH|PNS|
PNS|YQT,|YQT|YYZ|BNA|PNS|
PNS|SJD,|SJD|IAH|PNS|
PNS|YQF,|YQF|YYC|ORD|PNS|
PNS|YQL,|YQL|YYC|ORD|PNS|
PNS|YXH,|YXH|YYC|ORD|PNS|
PNS|YWK,|YWK|YZV|YQB|YYZ|BNA|PNS|
PNS|ANU,|ANU|EWR|BNA|PNS|
PNS|AUA,|AUA|ATL|TPA|PNS|
PNS|AUH,|AUH|YYZ|BNA|PNS|
PNS|BCN,|BCN|EWR|BNA|PNS|
PNS|BDA,|BDA|EWR|BNA|PNS|
PNS|BGI,|BGI|YYZ|BNA|PNS|
PNS|BNA,|BNA|PNS|
PNS|BOG,|BOG|IAH|PNS|
PNS|BWI,|BWI|BNA|PNS|
PNS|CLE,|CLE|BNA|PNS|
PNS|CLT,|CLT|MCO|PNS|
PNS|CMH,|CMH|BNA|PNS|
PNS|CVG,|CVG|ORD|PNS|
PNS|DFW,|DFW|IAH|PNS|
PNS|DTW,|DTW|BNA|PNS|
PNS|DUB,|DUB|YYZ|BNA|PNS|
PNS|FCO,|FCO|EWR|BNA|PNS|
PNS|GCM,|GCM|IAH|PNS|
PNS|GGT,|GGT|FLL|TPA|PNS|
PNS|GND,|GND|YYZ|BNA|PNS|
PNS|GRU,|GRU|IAH|PNS|
PNS|HAV,|HAV|YYZ|BNA|PNS|
PNS|IND,|IND|ORD|PNS|
PNS|JFK,|JFK|IAD|BNA|PNS|
PNS|KIN,|KIN|YYZ|BNA|PNS|
PNS|LIM,|LIM|IAH|PNS|
PNS|LIR,|LIR|IAH|PNS|
PNS|MCI,|MCI|BNA|PNS|
PNS|MDT,|MDT|IAD|BNA|PNS|
PNS|MIA,|MIA|IAH|PNS|
PNS|MKE,|MKE|ORD|PNS|
PNS|MSP,|MSP|STL|BNA|PNS|
PNS|NAS,|NAS|ATL|TPA|PNS|
PNS|PHL,|PHL|BNA|PNS|
PNS|PHX,|PHX|IAH|PNS|
PNS|PIT,|PIT|BNA|PNS|
PNS|PLS,|PLS|EWR|BNA|PNS|
PNS|POP,|POP|EWR|BNA|PNS|
PNS|RDU,|RDU|BNA|PNS|
PNS|ROC,|ROC|CLE|BNA|PNS|
PNS|RSW,|RSW|MCO|PNS|
PNS|SAN,|SAN|IAH|PNS|
PNS|SJO,|SJO|IAH|PNS|
PNS|STL,|STL|BNA|PNS|
PNS|SYR,|SYR|CLE|BNA|PNS|
PNS|TLV,|TLV|YYZ|BNA|PNS|
PNS|TPA,|TPA|PNS|
PNS|UVF,|UVF|EWR|BNA|PNS|
PNS|VIE,|VIE|YYZ|BNA|PNS|
PNS|YAM,|YAM|YYZ|BNA|PNS|
PNS|YGK,|YGK|YYZ|BNA|PNS|
PNS|YQG,|YQG|YYZ|BNA|PNS|
PNS|YSB,|YSB|YYZ|BNA|PNS|
PNS|YTS,|YTS|YYZ|BNA|PNS|
PNS|YYB,|YYB|YYZ|BNA|PNS|
PNS|YZR,|YZR|YYZ|BNA|PNS|
PNS|CAN,|CAN|PEK|ORD|PNS|
PNS|URC,|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|CTU,|CTU|PEK|ORD|PNS|
PNS|HGH,|HGH|PEK|ORD|PNS|
PNS|XMN,|XMN|PEK|ORD|PNS|
PNS|CGO,|CGO|PEK|ORD|PNS|
PNS|CSX,|CSX|PEK|ORD|PNS|
PNS|SHE,|SHE|PEK|ORD|PNS|
PNS|SJW,|SJW|DLC|PEK|ORD|PNS|
PNS|WUH,|WUH|PEK|ORD|PNS|
PNS|SZX,|SZX|PEK|ORD|PNS|
PNS|CKG,|CKG|PEK|ORD|PNS|
PNS|KMG,|KMG|PEK|ORD|PNS|
PNS|FOC,|FOC|PEK|ORD|PNS|
PNS|NNG,|NNG|PEK|ORD|PNS|
PNS|SWA,|SWA|PEK|ORD|PNS|
PNS|ACX,|ACX|CAN|PEK|ORD|PNS|
PNS|AQG,|AQG|CAN|PEK|ORD|PNS|
PNS|AVA,|AVA|CAN|PEK|ORD|PNS|
PNS|BFJ,|BFJ|CAN|PEK|ORD|PNS|
PNS|BHY,|BHY|CGO|PEK|ORD|PNS|
PNS|BNE,|BNE|CAN|PEK|ORD|PNS|
PNS|CGD,|CGD|PEK|ORD|PNS|
PNS|CGK,|CGK|CAN|PEK|ORD|PNS|
PNS|CGQ,|CGQ|PEK|ORD|PNS|
PNS|CIH,|CIH|PEK|ORD|PNS|
PNS|CNX,|CNX|CAN|PEK|ORD|PNS|
PNS|CZX,|CZX|SHE|PEK|ORD|PNS|
PNS|DAC,|DAC|IST|YYZ|BNA|PNS|
PNS|DAD,|DAD|CAN|PEK|ORD|PNS|
PNS|DEL,|DEL|EWR|BNA|PNS|
PNS|DIG,|DIG|KMG|PEK|ORD|PNS|
PNS|DLC,|DLC|PEK|ORD|PNS|
PNS|DPS,|DPS|SZX|PEK|ORD|PNS|
PNS|DXB,|DXB|IAD|BNA|PNS|
PNS|DYG,|DYG|PEK|ORD|PNS|
PNS|FUG,|FUG|CAN|PEK|ORD|PNS|
PNS|FUK,|FUK|ICN|YVR|IAH|PNS|
PNS|HAK,|HAK|PEK|ORD|PNS|
PNS|HAN,|HAN|PEK|ORD|PNS|
PNS|HDG,|HDG|CAN|PEK|ORD|PNS|
PNS|HET,|HET|DLC|PEK|ORD|PNS|
PNS|HFE,|HFE|XIY|PEK|ORD|PNS|
PNS|HJJ,|HJJ|CSX|PEK|ORD|PNS|
PNS|HKT,|HKT|KWE|PEK|ORD|PNS|
PNS|HRB,|HRB|PEK|ORD|PNS|
PNS|HZH,|HZH|CAN|PEK|ORD|PNS|
PNS|JIU,|JIU|CAN|PEK|ORD|PNS|
PNS|JJN,|JJN|PEK|ORD|PNS|
PNS|JNG,|JNG|CAN|PEK|ORD|PNS|
PNS|KHN,|KHN|DLC|PEK|ORD|PNS|
PNS|KIX,|KIX|SFO|IAH|PNS|
PNS|KOW,|KOW|PEK|ORD|PNS|
PNS|KTM,|KTM|IST|YYZ|BNA|PNS|
PNS|KUL,|KUL|CAN|PEK|ORD|PNS|
PNS|KWE,|KWE|PEK|ORD|PNS|
PNS|KWL,|KWL|PEK|ORD|PNS|
PNS|LHW,|LHW|CGO|PEK|ORD|PNS|
PNS|LYA,|LYA|KHN|DLC|PEK|ORD|PNS|
PNS|LYG,|LYG|HSN|PEK|ORD|PNS|
PNS|LZH,|LZH|CAN|PEK|ORD|PNS|
PNS|MEL,|MEL|SYD|LAX|IAH|PNS|
PNS|MIG,|MIG|CSX|PEK|ORD|PNS|
PNS|MLE,|MLE|IST|YYZ|BNA|PNS|
PNS|MNL,|MNL|XMN|PEK|ORD|PNS|
PNS|MXZ,|MXZ|CAN|PEK|ORD|PNS|
PNS|NAO,|NAO|PEK|ORD|PNS|
PNS|NGB,|NGB|PEK|ORD|PNS|
PNS|NKG,|NKG|DLC|PEK|ORD|PNS|
PNS|NNY,|NNY|CGO|PEK|ORD|PNS|
PNS|PEN,|PEN|CAN|PEK|ORD|PNS|
PNS|PER,|PER|CAN|PEK|ORD|PNS|
PNS|PNH,|PNH|CAN|PEK|ORD|PNS|
PNS|REP,|REP|CAN|PEK|ORD|PNS|
PNS|RGN,|RGN|CAN|PEK|ORD|PNS|
PNS|SGN,|SGN|CAN|PEK|ORD|PNS|
PNS|SHA,|SHA|PEK|ORD|PNS|
PNS|SIN,|SIN|HKG|ORD|PNS|
PNS|SVO,|SVO|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|SYX,|SYX|PEK|ORD|PNS|
PNS|TAO,|TAO|DLC|PEK|ORD|PNS|
PNS|TEN,|TEN|PEK|ORD|PNS|
PNS|TNA,|TNA|DLC|PEK|ORD|PNS|
PNS|TPE,|TPE|PVG|ORD|PNS|
PNS|TSN,|TSN|DLC|PEK|ORD|PNS|
PNS|TXN,|TXN|DLC|PEK|ORD|PNS|
PNS|TYN,|TYN|DAT|CIH|PEK|ORD|PNS|
PNS|WNZ,|WNZ|CGO|PEK|ORD|PNS|
PNS|WUX,|WUX|CAN|PEK|ORD|PNS|
PNS|XFN,|XFN|XMN|PEK|ORD|PNS|
PNS|XIY,|XIY|PEK|ORD|PNS|
PNS|XUZ,|XUZ|LYG|HSN|PEK|ORD|PNS|
PNS|YIH,|YIH|CKG|PEK|ORD|PNS|
PNS|YIW,|YIW|PEK|ORD|PNS|
PNS|YNT,|YNT|SHE|PEK|ORD|PNS|
PNS|YNZ,|YNZ|DLC|PEK|ORD|PNS|
PNS|YTY,|YTY|DLC|PEK|ORD|PNS|
PNS|ZHA,|ZHA|CAN|PEK|ORD|PNS|
PNS|ZYI,|ZYI|PEK|ORD|PNS|
PNS|BAV,|BAV|CGO|PEK|ORD|PNS|
PNS|CJU,|CJU|DLC|PEK|ORD|PNS|
PNS|DSN,|DSN|CGO|PEK|ORD|PNS|
PNS|HMI,|HMI|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|INC,|INC|PEK|ORD|PNS|
PNS|KHH,|KHH|CGO|PEK|ORD|PNS|
PNS|UYN,|UYN|CGO|PEK|ORD|PNS|
PNS|XNN,|XNN|PEK|ORD|PNS|
PNS|ZUH,|ZUH|PEK|ORD|PNS|
PNS|YNJ,|YNJ|ICN|YVR|IAH|PNS|
PNS|DAT,|DAT|CIH|PEK|ORD|PNS|
PNS|JHG,|JHG|CKG|PEK|ORD|PNS|
PNS|LJG,|LJG|CKG|PEK|ORD|PNS|
PNS|LXA,|LXA|XIY|PEK|ORD|PNS|
PNS|YCU,|YCU|CSX|PEK|ORD|PNS|
PNS|LZO,|LZO|CSX|PEK|ORD|PNS|
PNS|MDG,|MDG|ICN|YVR|IAH|PNS|
PNS|NGO,|NGO|ICN|YVR|IAH|PNS|
PNS|TOY,|TOY|DLC|PEK|ORD|PNS|
PNS|MFM,|MFM|XMN|PEK|ORD|PNS|
PNS|TGO,|TGO|HET|DLC|PEK|ORD|PNS|
PNS|XIL,|XIL|HET|DLC|PEK|ORD|PNS|
PNS|HEK,|HEK|HRB|PEK|ORD|PNS|
PNS|KIJ,|KIJ|HRB|PEK|ORD|PNS|
PNS|LDS,|LDS|HRB|PEK|ORD|PNS|
PNS|OHE,|OHE|HRB|PEK|ORD|PNS|
PNS|HSN,|HSN|PEK|ORD|PNS|
PNS|DLU,|DLU|KMG|PEK|ORD|PNS|
PNS|SYM,|SYM|KMG|PEK|ORD|PNS|
PNS|ZAT,|ZAT|KMG|PEK|ORD|PNS|
PNS|LUN,|LUN|NBO|ZRH|YYZ|BNA|PNS|
PNS|AOG,|AOG|PEK|ORD|PNS|
PNS|GMP,|GMP|PEK|ORD|PNS|
PNS|ISB,|ISB|IST|YYZ|BNA|PNS|
PNS|TAS,|TAS|IST|YYZ|BNA|PNS|
PNS|WUS,|WUS|PEK|ORD|PNS|
PNS|JMU,|JMU|PVG|ORD|PNS|
PNS|NDG,|NDG|PVG|ORD|PNS|
PNS|JXA,|JXA|SHE|PEK|ORD|PNS|
PNS|PUS,|PUS|SHE|PEK|ORD|PNS|
PNS|BKI,|BKI|SZX|PEK|ORD|PNS|
PNS|AKU,|AKU|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|ALA,|ALA|TSE|FRA|YYZ|BNA|PNS|
PNS|ASB,|ASB|GYD|FRA|YYZ|BNA|PNS|
PNS|DNH,|DNH|XIY|PEK|ORD|PNS|
PNS|DYU,|DYU|IST|YYZ|BNA|PNS|
PNS|FRU,|FRU|IST|YYZ|BNA|PNS|
PNS|GYD,|GYD|FRA|YYZ|BNA|PNS|
PNS|HTN,|HTN|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|IKA,|IKA|SAW|VIE|YYZ|BNA|PNS|
PNS|KCA,|KCA|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|KHG,|KHG|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|KRL,|KRL|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|KRY,|KRY|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|LBD,|LBD|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|NLT,|NLT|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|OSS,|OSS|IST|YYZ|BNA|PNS|
PNS|OVB,|OVB|IST|YYZ|BNA|PNS|
PNS|TBS,|TBS|SAW|VIE|YYZ|BNA|PNS|
PNS|TCG,|TCG|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|TSE,|TSE|FRA|YYZ|BNA|PNS|
PNS|YIN,|YIN|URC|TSE|FRA|YYZ|BNA|PNS|
PNS|ENH,|ENH|WUH|PEK|ORD|PNS|
PNS|ENY,|ENY|XIY|PEK|ORD|PNS|
PNS|WXN,|WXN|XIY|PEK|ORD|PNS|
PNS|BLL,|BLL|IST|YYZ|BNA|PNS|
PNS|ESB,|ESB|VIE|YYZ|BNA|PNS|
PNS|SAW,|SAW|VIE|YYZ|BNA|PNS|
PNS|HAM,|HAM|EWR|BNA|PNS|
PNS|HRE,|HRE|ADD|JED|FRA|YYZ|BNA|PNS|
PNS|JUB,|JUB|CAI|JFK|IAD|BNA|PNS|
PNS|SSG,|SSG|DLA|BRU|YUL|YYZ|BNA|PNS|
PNS|BGW,|BGW|ESB|VIE|YYZ|BNA|PNS|
PNS|EBL,|EBL|IST|YYZ|BNA|PNS|
PNS|VKO,|VKO|IST|YYZ|BNA|PNS|
PNS|MCT,|MCT|AUH|YYZ|BNA|PNS|
PNS|AYT,|AYT|IST|YYZ|BNA|PNS|
PNS|SCQ,|SCQ|BIO|IST|YYZ|BNA|PNS|
PNS|AAL,|AAL|IST|YYZ|BNA|PNS|
PNS|AOE,|AOE|BRU|YUL|YYZ|BNA|PNS|
PNS|JNB,|JNB|DKR|IAD|BNA|PNS|
PNS|LBV,|LBV|DLA|BRU|YUL|YYZ|BNA|PNS|
PNS|ADA,|ADA|SAW|VIE|YYZ|BNA|PNS|
PNS|ADB,|ADB|HAM|EWR|BNA|PNS|
PNS|ADF,|ADF|ESB|VIE|YYZ|BNA|PNS|
PNS|AJI,|AJI|ESB|VIE|YYZ|BNA|PNS|
PNS|BAL,|BAL|ESB|VIE|YYZ|BNA|PNS|
PNS|BJV,|BJV|IST|YYZ|BNA|PNS|
PNS|CKZ,|CKZ|ESB|VIE|YYZ|BNA|PNS|
PNS|DIY,|DIY|ESB|VIE|YYZ|BNA|PNS|
PNS|ECN,|ECN|IST|YYZ|BNA|PNS|
PNS|ERC,|ERC|ESB|VIE|YYZ|BNA|PNS|
PNS|ERZ,|ERZ|ESB|VIE|YYZ|BNA|PNS|
PNS|EZS,|EZS|ESB|VIE|YYZ|BNA|PNS|
PNS|GNY,|GNY|ESB|VIE|YYZ|BNA|PNS|
PNS|GZP,|GZP|ESB|VIE|YYZ|BNA|PNS|
