PRG|BRU,|BRU|PRG|
PRG|OUA,|OUA|BRU|PRG|
PRG|JED,|JED|IST|PRG|
PRG|CPH,|CPH|IST|PRG|
PRG|YYZ,|YYZ|BRU|PRG|
PRG|DEN,|DEN|ORD|BRU|PRG|
PRG|YUL,|YUL|BRU|PRG|
PRG|NBO,|NBO|IST|PRG|
PRG|ICN,|ICN|IST|PRG|
PRG|NRT,|NRT|IST|PRG|
PRG|YHZ,|YHZ|YUL|BRU|PRG|
PRG|YOW,|YOW|YUL|BRU|PRG|
PRG|BJM,|BJM|BRU|PRG|
PRG|COO,|COO|BRU|PRG|
PRG|DKR,|DKR|BRU|PRG|
PRG|DLA,|DLA|BRU|PRG|
PRG|KGL,|KGL|IST|PRG|
PRG|LAD,|LAD|BRU|PRG|
PRG|ABJ,|ABJ|BRU|PRG|
PRG|AMS,|AMS|IST|PRG|
PRG|OSL,|OSL|IST|PRG|
PRG|VNO,|VNO|IST|PRG|
PRG|WAW,|WAW|IST|PRG|
PRG|YYC,|YYC|YUL|BRU|PRG|
PRG|ATL,|ATL|IAD|BRU|PRG|
PRG|MSY,|MSY|IAD|BRU|PRG|
PRG|YEG,|YEG|YUL|BRU|PRG|
PRG|YMM,|YMM|YYZ|BRU|PRG|
PRG|YQR,|YQR|YWG|YUL|BRU|PRG|
PRG|YVR,|YVR|YUL|BRU|PRG|
PRG|YWG,|YWG|YUL|BRU|PRG|
PRG|YXE,|YXE|YWG|YUL|BRU|PRG|
PRG|CKY,|CKY|DKR|BRU|PRG|
PRG|FIH,|FIH|IST|PRG|
PRG|SCL,|SCL|EZE|GRU|IST|PRG|
PRG|LCA,|LCA|FRA|IST|PRG|
PRG|NAP,|NAP|IST|PRG|
PRG|VLC,|VLC|IST|PRG|
PRG|BKK,|BKK|IST|PRG|
PRG|ADD,|ADD|IST|PRG|
PRG|FRA,|FRA|IST|PRG|
PRG|IST,|IST|PRG|
PRG|EBB,|EBB|KGL|IST|PRG|
PRG|YLW,|YLW|YYC|YUL|BRU|PRG|
PRG|YYT,|YYT|LHR|IST|PRG|
PRG|GUA,|GUA|EWR|BRU|PRG|
PRG|EWR,|EWR|BRU|PRG|
PRG|IAD,|IAD|BRU|PRG|
PRG|IAH,|IAH|YUL|BRU|PRG|
PRG|ORD,|ORD|BRU|PRG|
PRG|SOF,|SOF|IST|PRG|
PRG|YQB,|YQB|YUL|BRU|PRG|
PRG|YXU,|YXU|YYZ|BRU|PRG|
