PTY|BRU,|BRU|JFK|PTY|
PTY|OUA,|OUA|BRU|JFK|PTY|
PTY|JED,|JED|FRA|MIA|PTY|
PTY|CPH,|CPH|AMS|EWR|PTY|
PTY|YYZ,|YYZ|MIA|PTY|
PTY|DEN,|DEN|IAH|PTY|
PTY|YUL,|YUL|EWR|PTY|
PTY|NBO,|NBO|ZRH|MIA|PTY|
PTY|ICN,|ICN|YVR|IAH|PTY|
PTY|NRT,|NRT|IAH|PTY|
PTY|YHZ,|YHZ|BOS|PTY|
PTY|YOW,|YOW|IAD|PTY|
PTY|BJM,|BJM|BRU|JFK|PTY|
PTY|COO,|COO|BRU|JFK|PTY|
PTY|DKR,|DKR|IAD|PTY|
PTY|DLA,|DLA|BRU|JFK|PTY|
PTY|KGL,|KGL|BRU|JFK|PTY|
PTY|LAD,|LAD|BRU|JFK|PTY|
PTY|ABJ,|ABJ|BRU|JFK|PTY|
PTY|AMS,|AMS|EWR|PTY|
PTY|OSL,|OSL|EWR|PTY|
PTY|VNO,|VNO|CPH|AMS|EWR|PTY|
PTY|WAW,|WAW|CPH|AMS|EWR|PTY|
PTY|YYC,|YYC|IAH|PTY|
PTY|ATL,|ATL|MCO|PTY|
PTY|MSY,|MSY|MIA|PTY|
PTY|YEG,|YEG|IAH|PTY|
PTY|YMM,|YMM|DEN|IAH|PTY|
PTY|YQR,|YQR|ORD|PTY|
PTY|YVR,|YVR|IAH|PTY|
PTY|YWG,|YWG|ORD|PTY|
PTY|YXE,|YXE|ORD|PTY|
PTY|CKY,|CKY|DKR|IAD|PTY|
PTY|FIH,|FIH|DLA|BRU|JFK|PTY|
PTY|SCL,|SCL|EZE|IAH|PTY|
PTY|LCA,|LCA|FRA|MIA|PTY|
PTY|NAP,|NAP|FRA|MIA|PTY|
PTY|VLC,|VLC|FRA|MIA|PTY|
PTY|BKK,|BKK|CGO|PEK|ORD|PTY|
PTY|ADD,|ADD|IST|ZRH|MIA|PTY|
PTY|FRA,|FRA|MIA|PTY|
PTY|IST,|IST|ZRH|MIA|PTY|
PTY|EBB,|EBB|KGL|BRU|JFK|PTY|
PTY|YLW,|YLW|YYC|IAH|PTY|
PTY|YYT,|YYT|YHZ|BOS|PTY|
PTY|GUA,|GUA|MIA|PTY|
PTY|EWR,|EWR|PTY|
PTY|IAD,|IAD|PTY|
PTY|IAH,|IAH|PTY|
PTY|ORD,|ORD|PTY|
PTY|SOF,|SOF|MUC|BOS|PTY|
PTY|YQB,|YQB|EWR|PTY|
PTY|YXU,|YXU|YYZ|MIA|PTY|
PTY|EZE,|EZE|IAH|PTY|
PTY|YYJ,|YYJ|YVR|IAH|PTY|
PTY|YYY,|YYY|YUL|EWR|PTY|
PTY|YQQ,|YQQ|YBL|YVR|IAH|PTY|
PTY|YYR,|YYR|YHZ|BOS|PTY|
PTY|LHR,|LHR|YHZ|BOS|PTY|
PTY|SFO,|SFO|LAS|PTY|
PTY|YQU,|YQU|YYC|IAH|PTY|
PTY|YZF,|YZF|YEG|IAH|PTY|
PTY|YGR,|YGR|YGP|YQB|EWR|PTY|
PTY|YGP,|YGP|YQB|EWR|PTY|
PTY|BOS,|BOS|PTY|
PTY|YDF,|YDF|YHZ|BOS|PTY|
PTY|YFC,|YFC|YUL|EWR|PTY|
PTY|YQM,|YQM|EWR|PTY|
PTY|YQX,|YQX|YHZ|BOS|PTY|
PTY|YQY,|YQY|YHZ|BOS|PTY|
PTY|YSJ,|YSJ|YHZ|BOS|PTY|
PTY|YYG,|YYG|YHZ|BOS|PTY|
PTY|LAX,|LAX|PTY|
PTY|DCA,|DCA|ATL|MCO|PTY|
PTY|LGA,|LGA|IAD|PTY|
PTY|YZV,|YZV|YQB|EWR|PTY|
PTY|YWL,|YWL|YVR|IAH|PTY|
PTY|AZS,|AZS|YYZ|MIA|PTY|
PTY|BDL,|BDL|IAD|PTY|
PTY|CCC,|CCC|YYZ|MIA|PTY|
PTY|CDG,|CDG|EWR|PTY|
PTY|CUN,|CUN|IAH|PTY|
PTY|CZM,|CZM|IAH|PTY|
PTY|FDF,|FDF|YUL|EWR|PTY|
PTY|FLL,|FLL|MCO|PTY|
PTY|GVA,|GVA|JFK|PTY|
PTY|HOG,|HOG|YYZ|MIA|PTY|
PTY|LAS,|LAS|PTY|
PTY|MBJ,|MBJ|ATL|MCO|PTY|
PTY|MCO,|MCO|PTY|
PTY|MUC,|MUC|BOS|PTY|
PTY|PAP,|PAP|YUL|EWR|PTY|
PTY|PTP,|PTP|YUL|EWR|PTY|
PTY|PUJ,|PUJ|ATL|MCO|PTY|
PTY|SNU,|SNU|YYZ|MIA|PTY|
PTY|VRA,|VRA|YYZ|MIA|PTY|
PTY|YBC,|YBC|YUL|EWR|PTY|
PTY|YBG,|YBG|YUL|EWR|PTY|
PTY|YTZ,|YTZ|YUL|EWR|PTY|
PTY|YUY,|YUY|YUL|EWR|PTY|
PTY|YVO,|YVO|YUL|EWR|PTY|
PTY|ZBF,|ZBF|YUL|EWR|PTY|
PTY|ZRH,|ZRH|MIA|PTY|
PTY|ZSA,|ZSA|YUL|EWR|PTY|
PTY|AKL,|AKL|LAX|PTY|
PTY|HKG,|HKG|ORD|PTY|
PTY|HND,|HND|YVR|IAH|PTY|
PTY|HNL,|HNL|LAX|PTY|
PTY|MEX,|MEX|IAH|PTY|
PTY|OGG,|OGG|LAX|PTY|
PTY|PDX,|PDX|IAH|PTY|
PTY|PEK,|PEK|ORD|PTY|
PTY|PVG,|PVG|YVR|IAH|PTY|
PTY|PVR,|PVR|IAH|PTY|
PTY|SEA,|SEA|IAH|PTY|
PTY|SYD,|SYD|LAX|PTY|
PTY|YBL,|YBL|YVR|IAH|PTY|
PTY|YCD,|YCD|YVR|IAH|PTY|
PTY|YCG,|YCG|YYC|IAH|PTY|
PTY|YKA,|YKA|YYC|IAH|PTY|
PTY|YPR,|YPR|YVR|IAH|PTY|
PTY|YQZ,|YQZ|YVR|IAH|PTY|
PTY|YXC,|YXC|YYC|IAH|PTY|
PTY|YXJ,|YXJ|YYC|IAH|PTY|
PTY|YXS,|YXS|YYC|IAH|PTY|
PTY|YXT,|YXT|YVR|IAH|PTY|
PTY|YXY,|YXY|YVR|IAH|PTY|
PTY|YYD,|YYD|YVR|IAH|PTY|
PTY|YYF,|YYF|YVR|IAH|PTY|
PTY|YZP,|YZP|YVR|IAH|PTY|
PTY|YQT,|YQT|YYZ|MIA|PTY|
PTY|SJD,|SJD|IAH|PTY|
PTY|YQF,|YQF|YYC|IAH|PTY|
PTY|YQL,|YQL|YYC|IAH|PTY|
PTY|YXH,|YXH|YYC|IAH|PTY|
