PUB|BRU,|BRU|ORD|DEN|PUB|
PUB|OUA,|OUA|BRU|ORD|DEN|PUB|
PUB|JED,|JED|FRA|DEN|PUB|
PUB|CPH,|CPH|YYZ|DEN|PUB|
PUB|YYZ,|YYZ|DEN|PUB|
PUB|DEN,|DEN|PUB|
PUB|YUL,|YUL|DEN|PUB|
PUB|NBO,|NBO|ZRH|ORD|DEN|PUB|
PUB|ICN,|ICN|YVR|DEN|PUB|
PUB|NRT,|NRT|DEN|PUB|
PUB|YHZ,|YHZ|YUL|DEN|PUB|
PUB|YOW,|YOW|YYZ|DEN|PUB|
PUB|BJM,|BJM|BRU|ORD|DEN|PUB|
PUB|COO,|COO|BRU|ORD|DEN|PUB|
PUB|DKR,|DKR|IAD|DEN|PUB|
PUB|DLA,|DLA|BRU|ORD|DEN|PUB|
PUB|KGL,|KGL|BRU|ORD|DEN|PUB|
PUB|LAD,|LAD|BRU|ORD|DEN|PUB|
PUB|ABJ,|ABJ|BRU|ORD|DEN|PUB|
PUB|AMS,|AMS|ORD|DEN|PUB|
PUB|OSL,|OSL|EWR|DEN|PUB|
PUB|VNO,|VNO|CPH|YYZ|DEN|PUB|
PUB|WAW,|WAW|YYZ|DEN|PUB|
PUB|YYC,|YYC|DEN|PUB|
PUB|ATL,|ATL|DEN|PUB|
PUB|MSY,|MSY|DEN|PUB|
PUB|YEG,|YEG|DEN|PUB|
PUB|YMM,|YMM|DEN|PUB|
PUB|YQR,|YQR|DEN|PUB|
PUB|YVR,|YVR|DEN|PUB|
PUB|YWG,|YWG|DEN|PUB|
PUB|YXE,|YXE|DEN|PUB|
PUB|CKY,|CKY|DKR|IAD|DEN|PUB|
PUB|FIH,|FIH|DLA|BRU|ORD|DEN|PUB|
PUB|SCL,|SCL|EZE|IAH|DEN|PUB|
PUB|LCA,|LCA|FRA|DEN|PUB|
PUB|NAP,|NAP|FRA|DEN|PUB|
PUB|VLC,|VLC|FRA|DEN|PUB|
PUB|BKK,|BKK|CGO|PEK|YVR|DEN|PUB|
PUB|ADD,|ADD|JED|FRA|DEN|PUB|
PUB|FRA,|FRA|DEN|PUB|
PUB|IST,|IST|FRA|DEN|PUB|
PUB|EBB,|EBB|KGL|BRU|ORD|DEN|PUB|
PUB|YLW,|YLW|YYC|DEN|PUB|
PUB|YYT,|YYT|YUL|DEN|PUB|
PUB|GUA,|GUA|IAH|DEN|PUB|
PUB|EWR,|EWR|DEN|PUB|
