PVG|BRU,|BRU|IST|PVG|
PVG|OUA,|OUA|NIM|IST|PVG|
PVG|JED,|JED|IST|PVG|
PVG|CPH,|CPH|AMS|PVG|
PVG|YYZ,|YYZ|PVG|
PVG|DEN,|DEN|YVR|PVG|
PVG|YUL,|YUL|YYZ|PVG|
PVG|NBO,|NBO|CAN|PVG|
PVG|ICN,|ICN|PVG|
PVG|NRT,|NRT|ICN|PVG|
PVG|YHZ,|YHZ|YYZ|PVG|
PVG|YOW,|YOW|YYZ|PVG|
PVG|BJM,|BJM|BRU|IST|PVG|
PVG|COO,|COO|BRU|IST|PVG|
PVG|DKR,|DKR|BRU|IST|PVG|
PVG|DLA,|DLA|IST|PVG|
PVG|KGL,|KGL|IST|PVG|
PVG|LAD,|LAD|BRU|IST|PVG|
PVG|ABJ,|ABJ|OUA|NIM|IST|PVG|
PVG|AMS,|AMS|PVG|
PVG|OSL,|OSL|CPH|AMS|PVG|
PVG|VNO,|VNO|IST|PVG|
PVG|WAW,|WAW|IST|PVG|
PVG|YYC,|YYC|YVR|PVG|
PVG|ATL,|ATL|ORD|PVG|
PVG|MSY,|MSY|DEN|YVR|PVG|
PVG|YEG,|YEG|YVR|PVG|
PVG|YMM,|YMM|YVR|PVG|
PVG|YQR,|YQR|YVR|PVG|
PVG|YVR,|YVR|PVG|
PVG|YWG,|YWG|YVR|PVG|
PVG|YXE,|YXE|YVR|PVG|
PVG|CKY,|CKY|DKR|BRU|IST|PVG|
PVG|FIH,|FIH|IST|PVG|
PVG|SCL,|SCL|YYZ|PVG|
PVG|LCA,|LCA|FRA|TSE|URC|PVG|
PVG|NAP,|NAP|IST|PVG|
PVG|VLC,|VLC|FRA|TSE|URC|PVG|
PVG|BKK,|BKK|CAN|PVG|
PVG|ADD,|ADD|IST|PVG|
PVG|FRA,|FRA|TSE|URC|PVG|
PVG|IST,|IST|PVG|
PVG|EBB,|EBB|KGL|IST|PVG|
PVG|YLW,|YLW|YVR|PVG|
PVG|YYT,|YYT|YYZ|PVG|
PVG|GUA,|GUA|IAH|YVR|PVG|
PVG|EWR,|EWR|PVG|
PVG|IAD,|IAD|YYZ|PVG|
PVG|IAH,|IAH|YVR|PVG|
PVG|ORD,|ORD|PVG|
PVG|SOF,|SOF|IST|PVG|
PVG|YQB,|YQB|YYZ|PVG|
PVG|YXU,|YXU|YYZ|PVG|
PVG|EZE,|EZE|GRU|IST|PVG|
PVG|YYJ,|YYJ|YVR|PVG|
PVG|YYY,|YYY|YUL|YYZ|PVG|
PVG|YQQ,|YQQ|YBL|YVR|PVG|
PVG|YYR,|YYR|YWK|YZV|YQB|YYZ|PVG|
PVG|LHR,|LHR|IST|PVG|
PVG|SFO,|SFO|PVG|
PVG|YQU,|YQU|YEG|YVR|PVG|
PVG|YZF,|YZF|YEG|YVR|PVG|
PVG|YGR,|YGR|YGP|YQB|YYZ|PVG|
PVG|YGP,|YGP|YQB|YYZ|PVG|
PVG|BOS,|BOS|YYZ|PVG|
PVG|YDF,|YDF|YYZ|PVG|
PVG|YFC,|YFC|YYZ|PVG|
PVG|YQM,|YQM|YYZ|PVG|
PVG|YQX,|YQX|YHZ|YYZ|PVG|
PVG|YQY,|YQY|YYZ|PVG|
PVG|YSJ,|YSJ|YYZ|PVG|
PVG|YYG,|YYG|YYZ|PVG|
PVG|LAX,|LAX|PVG|
PVG|DCA,|DCA|YYZ|PVG|
PVG|LGA,|LGA|YYZ|PVG|
PVG|YZV,|YZV|YQB|YYZ|PVG|
PVG|YWL,|YWL|YVR|PVG|
PVG|AZS,|AZS|YYZ|PVG|
PVG|BDL,|BDL|YYZ|PVG|
PVG|CCC,|CCC|YYZ|PVG|
PVG|CDG,|CDG|IST|PVG|
PVG|CUN,|CUN|YVR|PVG|
PVG|CZM,|CZM|IAH|YVR|PVG|
PVG|FDF,|FDF|YUL|YYZ|PVG|
PVG|FLL,|FLL|ORD|PVG|
PVG|GVA,|GVA|IST|PVG|
PVG|HOG,|HOG|YYZ|PVG|
PVG|LAS,|LAS|SFO|PVG|
PVG|MBJ,|MBJ|ATL|ORD|PVG|
PVG|MCO,|MCO|ORD|PVG|
PVG|MUC,|MUC|IST|PVG|
PVG|PAP,|PAP|YUL|YYZ|PVG|
PVG|PTP,|PTP|YUL|YYZ|PVG|
PVG|PUJ,|PUJ|EWR|PVG|
PVG|SNU,|SNU|YYZ|PVG|
PVG|VRA,|VRA|YYZ|PVG|
PVG|YBC,|YBC|YUL|YYZ|PVG|
PVG|YBG,|YBG|YUL|YYZ|PVG|
PVG|YTZ,|YTZ|YUL|YYZ|PVG|
PVG|YUY,|YUY|YUL|YYZ|PVG|
PVG|YVO,|YVO|YUL|YYZ|PVG|
PVG|ZBF,|ZBF|YUL|YYZ|PVG|
PVG|ZRH,|ZRH|IST|PVG|
PVG|ZSA,|ZSA|YUL|YYZ|PVG|
PVG|AKL,|AKL|CAN|PVG|
PVG|HKG,|HKG|CAN|PVG|
PVG|HND,|HND|HNL|NRT|ICN|PVG|
PVG|HNL,|HNL|NRT|ICN|PVG|
PVG|MEX,|MEX|SFO|PVG|
PVG|OGG,|OGG|HNL|NRT|ICN|PVG|
PVG|PDX,|PDX|SEA|ICN|PVG|
PVG|PEK,|PEK|PVG|
PVG|PVR,|PVR|LAX|PVG|
PVG|SEA,|SEA|ICN|PVG|
PVG|SYD,|SYD|CAN|PVG|
PVG|YBL,|YBL|YVR|PVG|
PVG|YCD,|YCD|YVR|PVG|
PVG|YCG,|YCG|YVR|PVG|
PVG|YKA,|YKA|YVR|PVG|
PVG|YPR,|YPR|YVR|PVG|
PVG|YQZ,|YQZ|YVR|PVG|
PVG|YXC,|YXC|YVR|PVG|
PVG|YXJ,|YXJ|YVR|PVG|
PVG|YXS,|YXS|YVR|PVG|
PVG|YXT,|YXT|YVR|PVG|
PVG|YXY,|YXY|YVR|PVG|
PVG|YYD,|YYD|YVR|PVG|
PVG|YYF,|YYF|YVR|PVG|
PVG|YZP,|YZP|YVR|PVG|
PVG|YQT,|YQT|YWG|YVR|PVG|
PVG|SJD,|SJD|LAX|PVG|
PVG|YQF,|YQF|YYC|YVR|PVG|
PVG|YQL,|YQL|YYC|YVR|PVG|
PVG|YXH,|YXH|YYC|YVR|PVG|
PVG|YWK,|YWK|YZV|YQB|YYZ|PVG|
PVG|ANU,|ANU|EWR|PVG|
PVG|AUA,|AUA|YYZ|PVG|
PVG|AUH,|AUH|IST|PVG|
PVG|BCN,|BCN|IST|PVG|
PVG|BDA,|BDA|EWR|PVG|
PVG|BGI,|BGI|YYZ|PVG|
PVG|BNA,|BNA|ORD|PVG|
PVG|BOG,|BOG|MIA|ORD|PVG|
PVG|BWI,|BWI|YYZ|PVG|
PVG|CLE,|CLE|YYZ|PVG|
PVG|CLT,|CLT|ORD|PVG|
PVG|CMH,|CMH|ORD|PVG|
PVG|CVG,|CVG|ORD|PVG|
PVG|DFW,|DFW|YVR|PVG|
PVG|DTW,|DTW|PVG|
PVG|DUB,|DUB|IST|PVG|
PVG|FCO,|FCO|IST|PVG|
PVG|GCM,|GCM|IAH|YVR|PVG|
PVG|GGT,|GGT|YYZ|PVG|
PVG|GND,|GND|YYZ|PVG|
PVG|GRU,|GRU|IST|PVG|
PVG|HAV,|HAV|YYZ|PVG|
PVG|IND,|IND|ORD|PVG|
PVG|JFK,|JFK|ICN|PVG|
PVG|KIN,|KIN|YYZ|PVG|
PVG|LIM,|LIM|IAH|YVR|PVG|
PVG|LIR,|LIR|IAH|YVR|PVG|
PVG|MCI,|MCI|DEN|YVR|PVG|
PVG|MDT,|MDT|YYZ|PVG|
PVG|MIA,|MIA|ORD|PVG|
PVG|MKE,|MKE|ORD|PVG|
PVG|MSP,|MSP|ORD|PVG|
PVG|NAS,|NAS|ORD|PVG|
PVG|PHL,|PHL|YYZ|PVG|
PVG|PHX,|PHX|SFO|PVG|
PVG|PIT,|PIT|YYZ|PVG|
PVG|PLS,|PLS|YYZ|PVG|
PVG|POP,|POP|YYZ|PVG|
PVG|RDU,|RDU|YYZ|PVG|
PVG|ROC,|ROC|YYZ|PVG|
PVG|RSW,|RSW|ORD|PVG|
PVG|SAN,|SAN|LAX|PVG|
PVG|SJO,|SJO|IAH|YVR|PVG|
PVG|STL,|STL|ORD|PVG|
PVG|SYR,|SYR|YYZ|PVG|
PVG|TLV,|TLV|IST|PVG|
PVG|TPA,|TPA|ORD|PVG|
PVG|UVF,|UVF|EWR|PVG|
PVG|VIE,|VIE|IST|PVG|
PVG|YAM,|YAM|YYZ|PVG|
PVG|YGK,|YGK|YYZ|PVG|
PVG|YQG,|YQG|YYZ|PVG|
PVG|YSB,|YSB|YYZ|PVG|
PVG|YTS,|YTS|YYZ|PVG|
PVG|YYB,|YYB|YYZ|PVG|
PVG|YZR,|YZR|YYZ|PVG|
PVG|CAN,|CAN|PVG|
PVG|URC,|URC|PVG|
PVG|CTU,|CTU|WUH|PVG|
PVG|HGH,|HGH|TAO|PVG|
PVG|XMN,|XMN|WUH|PVG|
PVG|CGO,|CGO|PVG|
PVG|CSX,|CSX|PVG|
PVG|SHE,|SHE|PVG|
PVG|SJW,|SJW|DLC|PVG|
PVG|WUH,|WUH|PVG|
PVG|SZX,|SZX|PVG|
PVG|CKG,|CKG|WUH|PVG|
PVG|KMG,|KMG|KWE|PVG|
PVG|FOC,|FOC|WUH|PVG|
PVG|NNG,|NNG|PVG|
PVG|SWA,|SWA|CSX|PVG|
PVG|ACX,|ACX|CAN|PVG|
PVG|AQG,|AQG|CAN|PVG|
PVG|AVA,|AVA|CAN|PVG|
PVG|BFJ,|BFJ|CAN|PVG|
PVG|BHY,|BHY|CAN|PVG|
PVG|BNE,|BNE|CAN|PVG|
PVG|CGD,|CGD|CAN|PVG|
PVG|CGK,|CGK|CAN|PVG|
PVG|CGQ,|CGQ|PVG|
PVG|CIH,|CIH|PEK|PVG|
PVG|CNX,|CNX|CAN|PVG|
PVG|CZX,|CZX|CSX|PVG|
PVG|DAC,|DAC|CAN|PVG|
PVG|DAD,|DAD|CAN|PVG|
PVG|DEL,|DEL|CAN|PVG|
PVG|DIG,|DIG|KMG|KWE|PVG|
PVG|DLC,|DLC|PVG|
PVG|DPS,|DPS|SZX|PVG|
PVG|DXB,|DXB|CAN|PVG|
PVG|DYG,|DYG|CSX|PVG|
PVG|FUG,|FUG|CAN|PVG|
PVG|FUK,|FUK|ICN|PVG|
PVG|HAK,|HAK|PVG|
PVG|HAN,|HAN|CAN|PVG|
PVG|HDG,|HDG|CAN|PVG|
PVG|HET,|HET|TAO|PVG|
PVG|HFE,|HFE|CSX|PVG|
PVG|HJJ,|HJJ|CSX|PVG|
PVG|HKT,|HKT|CAN|PVG|
PVG|HRB,|HRB|PVG|
PVG|HZH,|HZH|CAN|PVG|
PVG|JIU,|JIU|CAN|PVG|
PVG|JJN,|JJN|WUH|PVG|
PVG|JNG,|JNG|CAN|PVG|
PVG|KHN,|KHN|CAN|PVG|
PVG|KIX,|KIX|DLC|PVG|
PVG|KOW,|KOW|CAN|PVG|
PVG|KTM,|KTM|CAN|PVG|
PVG|KUL,|KUL|PVG|
PVG|KWE,|KWE|PVG|
PVG|KWL,|KWL|PVG|
PVG|LHW,|LHW|CGO|PVG|
PVG|LYA,|LYA|CAN|PVG|
PVG|LYG,|LYG|CAN|PVG|
PVG|LZH,|LZH|CAN|PVG|
PVG|MEL,|MEL|CAN|PVG|
PVG|MIG,|MIG|CSX|PVG|
PVG|MLE,|MLE|CAN|PVG|
PVG|MNL,|MNL|CAN|PVG|
PVG|MXZ,|MXZ|CAN|PVG|
PVG|NAO,|NAO|CAN|PVG|
PVG|NGB,|NGB|TAO|PVG|
PVG|NKG,|NKG|CSX|PVG|
PVG|NNY,|NNY|CGO|PVG|
PVG|PEN,|PEN|CAN|PVG|
PVG|PER,|PER|CAN|PVG|
PVG|PNH,|PNH|CAN|PVG|
PVG|REP,|REP|CAN|PVG|
PVG|RGN,|RGN|CAN|PVG|
PVG|SGN,|SGN|CAN|PVG|
PVG|SHA,|SHA|WUH|PVG|
PVG|SIN,|SIN|CAN|PVG|
PVG|SVO,|SVO|URC|PVG|
PVG|SYX,|SYX|PVG|
PVG|TAO,|TAO|PVG|
PVG|TEN,|TEN|CAN|PVG|
PVG|TNA,|TNA|DLC|PVG|
PVG|TPE,|TPE|PVG|
PVG|TSN,|TSN|DLC|PVG|
PVG|TXN,|TXN|TAO|PVG|
PVG|TYN,|TYN|TAO|PVG|
PVG|WNZ,|WNZ|WUH|PVG|
PVG|WUX,|WUX|CAN|PVG|
PVG|XFN,|XFN|CAN|PVG|
PVG|XIY,|XIY|PVG|
PVG|XUZ,|XUZ|CAN|PVG|
PVG|YIH,|YIH|CKG|WUH|PVG|
PVG|YIW,|YIW|CGO|PVG|
PVG|YNT,|YNT|SHE|PVG|
PVG|YNZ,|YNZ|WUH|PVG|
PVG|YTY,|YTY|CGO|PVG|
PVG|ZHA,|ZHA|CAN|PVG|
PVG|ZYI,|ZYI|CAN|PVG|
PVG|BAV,|BAV|CGO|PVG|
PVG|CJU,|CJU|DLC|PVG|
PVG|DSN,|DSN|CGO|PVG|
PVG|HMI,|HMI|CGO|PVG|
PVG|INC,|INC|CGO|PVG|
PVG|KHH,|KHH|WUH|PVG|
PVG|UYN,|UYN|CGO|PVG|
PVG|XNN,|XNN|XIY|PVG|
PVG|ZUH,|ZUH|PVG|
PVG|YNJ,|YNJ|PVG|
PVG|DAT,|DAT|TYN|TAO|PVG|
PVG|JHG,|JHG|KMG|KWE|PVG|
PVG|LJG,|LJG|CKG|WUH|PVG|
PVG|LXA,|LXA|CKG|WUH|PVG|
PVG|YCU,|YCU|CSX|PVG|
PVG|LZO,|LZO|CSX|PVG|
PVG|MDG,|MDG|PVG|
PVG|NGO,|NGO|PVG|
PVG|TOY,|TOY|DLC|PVG|
PVG|MFM,|MFM|XMN|WUH|PVG|
PVG|TGO,|TGO|HET|TAO|PVG|
PVG|XIL,|XIL|HET|TAO|PVG|
PVG|HEK,|HEK|HRB|PVG|
PVG|KIJ,|KIJ|HRB|PVG|
PVG|LDS,|LDS|HRB|PVG|
PVG|OHE,|OHE|HRB|PVG|
PVG|HSN,|HSN|JJN|WUH|PVG|
PVG|DLU,|DLU|KWE|PVG|
PVG|SYM,|SYM|KMG|KWE|PVG|
PVG|ZAT,|ZAT|KMG|KWE|PVG|
PVG|LUN,|LUN|NBO|CAN|PVG|
PVG|AOG,|AOG|PEK|PVG|
PVG|GMP,|GMP|PEK|PVG|
PVG|ISB,|ISB|PEK|PVG|
PVG|TAS,|TAS|URC|PVG|
PVG|WUS,|WUS|PEK|PVG|
PVG|JMU,|JMU|PVG|
PVG|NDG,|NDG|PVG|
PVG|JXA,|JXA|SHE|PVG|
PVG|PUS,|PUS|SHE|PVG|
PVG|BKI,|BKI|SZX|PVG|
PVG|AKU,|AKU|URC|PVG|
PVG|ALA,|ALA|URC|PVG|
PVG|ASB,|ASB|URC|PVG|
PVG|DNH,|DNH|XIY|PVG|
PVG|DYU,|DYU|URC|PVG|
PVG|FRU,|FRU|URC|PVG|
PVG|GYD,|GYD|URC|PVG|
PVG|HTN,|HTN|URC|PVG|
PVG|IKA,|IKA|URC|PVG|
PVG|KCA,|KCA|URC|PVG|
PVG|KHG,|KHG|URC|PVG|
PVG|KRL,|KRL|URC|PVG|
PVG|KRY,|KRY|URC|PVG|
PVG|LBD,|LBD|URC|PVG|
PVG|NLT,|NLT|URC|PVG|
PVG|OSS,|OSS|URC|PVG|
PVG|OVB,|OVB|URC|PVG|
