RDD|BRU,|BRU|YUL|SFO|RDD|
RDD|OUA,|OUA|BRU|YUL|SFO|RDD|
RDD|JED,|JED|FRA|SFO|RDD|
RDD|CPH,|CPH|YYZ|SFO|RDD|
RDD|YYZ,|YYZ|SFO|RDD|
RDD|DEN,|DEN|SFO|RDD|
RDD|YUL,|YUL|SFO|RDD|
RDD|NBO,|NBO|ZRH|SFO|RDD|
RDD|ICN,|ICN|SFO|RDD|
RDD|NRT,|NRT|SFO|RDD|
RDD|YHZ,|YHZ|YUL|SFO|RDD|
RDD|YOW,|YOW|YYZ|SFO|RDD|
RDD|BJM,|BJM|BRU|YUL|SFO|RDD|
RDD|COO,|COO|BRU|YUL|SFO|RDD|
RDD|DKR,|DKR|IAD|SFO|RDD|
RDD|DLA,|DLA|BRU|YUL|SFO|RDD|
RDD|KGL,|KGL|IST|MUC|SFO|RDD|
RDD|LAD,|LAD|BRU|YUL|SFO|RDD|
RDD|ABJ,|ABJ|BRU|YUL|SFO|RDD|
RDD|AMS,|AMS|ORD|SFO|RDD|
RDD|OSL,|OSL|EWR|SFO|RDD|
RDD|VNO,|VNO|FRA|SFO|RDD|
RDD|WAW,|WAW|YYZ|SFO|RDD|
RDD|YYC,|YYC|SFO|RDD|
RDD|ATL,|ATL|SFO|RDD|
RDD|MSY,|MSY|SFO|RDD|
RDD|YEG,|YEG|SFO|RDD|
RDD|YMM,|YMM|YEG|SFO|RDD|
RDD|YQR,|YQR|YYC|SFO|RDD|
RDD|YVR,|YVR|SFO|RDD|
RDD|YWG,|YWG|LAS|SFO|RDD|
RDD|YXE,|YXE|YYC|SFO|RDD|
RDD|CKY,|CKY|DKR|IAD|SFO|RDD|
RDD|FIH,|FIH|DLA|BRU|YUL|SFO|RDD|
RDD|SCL,|SCL|EZE|IAH|SFO|RDD|
RDD|LCA,|LCA|FRA|SFO|RDD|
RDD|NAP,|NAP|FRA|SFO|RDD|
RDD|VLC,|VLC|FRA|SFO|RDD|
RDD|BKK,|BKK|ICN|SFO|RDD|
RDD|ADD,|ADD|JED|FRA|SFO|RDD|
RDD|FRA,|FRA|SFO|RDD|
RDD|IST,|IST|MUC|SFO|RDD|
RDD|EBB,|EBB|KGL|IST|MUC|SFO|RDD|
RDD|YLW,|YLW|YYJ|SFO|RDD|
RDD|YYT,|YYT|YUL|SFO|RDD|
RDD|GUA,|GUA|IAH|SFO|RDD|
RDD|EWR,|EWR|SFO|RDD|
RDD|IAD,|IAD|SFO|RDD|
RDD|IAH,|IAH|SFO|RDD|
RDD|ORD,|ORD|SFO|RDD|
RDD|SOF,|SOF|MUC|SFO|RDD|
RDD|YQB,|YQB|YUL|SFO|RDD|
RDD|YXU,|YXU|ORD|SFO|RDD|
RDD|EZE,|EZE|IAH|SFO|RDD|
RDD|YYJ,|YYJ|SFO|RDD|
RDD|YYY,|YYY|YUL|SFO|RDD|
RDD|YQQ,|YQQ|YBL|YVR|SFO|RDD|
RDD|YYR,|YYR|YWK|YZV|YUL|SFO|RDD|
RDD|LHR,|LHR|SFO|RDD|
RDD|SFO,|SFO|RDD|
RDD|YQU,|YQU|YYC|SFO|RDD|
RDD|YZF,|YZF|YEG|SFO|RDD|
RDD|YGR,|YGR|YGP|YQB|YUL|SFO|RDD|
RDD|YGP,|YGP|YQB|YUL|SFO|RDD|
RDD|BOS,|BOS|SFO|RDD|
RDD|YDF,|YDF|YYZ|SFO|RDD|
RDD|YFC,|YFC|YUL|SFO|RDD|
RDD|YQM,|YQM|YUL|SFO|RDD|
RDD|YQX,|YQX|YHZ|YUL|SFO|RDD|
RDD|YQY,|YQY|YHZ|YUL|SFO|RDD|
RDD|YSJ,|YSJ|YUL|SFO|RDD|
RDD|YYG,|YYG|YUL|SFO|RDD|
RDD|LAX,|LAX|SFO|RDD|
RDD|DCA,|DCA|SFO|RDD|
RDD|LGA,|LGA|ORD|SFO|RDD|
RDD|YZV,|YZV|YUL|SFO|RDD|
RDD|YWL,|YWL|YVR|SFO|RDD|
RDD|AZS,|AZS|YYZ|SFO|RDD|
RDD|BDL,|BDL|ORD|SFO|RDD|
RDD|CCC,|CCC|YYZ|SFO|RDD|
RDD|CDG,|CDG|SFO|RDD|
RDD|CUN,|CUN|SFO|RDD|
RDD|CZM,|CZM|IAH|SFO|RDD|
RDD|FDF,|FDF|YUL|SFO|RDD|
RDD|FLL,|FLL|SFO|RDD|
RDD|GVA,|GVA|YUL|SFO|RDD|
RDD|HOG,|HOG|YYZ|SFO|RDD|
RDD|LAS,|LAS|SFO|RDD|
RDD|MBJ,|MBJ|IAH|SFO|RDD|
RDD|MCO,|MCO|SFO|RDD|
RDD|MUC,|MUC|SFO|RDD|
RDD|PAP,|PAP|YUL|SFO|RDD|
RDD|PTP,|PTP|YUL|SFO|RDD|
RDD|PUJ,|PUJ|ATL|SFO|RDD|
RDD|SNU,|SNU|YYZ|SFO|RDD|
RDD|VRA,|VRA|YYC|SFO|RDD|
RDD|YBC,|YBC|YUL|SFO|RDD|
RDD|YBG,|YBG|YUL|SFO|RDD|
RDD|YTZ,|YTZ|YUL|SFO|RDD|
RDD|YUY,|YUY|YUL|SFO|RDD|
RDD|YVO,|YVO|YUL|SFO|RDD|
RDD|ZBF,|ZBF|YUL|SFO|RDD|
RDD|ZRH,|ZRH|SFO|RDD|
RDD|ZSA,|ZSA|YUL|SFO|RDD|
RDD|AKL,|AKL|SFO|RDD|
RDD|HKG,|HKG|SFO|RDD|
RDD|HND,|HND|YVR|SFO|RDD|
RDD|HNL,|HNL|SFO|RDD|
RDD|MEX,|MEX|SFO|RDD|
RDD|OGG,|OGG|SFO|RDD|
RDD|PDX,|PDX|SFO|RDD|
RDD|PEK,|PEK|SFO|RDD|
RDD|PVG,|PVG|SFO|RDD|
RDD|PVR,|PVR|SFO|RDD|
RDD|SEA,|SEA|SFO|RDD|
RDD|SYD,|SYD|SFO|RDD|
RDD|YBL,|YBL|YVR|SFO|RDD|
RDD|YCD,|YCD|YVR|SFO|RDD|
RDD|YCG,|YCG|YVR|SFO|RDD|
RDD|YKA,|YKA|YVR|SFO|RDD|
RDD|YPR,|YPR|YVR|SFO|RDD|
RDD|YQZ,|YQZ|YVR|SFO|RDD|
RDD|YXC,|YXC|YVR|SFO|RDD|
RDD|YXJ,|YXJ|YVR|SFO|RDD|
RDD|YXS,|YXS|YVR|SFO|RDD|
RDD|YXT,|YXT|YVR|SFO|RDD|
RDD|YXY,|YXY|YVR|SFO|RDD|
RDD|YYD,|YYD|YVR|SFO|RDD|
RDD|YYF,|YYF|YVR|SFO|RDD|
RDD|YZP,|YZP|YVR|SFO|RDD|
RDD|YQT,|YQT|YWG|LAS|SFO|RDD|
RDD|SJD,|SJD|SFO|RDD|
RDD|YQF,|YQF|YYC|SFO|RDD|
RDD|YQL,|YQL|YYC|SFO|RDD|
RDD|YXH,|YXH|YYC|SFO|RDD|
RDD|YWK,|YWK|YZV|YUL|SFO|RDD|
RDD|ANU,|ANU|EWR|SFO|RDD|
RDD|AUA,|AUA|ATL|SFO|RDD|
RDD|AUH,|AUH|FRA|SFO|RDD|
RDD|BCN,|BCN|YYZ|SFO|RDD|
RDD|BDA,|BDA|EWR|SFO|RDD|
RDD|BGI,|BGI|YYZ|SFO|RDD|
RDD|BNA,|BNA|DEN|SFO|RDD|
RDD|BOG,|BOG|IAH|SFO|RDD|
RDD|BWI,|BWI|SFO|RDD|
RDD|CLE,|CLE|SFO|RDD|
RDD|CLT,|CLT|MDW|SFO|RDD|
RDD|CMH,|CMH|DEN|SFO|RDD|
RDD|CVG,|CVG|DEN|SFO|RDD|
RDD|DFW,|DFW|SFO|RDD|
RDD|DTW,|DTW|ORD|SFO|RDD|
RDD|DUB,|DUB|ORD|SFO|RDD|
RDD|FCO,|FCO|YYZ|SFO|RDD|
RDD|GCM,|GCM|IAH|SFO|RDD|
RDD|GGT,|GGT|FLL|SFO|RDD|
RDD|GND,|GND|YYZ|SFO|RDD|
RDD|GRU,|GRU|IAH|SFO|RDD|
RDD|HAV,|HAV|YYZ|SFO|RDD|
RDD|IND,|IND|SFO|RDD|
RDD|JFK,|JFK|SFO|RDD|
RDD|KIN,|KIN|YYZ|SFO|RDD|
RDD|LIM,|LIM|IAH|SFO|RDD|
RDD|LIR,|LIR|IAH|SFO|RDD|
RDD|MCI,|MCI|SFO|RDD|
RDD|MDT,|MDT|ORD|SFO|RDD|
RDD|MIA,|MIA|MSY|SFO|RDD|
RDD|MKE,|MKE|SFO|RDD|
RDD|MSP,|MSP|SFO|RDD|
RDD|NAS,|NAS|IAH|SFO|RDD|
RDD|PHL,|PHL|SFO|RDD|
RDD|PHX,|PHX|SFO|RDD|
RDD|PIT,|PIT|SFO|RDD|
RDD|PLS,|PLS|YYZ|SFO|RDD|
RDD|POP,|POP|YYZ|SFO|RDD|
RDD|RDU,|RDU|SFO|RDD|
RDD|ROC,|ROC|YYZ|SFO|RDD|
RDD|RSW,|RSW|DFW|SFO|RDD|
RDD|SAN,|SAN|SFO|RDD|
RDD|SJO,|SJO|IAH|SFO|RDD|
RDD|STL,|STL|SFO|RDD|
RDD|SYR,|SYR|YYZ|SFO|RDD|
RDD|TLV,|TLV|IST|MUC|SFO|RDD|
RDD|TPA,|TPA|LAS|SFO|RDD|
RDD|UVF,|UVF|EWR|SFO|RDD|
RDD|VIE,|VIE|ORD|SFO|RDD|
RDD|YAM,|YAM|YYZ|SFO|RDD|
RDD|YGK,|YGK|YYZ|SFO|RDD|
RDD|YQG,|YQG|YYZ|SFO|RDD|
RDD|YSB,|YSB|YYZ|SFO|RDD|
RDD|YTS,|YTS|YYZ|SFO|RDD|
RDD|YYB,|YYB|YYZ|SFO|RDD|
RDD|YZR,|YZR|YYZ|SFO|RDD|
RDD|CAN,|CAN|PVG|SFO|RDD|
RDD|URC,|URC|PEK|SFO|RDD|
RDD|CTU,|CTU|PEK|SFO|RDD|
RDD|HGH,|HGH|DLC|ICN|SFO|RDD|
RDD|XMN,|XMN|YNZ|DLC|ICN|SFO|RDD|
